model,task_id,layer,mb,info,ready_ms,start_ms,finish_ms,wait_ms,duration_ms
llama-moe-6.7b,23375226857776,0,0,GROUP_BY forward all2all,12.4378,12.4378,12.4381,0.0000,0.0003
llama-moe-6.7b,23375226857296,0,0,GROUP_BY forward all2all,12.4378,12.4378,12.4381,0.0000,0.0003
llama-moe-6.7b,23375226873136,0,0,AGGREGATE forward all2all,21.2919,21.2919,22.1354,0.0000,0.8435
llama-moe-6.7b,23375226872656,0,0,AGGREGATE forward all2all,21.2919,21.2919,22.1354,0.0000,0.8435
llama-moe-6.7b,23375226864976,0,1,GROUP_BY forward all2all,34.6495,34.6495,34.6499,0.0000,0.0003
llama-moe-6.7b,23375226865456,0,1,GROUP_BY forward all2all,34.6495,34.6495,34.6499,0.0000,0.0003
llama-moe-6.7b,23375226856816,1,0,GROUP_BY forward all2all,34.6615,34.6615,34.6619,0.0000,0.0003
llama-moe-6.7b,23375226856336,1,0,GROUP_BY forward all2all,34.6615,34.6615,34.6619,0.0000,0.0003
llama-moe-6.7b,23375226853936,0,1,AGGREGATE forward all2all,43.5037,43.5037,44.3472,0.0000,0.8435
llama-moe-6.7b,23375226853456,0,1,AGGREGATE forward all2all,43.5037,43.5037,44.3472,0.0000,0.8435
llama-moe-6.7b,23375226855856,1,0,AGGREGATE forward all2all,43.5071,43.5071,44.3506,0.0000,0.8435
llama-moe-6.7b,23375226855376,1,0,AGGREGATE forward all2all,43.5071,43.5071,44.3506,0.0000,0.8435
llama-moe-6.7b,23375226846736,0,2,GROUP_BY forward all2all,56.8715,56.8715,56.8718,0.0000,0.0003
llama-moe-6.7b,23375226847216,0,2,GROUP_BY forward all2all,56.8715,56.8715,56.8718,0.0000,0.0003
llama-moe-6.7b,23375226852496,1,1,GROUP_BY forward all2all,56.8751,56.8751,56.8754,0.0000,0.0003
llama-moe-6.7b,23375226852976,1,1,GROUP_BY forward all2all,56.8751,56.8751,56.8754,0.0000,0.0003
llama-moe-6.7b,23375226854896,2,0,GROUP_BY forward all2all,56.8765,56.8765,56.8768,0.0000,0.0003
llama-moe-6.7b,23375226854416,2,0,GROUP_BY forward all2all,56.8765,56.8765,56.8768,0.0000,0.0003
llama-moe-6.7b,23375226846256,0,2,AGGREGATE forward all2all,65.7157,65.7157,66.5592,0.0000,0.8435
llama-moe-6.7b,23375226845776,0,2,AGGREGATE forward all2all,65.7157,65.7157,66.5592,0.0000,0.8435
llama-moe-6.7b,23375226852016,1,1,AGGREGATE forward all2all,65.7206,65.7206,66.5641,0.0000,0.8435
llama-moe-6.7b,23375226851536,1,1,AGGREGATE forward all2all,65.7206,65.7206,66.5641,0.0000,0.8435
llama-moe-6.7b,23375226860656,2,0,AGGREGATE forward all2all,65.7216,65.7216,66.5651,0.0000,0.8435
llama-moe-6.7b,23375226860176,2,0,AGGREGATE forward all2all,65.7216,65.7216,66.5651,0.0000,0.8435
llama-moe-6.7b,23375226859216,0,3,GROUP_BY forward all2all,79.0734,79.0734,79.0737,0.0000,0.0003
llama-moe-6.7b,23375226859696,0,3,GROUP_BY forward all2all,79.0734,79.0734,79.0737,0.0000,0.0003
llama-moe-6.7b,23375226861616,3,0,GROUP_BY forward all2all,79.0812,79.0812,79.0816,0.0000,0.0003
llama-moe-6.7b,23375226861136,3,0,GROUP_BY forward all2all,79.0813,79.0813,79.0816,0.0000,0.0003
llama-moe-6.7b,23375226844816,1,2,GROUP_BY forward all2all,79.0886,79.0886,79.0889,0.0000,0.0003
llama-moe-6.7b,23375226845296,1,2,GROUP_BY forward all2all,79.0886,79.0886,79.0889,0.0000,0.0003
llama-moe-6.7b,23375226851056,2,1,GROUP_BY forward all2all,79.0900,79.0900,79.0903,0.0000,0.0003
