model,task_id,layer,mb,info,ready_ms,start_ms,finish_ms,wait_ms,duration_ms
mixtral8x7b,23375228847376,0,0,GROUP_BY forward all2all,12.4941,12.4941,12.4959,0.0000,0.0018
mixtral8x7b,23375228847856,0,0,GROUP_BY forward all2all,12.4941,12.4941,12.4959,0.0000,0.0018
mixtral8x7b,23375228854096,0,0,AGGREGATE forward all2all,47.4965,47.4965,100.0038,0.0000,52.5073
mixtral8x7b,23375228854576,0,0,AGGREGATE forward all2all,47.4965,47.4965,102.0041,0.0000,54.5076
mixtral8x7b,23375228853136,1,0,GROUP_BY forward all2all,112.6647,112.6647,112.6665,0.0000,0.0018
mixtral8x7b,23375228857936,0,1,GROUP_BY forward all2all,114.6623,114.6623,114.6641,0.0000,0.0018
mixtral8x7b,23375228858416,0,1,GROUP_BY forward all2all,114.6623,114.6623,114.6641,0.0000,0.0018
mixtral8x7b,23375228853616,1,0,GROUP_BY forward all2all,114.6649,114.6649,114.6667,0.0000,0.0018
mixtral8x7b,23375228852176,0,1,AGGREGATE forward all2all,149.6494,149.6494,171.3582,0.0000,21.7089
mixtral8x7b,23375228852656,0,1,AGGREGATE forward all2all,149.6494,149.6494,172.0089,0.0000,22.3596
mixtral8x7b,23375228846896,1,0,AGGREGATE forward all2all,149.6492,149.6492,174.0031,0.0000,24.3539
mixtral8x7b,23375228859856,0,2,GROUP_BY forward all2all,184.6501,184.6501,184.6519,0.0000,0.0018
mixtral8x7b,23375228860336,0,2,GROUP_BY forward all2all,184.6501,184.6501,184.6519,0.0000,0.0018
mixtral8x7b,23375228845936,2,0,GROUP_BY forward all2all,186.6636,186.6636,186.6654,0.0000,0.0018
mixtral8x7b,23375228846416,1,0,AGGREGATE forward all2all,147.6490,147.6490,197.0020,0.0000,49.3530
mixtral8x7b,23375228856976,1,1,GROUP_BY forward all2all,209.6611,209.6611,209.6629,0.0000,0.0018
mixtral8x7b,23375228857456,1,1,GROUP_BY forward all2all,209.6611,209.6611,209.6629,0.0000,0.0018
mixtral8x7b,23375228845456,2,0,GROUP_BY forward all2all,209.6625,209.6625,209.6643,0.0000,0.0018
mixtral8x7b,23375228844976,2,0,AGGREGATE forward all2all,221.6511,221.6511,246.0042,0.0000,24.3531
mixtral8x7b,23375228844016,3,0,GROUP_BY forward all2all,258.6636,258.6636,258.6654,0.0000,0.0018
mixtral8x7b,23375228861296,0,2,AGGREGATE forward all2all,219.6524,219.6524,261.2489,0.0000,41.5965
mixtral8x7b,23375228860816,0,2,AGGREGATE forward all2all,219.6524,219.6524,263.0108,0.0000,43.3584
mixtral8x7b,23375228856016,1,1,AGGREGATE forward all2all,244.6454,244.6454,266.2819,0.0000,21.6365
mixtral8x7b,23375228844496,2,0,AGGREGATE forward all2all,244.6500,244.6500,267.0065,0.0000,22.3565
mixtral8x7b,23375228856496,1,1,AGGREGATE forward all2all,244.6454,244.6454,273.2319,0.0000,28.5866
mixtral8x7b,23375228868016,0,3,GROUP_BY forward all2all,275.6519,275.6519,275.6538,0.0000,0.0018
mixtral8x7b,23375228867536,0,3,GROUP_BY forward all2all,275.6519,275.6519,275.6538,0.0000,0.0018
mixtral8x7b,23375228850256,2,1,GROUP_BY forward all2all,279.6479,279.6479,279.6497,0.0000,0.0018
mixtral8x7b,23375228843536,3,0,GROUP_BY forward all2all,279.6659,279.6659,279.6678,0.0000,0.0018
mixtral8x7b,23375228861776,1,2,GROUP_BY forward all2all,285.8739,285.8739,285.8757,0.0000,0.0018
mixtral8x7b,23375228862256,1,2,GROUP_BY forward all2all,285.8739,285.8739,285.8757,0.0000,0.0018
