model,task_id,layer,mb,info,ready_ms,start_ms,finish_ms,wait_ms,duration_ms
llama-moe-6.7b,23375226857776,0,0,GROUP_BY forward all2all,12.4378,12.4378,12.4382,0.0000,0.0004
llama-moe-6.7b,23375226857296,0,0,GROUP_BY forward all2all,12.4378,12.4378,12.4382,0.0000,0.0004
llama-moe-6.7b,23375226873136,0,0,AGGREGATE forward all2all,21.2919,21.2919,32.5271,0.0000,11.2352
llama-moe-6.7b,23375226872656,0,0,AGGREGATE forward all2all,21.2919,21.2919,32.5271,0.0000,11.2352
llama-moe-6.7b,23375226864976,0,1,GROUP_BY forward all2all,45.0412,45.0412,45.0417,0.0000,0.0004
llama-moe-6.7b,23375226865456,0,1,GROUP_BY forward all2all,45.0412,45.0412,45.0417,0.0000,0.0004
llama-moe-6.7b,23375226856816,1,0,GROUP_BY forward all2all,45.0532,45.0532,45.0537,0.0000,0.0004
llama-moe-6.7b,23375226856336,1,0,GROUP_BY forward all2all,45.0532,45.0532,45.0537,0.0000,0.0004
llama-moe-6.7b,23375226853456,0,1,AGGREGATE forward all2all,53.8953,53.8953,65.1305,0.0000,11.2352
llama-moe-6.7b,23375226853936,0,1,AGGREGATE forward all2all,53.8953,53.8953,65.1305,0.0000,11.2352
llama-moe-6.7b,23375226855856,1,0,AGGREGATE forward all2all,53.8989,53.8989,65.1341,0.0000,11.2352
llama-moe-6.7b,23375226855376,1,0,AGGREGATE forward all2all,53.8989,53.8989,65.1341,0.0000,11.2352
llama-moe-6.7b,23375226846736,0,2,GROUP_BY forward all2all,77.6549,77.6549,77.6553,0.0000,0.0004
llama-moe-6.7b,23375226847216,0,2,GROUP_BY forward all2all,77.6549,77.6549,77.6553,0.0000,0.0004
llama-moe-6.7b,23375226852496,1,1,GROUP_BY forward all2all,77.6586,77.6586,77.6590,0.0000,0.0004
llama-moe-6.7b,23375226852976,1,1,GROUP_BY forward all2all,77.6586,77.6586,77.6590,0.0000,0.0004
llama-moe-6.7b,23375226854896,2,0,GROUP_BY forward all2all,77.6600,77.6600,77.6604,0.0000,0.0004
llama-moe-6.7b,23375226854416,2,0,GROUP_BY forward all2all,77.6600,77.6600,77.6605,0.0000,0.0004
llama-moe-6.7b,23375226845776,0,2,AGGREGATE forward all2all,86.4992,86.4992,97.7344,0.0000,11.2352
