model,task_id,layer,mb,info,ready_ms,start_ms,finish_ms,wait_ms,duration_ms
llama-moe-6.7b,23375226857776,0,0,GROUP_BY forward all2all,12.4378,12.4378,12.4382,0.0000,0.0004
llama-moe-6.7b,23375226857296,0,0,GROUP_BY forward all2all,12.4378,12.4378,12.4382,0.0000,0.0004
llama-moe-6.7b,23375226873136,0,0,AGGREGATE forward all2all,21.2919,21.2919,23.9372,0.0000,2.6453
llama-moe-6.7b,23375226872656,0,0,AGGREGATE forward all2all,21.2919,21.2919,23.9372,0.0000,2.6453
llama-moe-6.7b,23375226864976,0,1,GROUP_BY forward all2all,36.4514,36.4514,36.4517,0.0000,0.0004
llama-moe-6.7b,23375226865456,0,1,GROUP_BY forward all2all,36.4514,36.4514,36.4517,0.0000,0.0004
llama-moe-6.7b,23375226856336,1,0,GROUP_BY forward all2all,36.4634,36.4634,36.4637,0.0000,0.0004
llama-moe-6.7b,23375226856816,1,0,GROUP_BY forward all2all,36.4634,36.4634,36.4637,0.0000,0.0004
llama-moe-6.7b,23375226853456,0,1,AGGREGATE forward all2all,45.3055,45.3055,47.9508,0.0000,2.6453
llama-moe-6.7b,23375226853936,0,1,AGGREGATE forward all2all,45.3055,45.3055,47.9508,0.0000,2.6453
llama-moe-6.7b,23375226855376,1,0,AGGREGATE forward all2all,45.3089,45.3089,47.9543,0.0000,2.6453
llama-moe-6.7b,23375226855856,1,0,AGGREGATE forward all2all,45.3090,45.3090,47.9543,0.0000,2.6453
llama-moe-6.7b,23375226846736,0,2,GROUP_BY forward all2all,60.4751,60.4751,60.4755,0.0000,0.0004
llama-moe-6.7b,23375226847216,0,2,GROUP_BY forward all2all,60.4751,60.4751,60.4755,0.0000,0.0004
llama-moe-6.7b,23375226852496,1,1,GROUP_BY forward all2all,60.4788,60.4788,60.4792,0.0000,0.0004
llama-moe-6.7b,23375226852976,1,1,GROUP_BY forward all2all,60.4788,60.4788,60.4792,0.0000,0.0004
llama-moe-6.7b,23375226854896,2,0,GROUP_BY forward all2all,60.4802,60.4802,60.4806,0.0000,0.0004
llama-moe-6.7b,23375226854416,2,0,GROUP_BY forward all2all,60.4802,60.4802,60.4806,0.0000,0.0004
llama-moe-6.7b,23375226845776,0,2,AGGREGATE forward all2all,69.3194,69.3194,71.9647,0.0000,2.6453
