model,task_id,layer,mb,info,ready_ms,start_ms,finish_ms,wait_ms,duration_ms
mixtral8x7b,23375228847376,0,0,GROUP_BY forward all2all,12.4973,12.4973,12.4992,0.0000,0.0018
mixtral8x7b,23375228847856,0,0,GROUP_BY forward all2all,12.4973,12.4973,12.4992,0.0000,0.0018
mixtral8x7b,23375228854576,0,0,AGGREGATE forward all2all,61.7756,61.7756,114.2356,0.0000,52.4600
mixtral8x7b,23375228854096,0,0,AGGREGATE forward all2all,61.7756,61.7756,114.2357,0.0000,52.4601
mixtral8x7b,23375228858416,0,1,GROUP_BY forward all2all,126.8972,126.8972,126.8990,0.0000,0.0018
mixtral8x7b,23375228857936,0,1,GROUP_BY forward all2all,126.8972,126.8972,126.8990,0.0000,0.0018
mixtral8x7b,23375228853616,1,0,GROUP_BY forward all2all,126.8997,126.8997,126.9015,0.0000,0.0018
mixtral8x7b,23375228853136,1,0,GROUP_BY forward all2all,126.8998,126.8998,126.9017,0.0000,0.0018
mixtral8x7b,23375228846416,1,0,AGGREGATE forward all2all,176.2579,176.2579,192.8057,0.0000,16.5478
mixtral8x7b,23375228846896,1,0,AGGREGATE forward all2all,176.2577,176.2577,198.2579,0.0000,22.0001
mixtral8x7b,23375228845456,2,0,GROUP_BY forward all2all,205.4696,205.4696,205.4714,0.0000,0.0018
mixtral8x7b,23375228845936,2,0,GROUP_BY forward all2all,210.9217,210.9217,210.9235,0.0000,0.0018
mixtral8x7b,23375228852656,0,1,AGGREGATE forward all2all,176.1602,176.1602,221.4534,0.0000,45.2932
mixtral8x7b,23375228852176,0,1,AGGREGATE forward all2all,176.1602,176.1602,228.2710,0.0000,52.1108
mixtral8x7b,23375228857456,1,1,GROUP_BY forward all2all,234.1175,234.1175,234.1194,0.0000,0.0018
mixtral8x7b,23375228860336,0,2,GROUP_BY forward all2all,240.9153,240.9153,240.9172,0.0000,0.0018
mixtral8x7b,23375228859856,0,2,GROUP_BY forward all2all,240.9154,240.9154,240.9172,0.0000,0.0018
mixtral8x7b,23375228856976,1,1,GROUP_BY forward all2all,240.9351,240.9351,240.9369,0.0000,0.0018
mixtral8x7b,23375228844976,2,0,AGGREGATE forward all2all,260.7089,260.7089,275.5148,0.0000,14.8059
mixtral8x7b,23375228844496,2,0,AGGREGATE forward all2all,255.2568,255.2568,277.0099,0.0000,21.7530
mixtral8x7b,23375228844016,3,0,GROUP_BY forward all2all,288.1775,288.1775,288.1793,0.0000,0.0018
mixtral8x7b,23375228843536,3,0,GROUP_BY forward all2all,289.6725,289.6725,289.6744,0.0000,0.0018
mixtral8x7b,23375228856016,1,1,AGGREGATE forward all2all,290.2932,290.2932,307.5814,0.0000,17.2883
mixtral8x7b,23375228861296,0,2,AGGREGATE forward all2all,290.1936,290.1936,312.0055,0.0000,21.8119
mixtral8x7b,23375228860816,0,2,AGGREGATE forward all2all,290.1936,290.1936,312.2425,0.0000,22.0489
mixtral8x7b,23375228856496,1,1,AGGREGATE forward all2all,283.4756,283.4756,318.0015,0.0000,34.5259
mixtral8x7b,23375228850256,2,1,GROUP_BY forward all2all,320.2281,320.2281,320.2300,0.0000,0.0018
mixtral8x7b,23375228868016,0,3,GROUP_BY forward all2all,324.8869,324.8869,324.8887,0.0000,0.0018
mixtral8x7b,23375228867536,0,3,GROUP_BY forward all2all,324.8869,324.8869,324.8887,0.0000,0.0018
mixtral8x7b,23375228862256,1,2,GROUP_BY forward all2all,330.6467,330.6467,330.6485,0.0000,0.0018
mixtral8x7b,23375228861776,1,2,GROUP_BY forward all2all,330.6467,330.6467,330.6485,0.0000,0.0018
mixtral8x7b,23375228850736,2,1,GROUP_BY forward all2all,330.6482,330.6482,330.6500,0.0000,0.0018
mixtral8x7b,23375228849776,3,0,AGGREGATE forward all2all,337.4397,337.4397,359.6549,0.0000,22.2152
mixtral8x7b,23375228849296,3,0,AGGREGATE forward all2all,338.9347,338.9347,364.0021,0.0000,25.0674
mixtral8x7b,23375228849536,3,0,AGGREGATE backward all2all,372.4461,372.4461,388.1531,0.0000,15.7071
mixtral8x7b,23375228868976,0,3,AGGREGATE forward all2all,374.1652,374.1652,389.2827,0.0000,15.1175
mixtral8x7b,23375228850016,3,0,AGGREGATE backward all2all,368.0988,368.0988,390.0825,0.0000,21.9837
mixtral8x7b,23375228851216,2,1,AGGREGATE forward all2all,370.0307,370.0307,392.1541,0.0000,22.1234
mixtral8x7b,23375228868496,0,3,AGGREGATE forward all2all,374.1652,374.1652,396.2355,0.0000,22.0703
