model,task_id,layer,mb,info,ready_ms,start_ms,finish_ms,wait_ms,duration_ms
llama-moe-6.7b,23375226857776,0,0,GROUP_BY forward all2all,12.4378,12.4378,12.4382,0.0000,0.0004
llama-moe-6.7b,23375226857296,0,0,GROUP_BY forward all2all,12.4378,12.4378,12.4382,0.0000,0.0004
llama-moe-6.7b,23375226873136,0,0,AGGREGATE forward all2all,21.2919,21.2919,24.2611,0.0000,2.9692
llama-moe-6.7b,23375226872656,0,0,AGGREGATE forward all2all,21.2919,21.2919,24.2611,0.0000,2.9692
llama-moe-6.7b,23375226864976,0,1,GROUP_BY forward all2all,36.7753,36.7753,36.7757,0.0000,0.0004
llama-moe-6.7b,23375226865456,0,1,GROUP_BY forward all2all,36.7753,36.7753,36.7757,0.0000,0.0004
llama-moe-6.7b,23375226856336,1,0,GROUP_BY forward all2all,36.7873,36.7873,36.7877,0.0000,0.0004
llama-moe-6.7b,23375226856816,1,0,GROUP_BY forward all2all,36.7873,36.7873,36.7877,0.0000,0.0004
llama-moe-6.7b,23375226853936,0,1,AGGREGATE forward all2all,45.6294,45.6294,48.5986,0.0000,2.9692
llama-moe-6.7b,23375226853456,0,1,AGGREGATE forward all2all,45.6294,45.6294,48.5986,0.0000,2.9692
llama-moe-6.7b,23375226855856,1,0,AGGREGATE forward all2all,45.6329,45.6329,48.6021,0.0000,2.9692
llama-moe-6.7b,23375226855376,1,0,AGGREGATE forward all2all,45.6329,45.6329,48.6021,0.0000,2.9692
llama-moe-6.7b,23375226846736,0,2,GROUP_BY forward all2all,61.1230,61.1230,61.1234,0.0000,0.0004
llama-moe-6.7b,23375226847216,0,2,GROUP_BY forward all2all,61.1230,61.1230,61.1234,0.0000,0.0004
llama-moe-6.7b,23375226852496,1,1,GROUP_BY forward all2all,61.1266,61.1266,61.1270,0.0000,0.0004
llama-moe-6.7b,23375226852976,1,1,GROUP_BY forward all2all,61.1266,61.1266,61.1270,0.0000,0.0004
llama-moe-6.7b,23375226854896,2,0,GROUP_BY forward all2all,61.1280,61.1280,61.1283,0.0000,0.0004
llama-moe-6.7b,23375226854416,2,0,GROUP_BY forward all2all,61.1281,61.1281,61.1284,0.0000,0.0004
llama-moe-6.7b,23375226846256,0,2,AGGREGATE forward all2all,69.9673,69.9673,72.9365,0.0000,2.9692
