model,task_id,layer,mb,info,ready_ms,start_ms,finish_ms,wait_ms,duration_ms
mixtral8x7b,23375228847376,0,0,GROUP_BY forward all2all,12.4996,12.4996,12.5015,0.0000,0.0018
mixtral8x7b,23375228847856,0,0,GROUP_BY forward all2all,12.4996,12.4996,12.5015,0.0000,0.0018
mixtral8x7b,23375228854096,0,0,AGGREGATE forward all2all,72.1209,72.1209,124.0094,0.0000,51.8885
mixtral8x7b,23375228854576,0,0,AGGREGATE forward all2all,72.1209,72.1209,125.0091,0.0000,52.8881
mixtral8x7b,23375228853136,1,0,GROUP_BY forward all2all,136.6763,136.6763,136.6781,0.0000,0.0018
mixtral8x7b,23375228857936,0,1,GROUP_BY forward all2all,137.6729,137.6729,137.6747,0.0000,0.0018
mixtral8x7b,23375228858416,0,1,GROUP_BY forward all2all,137.6729,137.6729,137.6747,0.0000,0.0018
mixtral8x7b,23375228853616,1,0,GROUP_BY forward all2all,137.6759,137.6759,137.6777,0.0000,0.0018
mixtral8x7b,23375228846416,1,0,AGGREGATE forward all2all,198.2650,198.2650,216.0504,0.0000,17.7853
mixtral8x7b,23375228846896,1,0,AGGREGATE forward all2all,199.2647,199.2647,225.0040,0.0000,25.7394
mixtral8x7b,23375228845456,2,0,GROUP_BY forward all2all,228.7201,228.7201,228.7220,0.0000,0.0018
mixtral8x7b,23375228852176,0,1,AGGREGATE forward all2all,197.2789,197.2789,237.0767,0.0000,39.7978
mixtral8x7b,23375228845936,2,0,GROUP_BY forward all2all,237.6738,237.6738,237.6756,0.0000,0.0018
mixtral8x7b,23375228852656,0,1,AGGREGATE forward all2all,197.2789,197.2789,243.1722,0.0000,45.8933
mixtral8x7b,23375228856976,1,1,GROUP_BY forward all2all,249.7435,249.7435,249.7454,0.0000,0.0018
mixtral8x7b,23375228859856,0,2,GROUP_BY forward all2all,255.8189,255.8189,255.8207,0.0000,0.0018
mixtral8x7b,23375228860336,0,2,GROUP_BY forward all2all,255.8189,255.8189,255.8208,0.0000,0.0018
mixtral8x7b,23375228857456,1,1,GROUP_BY forward all2all,255.8391,255.8391,255.8409,0.0000,0.0018
