model,task_id,layer,mb,info,ready_ms,start_ms,finish_ms,wait_ms,duration_ms
mixtral8x7b,23375228847376,0,0,GROUP_BY forward all2all,61.1548,61.1548,61.1566,0.0000,0.0018
mixtral8x7b,23375228847856,0,0,GROUP_BY forward all2all,61.1548,61.1548,61.1566,0.0000,0.0018
mixtral8x7b,23375228854096,0,0,AGGREGATE forward all2all,147.6723,147.6723,358.2497,0.0000,210.5774
mixtral8x7b,23375228854576,0,0,AGGREGATE forward all2all,147.6723,147.6723,358.2497,0.0000,210.5774
mixtral8x7b,23375228857936,0,1,GROUP_BY forward all2all,419.5686,419.5686,419.5704,0.0000,0.0018
mixtral8x7b,23375228858416,0,1,GROUP_BY forward all2all,419.5686,419.5686,419.5704,0.0000,0.0018
mixtral8x7b,23375228853616,1,0,GROUP_BY forward all2all,419.5713,419.5713,419.5731,0.0000,0.0018
mixtral8x7b,23375228853136,1,0,GROUP_BY forward all2all,419.5713,419.5713,419.5731,0.0000,0.0018
mixtral8x7b,23375228846896,1,0,AGGREGATE forward all2all,506.4286,506.4286,524.6606,0.0000,18.2320
mixtral8x7b,23375228846416,1,0,AGGREGATE forward all2all,506.4286,506.4286,528.4345,0.0000,22.0059
mixtral8x7b,23375228845936,2,0,GROUP_BY forward all2all,585.9823,585.9823,585.9841,0.0000,0.0018
mixtral8x7b,23375228845456,2,0,GROUP_BY forward all2all,589.7562,589.7562,589.7580,0.0000,0.0018
mixtral8x7b,23375228844496,2,0,AGGREGATE forward all2all,679.1046,679.1046,701.2662,0.0000,22.1617
mixtral8x7b,23375228852176,0,1,AGGREGATE forward all2all,506.0861,506.0861,715.2509,0.0000,209.1648
mixtral8x7b,23375228852656,0,1,AGGREGATE forward all2all,506.0861,506.0861,715.2509,0.0000,209.1648
mixtral8x7b,23375228843536,3,0,GROUP_BY forward all2all,762.5863,762.5863,762.5881,0.0000,0.0018
mixtral8x7b,23375228859856,0,2,GROUP_BY forward all2all,776.5527,776.5527,776.5545,0.0000,0.0018
mixtral8x7b,23375228860336,0,2,GROUP_BY forward all2all,776.5527,776.5527,776.5545,0.0000,0.0018
mixtral8x7b,23375228857456,1,1,GROUP_BY forward all2all,776.5725,776.5725,776.5743,0.0000,0.0018
mixtral8x7b,23375228856976,1,1,GROUP_BY forward all2all,776.5725,776.5725,776.5743,0.0000,0.0018
mixtral8x7b,23375228844976,2,0,AGGREGATE forward all2all,675.3307,675.3307,866.0016,0.0000,190.6709
mixtral8x7b,23375228856496,1,1,AGGREGATE forward all2all,863.4298,863.4298,881.6606,0.0000,18.2308
mixtral8x7b,23375228860816,0,2,AGGREGATE forward all2all,863.0702,863.0702,885.0076,0.0000,21.9374
mixtral8x7b,23375228861296,0,2,AGGREGATE forward all2all,863.0702,863.0702,885.1708,0.0000,22.1006
mixtral8x7b,23375228856016,1,1,AGGREGATE forward all2all,863.4298,863.4298,885.1906,0.0000,21.7608
mixtral8x7b,23375228844016,3,0,GROUP_BY forward all2all,927.3217,927.3217,927.3235,0.0000,0.0018
mixtral8x7b,23375228850736,2,1,GROUP_BY forward all2all,942.9652,942.9652,942.9670,0.0000,0.0018
mixtral8x7b,23375228867536,0,3,GROUP_BY forward all2all,946.4726,946.4726,946.4744,0.0000,0.0018
mixtral8x7b,23375228868016,0,3,GROUP_BY forward all2all,946.4726,946.4726,946.4744,0.0000,0.0018
mixtral8x7b,23375228861776,1,2,GROUP_BY forward all2all,946.4933,946.4933,946.4951,0.0000,0.0018
mixtral8x7b,23375228862256,1,2,GROUP_BY forward all2all,946.4933,946.4933,946.4951,0.0000,0.0018
mixtral8x7b,23375228850256,2,1,GROUP_BY forward all2all,946.4953,946.4953,946.4971,0.0000,0.0018
mixtral8x7b,23375228849296,3,0,AGGREGATE forward all2all,848.9592,848.9592,1003.5985,0.0000,154.6393
mixtral8x7b,23375228849776,3,0,AGGREGATE forward all2all,1013.6945,1013.6945,1035.7287,0.0000,22.0342
mixtral8x7b,23375228862736,1,2,AGGREGATE forward all2all,1033.3507,1033.3507,1055.0029,0.0000,21.6522
mixtral8x7b,23375228868976,0,3,AGGREGATE forward all2all,1032.9901,1032.9901,1055.0066,0.0000,22.0164
mixtral8x7b,23375228863216,1,2,AGGREGATE forward all2all,1033.3507,1033.3507,1055.6013,0.0000,22.2506
mixtral8x7b,23375228851696,2,1,AGGREGATE forward all2all,1032.3136,1032.3136,1056.0054,0.0000,23.6918
mixtral8x7b,23375228868496,0,3,AGGREGATE forward all2all,1032.9901,1032.9901,1056.0069,0.0000,23.0168
mixtral8x7b,23375228851216,2,1,AGGREGATE forward all2all,1035.8436,1035.8436,1061.0024,0.0000,25.1588
mixtral8x7b,23375228849536,3,0,AGGREGATE backward all2all,1058.1359,1058.1359,1080.3766,0.0000,22.2407
mixtral8x7b,23375228869936,1,3,GROUP_BY forward all2all,1116.9040,1116.9040,1116.9058,0.0000,0.0018
mixtral8x7b,23375228869456,1,3,GROUP_BY forward all2all,1117.3114,1117.3114,1117.3132,0.0000,0.0018
mixtral8x7b,23375228855536,3,1,GROUP_BY forward all2all,1117.3255,1117.3255,1117.3273,0.0000,0.0018
mixtral8x7b,23375228863696,2,2,GROUP_BY forward all2all,1122.3051,1122.3051,1122.3069,0.0000,0.0018
mixtral8x7b,23375228864176,2,2,GROUP_BY forward all2all,1122.3051,1122.3051,1122.3069,0.0000,0.0018
mixtral8x7b,23375228855056,3,1,GROUP_BY forward all2all,1122.3225,1122.3225,1122.3243,0.0000,0.0018
mixtral8x7b,23375228850016,3,0,AGGREGATE backward all2all,1090.2661,1090.2661,1132.0017,0.0000,41.7357
mixtral8x7b,23375228843776,3,0,GROUP_BY backward all2all,1171.9530,1171.9530,1171.9549,0.0000,0.0018
mixtral8x7b,23375228870416,1,3,AGGREGATE forward all2all,1204.1687,1204.1687,1226.2058,0.0000,22.0370
mixtral8x7b,23375228870896,1,3,AGGREGATE forward all2all,1203.7613,1203.7613,1228.2487,0.0000,24.4873
mixtral8x7b,23375228858896,3,1,AGGREGATE forward all2all,1208.6954,1208.6954,1230.6418,0.0000,21.9464
mixtral8x7b,23375228865136,2,2,AGGREGATE forward all2all,1211.6535,1211.6535,1233.1529,0.0000,21.4995
mixtral8x7b,23375228864656,2,2,AGGREGATE forward all2all,1211.6535,1211.6535,1234.0055,0.0000,22.3520
mixtral8x7b,23375228859376,3,1,AGGREGATE forward all2all,1222.2631,1222.2631,1244.4647,0.0000,22.2016
mixtral8x7b,23375228844256,3,0,GROUP_BY backward all2all,1244.9515,1244.9515,1244.9533,0.0000,0.0018
mixtral8x7b,23375228844736,2,0,AGGREGATE backward all2all,1245.9164,1245.9164,1267.1588,0.0000,21.2424
mixtral8x7b,23375228871376,2,3,GROUP_BY forward all2all,1295.3082,1295.3082,1295.3100,0.0000,0.0018
mixtral8x7b,23375228871856,2,3,GROUP_BY forward all2all,1295.3082,1295.3082,1295.3100,0.0000,0.0018
mixtral8x7b,23375228859136,3,1,AGGREGATE backward all2all,1285.1791,1285.1791,1307.4521,0.0000,22.2730
mixtral8x7b,23375228865616,3,2,GROUP_BY forward all2all,1335.3819,1335.3819,1335.3837,0.0000,0.0018
mixtral8x7b,23375228866096,3,2,GROUP_BY forward all2all,1335.6785,1335.6785,1335.7046,0.0000,0.0261
mixtral8x7b,23375228845216,2,0,AGGREGATE backward all2all,1323.1816,1323.1816,1347.0018,0.0000,23.8202
mixtral8x7b,23375228859616,3,1,AGGREGATE backward all2all,1335.6371,1335.6371,1357.2696,0.0000,21.6326
mixtral8x7b,23375228845696,2,0,GROUP_BY backward all2all,1361.7023,1361.7023,1361.7042,0.0000,0.0018
mixtral8x7b,23375228855296,3,1,GROUP_BY backward all2all,1399.0286,1399.0286,1399.0304,0.0000,0.0018
mixtral8x7b,23375228872816,2,3,AGGREGATE forward all2all,1384.6565,1384.6565,1414.0041,0.0000,29.3475
mixtral8x7b,23375228872336,2,3,AGGREGATE forward all2all,1397.1708,1397.1708,1414.5764,0.0000,17.4056
mixtral8x7b,23375228846176,2,0,GROUP_BY backward all2all,1441.5454,1441.5454,1441.5472,0.0000,0.0018
mixtral8x7b,23375228866576,3,2,AGGREGATE forward all2all,1433.8298,1433.8298,1456.4069,0.0000,22.5771
mixtral8x7b,23375228846656,1,0,AGGREGATE backward all2all,1435.6661,1435.6661,1457.2340,0.0000,21.5679
mixtral8x7b,23375228855776,3,1,GROUP_BY backward all2all,1463.3442,1463.3442,1463.3460,0.0000,0.0018
mixtral8x7b,23375228867056,3,2,AGGREGATE forward all2all,1440.6404,1440.6404,1464.0019,0.0000,23.3615
mixtral8x7b,23375228851456,2,1,AGGREGATE backward all2all,1472.9920,1472.9920,1495.0075,0.0000,22.0156
mixtral8x7b,23375228866816,3,2,AGGREGATE backward all2all,1510.9443,1510.9443,1537.0053,0.0000,26.0610
mixtral8x7b,23375228847136,1,0,AGGREGATE backward all2all,1515.5091,1515.5091,1537.3173,0.0000,21.8082
