model,task_id,layer,mb,info,ready_ms,start_ms,finish_ms,wait_ms,duration_ms
llama-moe-6.7b,23375226857776,0,0,GROUP_BY forward all2all,12.4378,12.4378,13.0714,0.0000,0.6336
llama-moe-6.7b,23375226857296,0,0,GROUP_BY forward all2all,12.4378,12.4378,13.0714,0.0000,0.6336
llama-moe-6.7b,23375226873136,0,0,AGGREGATE forward all2all,21.9153,21.9153,22.7588,0.0000,0.8435
llama-moe-6.7b,23375226872656,0,0,AGGREGATE forward all2all,21.9153,21.9153,22.7588,0.0000,0.8435
llama-moe-6.7b,23375226864976,0,1,GROUP_BY forward all2all,35.2730,35.2730,35.9066,0.0000,0.6336
llama-moe-6.7b,23375226865456,0,1,GROUP_BY forward all2all,35.2730,35.2730,35.9066,0.0000,0.6336
llama-moe-6.7b,23375226856816,1,0,GROUP_BY forward all2all,35.2850,35.2850,35.9186,0.0000,0.6336
llama-moe-6.7b,23375226856336,1,0,GROUP_BY forward all2all,35.2850,35.2850,35.9186,0.0000,0.6336
llama-moe-6.7b,23375226853456,0,1,AGGREGATE forward all2all,44.7505,44.7505,45.5940,0.0000,0.8435
llama-moe-6.7b,23375226853936,0,1,AGGREGATE forward all2all,44.7505,44.7505,45.5940,0.0000,0.8435
llama-moe-6.7b,23375226855856,1,0,AGGREGATE forward all2all,44.7638,44.7638,45.6073,0.0000,0.8435
llama-moe-6.7b,23375226855376,1,0,AGGREGATE forward all2all,44.7638,44.7638,45.6073,0.0000,0.8435
llama-moe-6.7b,23375226846736,0,2,GROUP_BY forward all2all,58.1184,58.1184,58.7520,0.0000,0.6336
llama-moe-6.7b,23375226847216,0,2,GROUP_BY forward all2all,58.1184,58.1184,58.7520,0.0000,0.6336
llama-moe-6.7b,23375226852496,1,1,GROUP_BY forward all2all,58.1318,58.1318,58.7655,0.0000,0.6336
llama-moe-6.7b,23375226852976,1,1,GROUP_BY forward all2all,58.1318,58.1318,58.7655,0.0000,0.6336
llama-moe-6.7b,23375226854896,2,0,GROUP_BY forward all2all,58.1332,58.1332,58.7669,0.0000,0.6336
llama-moe-6.7b,23375226854416,2,0,GROUP_BY forward all2all,58.1332,58.1332,58.7669,0.0000,0.6336
llama-moe-6.7b,23375226846256,0,2,AGGREGATE forward all2all,67.5959,67.5959,68.4394,0.0000,0.8435
llama-moe-6.7b,23375226845776,0,2,AGGREGATE forward all2all,67.5959,67.5959,68.4394,0.0000,0.8435
llama-moe-6.7b,23375226851536,1,1,AGGREGATE forward all2all,67.6107,67.6107,68.4542,0.0000,0.8435
llama-moe-6.7b,23375226852016,1,1,AGGREGATE forward all2all,67.6107,67.6107,68.4542,0.0000,0.8435
llama-moe-6.7b,23375226860656,2,0,AGGREGATE forward all2all,67.6117,67.6117,68.4552,0.0000,0.8435
llama-moe-6.7b,23375226860176,2,0,AGGREGATE forward all2all,67.6117,67.6117,68.4552,0.0000,0.8435
llama-moe-6.7b,23375226859216,0,3,GROUP_BY forward all2all,80.9535,80.9535,81.5872,0.0000,0.6336
llama-moe-6.7b,23375226859696,0,3,GROUP_BY forward all2all,80.9535,80.9535,81.5872,0.0000,0.6336
