model,task_id,layer,mb,info,ready_ms,start_ms,finish_ms,wait_ms,duration_ms
mixtral8x7b,23375228847376,0,0,GROUP_BY forward all2all,12.4941,12.4941,29.4589,0.0000,16.9647
mixtral8x7b,23375228847856,0,0,GROUP_BY forward all2all,12.4941,12.4941,34.0682,0.0000,21.5741
mixtral8x7b,23375228854576,0,0,AGGREGATE forward all2all,69.0534,69.0534,91.0589,0.0000,22.0055
mixtral8x7b,23375228854096,0,0,AGGREGATE forward all2all,64.4441,64.4441,98.2601,0.0000,33.8161
mixtral8x7b,23375228853616,1,0,GROUP_BY forward all2all,103.7198,103.7198,125.2695,0.0000,21.5498
mixtral8x7b,23375228857936,0,1,GROUP_BY forward all2all,110.9184,110.9184,127.6309,0.0000,16.7125
mixtral8x7b,23375228858416,0,1,GROUP_BY forward all2all,110.9184,110.9184,132.2347,0.0000,21.3163
mixtral8x7b,23375228853136,1,0,GROUP_BY forward all2all,110.9210,110.9210,134.0044,0.0000,23.0834
mixtral8x7b,23375228846896,1,0,AGGREGATE forward all2all,160.2520,160.2520,182.6994,0.0000,22.4473
mixtral8x7b,23375228852176,0,1,AGGREGATE forward all2all,162.6161,162.6161,184.3051,0.0000,21.6891
mixtral8x7b,23375228852656,0,1,AGGREGATE forward all2all,167.2199,167.2199,189.2760,0.0000,22.0561
mixtral8x7b,23375228846416,1,0,AGGREGATE forward all2all,168.9869,168.9869,190.2697,0.0000,21.2828
mixtral8x7b,23375228845936,2,0,GROUP_BY forward all2all,195.3598,195.3598,219.0041,0.0000,23.6443
mixtral8x7b,23375228856976,1,1,GROUP_BY forward all2all,202.9288,202.9288,219.6611,0.0000,16.7323
mixtral8x7b,23375228859856,0,2,GROUP_BY forward all2all,201.9171,201.9171,223.2481,0.0000,21.3309
mixtral8x7b,23375228860336,0,2,GROUP_BY forward all2all,201.9171,201.9171,223.7866,0.0000,21.8695
mixtral8x7b,23375228857456,1,1,GROUP_BY forward all2all,202.9288,202.9288,224.4522,0.0000,21.5234
mixtral8x7b,23375228845456,2,0,GROUP_BY forward all2all,202.9302,202.9302,227.0033,0.0000,24.0731
mixtral8x7b,23375228861296,0,2,AGGREGATE forward all2all,258.7719,258.7719,280.4419,0.0000,21.6700
mixtral8x7b,23375228856016,1,1,AGGREGATE forward all2all,254.6436,254.6436,281.0046,0.0000,26.3610
mixtral8x7b,23375228856496,1,1,AGGREGATE forward all2all,259.4347,259.4347,281.3898,0.0000,21.9551
mixtral8x7b,23375228860816,0,2,AGGREGATE forward all2all,258.2333,258.2333,283.0050,0.0000,24.7717
mixtral8x7b,23375228844976,2,0,AGGREGATE forward all2all,253.9898,253.9898,283.0089,0.0000,29.0191
mixtral8x7b,23375228844496,2,0,AGGREGATE forward all2all,261.9890,261.9890,284.0050,0.0000,22.0160
mixtral8x7b,23375228862256,1,2,GROUP_BY forward all2all,294.0318,294.0318,316.2817,0.0000,22.2499
mixtral8x7b,23375228844016,3,0,GROUP_BY forward all2all,295.6683,295.6683,317.5162,0.0000,21.8479
mixtral8x7b,23375228868016,0,3,GROUP_BY forward all2all,295.6461,295.6461,318.0071,0.0000,22.3610
mixtral8x7b,23375228850256,2,1,GROUP_BY forward all2all,296.6463,296.6463,318.1760,0.0000,21.5296
mixtral8x7b,23375228850736,2,1,GROUP_BY forward all2all,296.6463,296.6463,318.9887,0.0000,22.3423
mixtral8x7b,23375228843536,3,0,GROUP_BY forward all2all,296.6644,296.6644,319.0062,0.0000,22.3418
mixtral8x7b,23375228867536,0,3,GROUP_BY forward all2all,295.6462,295.6462,321.0014,0.0000,25.3553
mixtral8x7b,23375228861776,1,2,GROUP_BY forward all2all,295.6488,295.6488,321.0056,0.0000,25.3568
mixtral8x7b,23375228849776,3,0,AGGREGATE forward all2all,352.4971,352.4971,374.2598,0.0000,21.7627
mixtral8x7b,23375228868976,0,3,AGGREGATE forward all2all,352.9923,352.9923,374.2747,0.0000,21.2823
mixtral8x7b,23375228851696,2,1,AGGREGATE forward all2all,353.9744,353.9744,375.2820,0.0000,21.3076
mixtral8x7b,23375228849296,3,0,AGGREGATE forward all2all,353.9871,353.9871,376.0020,0.0000,22.0150
mixtral8x7b,23375228851216,2,1,AGGREGATE forward all2all,353.1616,353.1616,376.0051,0.0000,22.8435
mixtral8x7b,23375228862736,1,2,AGGREGATE forward all2all,355.9881,355.9881,377.2322,0.0000,21.2442
mixtral8x7b,23375228868496,0,3,AGGREGATE forward all2all,355.9867,355.9867,377.2699,0.0000,21.2832
mixtral8x7b,23375228863216,1,2,AGGREGATE forward all2all,351.2642,351.2642,389.2657,0.0000,38.0015
mixtral8x7b,23375228850016,3,0,AGGREGATE backward all2all,379.5298,379.5298,401.8809,0.0000,22.3511
mixtral8x7b,23375228863696,2,2,GROUP_BY forward all2all,389.8756,389.8756,411.0640,0.0000,21.1884
mixtral8x7b,23375228855536,3,1,GROUP_BY forward all2all,393.3747,393.3747,411.7184,0.0000,18.3436
mixtral8x7b,23375228864176,2,2,GROUP_BY forward all2all,401.9091,401.9091,418.4562,0.0000,16.5471
mixtral8x7b,23375228869456,1,3,GROUP_BY forward all2all,401.9077,401.9077,423.1711,0.0000,21.2634
mixtral8x7b,23375228869936,1,3,GROUP_BY forward all2all,401.9077,401.9077,425.0032,0.0000,23.0955
mixtral8x7b,23375228855056,3,1,GROUP_BY forward all2all,393.6715,393.6715,430.0029,0.0000,36.3314
mixtral8x7b,23375228849536,3,0,AGGREGATE backward all2all,393.6134,393.6134,430.0062,0.0000,36.3928
mixtral8x7b,23375228864656,2,2,AGGREGATE forward all2all,446.0497,446.0497,468.3096,0.0000,22.2599
mixtral8x7b,23375228844256,3,0,GROUP_BY backward all2all,452.6841,452.6841,469.2704,0.0000,16.5863
