model,task_id,layer,mb,info,ready_ms,start_ms,finish_ms,wait_ms,duration_ms
mixtral8x7b,23375228847376,0,0,GROUP_BY forward all2all,12.4955,12.4955,34.2365,0.0000,21.7410
mixtral8x7b,23375228847856,0,0,GROUP_BY forward all2all,12.4955,12.4955,37.0022,0.0000,24.5067
mixtral8x7b,23375228854576,0,0,AGGREGATE forward all2all,78.0580,78.0580,94.4915,0.0000,16.4335
mixtral8x7b,23375228854096,0,0,AGGREGATE forward all2all,75.2923,75.2923,113.1835,0.0000,37.8913
mixtral8x7b,23375228853616,1,0,GROUP_BY forward all2all,107.1537,107.1537,124.0016,0.0000,16.8479
mixtral8x7b,23375228858416,0,1,GROUP_BY forward all2all,125.8432,125.8432,139.8029,0.0000,13.9598
mixtral8x7b,23375228857936,0,1,GROUP_BY forward all2all,125.8432,125.8432,148.0055,0.0000,22.1624
mixtral8x7b,23375228846896,1,0,AGGREGATE forward all2all,165.0547,165.0547,187.0791,0.0000,22.0244
mixtral8x7b,23375228852656,0,1,AGGREGATE forward all2all,180.8587,180.8587,203.0023,0.0000,22.1435
mixtral8x7b,23375228852176,0,1,AGGREGATE forward all2all,189.0613,189.0613,211.5608,0.0000,22.4995
mixtral8x7b,23375228845936,2,0,GROUP_BY forward all2all,199.7410,199.7410,215.2615,0.0000,15.5205
mixtral8x7b,23375228860336,0,2,GROUP_BY forward all2all,224.2033,224.2033,238.7997,0.0000,14.5963
mixtral8x7b,23375228859856,0,2,GROUP_BY forward all2all,224.2033,224.2033,247.0009,0.0000,22.7975
mixtral8x7b,23375228844976,2,0,AGGREGATE forward all2all,256.3177,256.3177,271.5695,0.0000,15.2517
mixtral8x7b,23375228844016,3,0,GROUP_BY forward all2all,284.2303,284.2303,299.0421,0.0000,14.8118
mixtral8x7b,23375228861296,0,2,AGGREGATE forward all2all,279.8554,279.8554,309.0022,0.0000,29.1467
mixtral8x7b,23375228860816,0,2,AGGREGATE forward all2all,288.0566,288.0566,312.0026,0.0000,23.9459
mixtral8x7b,23375228868016,0,3,GROUP_BY forward all2all,324.6451,324.6451,338.8375,0.0000,14.1925
mixtral8x7b,23375228867536,0,3,GROUP_BY forward all2all,324.6451,324.6451,347.0055,0.0000,22.3604
mixtral8x7b,23375228849776,3,0,AGGREGATE forward all2all,340.0935,340.0935,358.5259,0.0000,18.4324
mixtral8x7b,23375228850016,3,0,AGGREGATE backward all2all,365.1450,365.1450,381.3502,0.0000,16.2052
mixtral8x7b,23375228868976,0,3,AGGREGATE forward all2all,379.8933,379.8933,401.2618,0.0000,21.3685
