model,task_id,layer,mb,info,ready_ms,start_ms,finish_ms,wait_ms,duration_ms
llama-moe-6.7b,23375226857776,0,0,GROUP_BY forward all2all,12.4378,12.4378,25.3731,0.0000,12.9353
llama-moe-6.7b,23375226857296,0,0,GROUP_BY forward all2all,12.4378,12.4378,25.3731,0.0000,12.9353
llama-moe-6.7b,23375226873136,0,0,AGGREGATE forward all2all,34.2170,34.2170,45.4521,0.0000,11.2352
llama-moe-6.7b,23375226872656,0,0,AGGREGATE forward all2all,34.2170,34.2170,45.4521,0.0000,11.2352
llama-moe-6.7b,23375226864976,0,1,GROUP_BY forward all2all,57.9663,57.9663,70.9016,0.0000,12.9353
llama-moe-6.7b,23375226865456,0,1,GROUP_BY forward all2all,57.9663,57.9663,70.9016,0.0000,12.9353
llama-moe-6.7b,23375226856816,1,0,GROUP_BY forward all2all,57.9783,57.9783,70.9136,0.0000,12.9353
llama-moe-6.7b,23375226856336,1,0,GROUP_BY forward all2all,57.9783,57.9783,70.9136,0.0000,12.9353
llama-moe-6.7b,23375226853456,0,1,AGGREGATE forward all2all,79.7454,79.7454,90.9806,0.0000,11.2352
llama-moe-6.7b,23375226853936,0,1,AGGREGATE forward all2all,79.7454,79.7454,90.9806,0.0000,11.2352
llama-moe-6.7b,23375226855856,1,0,AGGREGATE forward all2all,79.7588,79.7588,90.9940,0.0000,11.2352
llama-moe-6.7b,23375226855376,1,0,AGGREGATE forward all2all,79.7588,79.7588,90.9940,0.0000,11.2352
llama-moe-6.7b,23375226846736,0,2,GROUP_BY forward all2all,103.5050,103.5050,116.4403,0.0000,12.9353
llama-moe-6.7b,23375226847216,0,2,GROUP_BY forward all2all,103.5050,103.5050,116.4403,0.0000,12.9353
llama-moe-6.7b,23375226852496,1,1,GROUP_BY forward all2all,103.5185,103.5185,116.4538,0.0000,12.9353
llama-moe-6.7b,23375226852976,1,1,GROUP_BY forward all2all,103.5185,103.5185,116.4538,0.0000,12.9353
llama-moe-6.7b,23375226854896,2,0,GROUP_BY forward all2all,103.5199,103.5199,116.4551,0.0000,12.9353
llama-moe-6.7b,23375226854416,2,0,GROUP_BY forward all2all,103.5199,103.5199,116.4552,0.0000,12.9353
llama-moe-6.7b,23375226845776,0,2,AGGREGATE forward all2all,125.2841,125.2841,136.5193,0.0000,11.2352
llama-moe-6.7b,23375226846256,0,2,AGGREGATE forward all2all,125.2841,125.2841,136.5193,0.0000,11.2352
llama-moe-6.7b,23375226851536,1,1,AGGREGATE forward all2all,125.2990,125.2990,136.5342,0.0000,11.2352
llama-moe-6.7b,23375226852016,1,1,AGGREGATE forward all2all,125.2990,125.2990,136.5342,0.0000,11.2352
llama-moe-6.7b,23375226860656,2,0,AGGREGATE forward all2all,125.3000,125.3000,136.5352,0.0000,11.2352
llama-moe-6.7b,23375226860176,2,0,AGGREGATE forward all2all,125.3001,125.3001,136.5353,0.0000,11.2352
llama-moe-6.7b,23375226859216,0,3,GROUP_BY forward all2all,149.0335,149.0335,161.9687,0.0000,12.9353
llama-moe-6.7b,23375226859696,0,3,GROUP_BY forward all2all,149.0335,149.0335,161.9687,0.0000,12.9353
llama-moe-6.7b,23375226861616,3,0,GROUP_BY forward all2all,149.0513,149.0513,161.9866,0.0000,12.9353
llama-moe-6.7b,23375226861136,3,0,GROUP_BY forward all2all,149.0514,149.0514,161.9867,0.0000,12.9353
llama-moe-6.7b,23375226844816,1,2,GROUP_BY forward all2all,149.0587,149.0587,161.9939,0.0000,12.9353
llama-moe-6.7b,23375226845296,1,2,GROUP_BY forward all2all,149.0587,149.0587,161.9939,0.0000,12.9353
llama-moe-6.7b,23375226851056,2,1,GROUP_BY forward all2all,149.0601,149.0601,161.9953,0.0000,12.9353
llama-moe-6.7b,23375226850576,2,1,GROUP_BY forward all2all,149.0601,149.0601,161.9954,0.0000,12.9353
llama-moe-6.7b,23375226862096,0,3,AGGREGATE forward all2all,170.8126,170.8126,182.0478,0.0000,11.2352
llama-moe-6.7b,23375226862576,0,3,AGGREGATE forward all2all,170.8126,170.8126,182.0478,0.0000,11.2352
llama-moe-6.7b,23375226864496,3,0,AGGREGATE forward all2all,170.8294,170.8294,182.0646,0.0000,11.2352
llama-moe-6.7b,23375226864016,3,0,AGGREGATE forward all2all,170.8295,170.8295,182.0647,0.0000,11.2352
llama-moe-6.7b,23375226874576,1,2,AGGREGATE forward all2all,170.8392,170.8392,182.0743,0.0000,11.2352
llama-moe-6.7b,23375226875056,1,2,AGGREGATE forward all2all,170.8392,170.8392,182.0743,0.0000,11.2352
llama-moe-6.7b,23375226850096,2,1,AGGREGATE forward all2all,170.8402,170.8402,182.0754,0.0000,11.2352
