model,task_id,layer,mb,info,ready_ms,start_ms,finish_ms,wait_ms,duration_ms
llama-moe-6.7b,23375226857776,0,0,GROUP_BY forward all2all,12.4378,12.4378,14.2116,0.0000,1.7738
llama-moe-6.7b,23375226857296,0,0,GROUP_BY forward all2all,12.4378,12.4378,14.2237,0.0000,1.7859
llama-moe-6.7b,23375226873136,0,0,AGGREGATE forward all2all,23.0555,23.0555,24.8754,0.0000,1.8199
llama-moe-6.7b,23375226872656,0,0,AGGREGATE forward all2all,23.0675,23.0675,24.8896,0.0000,1.8221
llama-moe-6.7b,23375226864976,0,1,GROUP_BY forward all2all,37.4037,37.4037,39.1921,0.0000,1.7883
llama-moe-6.7b,23375226865456,0,1,GROUP_BY forward all2all,37.4037,37.4037,39.2109,0.0000,1.8071
llama-moe-6.7b,23375226856816,1,0,GROUP_BY forward all2all,37.4058,37.4058,39.2123,0.0000,1.8064
llama-moe-6.7b,23375226856336,1,0,GROUP_BY forward all2all,37.4201,37.4201,39.2423,0.0000,1.8222
llama-moe-6.7b,23375226853456,0,1,AGGREGATE forward all2all,48.0360,48.0360,49.8199,0.0000,1.7839
llama-moe-6.7b,23375226853936,0,1,AGGREGATE forward all2all,48.0548,48.0548,49.8768,0.0000,1.8221
llama-moe-6.7b,23375226855856,1,0,AGGREGATE forward all2all,48.0575,48.0575,49.8801,0.0000,1.8226
llama-moe-6.7b,23375226855376,1,0,AGGREGATE forward all2all,48.0875,48.0875,49.9098,0.0000,1.8223
llama-moe-6.7b,23375226847216,0,2,GROUP_BY forward all2all,62.4012,62.4012,64.1998,0.0000,1.7986
llama-moe-6.7b,23375226852976,1,1,GROUP_BY forward all2all,62.4343,62.4343,64.2243,0.0000,1.7900
llama-moe-6.7b,23375226854896,2,0,GROUP_BY forward all2all,62.4103,62.4103,64.2324,0.0000,1.8221
llama-moe-6.7b,23375226846736,0,2,GROUP_BY forward all2all,62.4012,62.4012,64.2440,0.0000,1.8429
llama-moe-6.7b,23375226852496,1,1,GROUP_BY forward all2all,62.4343,62.4343,64.2493,0.0000,1.8150
llama-moe-6.7b,23375226854416,2,0,GROUP_BY forward all2all,62.4400,62.4400,64.2622,0.0000,1.8222
llama-moe-6.7b,23375226846256,0,2,AGGREGATE forward all2all,73.0436,73.0436,74.8536,0.0000,1.8100
llama-moe-6.7b,23375226860656,2,0,AGGREGATE forward all2all,73.0772,73.0772,74.8891,0.0000,1.8119
