model,task_id,layer,mb,info,ready_ms,start_ms,finish_ms,wait_ms,duration_ms
mixtral8x7b,23375228847376,0,0,GROUP_BY forward all2all,12.4926,12.4926,23.3817,0.0000,10.8891
mixtral8x7b,23375228847856,0,0,GROUP_BY forward all2all,12.4926,12.4926,25.4867,0.0000,12.9940
mixtral8x7b,23375228854096,0,0,AGGREGATE forward all2all,60.1705,60.1705,72.5799,0.0000,12.4095
mixtral8x7b,23375228854576,0,0,AGGREGATE forward all2all,62.2754,62.2754,75.3885,0.0000,13.1130
mixtral8x7b,23375228853136,1,0,GROUP_BY forward all2all,85.2438,85.2438,98.4671,0.0000,13.2233
mixtral8x7b,23375228853616,1,0,GROUP_BY forward all2all,88.0523,88.0523,100.2315,0.0000,12.1792
mixtral8x7b,23375228857936,0,1,GROUP_BY forward all2all,88.0449,88.0449,100.8335,0.0000,12.7886
mixtral8x7b,23375228858416,0,1,GROUP_BY forward all2all,88.0449,88.0449,101.9360,0.0000,13.8911
mixtral8x7b,23375228846416,1,0,AGGREGATE forward all2all,135.2531,135.2531,149.2376,0.0000,13.9845
mixtral8x7b,23375228846896,1,0,AGGREGATE forward all2all,137.0175,137.0175,149.2821,0.0000,12.2646
mixtral8x7b,23375228852656,0,1,AGGREGATE forward all2all,138.7247,138.7247,150.5504,0.0000,11.8256
mixtral8x7b,23375228852176,0,1,AGGREGATE forward all2all,137.6223,137.6223,152.3589,0.0000,14.7366
mixtral8x7b,23375228845456,2,0,GROUP_BY forward all2all,161.9010,161.9010,172.5187,0.0000,10.6177
mixtral8x7b,23375228845936,2,0,GROUP_BY forward all2all,161.9455,161.9455,173.8164,0.0000,11.8708
mixtral8x7b,23375228857456,1,1,GROUP_BY forward all2all,163.2142,163.2142,178.1428,0.0000,14.9285
mixtral8x7b,23375228860336,0,2,GROUP_BY forward all2all,164.9983,164.9983,178.2034,0.0000,13.2052
mixtral8x7b,23375228856976,1,1,GROUP_BY forward all2all,165.0227,165.0227,178.3296,0.0000,13.3068
mixtral8x7b,23375228859856,0,2,GROUP_BY forward all2all,164.9983,164.9983,178.9174,0.0000,13.9191
mixtral8x7b,23375228844976,2,0,AGGREGATE forward all2all,210.6056,210.6056,220.6666,0.0000,10.0610
mixtral8x7b,23375228844496,2,0,AGGREGATE forward all2all,209.3080,209.3080,222.0242,0.0000,12.7162
mixtral8x7b,23375228856016,1,1,AGGREGATE forward all2all,215.1156,215.1156,225.7374,0.0000,10.6218
mixtral8x7b,23375228856496,1,1,AGGREGATE forward all2all,214.9288,214.9288,226.7746,0.0000,11.8458
mixtral8x7b,23375228861296,0,2,AGGREGATE forward all2all,214.9922,214.9922,227.6100,0.0000,12.6178
mixtral8x7b,23375228860816,0,2,AGGREGATE forward all2all,215.7062,215.7062,230.6664,0.0000,14.9602
mixtral8x7b,23375228843536,3,0,GROUP_BY forward all2all,234.6866,234.6866,246.2822,0.0000,11.5957
mixtral8x7b,23375228844016,3,0,GROUP_BY forward all2all,233.3290,233.3290,247.2088,0.0000,13.8798
mixtral8x7b,23375228850256,2,1,GROUP_BY forward all2all,238.3836,238.3836,249.7247,0.0000,11.3411
mixtral8x7b,23375228850736,2,1,GROUP_BY forward all2all,239.4209,239.4209,251.5651,0.0000,12.1442
mixtral8x7b,23375228862256,1,2,GROUP_BY forward all2all,240.2567,240.2567,253.2547,0.0000,12.9980
mixtral8x7b,23375228867536,0,3,GROUP_BY forward all2all,243.3058,243.3058,254.7719,0.0000,11.4661
mixtral8x7b,23375228868016,0,3,GROUP_BY forward all2all,243.3058,243.3058,256.3866,0.0000,13.0809
mixtral8x7b,23375228861776,1,2,GROUP_BY forward all2all,243.3131,243.3131,256.5021,0.0000,13.1890
mixtral8x7b,23375228849776,3,0,AGGREGATE forward all2all,283.9932,283.9932,295.5366,0.0000,11.5433
mixtral8x7b,23375228849296,3,0,AGGREGATE forward all2all,283.0667,283.0667,296.8450,0.0000,13.7783
mixtral8x7b,23375228851216,2,1,AGGREGATE forward all2all,286.5140,286.5140,299.1077,0.0000,12.5937
mixtral8x7b,23375228851696,2,1,AGGREGATE forward all2all,288.3544,288.3544,299.5585,0.0000,11.2042
