model,task_id,layer,mb,info,ready_ms,start_ms,finish_ms,wait_ms,duration_ms
llama-moe-6.7b,23375226857776,0,0,GROUP_BY forward all2all,12.4378,12.4378,12.8159,0.0000,0.3781
llama-moe-6.7b,23375226857296,0,0,GROUP_BY forward all2all,12.4378,12.4378,12.8159,0.0000,0.3781
llama-moe-6.7b,23375226873136,0,0,AGGREGATE forward all2all,21.6598,21.6598,22.0380,0.0000,0.3781
llama-moe-6.7b,23375226872656,0,0,AGGREGATE forward all2all,21.6598,21.6598,22.0380,0.0000,0.3781
llama-moe-6.7b,23375226864976,0,1,GROUP_BY forward all2all,34.5521,34.5521,34.9303,0.0000,0.3781
llama-moe-6.7b,23375226865456,0,1,GROUP_BY forward all2all,34.5521,34.5521,34.9303,0.0000,0.3781
llama-moe-6.7b,23375226856816,1,0,GROUP_BY forward all2all,34.5644,34.5644,34.9426,0.0000,0.3781
llama-moe-6.7b,23375226856336,1,0,GROUP_BY forward all2all,34.5644,34.5644,34.9426,0.0000,0.3781
llama-moe-6.7b,23375226853456,0,1,AGGREGATE forward all2all,43.7741,43.7741,44.1523,0.0000,0.3781
llama-moe-6.7b,23375226853936,0,1,AGGREGATE forward all2all,43.7741,43.7741,44.1523,0.0000,0.3781
llama-moe-6.7b,23375226855856,1,0,AGGREGATE forward all2all,43.7878,43.7878,44.1659,0.0000,0.3781
llama-moe-6.7b,23375226855376,1,0,AGGREGATE forward all2all,43.7878,43.7878,44.1659,0.0000,0.3781
llama-moe-6.7b,23375226846736,0,2,GROUP_BY forward all2all,56.6767,56.6767,57.0548,0.0000,0.3781
llama-moe-6.7b,23375226847216,0,2,GROUP_BY forward all2all,56.6767,56.6767,57.0548,0.0000,0.3781
llama-moe-6.7b,23375226852496,1,1,GROUP_BY forward all2all,56.6905,56.6905,57.0686,0.0000,0.3781
llama-moe-6.7b,23375226852976,1,1,GROUP_BY forward all2all,56.6905,56.6905,57.0686,0.0000,0.3781
llama-moe-6.7b,23375226854896,2,0,GROUP_BY forward all2all,56.6922,56.6922,57.0703,0.0000,0.3781
llama-moe-6.7b,23375226854416,2,0,GROUP_BY forward all2all,56.6922,56.6922,57.0703,0.0000,0.3781
llama-moe-6.7b,23375226845776,0,2,AGGREGATE forward all2all,65.8987,65.8987,66.2768,0.0000,0.3781
llama-moe-6.7b,23375226846256,0,2,AGGREGATE forward all2all,65.8987,65.8987,66.2768,0.0000,0.3781
llama-moe-6.7b,23375226851536,1,1,AGGREGATE forward all2all,65.9138,65.9138,66.2920,0.0000,0.3781
llama-moe-6.7b,23375226852016,1,1,AGGREGATE forward all2all,65.9138,65.9138,66.2920,0.0000,0.3781
llama-moe-6.7b,23375226860656,2,0,AGGREGATE forward all2all,65.9152,65.9152,66.2933,0.0000,0.3781
llama-moe-6.7b,23375226860176,2,0,AGGREGATE forward all2all,65.9152,65.9152,66.2933,0.0000,0.3781
llama-moe-6.7b,23375226859216,0,3,GROUP_BY forward all2all,78.7910,78.7910,79.1691,0.0000,0.3781
llama-moe-6.7b,23375226859696,0,3,GROUP_BY forward all2all,78.7910,78.7910,79.1691,0.0000,0.3781
llama-moe-6.7b,23375226861616,3,0,GROUP_BY forward all2all,78.8098,78.8098,79.1879,0.0000,0.3781
llama-moe-6.7b,23375226861136,3,0,GROUP_BY forward all2all,78.8098,78.8098,79.1879,0.0000,0.3781
llama-moe-6.7b,23375226844816,1,2,GROUP_BY forward all2all,78.8165,78.8165,79.1946,0.0000,0.3781
llama-moe-6.7b,23375226845296,1,2,GROUP_BY forward all2all,78.8165,78.8165,79.1946,0.0000,0.3781
llama-moe-6.7b,23375226850576,2,1,GROUP_BY forward all2all,78.8182,78.8182,79.1964,0.0000,0.3781
llama-moe-6.7b,23375226851056,2,1,GROUP_BY forward all2all,78.8182,78.8182,79.1964,0.0000,0.3781
llama-moe-6.7b,23375226862096,0,3,AGGREGATE forward all2all,88.0130,88.0130,88.3911,0.0000,0.3781
llama-moe-6.7b,23375226862576,0,3,AGGREGATE forward all2all,88.0130,88.0130,88.3911,0.0000,0.3781
llama-moe-6.7b,23375226864496,3,0,AGGREGATE forward all2all,88.0307,88.0307,88.4089,0.0000,0.3781
llama-moe-6.7b,23375226864016,3,0,AGGREGATE forward all2all,88.0307,88.0307,88.4089,0.0000,0.3781
llama-moe-6.7b,23375226874576,1,2,AGGREGATE forward all2all,88.0398,88.0398,88.4180,0.0000,0.3781
llama-moe-6.7b,23375226875056,1,2,AGGREGATE forward all2all,88.0398,88.0398,88.4180,0.0000,0.3781
llama-moe-6.7b,23375226849616,2,1,AGGREGATE forward all2all,88.0412,88.0412,88.4194,0.0000,0.3781
llama-moe-6.7b,23375226850096,2,1,AGGREGATE forward all2all,88.0412,88.0412,88.4194,0.0000,0.3781
llama-moe-6.7b,23375226863056,1,3,GROUP_BY forward all2all,100.9321,100.9321,101.3103,0.0000,0.3781
llama-moe-6.7b,23375226863536,1,3,GROUP_BY forward all2all,100.9321,100.9321,101.3103,0.0000,0.3781
llama-moe-6.7b,23375226873616,2,2,GROUP_BY forward all2all,100.9442,100.9442,101.3224,0.0000,0.3781
llama-moe-6.7b,23375226874096,2,2,GROUP_BY forward all2all,100.9442,100.9442,101.3224,0.0000,0.3781
llama-moe-6.7b,23375226849136,3,1,GROUP_BY forward all2all,109.5527,109.5527,110.1873,0.0000,0.6346
llama-moe-6.7b,23375226848656,3,1,GROUP_BY forward all2all,109.5527,109.5527,110.2210,0.0000,0.6683
llama-moe-6.7b,23375226864736,3,0,AGGREGATE backward all2all,109.4840,109.4840,110.3275,0.0000,0.8435
llama-moe-6.7b,23375226864256,3,0,AGGREGATE backward all2all,109.4855,109.4855,110.3290,0.0000,0.8435
llama-moe-6.7b,23375226869776,1,3,AGGREGATE forward all2all,110.1555,110.1555,110.5337,0.0000,0.3781
llama-moe-6.7b,23375226870256,1,3,AGGREGATE forward all2all,110.1555,110.1555,110.5337,0.0000,0.3781
llama-moe-6.7b,23375226871696,2,2,AGGREGATE forward all2all,110.1672,110.1672,110.5454,0.0000,0.3781
llama-moe-6.7b,23375226872176,2,2,AGGREGATE forward all2all,110.1672,110.1672,110.5454,0.0000,0.3781
llama-moe-6.7b,23375226848176,3,1,AGGREGATE forward all2all,121.5170,121.5170,121.8952,0.0000,0.3781
llama-moe-6.7b,23375226847696,3,1,AGGREGATE forward all2all,121.5506,121.5506,121.9288,0.0000,0.3781
llama-moe-6.7b,23375226868816,2,3,GROUP_BY forward all2all,123.0696,123.0696,123.4478,0.0000,0.3781
llama-moe-6.7b,23375226869296,2,3,GROUP_BY forward all2all,123.0696,123.0696,123.4478,0.0000,0.3781
llama-moe-6.7b,23375226861856,3,0,GROUP_BY backward all2all,123.7128,123.7128,124.0909,0.0000,0.3781
llama-moe-6.7b,23375226861376,3,0,GROUP_BY backward all2all,123.7464,123.7464,124.1246,0.0000,0.3781
llama-moe-6.7b,23375226867856,2,3,AGGREGATE forward all2all,132.2926,132.2926,132.6708,0.0000,0.3781
llama-moe-6.7b,23375226868336,2,3,AGGREGATE forward all2all,132.2926,132.2926,132.6708,0.0000,0.3781
llama-moe-6.7b,23375226848416,3,1,AGGREGATE backward all2all,144.8362,144.8362,145.6797,0.0000,0.8435
llama-moe-6.7b,23375226847936,3,1,AGGREGATE backward all2all,144.9448,144.9448,145.7883,0.0000,0.8435
llama-moe-6.7b,23375226860896,2,0,AGGREGATE backward all2all,169.8334,169.8334,170.6769,0.0000,0.8435
llama-moe-6.7b,23375226860416,2,0,AGGREGATE backward all2all,169.9206,169.9206,170.7641,0.0000,0.8435
llama-moe-6.7b,23375226871216,3,2,GROUP_BY forward all2all,172.2326,172.2326,172.6108,0.0000,0.3781
llama-moe-6.7b,23375226870736,3,2,GROUP_BY forward all2all,172.2655,172.2655,172.6436,0.0000,0.3781
llama-moe-6.7b,23375226849376,3,1,GROUP_BY backward all2all,174.4291,174.4291,174.8072,0.0000,0.3781
llama-moe-6.7b,23375226848896,3,1,GROUP_BY backward all2all,174.4627,174.4627,174.8409,0.0000,0.3781
llama-moe-6.7b,23375226855136,2,0,GROUP_BY backward all2all,175.3621,175.3621,175.7403,0.0000,0.3781
llama-moe-6.7b,23375226854656,2,0,GROUP_BY backward all2all,175.4493,175.4493,175.8275,0.0000,0.3781
llama-moe-6.7b,23375226858736,3,2,AGGREGATE forward all2all,183.2713,183.2713,183.6494,0.0000,0.3781
llama-moe-6.7b,23375226858256,3,2,AGGREGATE forward all2all,183.3049,183.3049,183.6831,0.0000,0.3781
llama-moe-6.7b,23375226856096,1,0,AGGREGATE backward all2all,200.7811,200.7811,201.6246,0.0000,0.8435
llama-moe-6.7b,23375226855616,1,0,AGGREGATE backward all2all,200.8683,200.8683,201.7118,0.0000,0.8435
llama-moe-6.7b,23375226857056,1,0,GROUP_BY backward all2all,206.3094,206.3094,206.6875,0.0000,0.3781
llama-moe-6.7b,23375226856576,1,0,GROUP_BY backward all2all,206.3966,206.3966,206.7748,0.0000,0.3781
llama-moe-6.7b,23375226850336,2,1,AGGREGATE backward all2all,208.3118,208.3118,209.1554,0.0000,0.8435
llama-moe-6.7b,23375226849856,2,1,AGGREGATE backward all2all,208.3455,208.3455,209.1890,0.0000,0.8435
llama-moe-6.7b,23375226851296,2,1,GROUP_BY backward all2all,213.8406,213.8406,214.2187,0.0000,0.3781
llama-moe-6.7b,23375226850816,2,1,GROUP_BY backward all2all,213.8742,213.8742,214.2524,0.0000,0.3781
llama-moe-6.7b,23375226866416,3,3,GROUP_BY forward all2all,229.2941,229.2941,229.9212,0.0000,0.6271
llama-moe-6.7b,23375226858976,3,2,AGGREGATE backward all2all,229.1606,229.1606,230.0041,0.0000,0.8435
llama-moe-6.7b,23375226865936,3,3,GROUP_BY forward all2all,229.3277,229.3277,230.0050,0.0000,0.6773
llama-moe-6.7b,23375226858496,3,2,AGGREGATE backward all2all,229.2707,229.2707,230.1142,0.0000,0.8435
llama-moe-6.7b,23375226873376,0,0,AGGREGATE backward all2all,231.7282,231.7282,232.5717,0.0000,0.8435
llama-moe-6.7b,23375226872896,0,0,AGGREGATE backward all2all,231.8155,231.8155,232.6590,0.0000,0.8435
llama-moe-6.7b,23375226858016,0,0,GROUP_BY backward all2all,237.2559,237.2559,237.6341,0.0000,0.3781
llama-moe-6.7b,23375226857536,0,0,GROUP_BY backward all2all,237.3432,237.3432,237.7213,0.0000,0.3781
llama-moe-6.7b,23375226852256,1,1,AGGREGATE backward all2all,239.2596,239.2596,240.1031,0.0000,0.8435
llama-moe-6.7b,23375226851776,1,1,AGGREGATE backward all2all,239.2932,239.2932,240.1367,0.0000,0.8435
llama-moe-6.7b,23375226867376,3,3,AGGREGATE forward all2all,241.2509,241.2509,241.6290,0.0000,0.3781
llama-moe-6.7b,23375226866896,3,3,AGGREGATE forward all2all,241.3347,241.3347,241.7128,0.0000,0.3781
llama-moe-6.7b,23375226871456,3,2,GROUP_BY backward all2all,243.4467,243.4467,243.8248,0.0000,0.3781
llama-moe-6.7b,23375226870976,3,2,GROUP_BY backward all2all,243.5305,243.5305,243.9086,0.0000,0.3781
llama-moe-6.7b,23375226853216,1,1,GROUP_BY backward all2all,244.7879,244.7879,245.1660,0.0000,0.3781
llama-moe-6.7b,23375226852736,1,1,GROUP_BY backward all2all,244.8215,244.8215,245.1996,0.0000,0.3781
llama-moe-6.7b,23375226867616,3,3,AGGREGATE backward all2all,252.2621,252.2621,253.1056,0.0000,0.8435
llama-moe-6.7b,23375226867136,3,3,AGGREGATE backward all2all,252.3459,252.3459,253.1894,0.0000,0.8435
llama-moe-6.7b,23375226854176,0,1,AGGREGATE backward all2all,270.2067,270.2067,271.0502,0.0000,0.8435
llama-moe-6.7b,23375226853696,0,1,AGGREGATE backward all2all,270.2403,270.2403,271.0838,0.0000,0.8435
llama-moe-6.7b,23375226865696,0,1,GROUP_BY backward all2all,275.7344,275.7344,276.1126,0.0000,0.3781
llama-moe-6.7b,23375226865216,0,1,GROUP_BY backward all2all,275.7680,275.7680,276.1462,0.0000,0.3781
llama-moe-6.7b,23375226872416,2,2,AGGREGATE backward all2all,277.1828,277.1828,278.0263,0.0000,0.8435
llama-moe-6.7b,23375226871936,2,2,AGGREGATE backward all2all,277.2666,277.2666,278.1101,0.0000,0.8435
llama-moe-6.7b,23375226866656,3,3,GROUP_BY backward all2all,281.7147,281.7147,282.0928,0.0000,0.3781
llama-moe-6.7b,23375226866176,3,3,GROUP_BY backward all2all,281.7985,281.7985,282.1766,0.0000,0.3781
llama-moe-6.7b,23375226874336,2,2,GROUP_BY backward all2all,282.7115,282.7115,283.0897,0.0000,0.3781
llama-moe-6.7b,23375226873856,2,2,GROUP_BY backward all2all,282.7953,282.7953,283.1735,0.0000,0.3781
llama-moe-6.7b,23375226868576,2,3,AGGREGATE backward all2all,308.1304,308.1304,308.9739,0.0000,0.8435
llama-moe-6.7b,23375226875296,1,2,AGGREGATE backward all2all,308.1305,308.1305,308.9740,0.0000,0.8435
llama-moe-6.7b,23375226868096,2,3,AGGREGATE backward all2all,308.2142,308.2142,309.0577,0.0000,0.8435
llama-moe-6.7b,23375226874816,1,2,AGGREGATE backward all2all,308.2143,308.2143,309.0578,0.0000,0.8435
llama-moe-6.7b,23375226845536,1,2,GROUP_BY backward all2all,313.6588,313.6588,314.0370,0.0000,0.3781
llama-moe-6.7b,23375226869536,2,3,GROUP_BY backward all2all,313.6591,313.6591,314.0373,0.0000,0.3781
llama-moe-6.7b,23375226845056,1,2,GROUP_BY backward all2all,313.7426,313.7426,314.1207,0.0000,0.3781
llama-moe-6.7b,23375226869056,2,3,GROUP_BY backward all2all,313.7429,313.7429,314.1211,0.0000,0.3781
llama-moe-6.7b,23375226846496,0,2,AGGREGATE backward all2all,339.0777,339.0777,339.9212,0.0000,0.8435
llama-moe-6.7b,23375226870496,1,3,AGGREGATE backward all2all,339.0781,339.0781,339.9216,0.0000,0.8435
llama-moe-6.7b,23375226846016,0,2,AGGREGATE backward all2all,339.1614,339.1614,340.0049,0.0000,0.8435
llama-moe-6.7b,23375226870016,1,3,AGGREGATE backward all2all,339.1619,339.1619,340.0054,0.0000,0.8435
llama-moe-6.7b,23375226847456,0,2,GROUP_BY backward all2all,344.6054,344.6054,344.9835,0.0000,0.3781
llama-moe-6.7b,23375226863776,1,3,GROUP_BY backward all2all,344.6064,344.6064,344.9846,0.0000,0.3781
llama-moe-6.7b,23375226846976,0,2,GROUP_BY backward all2all,344.6892,344.6892,345.0673,0.0000,0.3781
llama-moe-6.7b,23375226863296,1,3,GROUP_BY backward all2all,344.6902,344.6902,345.0684,0.0000,0.3781
llama-moe-6.7b,23375226862816,0,3,AGGREGATE backward all2all,370.0253,370.0253,370.8688,0.0000,0.8435
llama-moe-6.7b,23375226862336,0,3,AGGREGATE backward all2all,370.1091,370.1091,370.9526,0.0000,0.8435
llama-moe-6.7b,23375226859936,0,3,GROUP_BY backward all2all,375.5530,375.5530,375.9311,0.0000,0.3781
llama-moe-6.7b,23375226859456,0,3,GROUP_BY backward all2all,375.6368,375.6368,376.0149,0.0000,0.3781
# llama-moe-6.7b: rounds=128 mean=0.503 ms median=0.378 ms max=0.844 ms fwd_mean=0.395 bwd_mean=0.611 serialized_chain_rounds=43 makespan_ms=376.015
