model,task_id,layer,mb,info,ready_ms,start_ms,finish_ms,wait_ms,duration_ms
mixtral8x7b,23375228847376,0,0,GROUP_BY forward all2all,12.4926,12.4926,12.5884,0.0000,0.0958
mixtral8x7b,23375228847856,0,0,GROUP_BY forward all2all,12.4926,12.4926,12.5884,0.0000,0.0958
mixtral8x7b,23375228854096,0,0,AGGREGATE forward all2all,49.3772,49.3772,49.4730,0.0000,0.0958
mixtral8x7b,23375228854576,0,0,AGGREGATE forward all2all,49.3772,49.3772,49.4730,0.0000,0.0958
mixtral8x7b,23375228857936,0,1,GROUP_BY forward all2all,62.1295,62.1295,62.2253,0.0000,0.0958
mixtral8x7b,23375228858416,0,1,GROUP_BY forward all2all,62.1295,62.1295,62.2253,0.0000,0.0958
mixtral8x7b,23375228853136,1,0,GROUP_BY forward all2all,62.1326,62.1326,62.2284,0.0000,0.0958
mixtral8x7b,23375228853616,1,0,GROUP_BY forward all2all,62.1326,62.1326,62.2284,0.0000,0.0958
mixtral8x7b,23375228852176,0,1,AGGREGATE forward all2all,99.0140,99.0140,99.1099,0.0000,0.0958
mixtral8x7b,23375228852656,0,1,AGGREGATE forward all2all,99.0140,99.0140,99.1099,0.0000,0.0958
mixtral8x7b,23375228846416,1,0,AGGREGATE forward all2all,99.0144,99.0144,99.1102,0.0000,0.0958
mixtral8x7b,23375228846896,1,0,AGGREGATE forward all2all,99.0144,99.0144,99.1102,0.0000,0.0958
mixtral8x7b,23375228859856,0,2,GROUP_BY forward all2all,111.7492,111.7492,111.8450,0.0000,0.0958
mixtral8x7b,23375228860336,0,2,GROUP_BY forward all2all,111.7492,111.7492,111.8450,0.0000,0.0958
mixtral8x7b,23375228845456,2,0,GROUP_BY forward all2all,111.7694,111.7694,111.8652,0.0000,0.0958
mixtral8x7b,23375228845936,2,0,GROUP_BY forward all2all,111.7694,111.7694,111.8652,0.0000,0.0958
mixtral8x7b,23375228856976,1,1,GROUP_BY forward all2all,111.7694,111.7694,111.8652,0.0000,0.0958
mixtral8x7b,23375228857456,1,1,GROUP_BY forward all2all,111.7694,111.7694,111.8652,0.0000,0.0958
mixtral8x7b,23375228860816,0,2,AGGREGATE forward all2all,148.6338,148.6338,148.7296,0.0000,0.0958
mixtral8x7b,23375228861296,0,2,AGGREGATE forward all2all,148.6338,148.6338,148.7296,0.0000,0.0958
mixtral8x7b,23375228856016,1,1,AGGREGATE forward all2all,148.6513,148.6513,148.7471,0.0000,0.0958
mixtral8x7b,23375228856496,1,1,AGGREGATE forward all2all,148.6513,148.6513,148.7471,0.0000,0.0958
mixtral8x7b,23375228844496,2,0,AGGREGATE forward all2all,148.6545,148.6545,148.7503,0.0000,0.0958
mixtral8x7b,23375228844976,2,0,AGGREGATE forward all2all,148.6545,148.6545,148.7503,0.0000,0.0958
mixtral8x7b,23375228867536,0,3,GROUP_BY forward all2all,161.3689,161.3689,161.4647,0.0000,0.0958
mixtral8x7b,23375228868016,0,3,GROUP_BY forward all2all,161.3689,161.3689,161.4647,0.0000,0.0958
mixtral8x7b,23375228861776,1,2,GROUP_BY forward all2all,161.3875,161.3875,161.4833,0.0000,0.0958
