model,task_id,layer,mb,info,ready_ms,start_ms,finish_ms,wait_ms,duration_ms
qwen-moe-14.3b,23375247681136,0,0,GROUP_BY forward all2all,4.1359,4.1359,14.1315,0.0000,9.9957
qwen-moe-14.3b,23375247680656,0,0,GROUP_BY forward all2all,4.1359,4.1359,14.1315,0.0000,9.9957
qwen-moe-14.3b,23375247684016,0,0,AGGREGATE forward all2all,18.3704,18.3704,28.3660,0.0000,9.9957
qwen-moe-14.3b,23375247683536,0,0,AGGREGATE forward all2all,18.3704,18.3704,28.3661,0.0000,9.9957
qwen-moe-14.3b,23375247684976,1,0,GROUP_BY forward all2all,32.5111,32.5111,42.5068,0.0000,9.9957
qwen-moe-14.3b,23375247684496,1,0,GROUP_BY forward all2all,32.5111,32.5111,42.5068,0.0000,9.9957
qwen-moe-14.3b,23375247692176,0,1,GROUP_BY forward all2all,32.5142,32.5142,42.5098,0.0000,9.9957
qwen-moe-14.3b,23375247692656,0,1,GROUP_BY forward all2all,32.5142,32.5142,42.5098,0.0000,9.9957
qwen-moe-14.3b,23375247699376,1,0,AGGREGATE forward all2all,46.7419,46.7419,56.7375,0.0000,9.9957
qwen-moe-14.3b,23375247698896,1,0,AGGREGATE forward all2all,46.7419,46.7419,56.7375,0.0000,9.9957
qwen-moe-14.3b,23375247691216,0,1,AGGREGATE forward all2all,46.7487,46.7487,56.7443,0.0000,9.9957
qwen-moe-14.3b,23375247691696,0,1,AGGREGATE forward all2all,46.7487,46.7487,56.7443,0.0000,9.9957
qwen-moe-14.3b,23375247698416,2,0,GROUP_BY forward all2all,60.8879,60.8879,70.8835,0.0000,9.9957
qwen-moe-14.3b,23375247697936,2,0,GROUP_BY forward all2all,60.8879,60.8879,70.8835,0.0000,9.9957
qwen-moe-14.3b,23375247689296,1,1,GROUP_BY forward all2all,60.8894,60.8894,70.8850,0.0000,9.9957
qwen-moe-14.3b,23375247689776,1,1,GROUP_BY forward all2all,60.8894,60.8894,70.8850,0.0000,9.9957
qwen-moe-14.3b,23375247678736,0,2,GROUP_BY forward all2all,60.8924,60.8924,70.8881,0.0000,9.9957
qwen-moe-14.3b,23375247679216,0,2,GROUP_BY forward all2all,60.8924,60.8924,70.8881,0.0000,9.9957
qwen-moe-14.3b,23375247695536,2,0,AGGREGATE forward all2all,75.1193,75.1193,85.1150,0.0000,9.9957
qwen-moe-14.3b,23375247695056,2,0,AGGREGATE forward all2all,75.1193,75.1193,85.1150,0.0000,9.9957
qwen-moe-14.3b,23375247699856,1,1,AGGREGATE forward all2all,75.1202,75.1202,85.1158,0.0000,9.9957
qwen-moe-14.3b,23375247700336,1,1,AGGREGATE forward all2all,75.1202,75.1202,85.1158,0.0000,9.9957
qwen-moe-14.3b,23375247677776,0,2,AGGREGATE forward all2all,75.1270,75.1270,85.1226,0.0000,9.9957
qwen-moe-14.3b,23375247678256,0,2,AGGREGATE forward all2all,75.1270,75.1270,85.1226,0.0000,9.9957
