model,task_id,layer,mb,info,ready_ms,start_ms,finish_ms,wait_ms,duration_ms
llama-moe-6.7b,23375226857776,0,0,GROUP_BY forward all2all,12.4378,12.4378,35.2374,0.0000,22.7996
llama-moe-6.7b,23375226857296,0,0,GROUP_BY forward all2all,12.4378,12.4378,35.2374,0.0000,22.7996
llama-moe-6.7b,23375226873136,0,0,AGGREGATE forward all2all,44.0812,44.0812,66.8809,0.0000,22.7997
llama-moe-6.7b,23375226872656,0,0,AGGREGATE forward all2all,44.0812,44.0812,66.8809,0.0000,22.7997
llama-moe-6.7b,23375226864976,0,1,GROUP_BY forward all2all,79.3950,79.3950,102.1946,0.0000,22.7996
llama-moe-6.7b,23375226865456,0,1,GROUP_BY forward all2all,79.3950,79.3950,102.1946,0.0000,22.7996
llama-moe-6.7b,23375226856336,1,0,GROUP_BY forward all2all,79.4073,79.4073,102.2068,0.0000,22.7996
llama-moe-6.7b,23375226856816,1,0,GROUP_BY forward all2all,79.4073,79.4073,102.2068,0.0000,22.7996
llama-moe-6.7b,23375226853936,0,1,AGGREGATE forward all2all,111.0385,111.0385,133.8380,0.0000,22.7996
llama-moe-6.7b,23375226853456,0,1,AGGREGATE forward all2all,111.0385,111.0385,133.8381,0.0000,22.7997
llama-moe-6.7b,23375226855856,1,0,AGGREGATE forward all2all,111.0520,111.0520,133.8516,0.0000,22.7996
llama-moe-6.7b,23375226855376,1,0,AGGREGATE forward all2all,111.0520,111.0520,133.8517,0.0000,22.7997
llama-moe-6.7b,23375226846736,0,2,GROUP_BY forward all2all,146.3625,146.3625,169.1620,0.0000,22.7996
llama-moe-6.7b,23375226847216,0,2,GROUP_BY forward all2all,146.3625,146.3625,169.1620,0.0000,22.7996
llama-moe-6.7b,23375226852496,1,1,GROUP_BY forward all2all,146.3762,146.3762,169.1758,0.0000,22.7996
llama-moe-6.7b,23375226852976,1,1,GROUP_BY forward all2all,146.3762,146.3762,169.1758,0.0000,22.7996
llama-moe-6.7b,23375226854896,2,0,GROUP_BY forward all2all,146.3778,146.3778,169.1773,0.0000,22.7996
llama-moe-6.7b,23375226854416,2,0,GROUP_BY forward all2all,146.3778,146.3778,169.1774,0.0000,22.7996
llama-moe-6.7b,23375226846256,0,2,AGGREGATE forward all2all,178.0059,178.0059,200.8055,0.0000,22.7996
llama-moe-6.7b,23375226845776,0,2,AGGREGATE forward all2all,178.0059,178.0059,200.8056,0.0000,22.7997
llama-moe-6.7b,23375226852016,1,1,AGGREGATE forward all2all,178.0210,178.0210,200.8205,0.0000,22.7996
llama-moe-6.7b,23375226851536,1,1,AGGREGATE forward all2all,178.0210,178.0210,200.8206,0.0000,22.7997
llama-moe-6.7b,23375226860176,2,0,AGGREGATE forward all2all,178.0223,178.0223,200.8218,0.0000,22.7996
llama-moe-6.7b,23375226860656,2,0,AGGREGATE forward all2all,178.0222,178.0222,200.8218,0.0000,22.7997
llama-moe-6.7b,23375226859216,0,3,GROUP_BY forward all2all,213.3197,213.3197,236.1193,0.0000,22.7996
llama-moe-6.7b,23375226859696,0,3,GROUP_BY forward all2all,213.3197,213.3197,236.1193,0.0000,22.7996
llama-moe-6.7b,23375226861136,3,0,GROUP_BY forward all2all,213.3382,213.3382,236.1377,0.0000,22.7996
llama-moe-6.7b,23375226861616,3,0,GROUP_BY forward all2all,213.3382,213.3382,236.1377,0.0000,22.7996
llama-moe-6.7b,23375226844816,1,2,GROUP_BY forward all2all,213.3452,213.3452,236.1447,0.0000,22.7996
llama-moe-6.7b,23375226845296,1,2,GROUP_BY forward all2all,213.3452,213.3452,236.1447,0.0000,22.7996
llama-moe-6.7b,23375226851056,2,1,GROUP_BY forward all2all,213.3467,213.3467,236.1463,0.0000,22.7996
llama-moe-6.7b,23375226850576,2,1,GROUP_BY forward all2all,213.3468,213.3468,236.1463,0.0000,22.7996
llama-moe-6.7b,23375226862576,0,3,AGGREGATE forward all2all,244.9632,244.9632,267.7628,0.0000,22.7997
llama-moe-6.7b,23375226862096,0,3,AGGREGATE forward all2all,244.9632,244.9632,267.7628,0.0000,22.7997
llama-moe-6.7b,23375226864016,3,0,AGGREGATE forward all2all,244.9805,244.9805,267.7801,0.0000,22.7996
llama-moe-6.7b,23375226864496,3,0,AGGREGATE forward all2all,244.9805,244.9805,267.7802,0.0000,22.7997
llama-moe-6.7b,23375226874576,1,2,AGGREGATE forward all2all,244.9899,244.9899,267.7896,0.0000,22.7997
llama-moe-6.7b,23375226875056,1,2,AGGREGATE forward all2all,244.9899,244.9899,267.7896,0.0000,22.7997
llama-moe-6.7b,23375226850096,2,1,AGGREGATE forward all2all,244.9911,244.9911,267.7907,0.0000,22.7996
llama-moe-6.7b,23375226849616,2,1,AGGREGATE forward all2all,244.9912,244.9912,267.7909,0.0000,22.7997
llama-moe-6.7b,23375226863056,1,3,GROUP_BY forward all2all,280.3037,280.3037,303.1033,0.0000,22.7996
llama-moe-6.7b,23375226863536,1,3,GROUP_BY forward all2all,280.3037,280.3037,303.1033,0.0000,22.7996
llama-moe-6.7b,23375226873616,2,2,GROUP_BY forward all2all,280.3157,280.3157,303.1153,0.0000,22.7996
llama-moe-6.7b,23375226874096,2,2,GROUP_BY forward all2all,280.3157,280.3157,303.1153,0.0000,22.7996
llama-moe-6.7b,23375226864736,3,0,AGGREGATE backward all2all,288.8568,288.8568,332.6660,0.0000,43.8092
llama-moe-6.7b,23375226848656,3,1,GROUP_BY forward all2all,288.9239,288.9239,334.2547,0.0000,45.3308
llama-moe-6.7b,23375226864256,3,0,AGGREGATE backward all2all,288.8552,288.8552,334.4541,0.0000,45.5990
llama-moe-6.7b,23375226849136,3,1,GROUP_BY forward all2all,288.9240,288.9240,334.4558,0.0000,45.5317
llama-moe-6.7b,23375226869776,1,3,AGGREGATE forward all2all,311.9485,311.9485,334.7482,0.0000,22.7997
llama-moe-6.7b,23375226870256,1,3,AGGREGATE forward all2all,311.9485,311.9485,334.7482,0.0000,22.7997
llama-moe-6.7b,23375226871696,2,2,AGGREGATE forward all2all,311.9601,311.9601,334.9077,0.0000,22.9475
llama-moe-6.7b,23375226872176,2,2,AGGREGATE forward all2all,311.9601,311.9601,340.1073,0.0000,28.1472
llama-moe-6.7b,23375226868816,2,3,GROUP_BY forward all2all,352.6316,352.6316,375.4311,0.0000,22.7996
llama-moe-6.7b,23375226869296,2,3,GROUP_BY forward all2all,352.6316,352.6316,375.4311,0.0000,22.7996
llama-moe-6.7b,23375226861856,3,0,GROUP_BY backward all2all,338.3062,338.3062,385.6466,0.0000,47.3403
llama-moe-6.7b,23375226848176,3,1,AGGREGATE forward all2all,346.1915,346.1915,387.9096,0.0000,41.7181
llama-moe-6.7b,23375226847696,3,1,AGGREGATE forward all2all,345.5844,345.5844,388.3499,0.0000,42.7656
llama-moe-6.7b,23375226861376,3,0,GROUP_BY backward all2all,347.7802,347.7802,392.0855,0.0000,44.3053
llama-moe-6.7b,23375226867856,2,3,AGGREGATE forward all2all,384.2760,384.2760,407.1430,0.0000,22.8670
llama-moe-6.7b,23375226868336,2,3,AGGREGATE forward all2all,384.2760,384.2760,414.2838,0.0000,30.0078
llama-moe-6.7b,23375226847936,3,1,AGGREGATE backward all2all,397.1641,397.1641,419.9636,0.0000,22.7996
llama-moe-6.7b,23375226860896,2,0,AGGREGATE backward all2all,410.6871,410.6871,433.4868,0.0000,22.7997
llama-moe-6.7b,23375226860416,2,0,AGGREGATE backward all2all,422.0861,422.0861,444.8856,0.0000,22.7996
llama-moe-6.7b,23375226855136,2,0,GROUP_BY backward all2all,438.1720,438.1720,466.7637,0.0000,28.5917
llama-moe-6.7b,23375226870736,3,2,GROUP_BY forward all2all,439.0682,439.0682,472.1759,0.0000,33.1078
llama-moe-6.7b,23375226854656,2,0,GROUP_BY backward all2all,449.5709,449.5709,472.3704,0.0000,22.7996
llama-moe-6.7b,23375226848896,3,1,GROUP_BY backward all2all,439.0043,439.0043,474.0186,0.0000,35.0142
llama-moe-6.7b,23375226871216,3,2,GROUP_BY forward all2all,431.6796,431.6796,476.7950,0.0000,45.1154
llama-moe-6.7b,23375226848416,3,1,AGGREGATE backward all2all,431.6124,431.6124,477.2113,0.0000,45.5990
llama-moe-6.7b,23375226858256,3,2,AGGREGATE forward all2all,481.0187,481.0187,505.6236,0.0000,24.6049
llama-moe-6.7b,23375226849856,2,1,AGGREGATE backward all2all,506.0593,506.0593,528.8589,0.0000,22.7996
llama-moe-6.7b,23375226858736,3,2,AGGREGATE forward all2all,488.1247,488.1247,535.1964,0.0000,47.0718
llama-moe-6.7b,23375226849376,3,1,GROUP_BY backward all2all,490.3205,490.3205,536.2867,0.0000,45.9662
llama-moe-6.7b,23375226858496,3,2,AGGREGATE backward all2all,514.6001,514.6001,537.3997,0.0000,22.7996
llama-moe-6.7b,23375226856096,1,0,AGGREGATE backward all2all,528.1855,528.1855,550.9850,0.0000,22.7996
llama-moe-6.7b,23375226850816,2,1,GROUP_BY backward all2all,533.5441,533.5441,556.3436,0.0000,22.7996
llama-moe-6.7b,23375226870976,3,2,GROUP_BY backward all2all,542.0848,542.0848,567.6928,0.0000,25.6080
llama-moe-6.7b,23375226858976,3,2,AGGREGATE backward all2all,556.3948,556.3948,579.1944,0.0000,22.7996
llama-moe-6.7b,23375226865936,3,3,GROUP_BY forward all2all,556.1753,556.1753,579.8465,0.0000,23.6711
llama-moe-6.7b,23375226857056,1,0,GROUP_BY backward all2all,555.6698,555.6698,579.9507,0.0000,24.2808
llama-moe-6.7b,23375226855616,1,0,AGGREGATE backward all2all,569.3782,569.3782,592.1778,0.0000,22.7996
llama-moe-6.7b,23375226850336,2,1,AGGREGATE backward all2all,581.3706,581.3706,604.1702,0.0000,22.7996
