model,task_id,layer,mb,info,ready_ms,start_ms,finish_ms,wait_ms,duration_ms
mixtral8x7b,23375228847376,0,0,GROUP_BY forward all2all,12.4941,12.4941,12.4959,0.0000,0.0018
mixtral8x7b,23375228847856,0,0,GROUP_BY forward all2all,12.4941,12.4941,12.4959,0.0000,0.0018
mixtral8x7b,23375228854096,0,0,AGGREGATE forward all2all,47.4965,47.4965,99.1611,0.0000,51.6647
mixtral8x7b,23375228854576,0,0,AGGREGATE forward all2all,47.4965,47.4965,99.2643,0.0000,51.7679
mixtral8x7b,23375228853136,1,0,GROUP_BY forward all2all,111.8220,111.8220,111.8238,0.0000,0.0018
mixtral8x7b,23375228857936,0,1,GROUP_BY forward all2all,111.9226,111.9226,111.9244,0.0000,0.0018
mixtral8x7b,23375228858416,0,1,GROUP_BY forward all2all,111.9226,111.9226,111.9244,0.0000,0.0018
mixtral8x7b,23375228853616,1,0,GROUP_BY forward all2all,111.9252,111.9252,111.9270,0.0000,0.0018
mixtral8x7b,23375228846896,1,0,AGGREGATE forward all2all,146.9095,146.9095,168.0518,0.0000,21.1423
mixtral8x7b,23375228852656,0,1,AGGREGATE forward all2all,146.9096,146.9096,168.0574,0.0000,21.1478
mixtral8x7b,23375228852176,0,1,AGGREGATE forward all2all,146.9096,146.9096,168.1671,0.0000,21.2575
mixtral8x7b,23375228845936,2,0,GROUP_BY forward all2all,180.7122,180.7122,180.7140,0.0000,0.0018
mixtral8x7b,23375228860336,0,2,GROUP_BY forward all2all,180.8082,180.8082,180.8101,0.0000,0.0018
mixtral8x7b,23375228859856,0,2,GROUP_BY forward all2all,180.8082,180.8082,180.8101,0.0000,0.0018
mixtral8x7b,23375228846416,1,0,AGGREGATE forward all2all,146.8063,146.8063,198.2692,0.0000,51.4629
mixtral8x7b,23375228856976,1,1,GROUP_BY forward all2all,210.9283,210.9283,210.9301,0.0000,0.0018
mixtral8x7b,23375228857456,1,1,GROUP_BY forward all2all,210.9283,210.9283,210.9301,0.0000,0.0018
mixtral8x7b,23375228845456,2,0,GROUP_BY forward all2all,210.9297,210.9297,210.9315,0.0000,0.0018
mixtral8x7b,23375228860816,0,2,AGGREGATE forward all2all,215.8106,215.8106,237.1612,0.0000,21.3506
mixtral8x7b,23375228861296,0,2,AGGREGATE forward all2all,215.8106,215.8106,238.0052,0.0000,22.1946
mixtral8x7b,23375228844976,2,0,AGGREGATE forward all2all,215.6997,215.6997,242.0590,0.0000,26.3593
mixtral8x7b,23375228867536,0,3,GROUP_BY forward all2all,250.6463,250.6463,250.6481,0.0000,0.0018
mixtral8x7b,23375228868016,0,3,GROUP_BY forward all2all,250.6463,250.6463,250.6481,0.0000,0.0018
mixtral8x7b,23375228844016,3,0,GROUP_BY forward all2all,254.7184,254.7184,254.7203,0.0000,0.0018
mixtral8x7b,23375228844496,2,0,AGGREGATE forward all2all,245.9172,245.9172,262.9374,0.0000,17.0202
mixtral8x7b,23375228843536,3,0,GROUP_BY forward all2all,275.5969,275.5969,275.5987,0.0000,0.0018
mixtral8x7b,23375228856496,1,1,AGGREGATE forward all2all,245.9126,245.9126,278.3499,0.0000,32.4373
mixtral8x7b,23375228856016,1,1,AGGREGATE forward all2all,245.9126,245.9126,281.0655,0.0000,35.1529
mixtral8x7b,23375228850736,2,1,GROUP_BY forward all2all,290.9933,290.9933,290.9951,0.0000,0.0018
mixtral8x7b,23375228861776,1,2,GROUP_BY forward all2all,293.7074,293.7074,293.7092,0.0000,0.0018
mixtral8x7b,23375228862256,1,2,GROUP_BY forward all2all,293.7074,293.7074,293.7092,0.0000,0.0018
