model,task_id,layer,mb,info,ready_ms,start_ms,finish_ms,wait_ms,duration_ms
mixtral8x7b,23375228847376,0,0,GROUP_BY forward all2all,61.1541,61.1541,61.1559,0.0000,0.0018
mixtral8x7b,23375228847856,0,0,GROUP_BY forward all2all,61.1541,61.1541,61.1559,0.0000,0.0018
mixtral8x7b,23375228854096,0,0,AGGREGATE forward all2all,144.8012,144.8012,355.1006,0.0000,210.2994
mixtral8x7b,23375228854576,0,0,AGGREGATE forward all2all,144.8012,144.8012,355.1006,0.0000,210.2994
mixtral8x7b,23375228857936,0,1,GROUP_BY forward all2all,416.4188,416.4188,416.4206,0.0000,0.0018
mixtral8x7b,23375228858416,0,1,GROUP_BY forward all2all,416.4188,416.4188,416.4206,0.0000,0.0018
mixtral8x7b,23375228853616,1,0,GROUP_BY forward all2all,416.4214,416.4214,416.4232,0.0000,0.0018
mixtral8x7b,23375228853136,1,0,GROUP_BY forward all2all,416.4214,416.4214,416.4233,0.0000,0.0018
mixtral8x7b,23375228852176,0,1,AGGREGATE forward all2all,500.0659,500.0659,710.1019,0.0000,210.0360
mixtral8x7b,23375228852656,0,1,AGGREGATE forward all2all,500.0659,500.0659,710.1019,0.0000,210.0360
mixtral8x7b,23375228846896,1,0,AGGREGATE forward all2all,500.0657,500.0657,710.1763,0.0000,210.1105
mixtral8x7b,23375228846416,1,0,AGGREGATE forward all2all,500.0657,500.0657,710.1763,0.0000,210.1105
mixtral8x7b,23375228859856,0,2,GROUP_BY forward all2all,771.4030,771.4030,771.4049,0.0000,0.0018
mixtral8x7b,23375228860336,0,2,GROUP_BY forward all2all,771.4030,771.4030,771.4049,0.0000,0.0018
mixtral8x7b,23375228856976,1,1,GROUP_BY forward all2all,771.4953,771.4953,771.4972,0.0000,0.0018
mixtral8x7b,23375228857456,1,1,GROUP_BY forward all2all,771.4953,771.4953,771.4972,0.0000,0.0018
mixtral8x7b,23375228845936,2,0,GROUP_BY forward all2all,771.4967,771.4967,771.4986,0.0000,0.0018
mixtral8x7b,23375228845456,2,0,GROUP_BY forward all2all,771.4968,771.4968,771.4986,0.0000,0.0018
mixtral8x7b,23375228844976,2,0,AGGREGATE forward all2all,855.1443,855.1443,877.4449,0.0000,22.3006
mixtral8x7b,23375228844496,2,0,AGGREGATE forward all2all,855.1443,855.1443,878.0039,0.0000,22.8596
mixtral8x7b,23375228856496,1,1,AGGREGATE forward all2all,855.1396,855.1396,879.0052,0.0000,23.8656
mixtral8x7b,23375228856016,1,1,AGGREGATE forward all2all,855.1396,855.1396,880.0020,0.0000,24.8624
mixtral8x7b,23375228844016,3,0,GROUP_BY forward all2all,938.7643,938.7643,938.7661,0.0000,0.0018
mixtral8x7b,23375228843536,3,0,GROUP_BY forward all2all,939.3233,939.3233,939.3252,0.0000,0.0018
mixtral8x7b,23375228850736,2,1,GROUP_BY forward all2all,940.3086,940.3086,940.3104,0.0000,0.0018
mixtral8x7b,23375228850256,2,1,GROUP_BY forward all2all,941.3054,941.3054,941.3072,0.0000,0.0018
mixtral8x7b,23375228849296,3,0,AGGREGATE forward all2all,1022.9661,1022.9661,1046.0082,0.0000,23.0421
mixtral8x7b,23375228851216,2,1,AGGREGATE forward all2all,1024.9529,1024.9529,1046.6449,0.0000,21.6920
mixtral8x7b,23375228851696,2,1,AGGREGATE forward all2all,1023.9561,1023.9561,1049.0040,0.0000,25.0479
mixtral8x7b,23375228860816,0,2,AGGREGATE forward all2all,855.0501,855.0501,1065.1002,0.0000,210.0501
mixtral8x7b,23375228861296,0,2,AGGREGATE forward all2all,855.0501,855.0501,1065.1002,0.0000,210.0501
mixtral8x7b,23375228867536,0,3,GROUP_BY forward all2all,1126.4014,1126.4014,1126.4032,0.0000,0.0018
