model,iteration,direction,phase,start_s,end_s,duration_s,power_w
llama-moe-6.7b,1,fwd,attention,0.000000000,0.002329392,0.002329392,700.0000
llama-moe-6.7b,1,fwd,gate,0.002329392,0.002550841,0.000221449,280.0000
llama-moe-6.7b,1,fwd,alltoall_1,0.002550841,0.352553378,0.350002537,84.0000
llama-moe-6.7b,1,fwd,experts,0.352553378,0.354796021,0.002242643,700.0000
llama-moe-6.7b,1,fwd,alltoall_2,0.354796021,0.704798558,0.350002537,84.0000
llama-moe-6.7b,1,fwd,addnorm,0.704798558,0.704821661,0.000023104,140.0000
llama-moe-6.7b,1,bwd,addnorm,0.704821661,0.704863159,0.000041497,140.0000
llama-moe-6.7b,1,bwd,alltoall_2,0.704863159,1.054865696,0.350002537,84.0000
llama-moe-6.7b,1,bwd,experts,1.054865696,1.056143586,0.001277890,700.0000
llama-moe-6.7b,1,bwd,alltoall_1,1.056143586,1.406146123,0.350002537,84.0000
llama-moe-6.7b,1,bwd,gate,1.406146123,1.406565693,0.000419570,280.0000
llama-moe-6.7b,1,bwd,attention,1.406565693,1.411221304,0.004655611,700.0000
llama-moe-6.7b,2,fwd,attention,1.411221304,1.413550696,0.002329392,700.0000
llama-moe-6.7b,2,fwd,gate,1.413550696,1.413772144,0.000221449,280.0000
llama-moe-6.7b,2,fwd,alltoall_1,1.413772144,1.763774681,0.350002537,84.0000
llama-moe-6.7b,2,fwd,experts,1.763774681,1.766017324,0.002242643,700.0000
llama-moe-6.7b,2,fwd,alltoall_2,1.766017324,2.116019861,0.350002537,84.0000
llama-moe-6.7b,2,fwd,addnorm,2.116019861,2.116042965,0.000023104,140.0000
llama-moe-6.7b,2,bwd,addnorm,2.116042965,2.116084462,0.000041497,140.0000
llama-moe-6.7b,2,bwd,alltoall_2,2.116084462,2.466086999,0.350002537,84.0000
llama-moe-6.7b,2,bwd,experts,2.466086999,2.467364890,0.001277890,700.0000
llama-moe-6.7b,2,bwd,alltoall_1,2.467364890,2.817367427,0.350002537,84.0000
llama-moe-6.7b,2,bwd,gate,2.817367427,2.817786996,0.000419570,280.0000
llama-moe-6.7b,2,bwd,attention,2.817786996,2.822442607,0.004655611,700.0000
llama-moe-6.7b,3,fwd,attention,2.822442607,2.824771999,0.002329392,700.0000
llama-moe-6.7b,3,fwd,gate,2.824771999,2.824993448,0.000221449,280.0000
llama-moe-6.7b,3,fwd,alltoall_1,2.824993448,3.174995985,0.350002537,84.0000
llama-moe-6.7b,3,fwd,experts,3.174995985,3.177238628,0.002242643,700.0000
llama-moe-6.7b,3,fwd,alltoall_2,3.177238628,3.527241165,0.350002537,84.0000
llama-moe-6.7b,3,fwd,addnorm,3.527241165,3.527264269,0.000023104,140.0000
llama-moe-6.7b,3,bwd,addnorm,3.527264269,3.527305766,0.000041497,140.0000
llama-moe-6.7b,3,bwd,alltoall_2,3.527305766,3.877308303,0.350002537,84.0000
llama-moe-6.7b,3,bwd,experts,3.877308303,3.878586193,0.001277890,700.0000
llama-moe-6.7b,3,bwd,alltoall_1,3.878586193,4.228588730,0.350002537,84.0000
llama-moe-6.7b,3,bwd,gate,4.228588730,4.229008300,0.000419570,280.0000
llama-moe-6.7b,3,bwd,attention,4.229008300,4.233663911,0.004655611,700.0000
llama-moe-6.7b,4,fwd,attention,4.233663911,4.235993303,0.002329392,700.0000
llama-moe-6.7b,4,fwd,gate,4.235993303,4.236214752,0.000221449,280.0000
llama-moe-6.7b,4,fwd,alltoall_1,4.236214752,4.586217289,0.350002537,84.0000
llama-moe-6.7b,4,fwd,experts,4.586217289,4.588459931,0.002242643,700.0000
llama-moe-6.7b,4,fwd,alltoall_2,4.588459931,4.938462468,0.350002537,84.0000
llama-moe-6.7b,4,fwd,addnorm,4.938462468,4.938485572,0.000023104,140.0000
llama-moe-6.7b,4,bwd,addnorm,4.938485572,4.938527070,0.000041497,140.0000
llama-moe-6.7b,4,bwd,alltoall_2,4.938527070,5.288529607,0.350002537,84.0000
llama-moe-6.7b,4,bwd,experts,5.288529607,5.289807497,0.001277890,700.0000
llama-moe-6.7b,4,bwd,alltoall_1,5.289807497,5.639810034,0.350002537,84.0000
llama-moe-6.7b,4,bwd,gate,5.639810034,5.640229604,0.000419570,280.0000
llama-moe-6.7b,4,bwd,attention,5.640229604,5.644885215,0.004655611,700.0000
llama-moe-6.7b,5,fwd,attention,5.644885215,5.647214607,0.002329392,700.0000
llama-moe-6.7b,5,fwd,gate,5.647214607,5.647436055,0.000221449,280.0000
llama-moe-6.7b,5,fwd,alltoall_1,5.647436055,5.997438592,0.350002537,84.0000
llama-moe-6.7b,5,fwd,experts,5.997438592,5.999681235,0.002242643,700.0000
llama-moe-6.7b,5,fwd,alltoall_2,5.999681235,6.349683772,0.350002537,84.0000
llama-moe-6.7b,5,fwd,addnorm,6.349683772,6.349706876,0.000023104,140.0000
llama-moe-6.7b,5,bwd,addnorm,6.349706876,6.349748373,0.000041497,140.0000
llama-moe-6.7b,5,bwd,alltoall_2,6.349748373,6.699750910,0.350002537,84.0000
llama-moe-6.7b,5,bwd,experts,6.699750910,6.701028801,0.001277890,700.0000
llama-moe-6.7b,5,bwd,alltoall_1,6.701028801,7.051031338,0.350002537,84.0000
llama-moe-6.7b,5,bwd,gate,7.051031338,7.051450907,0.000419570,280.0000
llama-moe-6.7b,5,bwd,attention,7.051450907,7.056106518,0.004655611,700.0000
llama-moe-6.7b,6,fwd,attention,7.056106518,7.058435910,0.002329392,700.0000
llama-moe-6.7b,6,fwd,gate,7.058435910,7.058657359,0.000221449,280.0000
llama-moe-6.7b,6,fwd,alltoall_1,7.058657359,7.408659896,0.350002537,84.0000
llama-moe-6.7b,6,fwd,experts,7.408659896,7.410902539,0.002242643,700.0000
