model,iteration,direction,phase,start_s,end_s,duration_s,power_w
llama-moe-6.7b,1,fwd,attention,0.000000000,0.099062723,0.099062723,700.0000
llama-moe-6.7b,1,fwd,gate,0.099062723,0.100271072,0.001208349,280.0000
llama-moe-6.7b,1,fwd,alltoall_1,0.100271072,0.450273609,0.350002537,84.0000
llama-moe-6.7b,1,fwd,experts,0.450273609,0.520992500,0.070718891,700.0000
llama-moe-6.7b,1,fwd,alltoall_2,0.520992500,0.870995037,0.350002537,84.0000
llama-moe-6.7b,1,fwd,addnorm,0.870995037,0.871618354,0.000623317,140.0000
llama-moe-6.7b,1,bwd,addnorm,0.871618354,0.872837598,0.001219244,140.0000
llama-moe-6.7b,1,bwd,alltoall_2,0.872837598,1.222840135,0.350002537,84.0000
llama-moe-6.7b,1,bwd,experts,1.222840135,1.260286783,0.037446648,700.0000
llama-moe-6.7b,1,bwd,alltoall_1,1.260286783,1.610289320,0.350002537,84.0000
llama-moe-6.7b,1,bwd,gate,1.610289320,1.612708743,0.002419422,280.0000
llama-moe-6.7b,1,bwd,attention,1.612708743,1.810834506,0.198125763,700.0000
llama-moe-6.7b,2,fwd,attention,1.810834506,1.909897229,0.099062723,700.0000
llama-moe-6.7b,2,fwd,gate,1.909897229,1.911105578,0.001208349,280.0000
llama-moe-6.7b,2,fwd,alltoall_1,1.911105578,2.261108115,0.350002537,84.0000
llama-moe-6.7b,2,fwd,experts,2.261108115,2.331827006,0.070718891,700.0000
llama-moe-6.7b,2,fwd,alltoall_2,2.331827006,2.681829543,0.350002537,84.0000
llama-moe-6.7b,2,fwd,addnorm,2.681829543,2.682452860,0.000623317,140.0000
llama-moe-6.7b,2,bwd,addnorm,2.682452860,2.683672104,0.001219244,140.0000
llama-moe-6.7b,2,bwd,alltoall_2,2.683672104,3.033674641,0.350002537,84.0000
llama-moe-6.7b,2,bwd,experts,3.033674641,3.071121289,0.037446648,700.0000
llama-moe-6.7b,2,bwd,alltoall_1,3.071121289,3.421123826,0.350002537,84.0000
llama-moe-6.7b,2,bwd,gate,3.421123826,3.423543249,0.002419422,280.0000
llama-moe-6.7b,2,bwd,attention,3.423543249,3.621669012,0.198125763,700.0000
llama-moe-6.7b,3,fwd,attention,3.621669012,3.720731735,0.099062723,700.0000
llama-moe-6.7b,3,fwd,gate,3.720731735,3.721940084,0.001208349,280.0000
llama-moe-6.7b,3,fwd,alltoall_1,3.721940084,4.071942621,0.350002537,84.0000
