model,iteration,direction,phase,start_s,end_s,duration_s,power_w
llama-moe-6.7b,1,fwd,attention,0.000000000,0.012382846,0.012382846,700.0000
llama-moe-6.7b,1,fwd,gate,0.012382846,0.013144659,0.000761813,280.0000
llama-moe-6.7b,1,fwd,alltoall_1,0.013144659,0.363147196,0.350002537,84.0000
llama-moe-6.7b,1,fwd,experts,0.363147196,0.371986425,0.008839229,700.0000
llama-moe-6.7b,1,fwd,alltoall_2,0.371986425,0.721988962,0.350002537,84.0000
llama-moe-6.7b,1,fwd,addnorm,0.721988962,0.722066890,0.000077928,140.0000
llama-moe-6.7b,1,bwd,addnorm,0.722066890,0.722219551,0.000152661,140.0000
llama-moe-6.7b,1,bwd,alltoall_2,0.722219551,1.072222088,0.350002537,84.0000
llama-moe-6.7b,1,bwd,experts,1.072222088,1.076904407,0.004682319,700.0000
llama-moe-6.7b,1,bwd,alltoall_1,1.076904407,1.426906944,0.350002537,84.0000
llama-moe-6.7b,1,bwd,gate,1.426906944,1.428450460,0.001543516,280.0000
llama-moe-6.7b,1,bwd,attention,1.428450460,1.453216430,0.024765970,700.0000
llama-moe-6.7b,2,fwd,attention,1.453216430,1.465599276,0.012382846,700.0000
llama-moe-6.7b,2,fwd,gate,1.465599276,1.466361089,0.000761813,280.0000
llama-moe-6.7b,2,fwd,alltoall_1,1.466361089,1.816363626,0.350002537,84.0000
llama-moe-6.7b,2,fwd,experts,1.816363626,1.825202855,0.008839229,700.0000
llama-moe-6.7b,2,fwd,alltoall_2,1.825202855,2.175205392,0.350002537,84.0000
llama-moe-6.7b,2,fwd,addnorm,2.175205392,2.175283320,0.000077928,140.0000
llama-moe-6.7b,2,bwd,addnorm,2.175283320,2.175435981,0.000152661,140.0000
llama-moe-6.7b,2,bwd,alltoall_2,2.175435981,2.525438518,0.350002537,84.0000
llama-moe-6.7b,2,bwd,experts,2.525438518,2.530120837,0.004682319,700.0000
llama-moe-6.7b,2,bwd,alltoall_1,2.530120837,2.880123374,0.350002537,84.0000
llama-moe-6.7b,2,bwd,gate,2.880123374,2.881666890,0.001543516,280.0000
llama-moe-6.7b,2,bwd,attention,2.881666890,2.906432860,0.024765970,700.0000
llama-moe-6.7b,3,fwd,attention,2.906432860,2.918815706,0.012382846,700.0000
llama-moe-6.7b,3,fwd,gate,2.918815706,2.919577519,0.000761813,280.0000
llama-moe-6.7b,3,fwd,alltoall_1,2.919577519,3.269580056,0.350002537,84.0000
llama-moe-6.7b,3,fwd,experts,3.269580056,3.278419285,0.008839229,700.0000
llama-moe-6.7b,3,fwd,alltoall_2,3.278419285,3.628421822,0.350002537,84.0000
llama-moe-6.7b,3,fwd,addnorm,3.628421822,3.628499750,0.000077928,140.0000
llama-moe-6.7b,3,bwd,addnorm,3.628499750,3.628652411,0.000152661,140.0000
llama-moe-6.7b,3,bwd,alltoall_2,3.628652411,3.978654948,0.350002537,84.0000
llama-moe-6.7b,3,bwd,experts,3.978654948,3.983337268,0.004682319,700.0000
llama-moe-6.7b,3,bwd,alltoall_1,3.983337268,4.333339805,0.350002537,84.0000
llama-moe-6.7b,3,bwd,gate,4.333339805,4.334883320,0.001543516,280.0000
llama-moe-6.7b,3,bwd,attention,4.334883320,4.359649290,0.024765970,700.0000
llama-moe-6.7b,4,fwd,attention,4.359649290,4.372032136,0.012382846,700.0000
llama-moe-6.7b,4,fwd,gate,4.372032136,4.372793949,0.000761813,280.0000
llama-moe-6.7b,4,fwd,alltoall_1,4.372793949,4.722796486,0.350002537,84.0000
llama-moe-6.7b,4,fwd,experts,4.722796486,4.731635715,0.008839229,700.0000
llama-moe-6.7b,4,fwd,alltoall_2,4.731635715,5.081638252,0.350002537,84.0000
llama-moe-6.7b,4,fwd,addnorm,5.081638252,5.081716180,0.000077928,140.0000
llama-moe-6.7b,4,bwd,addnorm,5.081716180,5.081868842,0.000152661,140.0000
llama-moe-6.7b,4,bwd,alltoall_2,5.081868842,5.431871379,0.350002537,84.0000
llama-moe-6.7b,4,bwd,experts,5.431871379,5.436553698,0.004682319,700.0000
llama-moe-6.7b,4,bwd,alltoall_1,5.436553698,5.786556235,0.350002537,84.0000
llama-moe-6.7b,4,bwd,gate,5.786556235,5.788099751,0.001543516,280.0000
llama-moe-6.7b,4,bwd,attention,5.788099751,5.812865721,0.024765970,700.0000
llama-moe-6.7b,5,fwd,attention,5.812865721,5.825248567,0.012382846,700.0000
llama-moe-6.7b,5,fwd,gate,5.825248567,5.826010380,0.000761813,280.0000
llama-moe-6.7b,5,fwd,alltoall_1,5.826010380,6.176012917,0.350002537,84.0000
llama-moe-6.7b,5,fwd,experts,6.176012917,6.184852145,0.008839229,700.0000
llama-moe-6.7b,5,fwd,alltoall_2,6.184852145,6.534854682,0.350002537,84.0000
llama-moe-6.7b,5,fwd,addnorm,6.534854682,6.534932610,0.000077928,140.0000
llama-moe-6.7b,5,bwd,addnorm,6.534932610,6.535085272,0.000152661,140.0000
llama-moe-6.7b,5,bwd,alltoall_2,6.535085272,6.885087809,0.350002537,84.0000
llama-moe-6.7b,5,bwd,experts,6.885087809,6.889770128,0.004682319,700.0000
