model,iteration,direction,phase,start_s,end_s,duration_s,power_w
llama_moe_6.7b-hottest,1,fwd,attention,0.000000000,0.012382846,0.012382846,700.0000
llama_moe_6.7b-hottest,1,fwd,gate,0.012382846,0.013144659,0.000761813,280.0000
llama_moe_6.7b-hottest,1,fwd,alltoall_1,0.013144659,0.363147196,0.350002537,84.0000
llama_moe_6.7b-hottest,1,fwd,experts,0.363147196,0.384507497,0.021360301,700.0000
llama_moe_6.7b-hottest,1,fwd,alltoall_2,0.384507497,0.734510034,0.350002537,84.0000
llama_moe_6.7b-hottest,1,fwd,addnorm,0.734510034,0.734587962,0.000077928,140.0000
llama_moe_6.7b-hottest,1,bwd,addnorm,0.734587962,0.734740623,0.000152661,140.0000
llama_moe_6.7b-hottest,1,bwd,alltoall_2,0.734740623,1.084743160,0.350002537,84.0000
llama_moe_6.7b-hottest,1,bwd,experts,1.084743160,1.096058145,0.011314985,700.0000
llama_moe_6.7b-hottest,1,bwd,alltoall_1,1.096058145,1.446060682,0.350002537,84.0000
llama_moe_6.7b-hottest,1,bwd,gate,1.446060682,1.447604198,0.001543516,280.0000
llama_moe_6.7b-hottest,1,bwd,attention,1.447604198,1.472370168,0.024765970,700.0000
llama_moe_6.7b-hottest,2,fwd,attention,1.472370168,1.484753014,0.012382846,700.0000
llama_moe_6.7b-hottest,2,fwd,gate,1.484753014,1.485514827,0.000761813,280.0000
llama_moe_6.7b-hottest,2,fwd,alltoall_1,1.485514827,1.835517364,0.350002537,84.0000
llama_moe_6.7b-hottest,2,fwd,experts,1.835517364,1.856877665,0.021360301,700.0000
llama_moe_6.7b-hottest,2,fwd,alltoall_2,1.856877665,2.206880202,0.350002537,84.0000
llama_moe_6.7b-hottest,2,fwd,addnorm,2.206880202,2.206958130,0.000077928,140.0000
llama_moe_6.7b-hottest,2,bwd,addnorm,2.206958130,2.207110792,0.000152661,140.0000
llama_moe_6.7b-hottest,2,bwd,alltoall_2,2.207110792,2.557113329,0.350002537,84.0000
llama_moe_6.7b-hottest,2,bwd,experts,2.557113329,2.568428314,0.011314985,700.0000
llama_moe_6.7b-hottest,2,bwd,alltoall_1,2.568428314,2.918430851,0.350002537,84.0000
llama_moe_6.7b-hottest,2,bwd,gate,2.918430851,2.919974367,0.001543516,280.0000
llama_moe_6.7b-hottest,2,bwd,attention,2.919974367,2.944740337,0.024765970,700.0000
llama_moe_6.7b-hottest,3,fwd,attention,2.944740337,2.957123183,0.012382846,700.0000
llama_moe_6.7b-hottest,3,fwd,gate,2.957123183,2.957884995,0.000761813,280.0000
llama_moe_6.7b-hottest,3,fwd,alltoall_1,2.957884995,3.307887532,0.350002537,84.0000
llama_moe_6.7b-hottest,3,fwd,experts,3.307887532,3.329247833,0.021360301,700.0000
llama_moe_6.7b-hottest,3,fwd,alltoall_2,3.329247833,3.679250370,0.350002537,84.0000
llama_moe_6.7b-hottest,3,fwd,addnorm,3.679250370,3.679328298,0.000077928,140.0000
llama_moe_6.7b-hottest,3,bwd,addnorm,3.679328298,3.679480960,0.000152661,140.0000
llama_moe_6.7b-hottest,3,bwd,alltoall_2,3.679480960,4.029483497,0.350002537,84.0000
llama_moe_6.7b-hottest,3,bwd,experts,4.029483497,4.040798482,0.011314985,700.0000
llama_moe_6.7b-hottest,3,bwd,alltoall_1,4.040798482,4.390801019,0.350002537,84.0000
llama_moe_6.7b-hottest,3,bwd,gate,4.390801019,4.392344535,0.001543516,280.0000
llama_moe_6.7b-hottest,3,bwd,attention,4.392344535,4.417110505,0.024765970,700.0000
llama_moe_6.7b-hottest,4,fwd,attention,4.417110505,4.429493351,0.012382846,700.0000
llama_moe_6.7b-hottest,4,fwd,gate,4.429493351,4.430255164,0.000761813,280.0000
llama_moe_6.7b-hottest,4,fwd,alltoall_1,4.430255164,4.780257701,0.350002537,84.0000
llama_moe_6.7b-hottest,4,fwd,experts,4.780257701,4.801618002,0.021360301,700.0000
llama_moe_6.7b-hottest,4,fwd,alltoall_2,4.801618002,5.151620539,0.350002537,84.0000
llama_moe_6.7b-hottest,4,fwd,addnorm,5.151620539,5.151698467,0.000077928,140.0000
llama_moe_6.7b-hottest,4,bwd,addnorm,5.151698467,5.151851128,0.000152661,140.0000
llama_moe_6.7b-hottest,4,bwd,alltoall_2,5.151851128,5.501853665,0.350002537,84.0000
llama_moe_6.7b-hottest,4,bwd,experts,5.501853665,5.513168650,0.011314985,700.0000
llama_moe_6.7b-hottest,4,bwd,alltoall_1,5.513168650,5.863171187,0.350002537,84.0000
llama_moe_6.7b-hottest,4,bwd,gate,5.863171187,5.864714703,0.001543516,280.0000
llama_moe_6.7b-hottest,4,bwd,attention,5.864714703,5.889480673,0.024765970,700.0000
llama_moe_6.7b-hottest,5,fwd,attention,5.889480673,5.901863519,0.012382846,700.0000
llama_moe_6.7b-hottest,5,fwd,gate,5.901863519,5.902625332,0.000761813,280.0000
llama_moe_6.7b-hottest,5,fwd,alltoall_1,5.902625332,6.252627869,0.350002537,84.0000
llama_moe_6.7b-hottest,5,fwd,experts,6.252627869,6.273988170,0.021360301,700.0000
llama_moe_6.7b-hottest,5,fwd,alltoall_2,6.273988170,6.623990707,0.350002537,84.0000
llama_moe_6.7b-hottest,5,fwd,addnorm,6.623990707,6.624068635,0.000077928,140.0000
llama_moe_6.7b-hottest,5,bwd,addnorm,6.624068635,6.624221296,0.000152661,140.0000
llama_moe_6.7b-hottest,5,bwd,alltoall_2,6.624221296,6.974223833,0.350002537,84.0000
llama_moe_6.7b-hottest,5,bwd,experts,6.974223833,6.985538818,0.011314985,700.0000
llama_moe_6.7b-hottest,5,bwd,alltoall_1,6.985538818,7.335541355,0.350002537,84.0000
llama_moe_6.7b-hottest,5,bwd,gate,7.335541355,7.337084871,0.001543516,280.0000
llama_moe_6.7b-hottest,5,bwd,attention,7.337084871,7.361850841,0.024765970,700.0000
llama_moe_6.7b-hottest,6,fwd,attention,7.361850841,7.374233687,0.012382846,700.0000
llama_moe_6.7b-hottest,6,fwd,gate,7.374233687,7.374995500,0.000761813,280.0000
llama_moe_6.7b-hottest,6,fwd,alltoall_1,7.374995500,7.724998037,0.350002537,84.0000
llama_moe_6.7b-hottest,6,fwd,experts,7.724998037,7.746358338,0.021360301,700.0000
llama_moe_6.7b-hottest,6,fwd,alltoall_2,7.746358338,8.096360875,0.350002537,84.0000
llama_moe_6.7b-hottest,6,fwd,addnorm,8.096360875,8.096438803,0.000077928,140.0000
llama_moe_6.7b-hottest,6,bwd,addnorm,8.096438803,8.096591465,0.000152661,140.0000
llama_moe_6.7b-hottest,6,bwd,alltoall_2,8.096591465,8.446594002,0.350002537,84.0000
llama_moe_6.7b-hottest,6,bwd,experts,8.446594002,8.457908987,0.011314985,700.0000
llama_moe_6.7b-hottest,6,bwd,alltoall_1,8.457908987,8.807911524,0.350002537,84.0000
llama_moe_6.7b-hottest,6,bwd,gate,8.807911524,8.809455040,0.001543516,280.0000
llama_moe_6.7b-hottest,6,bwd,attention,8.809455040,8.834221010,0.024765970,700.0000
llama_moe_6.7b-hottest,7,fwd,attention,8.834221010,8.846603856,0.012382846,700.0000
llama_moe_6.7b-hottest,7,fwd,gate,8.846603856,8.847365669,0.000761813,280.0000
llama_moe_6.7b-hottest,7,fwd,alltoall_1,8.847365669,9.197368206,0.350002537,84.0000
llama_moe_6.7b-hottest,7,fwd,experts,9.197368206,9.218728507,0.021360301,700.0000
llama_moe_6.7b-hottest,7,fwd,alltoall_2,9.218728507,9.568731044,0.350002537,84.0000
llama_moe_6.7b-hottest,7,fwd,addnorm,9.568731044,9.568808972,0.000077928,140.0000
llama_moe_6.7b-hottest,7,bwd,addnorm,9.568808972,9.568961633,0.000152661,140.0000
llama_moe_6.7b-hottest,7,bwd,alltoall_2,9.568961633,9.918964170,0.350002537,84.0000
llama_moe_6.7b-hottest,7,bwd,experts,9.918964170,9.930279155,0.011314985,700.0000
llama_moe_6.7b-hottest,7,bwd,alltoall_1,9.930279155,10.280281692,0.350002537,84.0000
llama_moe_6.7b-hottest,7,bwd,gate,10.280281692,10.281825208,0.001543516,280.0000
llama_moe_6.7b-hottest,7,bwd,attention,10.281825208,10.306591178,0.024765970,700.0000
llama_moe_6.7b-hottest,8,fwd,attention,10.306591178,10.318974024,0.012382846,700.0000
llama_moe_6.7b-hottest,8,fwd,gate,10.318974024,10.319735837,0.000761813,280.0000
llama_moe_6.7b-hottest,8,fwd,alltoall_1,10.319735837,10.669738374,0.350002537,84.0000
llama_moe_6.7b-hottest,8,fwd,experts,10.669738374,10.691098675,0.021360301,700.0000
llama_moe_6.7b-hottest,8,fwd,alltoall_2,10.691098675,11.041101212,0.350002537,84.0000
llama_moe_6.7b-hottest,8,fwd,addnorm,11.041101212,11.041179140,0.000077928,140.0000
llama_moe_6.7b-hottest,8,bwd,addnorm,11.041179140,11.041331801,0.000152661,140.0000
llama_moe_6.7b-hottest,8,bwd,alltoall_2,11.041331801,11.391334338,0.350002537,84.0000
llama_moe_6.7b-hottest,8,bwd,experts,11.391334338,11.402649323,0.011314985,700.0000
llama_moe_6.7b-hottest,8,bwd,alltoall_1,11.402649323,11.752651860,0.350002537,84.0000
llama_moe_6.7b-hottest,8,bwd,gate,11.752651860,11.754195376,0.001543516,280.0000
llama_moe_6.7b-hottest,8,bwd,attention,11.754195376,11.778961346,0.024765970,700.0000
llama_moe_6.7b-hottest,9,fwd,attention,11.778961346,11.791344192,0.012382846,700.0000
llama_moe_6.7b-hottest,9,fwd,gate,11.791344192,11.792106005,0.000761813,280.0000
llama_moe_6.7b-hottest,9,fwd,alltoall_1,11.792106005,12.142108542,0.350002537,84.0000
llama_moe_6.7b-hottest,9,fwd,experts,12.142108542,12.163468843,0.021360301,700.0000
llama_moe_6.7b-hottest,9,fwd,alltoall_2,12.163468843,12.513471380,0.350002537,84.0000
llama_moe_6.7b-hottest,9,fwd,addnorm,12.513471380,12.513549308,0.000077928,140.0000
llama_moe_6.7b-hottest,9,bwd,addnorm,12.513549308,12.513701969,0.000152661,140.0000
llama_moe_6.7b-hottest,9,bwd,alltoall_2,12.513701969,12.863704506,0.350002537,84.0000
llama_moe_6.7b-hottest,9,bwd,experts,12.863704506,12.875019492,0.011314985,700.0000
llama_moe_6.7b-hottest,9,bwd,alltoall_1,12.875019492,13.225022029,0.350002537,84.0000
llama_moe_6.7b-hottest,9,bwd,gate,13.225022029,13.226565545,0.001543516,280.0000
llama_moe_6.7b-hottest,9,bwd,attention,13.226565545,13.251331515,0.024765970,700.0000
llama_moe_6.7b-hottest,10,fwd,attention,13.251331515,13.263714361,0.012382846,700.0000
llama_moe_6.7b-hottest,10,fwd,gate,13.263714361,13.264476173,0.000761813,280.0000
llama_moe_6.7b-hottest,10,fwd,alltoall_1,13.264476173,13.614478710,0.350002537,84.0000
llama_moe_6.7b-hottest,10,fwd,experts,13.614478710,13.635839011,0.021360301,700.0000
llama_moe_6.7b-hottest,10,fwd,alltoall_2,13.635839011,13.985841548,0.350002537,84.0000
llama_moe_6.7b-hottest,10,fwd,addnorm,13.985841548,13.985919476,0.000077928,140.0000
llama_moe_6.7b-hottest,10,bwd,addnorm,13.985919476,13.986072138,0.000152661,140.0000
