
 STORAGE COMPLETE FOR   7730 DATA POINTS 

         SUMMARY OF VARIABLES STORED THIS STEP AND EXTREME VALUES
 VARI TYPE    IDENTIFIERS   NAME     MINIMUM    AT TIME     MAXIMUM    AT TIME

   2 NSOL  2466 TEMP      TEMP       54.83      0.1000E-002  65.02       1.836     

 *** MAPDL - ENGINEERING ANALYSIS SYSTEM  RELEASE 2025 R2          25.2     ***
 Ansys Mechanical Enterprise Academic Research     
 00236611  VERSION=LINUX x64     18:54:14  SEP 19, 2026 CP=   5078.259

                                                                               



          ***** MAPDL POST26 VARIABLE LISTING *****


    TIME       2466 TEMP    
                  TEMP    
   0.10000E-02   54.8296     
   0.20018E-02   54.8296     
   0.30036E-02   54.8296     
   0.40053E-02   54.8296     
   0.50071E-02   54.8296     
   0.60089E-02   54.8296     
   0.70107E-02   54.8296     
   0.80124E-02   54.8296     
   0.90142E-02   54.8296     
   0.10016E-01   54.8296     
   0.11018E-01   54.8296     
   0.12020E-01   54.8296     
   0.13021E-01   54.8296     
   0.14023E-01   54.8296     
   0.15025E-01   54.8296     
   0.16027E-01   54.8296     
   0.17028E-01   54.8296     
   0.18030E-01   54.8296     
   0.19032E-01   54.8296     
   0.20034E-01   54.8296     
   0.21036E-01   54.8296     
   0.22037E-01   54.8296     
   0.23039E-01   54.8296     
   0.24041E-01   54.8296     
   0.25043E-01   54.8296     
   0.26044E-01   54.8296     
   0.27046E-01   54.8296     
   0.28048E-01   54.8296     
   0.29050E-01   54.8296     
   0.30052E-01   54.8296     
   0.31053E-01   54.8296     
   0.32055E-01   54.8296     
   0.33057E-01   54.8296     
   0.34059E-01   54.8296     
   0.35060E-01   54.8296     
   0.36062E-01   54.8296     
   0.37064E-01   54.8296     
   0.38066E-01   54.8296     
   0.39068E-01   54.8296     
   0.40069E-01   54.8296     
   0.41071E-01   54.8296     
   0.42073E-01   54.8296     
   0.43075E-01   54.8296     
   0.44076E-01   54.8296     
   0.45078E-01   54.8296     
   0.46080E-01   54.8296     
   0.47082E-01   54.8296     
   0.48084E-01   54.8296     
   0.49085E-01   54.8296     
   0.50111E-01   55.1227     

 *** MAPDL - ENGINEERING ANALYSIS SYSTEM  RELEASE 2025 R2          25.2     ***
 Ansys Mechanical Enterprise Academic Research     
 00236611  VERSION=LINUX x64     18:54:14  SEP 19, 2026 CP=   5078.259

                                                                               



          ***** MAPDL POST26 VARIABLE LISTING *****


    TIME       2466 TEMP    
                  TEMP    
   0.51137E-01   55.4978     
   0.52162E-01   55.9001     
   0.53188E-01   56.3109     
   0.54214E-01   56.7207     
   0.55239E-01   57.1241     
   0.56265E-01   57.5177     
   0.57291E-01   57.8999     
   0.58316E-01   58.2694     
   0.59342E-01   58.6258     
   0.60368E-01   58.9691     
   0.61393E-01   59.2994     
   0.61406E-01   59.3034     
   0.61419E-01   59.3074     
   0.61432E-01   59.3113     
   0.61444E-01   59.3151     
   0.61457E-01   59.3187     
   0.61470E-01   59.3221     
   0.61482E-01   59.3253     
   0.61495E-01   59.3284     
   0.61508E-01   59.3314     
   0.61521E-01   59.3342     
   0.61533E-01   59.3369     
   0.61725E-01   59.3586     
   0.61917E-01   59.3683     
   0.62108E-01   59.3706     
   0.62300E-01   59.3678     
   0.62492E-01   59.3613     
   0.62683E-01   59.3518     
   0.62875E-01   59.3398     
   0.63067E-01   59.3257     
   0.63327E-01   59.3165     
   0.63588E-01   59.3124     
   0.63848E-01   59.3101     
   0.64109E-01   59.3082     
   0.64370E-01   59.3062     
   0.64630E-01   59.3040     
   0.64891E-01   59.3014     
   0.65151E-01   59.2985     
   0.65996E-01   59.4423     
   0.66840E-01   59.6333     
   0.67684E-01   59.8416     
   0.68529E-01   60.0570     
   0.69373E-01   60.2747     
   0.70218E-01   60.4915     
   0.71062E-01   60.7055     
   0.71906E-01   60.9155     
   0.72112E-01   60.9378     
   0.72319E-01   60.9406     
   0.72525E-01   60.9323     
   0.72731E-01   60.9172     

 *** MAPDL - ENGINEERING ANALYSIS SYSTEM  RELEASE 2025 R2          25.2     ***
 Ansys Mechanical Enterprise Academic Research     
 00236611  VERSION=LINUX x64     18:54:14  SEP 19, 2026 CP=   5078.260

                                                                               



          ***** MAPDL POST26 VARIABLE LISTING *****


    TIME       2466 TEMP    
                  TEMP    
   0.72937E-01   60.8975     
   0.73143E-01   60.8743     
   0.73349E-01   60.8483     
   0.73555E-01   60.8199     
   0.73568E-01   60.8181     
   0.73581E-01   60.8164     
   0.73593E-01   60.8146     
   0.73606E-01   60.8129     
   0.73619E-01   60.8111     
   0.73632E-01   60.8094     
   0.73632E-01   60.8093     
   0.74658E-01   60.9291     
   0.75684E-01   61.1137     
   0.76709E-01   61.3180     
   0.77735E-01   61.5289     
   0.78761E-01   61.7405     
   0.79786E-01   61.9495     
   0.80812E-01   62.1539     
   0.81838E-01   62.3526     
   0.82863E-01   62.5449     
   0.83889E-01   62.7305     
   0.84915E-01   62.9093     
   0.85940E-01   63.0814     
   0.85953E-01   63.0835     
   0.85966E-01   63.0855     
   0.85978E-01   63.0875     
   0.85991E-01   63.0893     
   0.86004E-01   63.0909     
   0.86017E-01   63.0923     
   0.86029E-01   63.0936     
   0.86042E-01   63.0948     
   0.86055E-01   63.0958     
   0.86067E-01   63.0966     
   0.86080E-01   63.0974     
   0.86272E-01   63.0899     
   0.86463E-01   63.0706     
   0.86655E-01   63.0442     
   0.86847E-01   63.0129     
   0.87039E-01   62.9781     
   0.87230E-01   62.9405     
   0.87422E-01   62.9006     
   0.87614E-01   62.8587     
   0.87874E-01   62.8123     
   0.88135E-01   62.7714     
   0.88395E-01   62.7327     
   0.88656E-01   62.6947     
   0.88916E-01   62.6570     
   0.89177E-01   62.6194     
   0.89437E-01   62.5819     
   0.89698E-01   62.5444     

 *** MAPDL - ENGINEERING ANALYSIS SYSTEM  RELEASE 2025 R2          25.2     ***
 Ansys Mechanical Enterprise Academic Research     
 00236611  VERSION=LINUX x64     18:54:14  SEP 19, 2026 CP=   5078.260

                                                                               



          ***** MAPDL POST26 VARIABLE LISTING *****


    TIME       2466 TEMP    
                  TEMP    
   0.90542E-01   62.5798     
   0.91387E-01   62.6660     
   0.92231E-01   62.7729     
   0.93076E-01   62.8905     
   0.93920E-01   63.0135     
   0.94764E-01   63.1388     
   0.95609E-01   63.2643     
   0.96453E-01   63.3888     
   0.96659E-01   63.3904     
   0.96865E-01   63.3727     
   0.97072E-01   63.3440     
   0.97278E-01   63.3088     
   0.97484E-01   63.2691     
   0.97690E-01   63.2260     
   0.97896E-01   63.1803     
   0.98102E-01   63.1324     
   0.98115E-01   63.1294     
   0.98128E-01   63.1265     
   0.98140E-01   63.1235     
   0.98153E-01   63.1206     
   0.98166E-01   63.1176     
   0.98178E-01   63.1147     
   0.98179E-01   63.1145     
   0.99205E-01   63.1415     
   0.10023       63.2369     
   0.10126       63.3556     
   0.10228       63.4844     
   0.10331       63.6172     
   0.10433       63.7506     
   0.10536       63.8824     
   0.10638       64.0114     
   0.10741       64.1368     
   0.10844       64.2583     
   0.10946       64.3755     
   0.11049       64.4885     
   0.11050       64.4899     
   0.11051       64.4912     
   0.11053       64.4924     
   0.11054       64.4935     
   0.11055       64.4944     
   0.11056       64.4951     
   0.11058       64.4957     
   0.11059       64.4961     
   0.11060       64.4963     
   0.11061       64.4965     
   0.11063       64.4965     
   0.11082       64.4781     
   0.11101       64.4480     
   0.11120       64.4109     
   0.11139       64.3689     

 *** MAPDL - ENGINEERING ANALYSIS SYSTEM  RELEASE 2025 R2          25.2     ***
 Ansys Mechanical Enterprise Academic Research     
 00236611  VERSION=LINUX x64     18:54:14  SEP 19, 2026 CP=   5078.260

                                                                               



          ***** MAPDL POST26 VARIABLE LISTING *****


    TIME       2466 TEMP    
                  TEMP    
   0.11159       64.3236     
   0.11178       64.2755     
   0.11197       64.2252     
   0.11216       64.1730     
   0.11242       64.1128     
   0.11268       64.0581     
   0.11294       64.0058     
   0.11320       63.9544     
   0.11346       63.9034     
   0.11372       63.8527     
   0.11398       63.8021     
   0.11424       63.7518     
   0.11509       63.7468     
   0.11593       63.7940     
   0.11678       63.8632     
   0.11762       63.9443     
   0.11847       64.0321     
   0.11931       64.1234     
   0.12016       64.2160     
