
 STORAGE COMPLETE FOR   8430 DATA POINTS 

         SUMMARY OF VARIABLES STORED THIS STEP AND EXTREME VALUES
 VARI TYPE    IDENTIFIERS   NAME     MINIMUM    AT TIME     MAXIMUM    AT TIME

   2 NSOL  2466 TEMP      TEMP       54.83      0.3174E-001  64.02       4.629     

 *** MAPDL - ENGINEERING ANALYSIS SYSTEM  RELEASE 2025 R2          25.2     ***
 Ansys Mechanical Enterprise Academic Research     
 00236611  VERSION=LINUX x64     18:55:18  SEP 19, 2026 CP=   5484.086

                                                                               



          ***** MAPDL POST26 VARIABLE LISTING *****


    TIME       2466 TEMP    
                  TEMP    
   0.10000E-02   54.8296     
   0.19916E-02   54.8296     
   0.29833E-02   54.8296     
   0.39749E-02   54.8296     
   0.49666E-02   54.8296     
   0.59582E-02   54.8296     
   0.69498E-02   54.8296     
   0.79415E-02   54.8296     
   0.89331E-02   54.8296     
   0.99247E-02   54.8296     
   0.10916E-01   54.8296     
   0.11908E-01   54.8296     
   0.12900E-01   54.8296     
   0.13891E-01   54.8296     
   0.14883E-01   54.8296     
   0.15875E-01   54.8296     
   0.16866E-01   54.8296     
   0.17858E-01   54.8296     
   0.18849E-01   54.8296     
   0.19841E-01   54.8296     
   0.20833E-01   54.8296     
   0.21824E-01   54.8296     
   0.22816E-01   54.8296     
   0.23808E-01   54.8296     
   0.24799E-01   54.8296     
   0.25791E-01   54.8296     
   0.26783E-01   54.8296     
   0.27774E-01   54.8296     
   0.28766E-01   54.8296     
   0.29757E-01   54.8296     
   0.30749E-01   54.8296     
   0.31741E-01   54.8296     
   0.32732E-01   54.8296     
   0.33724E-01   54.8296     
   0.34716E-01   54.8296     
   0.35707E-01   54.8296     
   0.36699E-01   54.8296     
   0.37691E-01   54.8296     
   0.38682E-01   54.8296     
   0.39674E-01   54.8296     
   0.40666E-01   54.8296     
   0.41691E-01   55.1227     
   0.42717E-01   55.4978     
   0.43743E-01   55.9001     
   0.44768E-01   56.3109     
   0.45794E-01   56.7207     
   0.46819E-01   57.1241     
   0.47845E-01   57.5177     
   0.48871E-01   57.8999     
   0.49896E-01   58.2694     

 *** MAPDL - ENGINEERING ANALYSIS SYSTEM  RELEASE 2025 R2          25.2     ***
 Ansys Mechanical Enterprise Academic Research     
 00236611  VERSION=LINUX x64     18:55:18  SEP 19, 2026 CP=   5484.086

                                                                               



          ***** MAPDL POST26 VARIABLE LISTING *****


    TIME       2466 TEMP    
                  TEMP    
   0.50922E-01   58.6258     
   0.51948E-01   58.9691     
   0.52973E-01   59.2994     
   0.52986E-01   59.3034     
   0.52999E-01   59.3074     
   0.53012E-01   59.3113     
   0.53024E-01   59.3151     
   0.53037E-01   59.3187     
   0.53050E-01   59.3221     
   0.53063E-01   59.3254     
   0.53075E-01   59.3285     
   0.53088E-01   59.3314     
   0.53101E-01   59.3342     
   0.53114E-01   59.3370     
   0.54119E-01   59.3339     
   0.55124E-01   59.2577     
   0.56129E-01   59.1474     
   0.57135E-01   59.0189     
   0.58140E-01   58.8810     
   0.59145E-01   58.7391     
   0.60151E-01   58.5965     
   0.61156E-01   58.4555     
   0.62161E-01   58.3174     
   0.63167E-01   58.1829     
   0.63427E-01   58.1617     
   0.63688E-01   58.1486     
   0.63948E-01   58.1400     
   0.64209E-01   58.1340     
   0.64469E-01   58.1300     
   0.64730E-01   58.1274     
   0.64990E-01   58.1261     
   0.65251E-01   58.1257     
   0.66095E-01   58.2869     
   0.66940E-01   58.5013     
   0.67784E-01   58.7369     
   0.68629E-01   58.9819     
   0.69473E-01   59.2303     
   0.70318E-01   59.4785     
   0.71162E-01   59.7238     
   0.72007E-01   59.9649     
   0.73035E-01   59.9561     
   0.74064E-01   59.8560     
   0.75093E-01   59.7192     
   0.76121E-01   59.5642     
   0.77150E-01   59.4006     
   0.78179E-01   59.2340     
   0.79207E-01   59.0678     
   0.80236E-01   58.9042     
   0.81265E-01   58.7446     
   0.81277E-01   58.7426     

 *** MAPDL - ENGINEERING ANALYSIS SYSTEM  RELEASE 2025 R2          25.2     ***
 Ansys Mechanical Enterprise Academic Research     
 00236611  VERSION=LINUX x64     18:55:18  SEP 19, 2026 CP=   5484.086

                                                                               



          ***** MAPDL POST26 VARIABLE LISTING *****


    TIME       2466 TEMP    
                  TEMP    
   0.81290E-01   58.7407     
   0.81303E-01   58.7387     
   0.81316E-01   58.7368     
   0.81328E-01   58.7349     
   0.81341E-01   58.7330     
   0.82367E-01   58.8738     
   0.83392E-01   59.1004     
   0.84418E-01   59.3592     
   0.85444E-01   59.6316     
   0.86469E-01   59.9083     
   0.87495E-01   60.1836     
   0.88521E-01   60.4543     
   0.89546E-01   60.7182     
   0.90572E-01   60.9743     
   0.91598E-01   61.2218     
   0.92623E-01   61.4606     
   0.93649E-01   61.6904     
   0.93662E-01   61.6933     
   0.93674E-01   61.6960     
   0.93687E-01   61.6987     
   0.93700E-01   61.7012     
   0.93713E-01   61.7035     
   0.93725E-01   61.7057     
   0.93738E-01   61.7077     
   0.93751E-01   61.7096     
   0.93764E-01   61.7113     
   0.93776E-01   61.7129     
   0.93789E-01   61.7144     
   0.94794E-01   61.6173     
   0.95800E-01   61.4509     
   0.96805E-01   61.2539     
   0.97810E-01   61.0421     
   0.98816E-01   60.8242     
   0.99821E-01   60.6055     
   0.10083       60.3892     
   0.10183       60.1773     
   0.10284       59.9711     
   0.10384       59.7713     
   0.10410       59.7333     
   0.10436       59.7036     
   0.10462       59.6786     
   0.10488       59.6564     
   0.10514       59.6363     
   0.10541       59.6178     
   0.10567       59.6007     
   0.10593       59.5848     
   0.10677       59.6972     
   0.10762       59.8645     
   0.10846       60.0545     
   0.10930       60.2555     

 *** MAPDL - ENGINEERING ANALYSIS SYSTEM  RELEASE 2025 R2          25.2     ***
 Ansys Mechanical Enterprise Academic Research     
 00236611  VERSION=LINUX x64     18:55:18  SEP 19, 2026 CP=   5484.087

                                                                               



          ***** MAPDL POST26 VARIABLE LISTING *****


    TIME       2466 TEMP    
                  TEMP    
   0.11015       60.4614     
   0.11099       60.6684     
   0.11184       60.8740     
   0.11268       61.0766     
   0.11371       61.0229     
   0.11474       60.8797     
   0.11577       60.7015     
   0.11680       60.5068     
   0.11783       60.3051     
   0.11885       60.1019     
   0.11988       59.9007     
   0.12091       59.7034     
   0.12194       59.5115     
   0.12195       59.5091     
   0.12197       59.5068     
   0.12198       59.5044     
   0.12199       59.5021     
   0.12200       59.4998     
   0.12202       59.4975     
   0.12304       59.6075     
   0.12407       59.8046     
   0.12509       60.0350     
   0.12612       60.2801     
   0.12714       60.5307     
   0.12817       60.7809     
   0.12920       61.0275     
   0.13022       61.2684     
   0.13125       61.5023     
   0.13227       61.7285     
   0.13330       61.9468     
   0.13432       62.1571     
   0.13434       62.1597     
   0.13435       62.1622     
   0.13436       62.1646     
   0.13438       62.1669     
   0.13439       62.1690     
   0.13440       62.1709     
   0.13441       62.1727     
   0.13443       62.1743     
   0.13444       62.1758     
   0.13445       62.1771     
   0.13446       62.1784     
   0.13547       62.0630     
   0.13648       61.8789     
   0.13748       61.6650     
   0.13849       61.4370     
   0.13949       61.2035     
   0.14050       60.9698     
   0.14150       60.7390     
   0.14251       60.5133     

 *** MAPDL - ENGINEERING ANALYSIS SYSTEM  RELEASE 2025 R2          25.2     ***
 Ansys Mechanical Enterprise Academic Research     
 00236611  VERSION=LINUX x64     18:55:18  SEP 19, 2026 CP=   5484.087

                                                                               



          ***** MAPDL POST26 VARIABLE LISTING *****


    TIME       2466 TEMP    
                  TEMP    
   0.14351       60.2938     
   0.14452       60.0813     
   0.14478       60.0400     
   0.14504       60.0071     
   0.14530       59.9789     
   0.14556       59.9535     
   0.14582       59.9303     
   0.14608       59.9087     
   0.14634       59.8885     
   0.14660       59.8696     
   0.14745       59.9725     
   0.14829       60.1306     
   0.14914       60.3117     
   0.14998       60.5041     
   0.15082       60.7016     
   0.15167       60.9006     
   0.15251       61.0985     
   0.15336       61.2935     
   0.15439       61.2311     
   0.15541       61.0795     
   0.15644       60.8932     
   0.15747       60.6908     
   0.15850       60.4816     
   0.15953       60.2713     
   0.16056       60.0632     
   0.16159       59.8594     
   0.16262       59.6612     
   0.16263       59.6587     
   0.16264       59.6563     
