
 STORAGE COMPLETE FOR   7890 DATA POINTS 

         SUMMARY OF VARIABLES STORED THIS STEP AND EXTREME VALUES
 VARI TYPE    IDENTIFIERS   NAME     MINIMUM    AT TIME     MAXIMUM    AT TIME

   2 NSOL  2466 TEMP      TEMP       54.83      0.5360E-001  65.01       3.259     

 *** MAPDL - ENGINEERING ANALYSIS SYSTEM  RELEASE 2025 R2          25.2     ***
 Ansys Mechanical Enterprise Academic Research     
 00236611  VERSION=LINUX x64     16:02:05  SEP 25, 2026 CP=   4741.447

                                                                               



          ***** MAPDL POST26 VARIABLE LISTING *****


    TIME       2466 TEMP    
                  TEMP    
   0.10000E-02   54.8296     
   0.19924E-02   54.8296     
   0.29848E-02   54.8296     
   0.39772E-02   54.8296     
   0.49696E-02   54.8296     
   0.59619E-02   54.8296     
   0.69543E-02   54.8296     
   0.79467E-02   54.8296     
   0.89391E-02   54.8296     
   0.99315E-02   54.8296     
   0.10924E-01   54.8296     
   0.11916E-01   54.8296     
   0.12909E-01   54.8296     
   0.13901E-01   54.8296     
   0.14893E-01   54.8296     
   0.15886E-01   54.8296     
   0.16878E-01   54.8296     
   0.17871E-01   54.8296     
   0.18863E-01   54.8296     
   0.19855E-01   54.8296     
   0.20848E-01   54.8296     
   0.21840E-01   54.8296     
   0.22833E-01   54.8296     
   0.23825E-01   54.8296     
   0.24817E-01   54.8296     
   0.25810E-01   54.8296     
   0.26802E-01   54.8296     
   0.27795E-01   54.8296     
   0.28787E-01   54.8296     
   0.29779E-01   54.8296     
   0.30772E-01   54.8296     
   0.31764E-01   54.8296     
   0.32756E-01   54.8296     
   0.33749E-01   54.8296     
   0.34741E-01   54.8296     
   0.35734E-01   54.8296     
   0.36726E-01   54.8296     
   0.37718E-01   54.8296     
   0.38711E-01   54.8296     
   0.39703E-01   54.8296     
   0.40696E-01   54.8296     
   0.41688E-01   54.8296     
   0.42680E-01   54.8296     
   0.43673E-01   54.8296     
   0.44665E-01   54.8296     
   0.45658E-01   54.8296     
   0.46650E-01   54.8296     
   0.47642E-01   54.8296     
   0.48635E-01   54.8296     
   0.49627E-01   54.8296     

 *** MAPDL - ENGINEERING ANALYSIS SYSTEM  RELEASE 2025 R2          25.2     ***
 Ansys Mechanical Enterprise Academic Research     
 00236611  VERSION=LINUX x64     16:02:05  SEP 25, 2026 CP=   4741.448

                                                                               



          ***** MAPDL POST26 VARIABLE LISTING *****


    TIME       2466 TEMP    
                  TEMP    
   0.50619E-01   54.8296     
   0.51612E-01   54.8296     
   0.52604E-01   54.8296     
   0.53597E-01   54.8296     
   0.54589E-01   54.8296     
   0.55581E-01   54.8296     
   0.56574E-01   54.8296     
   0.57566E-01   54.8296     
   0.58559E-01   54.8296     
   0.59551E-01   54.8296     
   0.60543E-01   54.8296     
   0.61569E-01   55.1227     
   0.62595E-01   55.4978     
   0.63620E-01   55.9001     
   0.64646E-01   56.3109     
   0.65672E-01   56.7207     
   0.66697E-01   57.1241     
   0.67723E-01   57.5177     
   0.68749E-01   57.8999     
   0.69774E-01   58.2694     
   0.70800E-01   58.6258     
   0.71826E-01   58.9691     
   0.72851E-01   59.2994     
   0.72864E-01   59.3034     
   0.72877E-01   59.3074     
   0.72890E-01   59.3113     
   0.72902E-01   59.3151     
   0.72915E-01   59.3187     
   0.72928E-01   59.3221     
   0.72940E-01   59.3253     
   0.72953E-01   59.3284     
   0.72966E-01   59.3314     
   0.72979E-01   59.3342     
   0.72991E-01   59.3369     
   0.73548E-01   59.3593     
   0.74104E-01   59.3413     
   0.74661E-01   59.3019     
   0.75218E-01   59.2487     
   0.75774E-01   59.1861     
   0.76331E-01   59.1168     
   0.76887E-01   59.0428     
   0.77444E-01   58.9656     
   0.77705E-01   58.9423     
   0.77965E-01   58.9265     
   0.78226E-01   58.9144     
   0.78486E-01   58.9045     
   0.78747E-01   58.8960     
   0.79007E-01   58.8887     
   0.79268E-01   58.8822     
   0.79528E-01   58.8764     

 *** MAPDL - ENGINEERING ANALYSIS SYSTEM  RELEASE 2025 R2          25.2     ***
 Ansys Mechanical Enterprise Academic Research     
 00236611  VERSION=LINUX x64     16:02:05  SEP 25, 2026 CP=   4741.448

                                                                               



          ***** MAPDL POST26 VARIABLE LISTING *****


    TIME       2466 TEMP    
                  TEMP    
   0.80373E-01   59.0181     
   0.81217E-01   59.2120     
   0.82062E-01   59.4265     
   0.82906E-01   59.6504     
   0.83750E-01   59.8778     
   0.84595E-01   60.1052     
   0.85439E-01   60.3303     
   0.86284E-01   60.5515     
   0.86841E-01   60.5656     
   0.87398E-01   60.5264     
   0.87955E-01   60.4628     
   0.88513E-01   60.3850     
   0.89070E-01   60.2977     
   0.89627E-01   60.2041     
   0.90185E-01   60.1062     
   0.90742E-01   60.0055     
   0.90755E-01   60.0032     
   0.90767E-01   60.0009     
   0.90780E-01   59.9986     
   0.90793E-01   59.9964     
   0.90806E-01   59.9941     
   0.90818E-01   59.9919     
   0.90819E-01   59.9917     
   0.91845E-01   60.0981     
   0.92870E-01   60.2859     
   0.93896E-01   60.5038     
   0.94922E-01   60.7346     
   0.95947E-01   60.9698     
   0.96973E-01   61.2043     
   0.97999E-01   61.4351     
   0.99024E-01   61.6604     
   0.10005       61.8790     
   0.10108       62.0905     
   0.10210       62.2944     
   0.10313       62.4908     
   0.10314       62.4933     
   0.10315       62.4956     
   0.10317       62.4978     
   0.10318       62.4999     
   0.10319       62.5019     
   0.10320       62.5036     
   0.10322       62.5052     
   0.10323       62.5066     
   0.10324       62.5079     
   0.10325       62.5091     
   0.10327       62.5102     
   0.10382       62.4619     
   0.10438       62.3749     
   0.10494       62.2679     
   0.10549       62.1487     

 *** MAPDL - ENGINEERING ANALYSIS SYSTEM  RELEASE 2025 R2          25.2     ***
 Ansys Mechanical Enterprise Academic Research     
 00236611  VERSION=LINUX x64     16:02:05  SEP 25, 2026 CP=   4741.448

                                                                               



          ***** MAPDL POST26 VARIABLE LISTING *****


    TIME       2466 TEMP    
                  TEMP    
   0.10605       62.0215     
   0.10661       61.8890     
   0.10716       61.7533     
   0.10772       61.6157     
   0.10798       61.5645     
   0.10824       61.5209     
   0.10850       61.4815     
   0.10876       61.4445     
   0.10902       61.4092     
   0.10928       61.3753     
   0.10954       61.3426     
   0.10980       61.3109     
   0.11065       61.3712     
   0.11149       61.4865     
   0.11234       61.6250     
   0.11318       61.7754     
   0.11403       61.9318     
   0.11487       62.0906     
   0.11571       62.2493     
   0.11656       62.4064     
   0.11712       62.3791     
   0.11767       62.2995     
   0.11823       62.1964     
   0.11879       62.0798     
   0.11935       61.9548     
   0.11990       61.8242     
   0.12046       61.6901     
   0.12102       61.5541     
   0.12103       61.5510     
   0.12104       61.5479     
   0.12106       61.5448     
   0.12107       61.5418     
   0.12108       61.5387     
   0.12109       61.5357     
   0.12109       61.5355     
   0.12212       61.5796     
   0.12315       61.7077     
   0.12417       61.8684     
   0.12520       62.0442     
   0.12622       62.2266     
   0.12725       62.4104     
   0.12827       62.5926     
   0.12930       62.7713     
   0.13033       62.9451     
   0.13135       63.1136     
   0.13238       63.2763     
   0.13340       63.4332     
   0.13342       63.4351     
   0.13343       63.4369     
   0.13344       63.4387     

 *** MAPDL - ENGINEERING ANALYSIS SYSTEM  RELEASE 2025 R2          25.2     ***
 Ansys Mechanical Enterprise Academic Research     
 00236611  VERSION=LINUX x64     16:02:05  SEP 25, 2026 CP=   4741.448

                                                                               



          ***** MAPDL POST26 VARIABLE LISTING *****


    TIME       2466 TEMP    
                  TEMP    
   0.13345       63.4403     
   0.13347       63.4417     
   0.13348       63.4430     
   0.13349       63.4441     
   0.13350       63.4451     
   0.13352       63.4459     
   0.13353       63.4466     
   0.13354       63.4471     
   0.13410       63.3780     
   0.13466       63.2705     
   0.13521       63.1436     
   0.13577       63.0049     
   0.13633       62.8586     
   0.13688       62.7075     
   0.13744       62.5535     
   0.13800       62.3981     
   0.13826       62.3386     
   0.13852       62.2869     
   0.13878       62.2394     
   0.13904       62.1944     
   0.13930       62.1512     
   0.13956       62.1095     
   0.13982       62.0690     
   0.14008       62.0296     
   0.14092       62.0659     
   0.14177       62.1580     
   0.14261       62.2741     
   0.14346       62.4028     
   0.14430       62.5383     
   0.14515       62.6768     
