
 STORAGE COMPLETE FOR   7460 DATA POINTS 

         SUMMARY OF VARIABLES STORED THIS STEP AND EXTREME VALUES
 VARI TYPE    IDENTIFIERS   NAME     MINIMUM    AT TIME     MAXIMUM    AT TIME

   2 NSOL  2466 TEMP      TEMP       54.83      0.5165E-001  65.62       1.264     

 *** MAPDL - ENGINEERING ANALYSIS SYSTEM  RELEASE 2025 R2          25.2     ***
 Ansys Mechanical Enterprise Academic Research     
 00236611  VERSION=LINUX x64     12:53:12  SEP 17, 2026 CP=   4027.112

                                                                               



          ***** MAPDL POST26 VARIABLE LISTING *****


    TIME       2466 TEMP    
                  TEMP    
   0.10000E-02   54.8296     
   0.19931E-02   54.8296     
   0.29862E-02   54.8296     
   0.39793E-02   54.8296     
   0.49724E-02   54.8296     
   0.59655E-02   54.8296     
   0.69585E-02   54.8296     
   0.79516E-02   54.8296     
   0.89447E-02   54.8296     
   0.99378E-02   54.8296     
   0.10931E-01   54.8296     
   0.11924E-01   54.8296     
   0.12917E-01   54.8296     
   0.13910E-01   54.8296     
   0.14903E-01   54.8296     
   0.15896E-01   54.8296     
   0.16889E-01   54.8296     
   0.17883E-01   54.8296     
   0.18876E-01   54.8296     
   0.19869E-01   54.8296     
   0.20862E-01   54.8296     
   0.21855E-01   54.8296     
   0.22848E-01   54.8296     
   0.23841E-01   54.8296     
   0.24834E-01   54.8296     
   0.25827E-01   54.8296     
   0.26820E-01   54.8296     
   0.27813E-01   54.8296     
   0.28807E-01   54.8296     
   0.29800E-01   54.8296     
   0.30793E-01   54.8296     
   0.31786E-01   54.8296     
   0.32779E-01   54.8296     
   0.33772E-01   54.8296     
   0.34765E-01   54.8296     
   0.35758E-01   54.8296     
   0.36751E-01   54.8296     
   0.37744E-01   54.8296     
   0.38737E-01   54.8296     
   0.39731E-01   54.8296     
   0.40724E-01   54.8296     
   0.41717E-01   54.8296     
   0.42710E-01   54.8296     
   0.43703E-01   54.8296     
   0.44696E-01   54.8296     
   0.45689E-01   54.8296     
   0.46682E-01   54.8296     
   0.47675E-01   54.8296     
   0.48668E-01   54.8296     
   0.49661E-01   54.8296     

 *** MAPDL - ENGINEERING ANALYSIS SYSTEM  RELEASE 2025 R2          25.2     ***
 Ansys Mechanical Enterprise Academic Research     
 00236611  VERSION=LINUX x64     12:53:12  SEP 17, 2026 CP=   4027.112

                                                                               



          ***** MAPDL POST26 VARIABLE LISTING *****


    TIME       2466 TEMP    
                  TEMP    
   0.50655E-01   54.8296     
   0.51648E-01   54.8296     
   0.52673E-01   55.1227     
   0.53699E-01   55.4978     
   0.54725E-01   55.9001     
   0.55750E-01   56.3109     
   0.56776E-01   56.7207     
   0.57802E-01   57.1241     
   0.58827E-01   57.5177     
   0.59853E-01   57.8999     
   0.60879E-01   58.2694     
   0.61904E-01   58.6258     
   0.62930E-01   58.9691     
   0.63956E-01   59.2994     
   0.63968E-01   59.3034     
   0.63981E-01   59.3074     
   0.63994E-01   59.3113     
   0.64006E-01   59.3151     
   0.64019E-01   59.3187     
   0.64032E-01   59.3221     
   0.64045E-01   59.3253     
   0.64057E-01   59.3284     
   0.64070E-01   59.3314     
   0.64083E-01   59.3342     
   0.64095E-01   59.3369     
   0.64096E-01   59.3370     
   0.64356E-01   59.3746     
   0.64617E-01   59.4028     
   0.64877E-01   59.4250     
   0.65138E-01   59.4428     
   0.65398E-01   59.4571     
   0.65659E-01   59.4686     
   0.65920E-01   59.4776     
   0.66180E-01   59.4845     
   0.67024E-01   59.6476     
   0.67869E-01   59.8494     
   0.68713E-01   60.0627     
   0.69558E-01   60.2794     
   0.70402E-01   60.4956     
   0.71247E-01   60.7092     
   0.72091E-01   60.9188     
   0.72935E-01   61.1237     
   0.73493E-01   61.1267     
   0.74050E-01   61.0764     
   0.74607E-01   61.0015     
   0.75164E-01   60.9125     
   0.75722E-01   60.8141     
   0.76279E-01   60.7094     
   0.76836E-01   60.6006     
   0.77394E-01   60.4892     

 *** MAPDL - ENGINEERING ANALYSIS SYSTEM  RELEASE 2025 R2          25.2     ***
 Ansys Mechanical Enterprise Academic Research     
 00236611  VERSION=LINUX x64     12:53:12  SEP 17, 2026 CP=   4027.112

                                                                               



          ***** MAPDL POST26 VARIABLE LISTING *****


    TIME       2466 TEMP    
                  TEMP    
   0.77406E-01   60.4867     
   0.77419E-01   60.4841     
   0.77432E-01   60.4816     
   0.77445E-01   60.4791     
   0.77457E-01   60.4766     
   0.77470E-01   60.4741     
   0.77471E-01   60.4740     
   0.78496E-01   60.5612     
   0.79522E-01   60.7306     
   0.80548E-01   60.9307     
   0.81573E-01   61.1444     
   0.82599E-01   61.3631     
   0.83625E-01   61.5818     
   0.84650E-01   61.7975     
   0.85676E-01   62.0081     
   0.86702E-01   62.2128     
   0.87727E-01   62.4108     
   0.88753E-01   62.6018     
   0.89779E-01   62.7859     
   0.89791E-01   62.7881     
   0.89804E-01   62.7903     
   0.89817E-01   62.7924     
   0.89830E-01   62.7943     
   0.89842E-01   62.7961     
   0.89855E-01   62.7977     
   0.89868E-01   62.7992     
   0.89880E-01   62.8004     
   0.89893E-01   62.8016     
   0.89906E-01   62.8026     
   0.89918E-01   62.8035     
   0.89919E-01   62.8035     
   0.90179E-01   62.8046     
   0.90440E-01   62.7967     
   0.90700E-01   62.7831     
   0.90961E-01   62.7655     
   0.91221E-01   62.7447     
   0.91482E-01   62.7215     
   0.91743E-01   62.6962     
   0.92003E-01   62.6692     
   0.92847E-01   62.7258     
   0.93692E-01   62.8248     
   0.94536E-01   62.9388     
   0.95381E-01   63.0593     
   0.96225E-01   63.1826     
   0.97070E-01   63.3064     
   0.97914E-01   63.4293     
   0.98758E-01   63.5503     
   0.99316E-01   63.4992     
   0.99873E-01   63.3959     
   0.10043       63.2693     

 *** MAPDL - ENGINEERING ANALYSIS SYSTEM  RELEASE 2025 R2          25.2     ***
 Ansys Mechanical Enterprise Academic Research     
 00236611  VERSION=LINUX x64     12:53:12  SEP 17, 2026 CP=   4027.112

                                                                               



          ***** MAPDL POST26 VARIABLE LISTING *****


    TIME       2466 TEMP    
                  TEMP    
   0.10099       63.1297     
   0.10154       62.9818     
   0.10210       62.8288     
   0.10266       62.6727     
   0.10322       62.5151     
   0.10323       62.5115     
   0.10324       62.5079     
   0.10325       62.5043     
   0.10327       62.5007     
   0.10328       62.4972     
   0.10329       62.4937     
   0.10329       62.4935     
   0.10432       62.4993     
   0.10534       62.5906     
   0.10637       62.7158     
   0.10740       62.8575     
   0.10842       63.0072     
   0.10945       63.1597     
   0.11047       63.3117     
   0.11150       63.4614     
   0.11252       63.6074     
   0.11355       63.7492     
   0.11458       63.8863     
   0.11560       64.0186     
   0.11561       64.0202     
   0.11563       64.0218     
   0.11564       64.0232     
   0.11565       64.0245     
   0.11567       64.0256     
   0.11568       64.0266     
   0.11569       64.0274     
   0.11570       64.0281     
   0.11572       64.0286     
   0.11573       64.0289     
   0.11574       64.0292     
   0.11574       64.0292     
   0.11600       64.0174     
   0.11626       63.9966     
   0.11652       63.9704     
   0.11678       63.9402     
   0.11704       63.9071     
   0.11731       63.8716     
   0.11757       63.8342     
   0.11783       63.7951     
   0.11867       63.8142     
   0.11951       63.8768     
   0.12036       63.9556     
   0.12120       64.0421     
   0.12205       64.1326     
   0.12289       64.2247     

 *** MAPDL - ENGINEERING ANALYSIS SYSTEM  RELEASE 2025 R2          25.2     ***
 Ansys Mechanical Enterprise Academic Research     
 00236611  VERSION=LINUX x64     12:53:12  SEP 17, 2026 CP=   4027.113

                                                                               



          ***** MAPDL POST26 VARIABLE LISTING *****


    TIME       2466 TEMP    
                  TEMP    
   0.12374       64.3168     
   0.12458       64.4081     
   0.12514       64.3374     
   0.12570       64.2146     
   0.12626       64.0689     
   0.12682       63.9105     
   0.12738       63.7443     
   0.12794       63.5733     
   0.12850       63.3997     
   0.12906       63.2249     
   0.12907       63.2209     
   0.12909       63.2170     
   0.12910       63.2130     
   0.12911       63.2091     
   0.12912       63.2051     
   0.12914       63.2012     
   0.12924       63.1705     
   0.12934       63.1395     
   0.12944       63.1084     
   0.12954       63.0772     
   0.12964       63.0460     
   0.12974       63.0147     
   0.12984       62.9834     
   0.12994       62.9521     
   0.13097       62.9314     
