
 STORAGE COMPLETE FOR   6610 DATA POINTS 

         SUMMARY OF VARIABLES STORED THIS STEP AND EXTREME VALUES
 VARI TYPE    IDENTIFIERS   NAME     MINIMUM    AT TIME     MAXIMUM    AT TIME

   2 NSOL  2466 TEMP      TEMP       54.83      0.2213E-001  67.05       1.600     

 *** MAPDL - ENGINEERING ANALYSIS SYSTEM  RELEASE 2025 R2          25.2     ***
 Ansys Mechanical Enterprise Academic Research     
 00236611  VERSION=LINUX x64     12:51:33  SEP 17, 2026 CP=   3394.614

                                                                               



          ***** MAPDL POST26 VARIABLE LISTING *****


    TIME       2466 TEMP    
                  TEMP    
   0.10000E-02   54.8296     
   0.20062E-02   54.8296     
   0.30124E-02   54.8296     
   0.40186E-02   54.8296     
   0.50248E-02   54.8296     
   0.60310E-02   54.8296     
   0.70372E-02   54.8296     
   0.80434E-02   54.8296     
   0.90496E-02   54.8296     
   0.10056E-01   54.8296     
   0.11062E-01   54.8296     
   0.12068E-01   54.8296     
   0.13074E-01   54.8296     
   0.14081E-01   54.8296     
   0.15087E-01   54.8296     
   0.16093E-01   54.8296     
   0.17099E-01   54.8296     
   0.18106E-01   54.8296     
   0.19112E-01   54.8296     
   0.20118E-01   54.8296     
   0.21124E-01   54.8296     
   0.22130E-01   54.8296     
   0.23137E-01   54.8296     
   0.24143E-01   54.8296     
   0.25149E-01   54.8296     
   0.26155E-01   54.8296     
   0.27161E-01   54.8296     
   0.28168E-01   54.8296     
   0.29174E-01   54.8296     
   0.30180E-01   54.8296     
   0.31186E-01   54.8296     
   0.32192E-01   54.8296     
   0.33199E-01   54.8296     
   0.34205E-01   54.8296     
   0.35211E-01   54.8296     
   0.36217E-01   54.8296     
   0.37223E-01   54.8296     
   0.38230E-01   54.8296     
   0.39236E-01   54.8296     
   0.40242E-01   54.8296     
   0.41248E-01   54.8296     
   0.42254E-01   54.8296     
   0.43261E-01   54.8296     
   0.44267E-01   54.8296     
   0.45273E-01   54.8296     
   0.46279E-01   54.8296     
   0.47285E-01   54.8296     
   0.48292E-01   54.8296     
   0.49298E-01   54.8296     
   0.50304E-01   54.8296     

 *** MAPDL - ENGINEERING ANALYSIS SYSTEM  RELEASE 2025 R2          25.2     ***
 Ansys Mechanical Enterprise Academic Research     
 00236611  VERSION=LINUX x64     12:51:33  SEP 17, 2026 CP=   3394.614

                                                                               



          ***** MAPDL POST26 VARIABLE LISTING *****


    TIME       2466 TEMP    
                  TEMP    
   0.51310E-01   54.8296     
   0.52317E-01   54.8296     
   0.53323E-01   54.8296     
   0.54329E-01   54.8296     
   0.55335E-01   54.8296     
   0.56341E-01   54.8296     
   0.57348E-01   54.8296     
   0.58354E-01   54.8296     
   0.59360E-01   54.8296     
   0.60366E-01   54.8296     
   0.61372E-01   54.8296     
   0.62379E-01   54.8296     
   0.63385E-01   54.8296     
   0.64391E-01   54.8296     
   0.65397E-01   54.8296     
   0.66403E-01   54.8296     
   0.67410E-01   54.8296     
   0.68416E-01   54.8296     
   0.69422E-01   54.8296     
   0.70428E-01   54.8296     
   0.71434E-01   54.8296     
   0.72441E-01   54.8296     
   0.73447E-01   54.8296     
   0.74453E-01   54.8296     
   0.75459E-01   54.8296     
   0.76465E-01   54.8296     
   0.77472E-01   54.8296     
   0.78497E-01   55.1227     
   0.79523E-01   55.4978     
   0.80549E-01   55.9001     
   0.81574E-01   56.3109     
   0.82600E-01   56.7207     
   0.83626E-01   57.1241     
   0.84651E-01   57.5177     
   0.85677E-01   57.8999     
   0.86703E-01   58.2694     
   0.87728E-01   58.6258     
   0.88754E-01   58.9691     
   0.89780E-01   59.2994     
   0.89792E-01   59.3034     
   0.89805E-01   59.3074     
   0.89818E-01   59.3113     
   0.89831E-01   59.3151     
   0.89843E-01   59.3187     
   0.89856E-01   59.3221     
   0.89869E-01   59.3255     
   0.89883E-01   59.3288     
   0.89896E-01   59.3319     
   0.89910E-01   59.3348     
   0.90172E-01   59.3733     

 *** MAPDL - ENGINEERING ANALYSIS SYSTEM  RELEASE 2025 R2          25.2     ***
 Ansys Mechanical Enterprise Academic Research     
 00236611  VERSION=LINUX x64     12:51:33  SEP 17, 2026 CP=   3394.615

                                                                               



          ***** MAPDL POST26 VARIABLE LISTING *****


    TIME       2466 TEMP    
                  TEMP    
   0.90433E-01   59.4020     
   0.90695E-01   59.4245     
   0.90957E-01   59.4424     
   0.91219E-01   59.4569     
   0.91481E-01   59.4684     
   0.91743E-01   59.4775     
   0.92005E-01   59.4845     
   0.92849E-01   59.6476     
   0.93694E-01   59.8495     
   0.94539E-01   60.0630     
   0.95384E-01   60.2797     
   0.96228E-01   60.4960     
   0.97073E-01   60.7097     
   0.97918E-01   60.9194     
   0.98763E-01   61.1243     
   0.99319E-01   61.1274     
   0.99876E-01   61.0771     
   0.10043       61.0024     
   0.10099       60.9135     
   0.10155       60.8152     
   0.10210       60.7107     
   0.10266       60.6020     
   0.10322       60.4908     
   0.10323       60.4882     
   0.10324       60.4857     
   0.10325       60.4831     
   0.10327       60.4806     
   0.10328       60.4781     
   0.10329       60.4756     
   0.10435       60.5682     
   0.10541       60.7449     
   0.10647       60.9525     
   0.10752       61.1736     
   0.10858       61.3991     
   0.10964       61.6240     
   0.11070       61.8452     
   0.11176       62.0609     
   0.11176       62.0612     
   0.11278       62.2637     
   0.11381       62.4598     
   0.11483       62.6490     
   0.11586       62.8312     
   0.11689       63.0065     
   0.11791       63.1750     
   0.11894       63.3369     
   0.11996       63.4924     
   0.12099       63.6417     
   0.12201       63.7850     
   0.12304       63.9226     
   0.12407       64.0547     

 *** MAPDL - ENGINEERING ANALYSIS SYSTEM  RELEASE 2025 R2          25.2     ***
 Ansys Mechanical Enterprise Academic Research     
 00236611  VERSION=LINUX x64     12:51:33  SEP 17, 2026 CP=   3394.615

                                                                               



          ***** MAPDL POST26 VARIABLE LISTING *****


    TIME       2466 TEMP    
                  TEMP    
   0.12409       64.0580     
   0.12412       64.0607     
   0.12415       64.0626     
   0.12418       64.0637     
   0.12421       64.0641     
   0.12423       64.0639     
   0.12426       64.0632     
   0.12429       64.0619     
   0.12429       64.0618     
   0.12431       64.0612     
   0.12432       64.0604     
   0.12433       64.0595     
   0.12435       64.0587     
   0.12436       64.0578     
   0.12437       64.0572     
   0.12463       64.0339     
   0.12489       64.0068     
   0.12515       63.9763     
   0.12541       63.9430     
   0.12567       63.9074     
   0.12593       63.8698     
   0.12619       63.8307     
   0.12645       63.7902     
   0.12730       63.8062     
   0.12814       63.8668     
   0.12899       63.9444     
   0.12983       64.0304     
   0.13068       64.1205     
   0.13152       64.2125     
   0.13237       64.3047     
   0.13321       64.3962     
   0.13322       64.3976     
   0.13324       64.3989     
   0.13325       64.4002     
   0.13326       64.4013     
   0.13328       64.4023     
   0.13329       64.4032     
   0.13330       64.4040     
   0.13388       64.4516     
   0.13445       64.5074     
   0.13502       64.5650     
   0.13560       64.6226     
   0.13617       64.6796     
   0.13675       64.7358     
   0.13732       64.7911     
   0.13789       64.8454     
   0.13790       64.8461     
   0.13792       64.8475     
   0.13793       64.8487     
   0.13795       64.8498     

 *** MAPDL - ENGINEERING ANALYSIS SYSTEM  RELEASE 2025 R2          25.2     ***
 Ansys Mechanical Enterprise Academic Research     
 00236611  VERSION=LINUX x64     12:51:33  SEP 17, 2026 CP=   3394.615

                                                                               



          ***** MAPDL POST26 VARIABLE LISTING *****


    TIME       2466 TEMP    
                  TEMP    
   0.13796       64.8507     
   0.13798       64.8514     
   0.13799       64.8519     
   0.13801       64.8523     
   0.13802       64.8525     
   0.13805       64.8522     
   0.13808       64.8514     
   0.13811       64.8500     
   0.13814       64.8481     
   0.13817       64.8457     
   0.13819       64.8430     
   0.13822       64.8398     
   0.13825       64.8364     
   0.13924       64.8728     
   0.14022       64.9427     
   0.14120       65.0193     
   0.14219       65.0970     
   0.14317       65.1741     
   0.14416       65.2498     
   0.14514       65.3234     
   0.14613       65.3949     
   0.14711       65.4641     
   0.14810       65.5308     
   0.14908       65.5951     
   0.15007       65.6571     
   0.15105       65.7168     
   0.15204       65.7742     
   0.15302       65.8294     
   0.15401       65.8825     
   0.15499       65.9335     
   0.15597       65.9826     
   0.15696       66.0298     
   0.15794       66.0752     
