
 STORAGE COMPLETE FOR   7350 DATA POINTS 

         SUMMARY OF VARIABLES STORED THIS STEP AND EXTREME VALUES
 VARI TYPE    IDENTIFIERS   NAME     MINIMUM    AT TIME     MAXIMUM    AT TIME

   2 NSOL  2466 TEMP      TEMP       54.83      0.2582E-001  65.05       2.203     

 *** MAPDL - ENGINEERING ANALYSIS SYSTEM  RELEASE 2025 R2          25.2     ***
 Ansys Mechanical Enterprise Academic Research     
 00236611  VERSION=LINUX x64     12:55:36  SEP 17, 2026 CP=   5014.484

                                                                               



          ***** MAPDL POST26 VARIABLE LISTING *****


    TIME       2466 TEMP    
                  TEMP    
   0.10000E-02   54.8296     
   0.19929E-02   54.8296     
   0.29858E-02   54.8296     
   0.39787E-02   54.8296     
   0.49717E-02   54.8296     
   0.59646E-02   54.8296     
   0.69575E-02   54.8296     
   0.79504E-02   54.8296     
   0.89433E-02   54.8296     
   0.99362E-02   54.8296     
   0.10929E-01   54.8296     
   0.11922E-01   54.8296     
   0.12915E-01   54.8296     
   0.13908E-01   54.8296     
   0.14901E-01   54.8296     
   0.15894E-01   54.8296     
   0.16887E-01   54.8296     
   0.17880E-01   54.8296     
   0.18872E-01   54.8296     
   0.19865E-01   54.8296     
   0.20858E-01   54.8296     
   0.21851E-01   54.8296     
   0.22844E-01   54.8296     
   0.23837E-01   54.8296     
   0.24830E-01   54.8296     
   0.25823E-01   54.8296     
   0.26849E-01   55.1227     
   0.27874E-01   55.4978     
   0.28900E-01   55.9001     
   0.29926E-01   56.3109     
   0.30951E-01   56.7207     
   0.31977E-01   57.1241     
   0.33003E-01   57.5177     
   0.34028E-01   57.8999     
   0.35054E-01   58.2694     
   0.36080E-01   58.6258     
   0.37105E-01   58.9691     
   0.38131E-01   59.2994     
   0.38144E-01   59.3034     
   0.38156E-01   59.3074     
   0.38169E-01   59.3113     
   0.38182E-01   59.3151     
   0.38195E-01   59.3187     
   0.38207E-01   59.3221     
   0.38220E-01   59.3254     
   0.38233E-01   59.3285     
   0.38245E-01   59.3314     
   0.38258E-01   59.3342     
   0.38271E-01   59.3370     
   0.38271E-01   59.3370     

 *** MAPDL - ENGINEERING ANALYSIS SYSTEM  RELEASE 2025 R2          25.2     ***
 Ansys Mechanical Enterprise Academic Research     
 00236611  VERSION=LINUX x64     12:55:36  SEP 17, 2026 CP=   5014.484

                                                                               



          ***** MAPDL POST26 VARIABLE LISTING *****


    TIME       2466 TEMP    
                  TEMP    
   0.38532E-01   59.3746     
   0.38792E-01   59.4029     
   0.39053E-01   59.4250     
   0.39314E-01   59.4428     
   0.39574E-01   59.4571     
   0.39835E-01   59.4686     
   0.40095E-01   59.4776     
   0.40356E-01   59.4845     
   0.41200E-01   59.6476     
   0.42045E-01   59.8494     
   0.42889E-01   60.0628     
   0.43734E-01   60.2794     
   0.44578E-01   60.4956     
   0.45423E-01   60.7092     
   0.46267E-01   60.9189     
   0.47111E-01   61.1237     
   0.47669E-01   61.1268     
   0.48226E-01   61.0764     
   0.48783E-01   61.0016     
   0.49340E-01   60.9125     
   0.49898E-01   60.8142     
   0.50455E-01   60.7095     
   0.51012E-01   60.6007     
   0.51570E-01   60.4893     
   0.51582E-01   60.4867     
   0.51595E-01   60.4842     
   0.51608E-01   60.4817     
   0.51620E-01   60.4792     
   0.51633E-01   60.4767     
   0.51646E-01   60.4742     
   0.52672E-01   60.5614     
   0.53697E-01   60.7308     
   0.54723E-01   60.9309     
   0.55749E-01   61.1446     
   0.56774E-01   61.3633     
   0.57800E-01   61.5820     
   0.58826E-01   61.7976     
   0.59851E-01   62.0083     
   0.60877E-01   62.2129     
   0.61903E-01   62.4109     
   0.62928E-01   62.6020     
   0.63954E-01   62.7860     
   0.63967E-01   62.7883     
   0.63979E-01   62.7904     
   0.63992E-01   62.7925     
   0.64005E-01   62.7945     
   0.64018E-01   62.7962     
   0.64030E-01   62.7979     
   0.64043E-01   62.7993     
   0.64056E-01   62.8006     

 *** MAPDL - ENGINEERING ANALYSIS SYSTEM  RELEASE 2025 R2          25.2     ***
 Ansys Mechanical Enterprise Academic Research     
 00236611  VERSION=LINUX x64     12:55:36  SEP 17, 2026 CP=   5014.485

                                                                               



          ***** MAPDL POST26 VARIABLE LISTING *****


    TIME       2466 TEMP    
                  TEMP    
   0.64069E-01   62.8017     
   0.64081E-01   62.8028     
   0.64094E-01   62.8037     
   0.64094E-01   62.8037     
   0.64355E-01   62.8047     
   0.64615E-01   62.7968     
   0.64876E-01   62.7832     
   0.65137E-01   62.7656     
   0.65397E-01   62.7448     
   0.65658E-01   62.7216     
   0.65918E-01   62.6963     
   0.66179E-01   62.6693     
   0.67023E-01   62.7259     
   0.67868E-01   62.8249     
   0.68712E-01   62.9389     
   0.69557E-01   63.0594     
   0.70401E-01   63.1827     
   0.71246E-01   63.3065     
   0.72090E-01   63.4294     
   0.72934E-01   63.5503     
   0.73492E-01   63.4993     
   0.74049E-01   63.3960     
   0.74606E-01   63.2694     
   0.75163E-01   63.1298     
   0.75721E-01   62.9819     
   0.76278E-01   62.8289     
   0.76835E-01   62.6728     
   0.77393E-01   62.5152     
   0.77405E-01   62.5116     
   0.77418E-01   62.5080     
   0.77431E-01   62.5044     
   0.77443E-01   62.5009     
   0.77456E-01   62.4973     
   0.77469E-01   62.4938     
   0.78495E-01   62.4996     
   0.79520E-01   62.5909     
   0.80546E-01   62.7161     
   0.81572E-01   62.8578     
   0.82597E-01   63.0075     
   0.83623E-01   63.1599     
   0.84649E-01   63.3119     
   0.85674E-01   63.4616     
   0.86700E-01   63.6076     
   0.87726E-01   63.7494     
   0.88751E-01   63.8865     
   0.89777E-01   64.0188     
   0.89790E-01   64.0204     
   0.89802E-01   64.0220     
   0.89815E-01   64.0234     
   0.89828E-01   64.0247     

 *** MAPDL - ENGINEERING ANALYSIS SYSTEM  RELEASE 2025 R2          25.2     ***
 Ansys Mechanical Enterprise Academic Research     
 00236611  VERSION=LINUX x64     12:55:36  SEP 17, 2026 CP=   5014.485

                                                                               



          ***** MAPDL POST26 VARIABLE LISTING *****


    TIME       2466 TEMP    
                  TEMP    
   0.89841E-01   64.0258     
   0.89853E-01   64.0268     
   0.89866E-01   64.0276     
   0.89879E-01   64.0283     
   0.89892E-01   64.0288     
   0.89904E-01   64.0291     
   0.89917E-01   64.0294     
   0.89917E-01   64.0294     
   0.90178E-01   64.0175     
   0.90439E-01   63.9968     
   0.90699E-01   63.9705     
   0.90960E-01   63.9404     
   0.91220E-01   63.9072     
   0.91481E-01   63.8717     
   0.91741E-01   63.8343     
   0.92002E-01   63.7952     
   0.92846E-01   63.8142     
   0.93691E-01   63.8769     
   0.94535E-01   63.9557     
   0.95380E-01   64.0422     
   0.96224E-01   64.1327     
   0.97069E-01   64.2248     
   0.97913E-01   64.3169     
   0.98757E-01   64.4082     
   0.99315E-01   64.3380     
   0.99872E-01   64.2160     
   0.10043       64.0712     
   0.10099       63.9136     
   0.10154       63.7483     
   0.10210       63.5782     
   0.10266       63.4054     
   0.10322       63.2314     
   0.10323       63.2275     
   0.10324       63.2235     
   0.10325       63.2195     
   0.10327       63.2156     
   0.10328       63.2117     
   0.10329       63.2078     
   0.10432       63.1848     
   0.10534       63.2485     
   0.10637       63.3472     
   0.10739       63.4635     
   0.10842       63.5888     
   0.10945       63.7178     
   0.11047       63.8473     
   0.11150       63.9754     
   0.11252       64.1007     
   0.11355       64.2226     
   0.11457       64.3407     
   0.11560       64.4546     

 *** MAPDL - ENGINEERING ANALYSIS SYSTEM  RELEASE 2025 R2          25.2     ***
 Ansys Mechanical Enterprise Academic Research     
 00236611  VERSION=LINUX x64     12:55:36  SEP 17, 2026 CP=   5014.485

                                                                               



          ***** MAPDL POST26 VARIABLE LISTING *****


    TIME       2466 TEMP    
                  TEMP    
   0.11561       64.4560     
   0.11563       64.4573     
   0.11564       64.4585     
   0.11565       64.4596     
   0.11566       64.4605     
   0.11568       64.4613     
   0.11569       64.4619     
   0.11570       64.4623     
   0.11572       64.4626     
   0.11573       64.4627     
   0.11599       64.4469     
   0.11625       64.4218     
   0.11652       64.3911     
   0.11678       64.3564     
   0.11704       64.3188     
   0.11730       64.2788     
   0.11756       64.2368     
   0.11782       64.1933     
