
 STORAGE COMPLETE FOR   7780 DATA POINTS 

         SUMMARY OF VARIABLES STORED THIS STEP AND EXTREME VALUES
 VARI TYPE    IDENTIFIERS   NAME     MINIMUM    AT TIME     MAXIMUM    AT TIME

   2 NSOL  2466 TEMP      TEMP       54.83      0.3774E-001  65.51       3.484     

 *** MAPDL - ENGINEERING ANALYSIS SYSTEM  RELEASE 2025 R2          25.2     ***
 Ansys Mechanical Enterprise Academic Research     
 00236611  VERSION=LINUX x64     13:56:53  SEP 17, 2026 CP=   5478.086

                                                                               



          ***** MAPDL POST26 VARIABLE LISTING *****


    TIME       2466 TEMP    
                  TEMP    
   0.10000E-02   54.8296     
   0.19930E-02   54.8296     
   0.29860E-02   54.8296     
   0.39790E-02   54.8296     
   0.49720E-02   54.8296     
   0.59650E-02   54.8296     
   0.69581E-02   54.8296     
   0.79511E-02   54.8296     
   0.89441E-02   54.8296     
   0.99371E-02   54.8296     
   0.10930E-01   54.8296     
   0.11923E-01   54.8296     
   0.12916E-01   54.8296     
   0.13909E-01   54.8296     
   0.14902E-01   54.8296     
   0.15895E-01   54.8296     
   0.16888E-01   54.8296     
   0.17881E-01   54.8296     
   0.18874E-01   54.8296     
   0.19867E-01   54.8296     
   0.20860E-01   54.8296     
   0.21853E-01   54.8296     
   0.22846E-01   54.8296     
   0.23839E-01   54.8296     
   0.24832E-01   54.8296     
   0.25825E-01   54.8296     
   0.26818E-01   54.8296     
   0.27811E-01   54.8296     
   0.28804E-01   54.8296     
   0.29797E-01   54.8296     
   0.30790E-01   54.8296     
   0.31783E-01   54.8296     
   0.32776E-01   54.8296     
   0.33769E-01   54.8296     
   0.34762E-01   54.8296     
   0.35755E-01   54.8296     
   0.36748E-01   54.8296     
   0.37741E-01   54.8296     
   0.38734E-01   54.8296     
   0.39727E-01   54.8296     
   0.40720E-01   54.8296     
   0.41713E-01   54.8296     
   0.42706E-01   54.8296     
   0.43699E-01   54.8296     
   0.44692E-01   54.8296     
   0.45685E-01   54.8296     
   0.46711E-01   55.1227     
   0.47737E-01   55.4978     
   0.48762E-01   55.9001     
   0.49788E-01   56.3109     

 *** MAPDL - ENGINEERING ANALYSIS SYSTEM  RELEASE 2025 R2          25.2     ***
 Ansys Mechanical Enterprise Academic Research     
 00236611  VERSION=LINUX x64     13:56:53  SEP 17, 2026 CP=   5478.086

                                                                               



          ***** MAPDL POST26 VARIABLE LISTING *****


    TIME       2466 TEMP    
                  TEMP    
   0.50814E-01   56.7207     
   0.51839E-01   57.1241     
   0.52865E-01   57.5177     
   0.53891E-01   57.8999     
   0.54916E-01   58.2694     
   0.55942E-01   58.6258     
   0.56968E-01   58.9691     
   0.57993E-01   59.2994     
   0.58006E-01   59.3034     
   0.58019E-01   59.3074     
   0.58032E-01   59.3113     
   0.58044E-01   59.3151     
   0.58057E-01   59.3187     
   0.58070E-01   59.3221     
   0.58082E-01   59.3253     
   0.58095E-01   59.3284     
   0.58108E-01   59.3314     
   0.58121E-01   59.3342     
   0.58133E-01   59.3369     
   0.58212E-01   59.3496     
   0.58292E-01   59.3588     
   0.58371E-01   59.3653     
   0.58450E-01   59.3698     
   0.58529E-01   59.3726     
   0.58608E-01   59.3742     
   0.58688E-01   59.3747     
   0.58767E-01   59.3743     
   0.59027E-01   59.3796     
   0.59288E-01   59.3875     
   0.59548E-01   59.3952     
   0.59809E-01   59.4019     
   0.60070E-01   59.4071     
   0.60330E-01   59.4110     
   0.60591E-01   59.4137     
   0.60851E-01   59.4152     
   0.61696E-01   59.5673     
   0.62540E-01   59.7626     
   0.63384E-01   59.9725     
   0.64229E-01   60.1878     
   0.65073E-01   60.4039     
   0.65918E-01   60.6184     
   0.66762E-01   60.8296     
   0.67606E-01   61.0364     
   0.67713E-01   61.0537     
   0.67819E-01   61.0626     
   0.67925E-01   61.0655     
   0.68031E-01   61.0643     
   0.68137E-01   61.0602     
   0.68243E-01   61.0539     
   0.68349E-01   61.0460     

 *** MAPDL - ENGINEERING ANALYSIS SYSTEM  RELEASE 2025 R2          25.2     ***
 Ansys Mechanical Enterprise Academic Research     
 00236611  VERSION=LINUX x64     13:56:53  SEP 17, 2026 CP=   5478.086

                                                                               



          ***** MAPDL POST26 VARIABLE LISTING *****


    TIME       2466 TEMP    
                  TEMP    
   0.68455E-01   61.0368     
   0.68468E-01   61.0356     
   0.68481E-01   61.0345     
   0.68493E-01   61.0334     
   0.68506E-01   61.0322     
   0.68519E-01   61.0311     
   0.68532E-01   61.0299     
   0.68532E-01   61.0298     
   0.69558E-01   61.1732     
   0.70584E-01   61.3685     
   0.71609E-01   61.5759     
   0.72635E-01   61.7851     
   0.73661E-01   61.9920     
   0.74686E-01   62.1945     
   0.75712E-01   62.3915     
   0.76738E-01   62.5822     
   0.77763E-01   62.7662     
   0.78789E-01   62.9436     
   0.79815E-01   63.1143     
   0.80840E-01   63.2784     
   0.80853E-01   63.2804     
   0.80866E-01   63.2823     
   0.80878E-01   63.2842     
   0.80891E-01   63.2859     
   0.80904E-01   63.2874     
   0.80917E-01   63.2888     
   0.80929E-01   63.2900     
   0.80942E-01   63.2910     
   0.80955E-01   63.2919     
   0.80967E-01   63.2927     
   0.80980E-01   63.2933     
   0.81059E-01   63.2933     
   0.81139E-01   63.2899     
   0.81218E-01   63.2837     
   0.81297E-01   63.2755     
   0.81376E-01   63.2658     
   0.81455E-01   63.2549     
   0.81535E-01   63.2429     
   0.81614E-01   63.2300     
   0.81874E-01   63.1948     
   0.82135E-01   63.1625     
   0.82395E-01   63.1305     
   0.82656E-01   63.0978     
   0.82916E-01   63.0642     
   0.83177E-01   63.0296     
   0.83437E-01   62.9941     
   0.83698E-01   62.9579     
   0.84542E-01   62.9917     
   0.85387E-01   63.0727     
   0.86231E-01   63.1721     

 *** MAPDL - ENGINEERING ANALYSIS SYSTEM  RELEASE 2025 R2          25.2     ***
 Ansys Mechanical Enterprise Academic Research     
 00236611  VERSION=LINUX x64     13:56:53  SEP 17, 2026 CP=   5478.086

                                                                               



          ***** MAPDL POST26 VARIABLE LISTING *****


    TIME       2466 TEMP    
                  TEMP    
   0.87076E-01   63.2804     
   0.87920E-01   63.3933     
   0.88764E-01   63.5079     
   0.89609E-01   63.6225     
   0.90453E-01   63.7360     
   0.90559E-01   63.7416     
   0.90665E-01   63.7389     
   0.90772E-01   63.7302     
   0.90878E-01   63.7175     
   0.90984E-01   63.7019     
   0.91090E-01   63.6843     
   0.91196E-01   63.6650     
   0.91302E-01   63.6444     
   0.91315E-01   63.6419     
   0.91328E-01   63.6394     
   0.91340E-01   63.6369     
   0.91353E-01   63.6344     
   0.91366E-01   63.6319     
   0.91379E-01   63.6294     
   0.91379E-01   63.6293     
   0.92405E-01   63.6679     
   0.93430E-01   63.7626     
   0.94456E-01   63.8735     
   0.95482E-01   63.9901     
   0.96507E-01   64.1082     
   0.97533E-01   64.2255     
   0.98559E-01   64.3405     
   0.99584E-01   64.4527     
   0.10061       64.5614     
   0.10164       64.6664     
   0.10266       64.7676     
   0.10369       64.8651     
   0.10370       64.8663     
   0.10371       64.8674     
   0.10373       64.8684     
   0.10374       64.8693     
   0.10375       64.8700     
   0.10376       64.8705     
   0.10378       64.8709     
   0.10379       64.8711     
   0.10380       64.8712     
   0.10381       64.8712     
   0.10383       64.8710     
   0.10391       64.8659     
   0.10399       64.8574     
   0.10406       64.8461     
   0.10414       64.8329     
   0.10422       64.8182     
   0.10430       64.8022     
   0.10438       64.7852     

 *** MAPDL - ENGINEERING ANALYSIS SYSTEM  RELEASE 2025 R2          25.2     ***
 Ansys Mechanical Enterprise Academic Research     
 00236611  VERSION=LINUX x64     13:56:53  SEP 17, 2026 CP=   5478.087

                                                                               



          ***** MAPDL POST26 VARIABLE LISTING *****


    TIME       2466 TEMP    
                  TEMP    
   0.10446       64.7674     
   0.10472       64.7159     
   0.10498       64.6676     
   0.10524       64.6197     
   0.10550       64.5713     
   0.10576       64.5221     
   0.10602       64.4721     
   0.10628       64.4214     
   0.10654       64.3701     
   0.10739       64.3568     
   0.10823       64.3922     
   0.10908       64.4474     
   0.10992       64.5131     
   0.11077       64.5848     
   0.11161       64.6596     
   0.11246       64.7358     
   0.11330       64.8120     
   0.11341       64.8130     
