
 STORAGE COMPLETE FOR   7700 DATA POINTS 

         SUMMARY OF VARIABLES STORED THIS STEP AND EXTREME VALUES
 VARI TYPE    IDENTIFIERS   NAME     MINIMUM    AT TIME     MAXIMUM    AT TIME

   2 NSOL  2466 TEMP      TEMP       54.83      0.3793E-001  66.50       4.648     

 *** MAPDL - ENGINEERING ANALYSIS SYSTEM  RELEASE 2025 R2          25.2     ***
 Ansys Mechanical Enterprise Academic Research     
 00236611  VERSION=LINUX x64     13:54:41  SEP 17, 2026 CP=   4685.570

                                                                               



          ***** MAPDL POST26 VARIABLE LISTING *****


    TIME       2466 TEMP    
                  TEMP    
   0.10000E-02   54.8296     
   0.19980E-02   54.8296     
   0.29960E-02   54.8296     
   0.39940E-02   54.8296     
   0.49920E-02   54.8296     
   0.59900E-02   54.8296     
   0.69879E-02   54.8296     
   0.79859E-02   54.8296     
   0.89839E-02   54.8296     
   0.99819E-02   54.8296     
   0.10980E-01   54.8296     
   0.11978E-01   54.8296     
   0.12976E-01   54.8296     
   0.13974E-01   54.8296     
   0.14972E-01   54.8296     
   0.15970E-01   54.8296     
   0.16968E-01   54.8296     
   0.17966E-01   54.8296     
   0.18964E-01   54.8296     
   0.19962E-01   54.8296     
   0.20960E-01   54.8296     
   0.21958E-01   54.8296     
   0.22956E-01   54.8296     
   0.23954E-01   54.8296     
   0.24952E-01   54.8296     
   0.25950E-01   54.8296     
   0.26948E-01   54.8296     
   0.27946E-01   54.8296     
   0.28944E-01   54.8296     
   0.29942E-01   54.8296     
   0.30940E-01   54.8296     
   0.31938E-01   54.8296     
   0.32936E-01   54.8296     
   0.33934E-01   54.8296     
   0.34932E-01   54.8296     
   0.35930E-01   54.8296     
   0.36928E-01   54.8296     
   0.37926E-01   54.8296     
   0.38924E-01   54.8296     
   0.39922E-01   54.8296     
   0.40920E-01   54.8296     
   0.41918E-01   54.8296     
   0.42916E-01   54.8296     
   0.43914E-01   54.8296     
   0.44912E-01   54.8296     
   0.45910E-01   54.8296     
   0.46908E-01   54.8296     
   0.47906E-01   54.8296     
   0.48904E-01   54.8296     
   0.49902E-01   54.8296     

 *** MAPDL - ENGINEERING ANALYSIS SYSTEM  RELEASE 2025 R2          25.2     ***
 Ansys Mechanical Enterprise Academic Research     
 00236611  VERSION=LINUX x64     13:54:41  SEP 17, 2026 CP=   4685.570

                                                                               



          ***** MAPDL POST26 VARIABLE LISTING *****


    TIME       2466 TEMP    
                  TEMP    
   0.50900E-01   54.8296     
   0.51898E-01   54.8296     
   0.52896E-01   54.8296     
   0.53894E-01   54.8296     
   0.54892E-01   54.8296     
   0.55889E-01   54.8296     
   0.56887E-01   54.8296     
   0.57885E-01   54.8296     
   0.58883E-01   54.8296     
   0.59881E-01   54.8296     
   0.60879E-01   54.8296     
   0.61877E-01   54.8296     
   0.62875E-01   54.8296     
   0.63873E-01   54.8296     
   0.64871E-01   54.8296     
   0.65869E-01   54.8296     
   0.66867E-01   54.8296     
   0.67865E-01   54.8296     
   0.68863E-01   54.8296     
   0.69861E-01   54.8296     
   0.70859E-01   54.8296     
   0.71857E-01   54.8296     
   0.72855E-01   54.8296     
   0.73853E-01   54.8296     
   0.74851E-01   54.8296     
   0.75849E-01   54.8296     
   0.76847E-01   54.8296     
   0.77845E-01   54.8296     
   0.78843E-01   54.8296     
   0.79841E-01   54.8296     
   0.80839E-01   54.8296     
   0.81837E-01   54.8296     
   0.82835E-01   54.8296     
   0.83833E-01   54.8296     
   0.84831E-01   54.8296     
   0.85829E-01   54.8296     
   0.86827E-01   54.8296     
   0.87825E-01   54.8296     
   0.88823E-01   54.8296     
   0.89821E-01   54.8296     
   0.90819E-01   54.8296     
   0.91845E-01   55.1227     
   0.92870E-01   55.4978     
   0.93896E-01   55.9001     
   0.94922E-01   56.3109     
   0.95947E-01   56.7207     
   0.96973E-01   57.1241     
   0.97999E-01   57.5177     
   0.99024E-01   57.8999     
   0.10005       58.2694     

 *** MAPDL - ENGINEERING ANALYSIS SYSTEM  RELEASE 2025 R2          25.2     ***
 Ansys Mechanical Enterprise Academic Research     
 00236611  VERSION=LINUX x64     13:54:41  SEP 17, 2026 CP=   4685.571

                                                                               



          ***** MAPDL POST26 VARIABLE LISTING *****


    TIME       2466 TEMP    
                  TEMP    
   0.10108       58.6258     
   0.10210       58.9691     
   0.10313       59.2994     
   0.10314       59.3034     
   0.10315       59.3074     
   0.10317       59.3113     
   0.10318       59.3151     
   0.10319       59.3187     
   0.10320       59.3221     
   0.10322       59.3255     
   0.10323       59.3288     
   0.10324       59.3319     
   0.10326       59.3348     
   0.10327       59.3370     
   0.10382       59.3594     
   0.10438       59.3415     
   0.10493       59.3022     
   0.10549       59.2493     
   0.10604       59.1869     
   0.10660       59.1178     
   0.10715       59.0440     
   0.10771       58.9671     
   0.10797       58.9438     
   0.10823       58.9279     
   0.10849       58.9158     
   0.10875       58.9059     
   0.10901       58.8975     
   0.10927       58.8901     
   0.10953       58.8836     
   0.10979       58.8779     
   0.11064       59.0196     
   0.11148       59.2136     
   0.11233       59.4281     
   0.11317       59.6521     
   0.11402       59.8795     
   0.11486       60.1070     
   0.11571       60.3321     
   0.11655       60.5533     
   0.11711       60.5674     
   0.11767       60.5283     
   0.11822       60.4648     
   0.11878       60.3871     
   0.11934       60.2999     
   0.11989       60.2064     
   0.12045       60.1085     
   0.12101       60.0080     
   0.12102       60.0057     
   0.12103       60.0034     
   0.12104       60.0011     
   0.12106       59.9988     

 *** MAPDL - ENGINEERING ANALYSIS SYSTEM  RELEASE 2025 R2          25.2     ***
 Ansys Mechanical Enterprise Academic Research     
 00236611  VERSION=LINUX x64     13:54:41  SEP 17, 2026 CP=   4685.571

                                                                               



          ***** MAPDL POST26 VARIABLE LISTING *****


    TIME       2466 TEMP    
                  TEMP    
   0.12107       59.9966     
   0.12108       59.9943     
   0.12214       60.1065     
   0.12320       60.3021     
   0.12426       60.5281     
   0.12531       60.7666     
   0.12637       61.0090     
   0.12743       61.2500     
   0.12849       61.4868     
   0.12955       61.7173     
   0.12955       61.7176     
   0.13057       61.9340     
   0.13160       62.1433     
   0.13262       62.3453     
   0.13365       62.5397     
   0.13468       62.7268     
   0.13570       62.9066     
   0.13673       63.0793     
   0.13775       63.2451     
   0.13878       63.4044     
   0.13980       63.5573     
   0.14083       63.7041     
   0.14186       63.8450     
   0.14188       63.8485     
   0.14191       63.8514     
   0.14194       63.8535     
   0.14197       63.8549     
   0.14200       63.8556     
   0.14202       63.8556     
   0.14205       63.8551     
   0.14208       63.8541     
   0.14208       63.8540     
   0.14210       63.8535     
   0.14211       63.8528     
   0.14212       63.8521     
   0.14214       63.8513     
   0.14215       63.8505     
   0.14312       63.6599     
   0.14408       63.4173     
   0.14505       63.1514     
   0.14601       62.8750     
   0.14698       62.5958     
   0.14794       62.3183     
   0.14891       62.0454     
   0.14987       61.7789     
   0.15084       61.5199     
   0.15085       61.5165     
   0.15087       61.5130     
   0.15088       61.5096     
   0.15089       61.5062     

 *** MAPDL - ENGINEERING ANALYSIS SYSTEM  RELEASE 2025 R2          25.2     ***
 Ansys Mechanical Enterprise Academic Research     
 00236611  VERSION=LINUX x64     13:54:41  SEP 17, 2026 CP=   4685.571

                                                                               



          ***** MAPDL POST26 VARIABLE LISTING *****


    TIME       2466 TEMP    
                  TEMP    
   0.15091       61.5029     
   0.15092       61.4997     
   0.15093       61.4965     
   0.15123       61.4744     
   0.15153       61.4790     
   0.15183       61.4977     
   0.15213       61.5250     
   0.15243       61.5585     
   0.15273       61.5967     
   0.15303       61.6386     
   0.15333       61.6836     
   0.15345       61.6946     
   0.15357       61.6994     
   0.15369       61.6999     
   0.15380       61.6978     
   0.15392       61.6939     
   0.15404       61.6888     
   0.15416       61.6828     
   0.15428       61.6761     
   0.15456       61.6893     
   0.15483       61.7185     
   0.15511       61.7554     
   0.15538       61.7966     
   0.15566       61.8403     
   0.15593       61.8860     
   0.15620       61.9330     
   0.15648       61.9810     
   0.15662       61.9958     
   0.15676       62.0026     
   0.15690       62.0041     
   0.15704       62.0025     
   0.15718       61.9986     
   0.15733       61.9932     
   0.15747       61.9865     
   0.15761       61.9789     
   0.15845       62.0697     
   0.15930       62.1980     
   0.16014       62.3380     
