
 STORAGE COMPLETE FOR   7850 DATA POINTS 

         SUMMARY OF VARIABLES STORED THIS STEP AND EXTREME VALUES
 VARI TYPE    IDENTIFIERS   NAME     MINIMUM    AT TIME     MAXIMUM    AT TIME

   2 NSOL  5994 TEMP      TEMP       62.50      0.3027E-001  74.78       4.892     

 *** MAPDL - ENGINEERING ANALYSIS SYSTEM  RELEASE 2025 R2          25.2     ***
 Ansys Mechanical Enterprise Academic Research     
 00236611  VERSION=LINUX x64     18:59:51  SEP 19, 2026 CP=   7388.958

                                                                               



          ***** MAPDL POST26 VARIABLE LISTING *****


    TIME       5994 TEMP    
                  TEMP    
   0.10000E-02   62.4964     
   0.20092E-02   62.4964     
   0.30183E-02   62.4964     
   0.40275E-02   62.4964     
   0.50366E-02   62.4964     
   0.60458E-02   62.4964     
   0.70549E-02   62.4964     
   0.80641E-02   62.4964     
   0.90732E-02   62.4964     
   0.10082E-01   62.4964     
   0.11092E-01   62.4964     
   0.12101E-01   62.4964     
   0.13110E-01   62.4964     
   0.14119E-01   62.4964     
   0.15128E-01   62.4964     
   0.16137E-01   62.4964     
   0.17146E-01   62.4964     
   0.18156E-01   62.4964     
   0.19165E-01   62.4964     
   0.20174E-01   62.4964     
   0.21183E-01   62.4964     
   0.22192E-01   62.4964     
   0.23201E-01   62.4964     
   0.24211E-01   62.4964     
   0.25220E-01   62.4964     
   0.26229E-01   62.4964     
   0.27238E-01   62.4964     
   0.28247E-01   62.4964     
   0.29256E-01   62.4964     
   0.30266E-01   62.4964     
   0.31291E-01   62.7365     
   0.32317E-01   63.0123     
   0.33343E-01   63.2828     
   0.34368E-01   63.5407     
   0.35394E-01   63.7846     
   0.36420E-01   64.0149     
   0.37445E-01   64.2325     
   0.38471E-01   64.4381     
   0.39496E-01   64.6327     
   0.40522E-01   64.8172     
   0.41548E-01   64.9924     
   0.42573E-01   65.1590     
   0.42586E-01   65.1610     
   0.42599E-01   65.1630     
   0.42612E-01   65.1649     
   0.42624E-01   65.1666     
   0.42637E-01   65.1682     
   0.42650E-01   65.1696     
   0.42663E-01   65.1708     
   0.42675E-01   65.1719     

 *** MAPDL - ENGINEERING ANALYSIS SYSTEM  RELEASE 2025 R2          25.2     ***
 Ansys Mechanical Enterprise Academic Research     
 00236611  VERSION=LINUX x64     18:59:51  SEP 19, 2026 CP=   7388.958

                                                                               



          ***** MAPDL POST26 VARIABLE LISTING *****


    TIME       5994 TEMP    
                  TEMP    
   0.42688E-01   65.1728     
   0.42701E-01   65.1736     
   0.42714E-01   65.1744     
   0.43270E-01   65.1289     
   0.43827E-01   65.0622     
   0.44383E-01   64.9904     
   0.44940E-01   64.9185     
   0.45497E-01   64.8483     
   0.46053E-01   64.7803     
   0.46610E-01   64.7149     
   0.47167E-01   64.6521     
   0.47427E-01   64.6358     
   0.47688E-01   64.6267     
   0.47948E-01   64.6210     
   0.48209E-01   64.6169     
   0.48469E-01   64.6138     
   0.48730E-01   64.6114     
   0.48990E-01   64.6094     
   0.49251E-01   64.6077     
   0.50095E-01   64.7352     
   0.50940E-01   64.8894     
   0.51784E-01   65.0452     
   0.52629E-01   65.1970     
   0.53473E-01   65.3434     
   0.54318E-01   65.4840     
   0.55162E-01   65.6190     
   0.56007E-01   65.7486     
   0.56564E-01   65.7177     
   0.57121E-01   65.6511     
   0.57678E-01   65.5759     
   0.58236E-01   65.4994     
   0.58793E-01   65.4243     
   0.59350E-01   65.3514     
   0.59907E-01   65.2810     
   0.60465E-01   65.2133     
   0.60477E-01   65.2117     
   0.60490E-01   65.2102     
   0.60503E-01   65.2087     
   0.60516E-01   65.2072     
   0.60528E-01   65.2057     
   0.60541E-01   65.2042     
   0.61567E-01   65.3309     
   0.62592E-01   65.5006     
   0.63618E-01   65.6728     
   0.64644E-01   65.8396     
   0.65669E-01   65.9992     
   0.66695E-01   66.1513     
   0.67721E-01   66.2963     
   0.68746E-01   66.4344     
   0.69772E-01   66.5663     

 *** MAPDL - ENGINEERING ANALYSIS SYSTEM  RELEASE 2025 R2          25.2     ***
 Ansys Mechanical Enterprise Academic Research     
 00236611  VERSION=LINUX x64     18:59:51  SEP 19, 2026 CP=   7388.958

                                                                               



          ***** MAPDL POST26 VARIABLE LISTING *****


    TIME       5994 TEMP    
                  TEMP    
   0.70798E-01   66.6923     
   0.71823E-01   66.8129     
   0.72849E-01   66.9284     
   0.72862E-01   66.9298     
   0.72874E-01   66.9312     
   0.72887E-01   66.9324     
   0.72900E-01   66.9335     
   0.72913E-01   66.9344     
   0.72925E-01   66.9352     
   0.72938E-01   66.9358     
   0.72951E-01   66.9363     
   0.72964E-01   66.9366     
   0.72976E-01   66.9368     
   0.72989E-01   66.9369     
   0.73546E-01   66.8650     
   0.74102E-01   66.7727     
   0.74659E-01   66.6763     
   0.75216E-01   66.5806     
   0.75772E-01   66.4874     
   0.76329E-01   66.3972     
   0.76885E-01   66.3102     
   0.77442E-01   66.2267     
   0.77703E-01   66.2008     
   0.77963E-01   66.1823     
   0.78224E-01   66.1673     
   0.78484E-01   66.1540     
   0.78745E-01   66.1419     
   0.79005E-01   66.1306     
   0.79266E-01   66.1199     
   0.79527E-01   66.1096     
   0.80371E-01   66.2104     
   0.81215E-01   66.3391     
   0.82060E-01   66.4705     
   0.82904E-01   66.5989     
   0.83749E-01   66.7228     
   0.84593E-01   66.8420     
   0.85438E-01   66.9563     
   0.86282E-01   67.0661     
   0.86839E-01   67.0224     
   0.87397E-01   66.9434     
   0.87954E-01   66.8559     
   0.88511E-01   66.7677     
   0.89068E-01   66.6810     
   0.89626E-01   66.5968     
   0.90183E-01   66.5154     
   0.90740E-01   66.4369     
   0.90753E-01   66.4352     
   0.90766E-01   66.4334     
   0.90778E-01   66.4316     
   0.90791E-01   66.4299     

 *** MAPDL - ENGINEERING ANALYSIS SYSTEM  RELEASE 2025 R2          25.2     ***
 Ansys Mechanical Enterprise Academic Research     
 00236611  VERSION=LINUX x64     18:59:51  SEP 19, 2026 CP=   7388.958

                                                                               



          ***** MAPDL POST26 VARIABLE LISTING *****


    TIME       5994 TEMP    
                  TEMP    
   0.90804E-01   66.4281     
   0.90817E-01   66.4264     
   0.91842E-01   66.5342     
   0.92868E-01   66.6857     
   0.93894E-01   66.8405     
   0.94919E-01   66.9904     
   0.95945E-01   67.1339     
   0.96971E-01   67.2704     
   0.97996E-01   67.4004     
   0.99022E-01   67.5241     
   0.10005       67.6420     
   0.10107       67.7544     
   0.10210       67.8619     
   0.10312       67.9648     
   0.10314       67.9661     
   0.10315       67.9673     
   0.10316       67.9683     
   0.10318       67.9693     
   0.10319       67.9701     
   0.10320       67.9707     
   0.10321       67.9711     
   0.10323       67.9714     
   0.10324       67.9716     
   0.10325       67.9716     
   0.10326       67.9715     
   0.10382       67.8929     
   0.10438       67.7940     
   0.10493       67.6912     
   0.10549       67.5891     
   0.10605       67.4896     
   0.10660       67.3932     
   0.10716       67.3002     
   0.10772       67.2107     
   0.10798       67.1821     
   0.10824       67.1608     
   0.10850       67.1430     
   0.10876       67.1271     
   0.10902       67.1123     
   0.10928       67.0983     
   0.10954       67.0849     
   0.10980       67.0720     
   0.11065       67.1644     
   0.11149       67.2850     
   0.11234       67.4084     
   0.11318       67.5290     
   0.11402       67.6454     
   0.11487       67.7571     
   0.11571       67.8641     
   0.11656       67.9667     
   0.11711       67.9184     

 *** MAPDL - ENGINEERING ANALYSIS SYSTEM  RELEASE 2025 R2          25.2     ***
 Ansys Mechanical Enterprise Academic Research     
 00236611  VERSION=LINUX x64     18:59:51  SEP 19, 2026 CP=   7388.959

                                                                               



          ***** MAPDL POST26 VARIABLE LISTING *****


    TIME       5994 TEMP    
                  TEMP    
   0.11767       67.8348     
   0.11823       67.7428     
   0.11879       67.6501     
   0.11934       67.5590     
   0.11990       67.4705     
   0.12046       67.3848     
   0.12102       67.3021     
   0.12103       67.3002     
   0.12104       67.2984     
   0.12105       67.2965     
   0.12107       67.2946     
   0.12108       67.2928     
   0.12109       67.2910     
   0.12212       67.3912     
   0.12314       67.5353     
   0.12417       67.6828     
   0.12519       67.8257     
   0.12622       67.9621     
   0.12725       68.0919     
   0.12827       68.2152     
   0.12930       68.3324     
   0.13032       68.4439     
