
 STORAGE COMPLETE FOR   7850 DATA POINTS 

         SUMMARY OF VARIABLES STORED THIS STEP AND EXTREME VALUES
 VARI TYPE    IDENTIFIERS   NAME     MINIMUM    AT TIME     MAXIMUM    AT TIME

   2 NSOL  2907 TEMP      TEMP       57.28      0.3027E-001  68.06       4.892     

 *** MAPDL - ENGINEERING ANALYSIS SYSTEM  RELEASE 2025 R2          25.2     ***
 Ansys Mechanical Enterprise Academic Research     
 00236611  VERSION=LINUX x64     18:56:13  SEP 19, 2026 CP=   5894.773

                                                                               



          ***** MAPDL POST26 VARIABLE LISTING *****


    TIME       2907 TEMP    
                  TEMP    
   0.10000E-02   57.2758     
   0.20092E-02   57.2758     
   0.30183E-02   57.2758     
   0.40275E-02   57.2758     
   0.50366E-02   57.2758     
   0.60458E-02   57.2758     
   0.70549E-02   57.2758     
   0.80641E-02   57.2758     
   0.90732E-02   57.2758     
   0.10082E-01   57.2758     
   0.11092E-01   57.2758     
   0.12101E-01   57.2758     
   0.13110E-01   57.2758     
   0.14119E-01   57.2758     
   0.15128E-01   57.2758     
   0.16137E-01   57.2758     
   0.17146E-01   57.2758     
   0.18156E-01   57.2758     
   0.19165E-01   57.2758     
   0.20174E-01   57.2758     
   0.21183E-01   57.2758     
   0.22192E-01   57.2758     
   0.23201E-01   57.2758     
   0.24211E-01   57.2758     
   0.25220E-01   57.2758     
   0.26229E-01   57.2758     
   0.27238E-01   57.2758     
   0.28247E-01   57.2758     
   0.29256E-01   57.2758     
   0.30266E-01   57.2758     
   0.31291E-01   57.5321     
   0.32317E-01   57.8406     
   0.33343E-01   58.1578     
   0.34368E-01   58.4736     
   0.35394E-01   58.7847     
   0.36420E-01   59.0899     
   0.37445E-01   59.3884     
   0.38471E-01   59.6802     
   0.39496E-01   59.9651     
   0.40522E-01   60.2434     
   0.41548E-01   60.5151     
   0.42573E-01   60.7805     
   0.42586E-01   60.7838     
   0.42599E-01   60.7870     
   0.42612E-01   60.7901     
   0.42624E-01   60.7930     
   0.42637E-01   60.7958     
   0.42650E-01   60.7984     
   0.42663E-01   60.8009     
   0.42675E-01   60.8032     

 *** MAPDL - ENGINEERING ANALYSIS SYSTEM  RELEASE 2025 R2          25.2     ***
 Ansys Mechanical Enterprise Academic Research     
 00236611  VERSION=LINUX x64     18:56:13  SEP 19, 2026 CP=   5894.774

                                                                               



          ***** MAPDL POST26 VARIABLE LISTING *****


    TIME       2907 TEMP    
                  TEMP    
   0.42688E-01   60.8054     
   0.42701E-01   60.8074     
   0.42714E-01   60.8094     
   0.43270E-01   60.8128     
   0.43827E-01   60.7898     
   0.44383E-01   60.7571     
   0.44940E-01   60.7199     
   0.45497E-01   60.6805     
   0.46053E-01   60.6399     
   0.46610E-01   60.5988     
   0.47167E-01   60.5576     
   0.47427E-01   60.5510     
   0.47688E-01   60.5514     
   0.47948E-01   60.5551     
   0.48209E-01   60.5604     
   0.48469E-01   60.5665     
   0.48730E-01   60.5732     
   0.48990E-01   60.5803     
   0.49251E-01   60.5877     
   0.50095E-01   60.7510     
   0.50940E-01   60.9481     
   0.51784E-01   61.1529     
   0.52629E-01   61.3587     
   0.53473E-01   61.5632     
   0.54318E-01   61.7651     
   0.55162E-01   61.9641     
   0.56007E-01   62.1598     
   0.56564E-01   62.1688     
   0.57121E-01   62.1373     
   0.57678E-01   62.0925     
   0.58236E-01   62.0422     
   0.58793E-01   61.9894     
   0.59350E-01   61.9353     
   0.59907E-01   61.8806     
   0.60465E-01   61.8259     
   0.60477E-01   61.8247     
   0.60490E-01   61.8234     
   0.60503E-01   61.8222     
   0.60516E-01   61.8210     
   0.60528E-01   61.8198     
   0.60541E-01   61.8186     
   0.61567E-01   61.9772     
   0.62592E-01   62.1887     
   0.63618E-01   62.4110     
   0.64644E-01   62.6345     
   0.65669E-01   62.8559     
   0.66695E-01   63.0737     
   0.67721E-01   63.2874     
   0.68746E-01   63.4966     
   0.69772E-01   63.7012     

 *** MAPDL - ENGINEERING ANALYSIS SYSTEM  RELEASE 2025 R2          25.2     ***
 Ansys Mechanical Enterprise Academic Research     
 00236611  VERSION=LINUX x64     18:56:13  SEP 19, 2026 CP=   5894.774

                                                                               



          ***** MAPDL POST26 VARIABLE LISTING *****


    TIME       2907 TEMP    
                  TEMP    
   0.70798E-01   63.9012     
   0.71823E-01   64.0967     
   0.72849E-01   64.2877     
   0.72862E-01   64.2901     
   0.72874E-01   64.2923     
   0.72887E-01   64.2945     
   0.72900E-01   64.2965     
   0.72913E-01   64.2984     
   0.72925E-01   64.3001     
   0.72938E-01   64.3017     
   0.72951E-01   64.3030     
   0.72964E-01   64.3043     
   0.72976E-01   64.3054     
   0.72989E-01   64.3064     
   0.73546E-01   64.2702     
   0.74102E-01   64.2080     
   0.74659E-01   64.1367     
   0.75216E-01   64.0613     
   0.75772E-01   63.9842     
   0.76329E-01   63.9065     
   0.76885E-01   63.8286     
   0.77442E-01   63.7511     
   0.77703E-01   63.7276     
   0.77963E-01   63.7113     
   0.78224E-01   63.6983     
   0.78484E-01   63.6870     
   0.78745E-01   63.6766     
   0.79005E-01   63.6669     
   0.79266E-01   63.6577     
   0.79527E-01   63.6488     
   0.80371E-01   63.7605     
   0.81215E-01   63.9069     
   0.82060E-01   64.0619     
   0.82904E-01   64.2187     
   0.83749E-01   64.3751     
   0.84593E-01   64.5298     
   0.85438E-01   64.6823     
   0.86282E-01   64.8324     
   0.86839E-01   64.8115     
   0.87397E-01   64.7507     
   0.87954E-01   64.6767     
   0.88511E-01   64.5977     
   0.89068E-01   64.5164     
   0.89626E-01   64.4341     
   0.90183E-01   64.3516     
   0.90740E-01   64.2694     
   0.90753E-01   64.2676     
   0.90766E-01   64.2657     
   0.90778E-01   64.2638     
   0.90791E-01   64.2620     

 *** MAPDL - ENGINEERING ANALYSIS SYSTEM  RELEASE 2025 R2          25.2     ***
 Ansys Mechanical Enterprise Academic Research     
 00236611  VERSION=LINUX x64     18:56:13  SEP 19, 2026 CP=   5894.774

                                                                               



          ***** MAPDL POST26 VARIABLE LISTING *****


    TIME       2907 TEMP    
                  TEMP    
   0.90804E-01   64.2602     
   0.90817E-01   64.2583     
   0.91842E-01   64.3674     
   0.92868E-01   64.5304     
   0.93894E-01   64.7052     
   0.94919E-01   64.8821     
   0.95945E-01   65.0579     
   0.96971E-01   65.2311     
   0.97996E-01   65.4010     
   0.99022E-01   65.5674     
   0.10005       65.7300     
   0.10107       65.8888     
   0.10210       66.0440     
   0.10312       66.1955     
   0.10314       66.1974     
   0.10315       66.1992     
   0.10316       66.2008     
   0.10318       66.2024     
   0.10319       66.2038     
   0.10320       66.2050     
   0.10321       66.2060     
   0.10323       66.2069     
   0.10324       66.2077     
   0.10325       66.2083     
   0.10326       66.2089     
   0.10382       66.1514     
   0.10438       66.0684     
   0.10493       65.9764     
   0.10549       65.8806     
   0.10605       65.7833     
   0.10660       65.6855     
   0.10716       65.5879     
   0.10772       65.4909     
   0.10798       65.4583     
   0.10824       65.4329     
   0.10850       65.4109     
   0.10876       65.3906     
   0.10902       65.3714     
   0.10928       65.3528     
   0.10954       65.3348     
   0.10980       65.3171     
   0.11065       65.4008     
   0.11149       65.5198     
   0.11234       65.6477     
   0.11318       65.7780     
   0.11402       65.9082     
   0.11487       66.0373     
   0.11571       66.1645     
   0.11656       66.2897     
   0.11711       66.2527     

 *** MAPDL - ENGINEERING ANALYSIS SYSTEM  RELEASE 2025 R2          25.2     ***
 Ansys Mechanical Enterprise Academic Research     
 00236611  VERSION=LINUX x64     18:56:13  SEP 19, 2026 CP=   5894.774

                                                                               



          ***** MAPDL POST26 VARIABLE LISTING *****


    TIME       2907 TEMP    
                  TEMP    
   0.11767       66.1758     
   0.11823       66.0860     
   0.11879       65.9913     
   0.11934       65.8945     
   0.11990       65.7969     
   0.12046       65.6993     
   0.12102       65.6021     
   0.12103       65.5999     
   0.12104       65.5976     
   0.12105       65.5954     
   0.12107       65.5933     
   0.12108       65.5911     
   0.12109       65.5889     
   0.12212       65.6710     
   0.12314       65.8076     
   0.12417       65.9565     
   0.12519       66.1080     
   0.12622       66.2590     
   0.12725       66.4078     
   0.12827       66.5539     
   0.12930       66.6968     
   0.13032       66.8365     
