
 STORAGE COMPLETE FOR   7850 DATA POINTS 

         SUMMARY OF VARIABLES STORED THIS STEP AND EXTREME VALUES
 VARI TYPE    IDENTIFIERS   NAME     MINIMUM    AT TIME     MAXIMUM    AT TIME

   2 NSOL  2466 TEMP      TEMP       54.83      0.2118E-001  64.50       4.892     

 *** MAPDL - ENGINEERING ANALYSIS SYSTEM  RELEASE 2025 R2          25.2     ***
 Ansys Mechanical Enterprise Academic Research     
 00236611  VERSION=LINUX x64     13:58:55  SEP 17, 2026 CP=   6300.673

                                                                               



          ***** MAPDL POST26 VARIABLE LISTING *****


    TIME       2466 TEMP    
                  TEMP    
   0.10000E-02   54.8296     
   0.20092E-02   54.8296     
   0.30183E-02   54.8296     
   0.40275E-02   54.8296     
   0.50366E-02   54.8296     
   0.60458E-02   54.8296     
   0.70549E-02   54.8296     
   0.80641E-02   54.8296     
   0.90732E-02   54.8296     
   0.10082E-01   54.8296     
   0.11092E-01   54.8296     
   0.12101E-01   54.8296     
   0.13110E-01   54.8296     
   0.14119E-01   54.8296     
   0.15128E-01   54.8296     
   0.16137E-01   54.8296     
   0.17146E-01   54.8296     
   0.18156E-01   54.8296     
   0.19165E-01   54.8296     
   0.20174E-01   54.8296     
   0.21183E-01   54.8296     
   0.22192E-01   54.8296     
   0.23201E-01   54.8296     
   0.24211E-01   54.8296     
   0.25220E-01   54.8296     
   0.26229E-01   54.8296     
   0.27238E-01   54.8296     
   0.28247E-01   54.8296     
   0.29256E-01   54.8296     
   0.30266E-01   54.8296     
   0.31291E-01   55.1227     
   0.32317E-01   55.4978     
   0.33343E-01   55.9001     
   0.34368E-01   56.3109     
   0.35394E-01   56.7207     
   0.36420E-01   57.1241     
   0.37445E-01   57.5177     
   0.38471E-01   57.8999     
   0.39496E-01   58.2694     
   0.40522E-01   58.6258     
   0.41548E-01   58.9691     
   0.42573E-01   59.2994     
   0.42586E-01   59.3034     
   0.42599E-01   59.3074     
   0.42612E-01   59.3113     
   0.42624E-01   59.3151     
   0.42637E-01   59.3187     
   0.42650E-01   59.3221     
   0.42663E-01   59.3254     
   0.42675E-01   59.3285     

 *** MAPDL - ENGINEERING ANALYSIS SYSTEM  RELEASE 2025 R2          25.2     ***
 Ansys Mechanical Enterprise Academic Research     
 00236611  VERSION=LINUX x64     13:58:55  SEP 17, 2026 CP=   6300.673

                                                                               



          ***** MAPDL POST26 VARIABLE LISTING *****


    TIME       2466 TEMP    
                  TEMP    
   0.42688E-01   59.3314     
   0.42701E-01   59.3342     
   0.42714E-01   59.3370     
   0.43270E-01   59.3593     
   0.43827E-01   59.3413     
   0.44383E-01   59.3019     
   0.44940E-01   59.2488     
   0.45497E-01   59.1861     
   0.46053E-01   59.1168     
   0.46610E-01   59.0428     
   0.47167E-01   58.9656     
   0.47427E-01   58.9423     
   0.47688E-01   58.9264     
   0.47948E-01   58.9144     
   0.48209E-01   58.9045     
   0.48469E-01   58.8960     
   0.48730E-01   58.8887     
   0.48990E-01   58.8822     
   0.49251E-01   58.8764     
   0.50095E-01   59.0181     
   0.50940E-01   59.2120     
   0.51784E-01   59.4265     
   0.52629E-01   59.6504     
   0.53473E-01   59.8779     
   0.54318E-01   60.1053     
   0.55162E-01   60.3304     
   0.56007E-01   60.5516     
   0.56564E-01   60.5657     
   0.57121E-01   60.5265     
   0.57678E-01   60.4629     
   0.58236E-01   60.3850     
   0.58793E-01   60.2978     
   0.59350E-01   60.2042     
   0.59907E-01   60.1063     
   0.60465E-01   60.0056     
   0.60477E-01   60.0033     
   0.60490E-01   60.0010     
   0.60503E-01   59.9987     
   0.60516E-01   59.9964     
   0.60528E-01   59.9942     
   0.60541E-01   59.9919     
   0.61567E-01   60.0983     
   0.62592E-01   60.2861     
   0.63618E-01   60.5040     
   0.64644E-01   60.7348     
   0.65669E-01   60.9700     
   0.66695E-01   61.2045     
   0.67721E-01   61.4353     
   0.68746E-01   61.6606     
   0.69772E-01   61.8792     

 *** MAPDL - ENGINEERING ANALYSIS SYSTEM  RELEASE 2025 R2          25.2     ***
 Ansys Mechanical Enterprise Academic Research     
 00236611  VERSION=LINUX x64     13:58:55  SEP 17, 2026 CP=   6300.674

                                                                               



          ***** MAPDL POST26 VARIABLE LISTING *****


    TIME       2466 TEMP    
                  TEMP    
   0.70798E-01   62.0906     
   0.71823E-01   62.2946     
   0.72849E-01   62.4910     
   0.72862E-01   62.4934     
   0.72874E-01   62.4957     
   0.72887E-01   62.4980     
   0.72900E-01   62.5001     
   0.72913E-01   62.5020     
   0.72925E-01   62.5038     
   0.72938E-01   62.5054     
   0.72951E-01   62.5068     
   0.72964E-01   62.5081     
   0.72976E-01   62.5093     
   0.72989E-01   62.5103     
   0.73546E-01   62.4621     
   0.74102E-01   62.3750     
   0.74659E-01   62.2680     
   0.75216E-01   62.1488     
   0.75772E-01   62.0216     
   0.76329E-01   61.8891     
   0.76885E-01   61.7534     
   0.77442E-01   61.6158     
   0.77703E-01   61.5645     
   0.77963E-01   61.5210     
   0.78224E-01   61.4815     
   0.78484E-01   61.4446     
   0.78745E-01   61.4093     
   0.79005E-01   61.3754     
   0.79266E-01   61.3427     
   0.79527E-01   61.3109     
   0.80371E-01   61.3713     
   0.81215E-01   61.4866     
   0.82060E-01   61.6251     
   0.82904E-01   61.7755     
   0.83749E-01   61.9319     
   0.84593E-01   62.0907     
   0.85438E-01   62.2494     
   0.86282E-01   62.4065     
   0.86839E-01   62.3792     
   0.87397E-01   62.2996     
   0.87954E-01   62.1965     
   0.88511E-01   62.0799     
   0.89068E-01   61.9549     
   0.89626E-01   61.8243     
   0.90183E-01   61.6902     
   0.90740E-01   61.5542     
   0.90753E-01   61.5511     
   0.90766E-01   61.5480     
   0.90778E-01   61.5449     
   0.90791E-01   61.5419     

 *** MAPDL - ENGINEERING ANALYSIS SYSTEM  RELEASE 2025 R2          25.2     ***
 Ansys Mechanical Enterprise Academic Research     
 00236611  VERSION=LINUX x64     13:58:55  SEP 17, 2026 CP=   6300.674

                                                                               



          ***** MAPDL POST26 VARIABLE LISTING *****


    TIME       2466 TEMP    
                  TEMP    
   0.90804E-01   61.5388     
   0.90817E-01   61.5358     
   0.91842E-01   61.5799     
   0.92868E-01   61.7080     
   0.93894E-01   61.8686     
   0.94919E-01   62.0444     
   0.95945E-01   62.2268     
   0.96971E-01   62.4107     
   0.97996E-01   62.5929     
   0.99022E-01   62.7715     
   0.10005       62.9453     
   0.10107       63.1138     
   0.10210       63.2765     
   0.10312       63.4333     
   0.10314       63.4353     
   0.10315       63.4371     
   0.10316       63.4389     
   0.10318       63.4405     
   0.10319       63.4419     
   0.10320       63.4432     
   0.10321       63.4443     
   0.10323       63.4452     
   0.10324       63.4460     
   0.10325       63.4467     
   0.10326       63.4473     
   0.10382       63.3781     
   0.10438       63.2707     
   0.10493       63.1437     
   0.10549       63.0050     
   0.10605       62.8588     
   0.10660       62.7076     
   0.10716       62.5536     
   0.10772       62.3982     
   0.10798       62.3387     
   0.10824       62.2870     
   0.10850       62.2394     
   0.10876       62.1945     
   0.10902       62.1513     
   0.10928       62.1096     
   0.10954       62.0691     
   0.10980       62.0297     
   0.11065       62.0660     
   0.11149       62.1581     
   0.11234       62.2741     
   0.11318       62.4029     
   0.11402       62.5383     
   0.11487       62.6768     
   0.11571       62.8160     
   0.11656       62.9541     
   0.11711       62.9146     

 *** MAPDL - ENGINEERING ANALYSIS SYSTEM  RELEASE 2025 R2          25.2     ***
 Ansys Mechanical Enterprise Academic Research     
 00236611  VERSION=LINUX x64     13:58:55  SEP 17, 2026 CP=   6300.674

                                                                               



          ***** MAPDL POST26 VARIABLE LISTING *****


    TIME       2466 TEMP    
                  TEMP    
   0.11767       62.8231     
   0.11823       62.7082     
   0.11879       62.5803     
   0.11934       62.4441     
   0.11990       62.3026     
   0.12046       62.1579     
   0.12102       62.0114     
   0.12103       62.0081     
   0.12104       62.0047     
   0.12105       62.0014     
   0.12107       61.9981     
   0.12108       61.9948     
   0.12109       61.9915     
   0.12212       62.0173     
   0.12314       62.1277     
   0.12417       62.2714     
   0.12519       62.4310     
   0.12622       62.5978     
   0.12725       62.7667     
   0.12827       62.9346     
   0.12930       63.0994     
   0.13032       63.2601     
