model,iteration,direction,phase,start_s,end_s,duration_s,power_w
llama-dev80,1,sim,idle,0.000000000,0.049085370,0.049085370,84.0000
llama-dev80,1,sim,attention,0.049085370,0.061393336,0.012307966,700.0000
llama-dev80,1,sim,addnorm,0.061393336,0.061469741,0.000076405,140.0000
llama-dev80,1,sim,gate,0.061469741,0.061533206,0.000063466,280.0000
llama-dev80,1,sim,idle,0.061533206,0.063066856,0.001533649,84.0000
llama-dev80,1,sim,gate,0.063066856,0.065151127,0.002084272,280.0000
llama-dev80,1,sim,experts,0.065151127,0.071906398,0.006755271,700.0000
llama-dev80,1,sim,idle,0.071906398,0.073555210,0.001648812,84.0000
llama-dev80,1,sim,addnorm,0.073555210,0.073631609,0.000076399,140.0000
llama-dev80,1,sim,idle,0.073631609,0.073632248,0.000000639,84.0000
llama-dev80,1,sim,attention,0.073632248,0.085940214,0.012307966,700.0000
llama-dev80,1,sim,addnorm,0.085940214,0.086016619,0.000076405,140.0000
llama-dev80,1,sim,gate,0.086016619,0.086080084,0.000063466,280.0000
llama-dev80,1,sim,idle,0.086080084,0.087613733,0.001533649,84.0000
llama-dev80,1,sim,gate,0.087613733,0.089698005,0.002084272,280.0000
llama-dev80,1,sim,experts,0.089698005,0.096453276,0.006755271,700.0000
llama-dev80,1,sim,idle,0.096453276,0.098102087,0.001648812,84.0000
llama-dev80,1,sim,addnorm,0.098102087,0.098178487,0.000076399,140.0000
llama-dev80,1,sim,idle,0.098178487,0.098179125,0.000000639,84.0000
llama-dev80,1,sim,attention,0.098179125,0.110487091,0.012307966,700.0000
llama-dev80,1,sim,addnorm,0.110487091,0.110563496,0.000076405,140.0000
llama-dev80,1,sim,gate,0.110563496,0.110626962,0.000063466,280.0000
llama-dev80,1,sim,idle,0.110626962,0.112160611,0.001533649,84.0000
llama-dev80,1,sim,gate,0.112160611,0.114244883,0.002084272,280.0000
llama-dev80,1,sim,experts,0.114244883,0.121000153,0.006755271,700.0000
llama-dev80,1,sim,idle,0.121000153,0.122648965,0.001648812,84.0000
llama-dev80,1,sim,addnorm,0.122648965,0.122725364,0.000076399,140.0000
llama-dev80,1,sim,attention,0.122725379,0.135033345,0.012307966,700.0000
llama-dev80,1,sim,addnorm,0.135033345,0.135109750,0.000076405,140.0000
llama-dev80,1,sim,gate,0.135109750,0.135173215,0.000063466,280.0000
llama-dev80,1,sim,idle,0.135173215,0.136706864,0.001533649,84.0000
llama-dev80,1,sim,gate,0.136706864,0.138791136,0.002084272,280.0000
llama-dev80,1,sim,experts,0.138791136,0.145546407,0.006755271,700.0000
llama-dev80,1,sim,idle,0.145546407,0.147195219,0.001648812,84.0000
llama-dev80,1,sim,addnorm,0.147195219,0.147271618,0.000076399,140.0000
llama-dev80,1,sim,idle,0.147271618,0.159485607,0.012213989,84.0000
llama-dev80,1,sim,addnorm,0.159485607,0.159636985,0.000151378,140.0000
llama-dev80,1,sim,gate,0.159636985,0.159640697,0.000003712,280.0000
llama-dev80,1,sim,idle,0.159640697,0.161072628,0.001431931,84.0000
llama-dev80,1,sim,gate,0.161072628,0.161164113,0.000091485,280.0000
llama-dev80,1,sim,experts,0.161164113,0.165709085,0.004544973,700.0000
llama-dev80,1,sim,idle,0.165709085,0.166891591,0.001182506,84.0000
llama-dev80,1,sim,gate,0.166891591,0.167013626,0.000122035,280.0000
llama-dev80,1,sim,addnorm,0.167013626,0.167165000,0.000151374,140.0000
llama-dev80,1,sim,attention,0.167165000,0.191780932,0.024615932,700.0000
llama-dev80,1,sim,idle,0.191780932,0.220827745,0.029046813,84.0000
llama-dev80,1,sim,addnorm,0.220827745,0.220979123,0.000151378,140.0000
llama-dev80,1,sim,gate,0.220979123,0.220982835,0.000003712,280.0000
llama-dev80,1,sim,idle,0.220982835,0.222414766,0.001431931,84.0000
llama-dev80,1,sim,gate,0.222414766,0.222506251,0.000091485,280.0000
llama-dev80,1,sim,experts,0.222506251,0.227051223,0.004544973,700.0000
llama-dev80,1,sim,idle,0.227051223,0.228233729,0.001182506,84.0000
llama-dev80,1,sim,gate,0.228233729,0.228355764,0.000122035,280.0000
llama-dev80,1,sim,addnorm,0.228355764,0.228507138,0.000151374,140.0000
llama-dev80,1,sim,attention,0.228507138,0.253123070,0.024615932,700.0000
llama-dev80,1,sim,idle,0.253123070,0.272728496,0.019605427,84.0000
llama-dev80,1,sim,addnorm,0.272728496,0.272879874,0.000151378,140.0000
llama-dev80,1,sim,gate,0.272879874,0.272883586,0.000003712,280.0000
llama-dev80,1,sim,idle,0.272883586,0.274313523,0.001429937,84.0000
llama-dev80,1,sim,gate,0.274313523,0.274405008,0.000091485,280.0000
llama-dev80,1,sim,experts,0.274405008,0.278949980,0.004544973,700.0000
llama-dev80,1,sim,idle,0.278949980,0.280132486,0.001182506,84.0000
llama-dev80,1,sim,gate,0.280132486,0.280254521,0.000122035,280.0000
llama-dev80,1,sim,addnorm,0.280254521,0.280405895,0.000151374,140.0000
llama-dev80,1,sim,attention,0.280405895,0.305021827,0.024615932,700.0000
llama-dev80,1,sim,idle,0.305021827,0.324064826,0.019042999,84.0000
llama-dev80,1,sim,addnorm,0.324064826,0.324216203,0.000151378,140.0000
llama-dev80,1,sim,gate,0.324216203,0.324219915,0.000003712,280.0000
llama-dev80,1,sim,idle,0.324219915,0.325649852,0.001429937,84.0000
llama-dev80,1,sim,gate,0.325649852,0.325741337,0.000091485,280.0000
llama-dev80,1,sim,experts,0.325741337,0.330286310,0.004544973,700.0000
llama-dev80,1,sim,idle,0.330286310,0.331484994,0.001198684,84.0000
llama-dev80,1,sim,gate,0.331484994,0.331607029,0.000122035,280.0000
llama-dev80,1,sim,addnorm,0.331607029,0.331758403,0.000151374,140.0000
llama-dev80,1,sim,idle,0.331758403,0.334706620,0.002948217,84.0000
llama-dev80,1,sim,attention,0.334706620,0.359322552,0.024615932,700.0000
llama-dev80,1,sim,idle,0.359322552,0.425304568,0.065982016,84.0000
llama-dev80,2,sim,idle,0.425304568,0.474389938,0.049085370,84.0000
llama-dev80,2,sim,attention,0.474389938,0.486697904,0.012307966,700.0000
llama-dev80,2,sim,addnorm,0.486697904,0.486774308,0.000076405,140.0000
llama-dev80,2,sim,gate,0.486774308,0.486837774,0.000063466,280.0000
llama-dev80,2,sim,idle,0.486837774,0.488371423,0.001533649,84.0000
llama-dev80,2,sim,gate,0.488371423,0.490455695,0.002084272,280.0000
llama-dev80,2,sim,experts,0.490455695,0.497210966,0.006755271,700.0000
llama-dev80,2,sim,idle,0.497210966,0.498859777,0.001648812,84.0000
llama-dev80,2,sim,addnorm,0.498859777,0.498936177,0.000076399,140.0000
llama-dev80,2,sim,idle,0.498936177,0.498936815,0.000000639,84.0000
llama-dev80,2,sim,attention,0.498936815,0.511244781,0.012307966,700.0000
llama-dev80,2,sim,addnorm,0.511244781,0.511321186,0.000076405,140.0000
llama-dev80,2,sim,gate,0.511321186,0.511384652,0.000063466,280.0000
llama-dev80,2,sim,idle,0.511384652,0.512918301,0.001533649,84.0000
llama-dev80,2,sim,gate,0.512918301,0.515002573,0.002084272,280.0000
llama-dev80,2,sim,experts,0.515002573,0.521757843,0.006755271,700.0000
llama-dev80,2,sim,idle,0.521757843,0.523406655,0.001648812,84.0000
llama-dev80,2,sim,addnorm,0.523406655,0.523483054,0.000076399,140.0000
llama-dev80,2,sim,idle,0.523483054,0.523483693,0.000000639,84.0000
llama-dev80,2,sim,attention,0.523483693,0.535791659,0.012307966,700.0000
llama-dev80,2,sim,addnorm,0.535791659,0.535868064,0.000076405,140.0000
llama-dev80,2,sim,gate,0.535868064,0.535931529,0.000063466,280.0000
llama-dev80,2,sim,idle,0.535931529,0.537465178,0.001533649,84.0000
llama-dev80,2,sim,gate,0.537465178,0.539549450,0.002084272,280.0000
llama-dev80,2,sim,experts,0.539549450,0.546304721,0.006755271,700.0000
llama-dev80,2,sim,idle,0.546304721,0.547953533,0.001648812,84.0000
llama-dev80,2,sim,addnorm,0.547953533,0.548029932,0.000076399,140.0000
