model,iteration,direction,phase,start_s,end_s,duration_s,power_w
llama-dev33,1,sim,idle,0.000000000,0.024536837,0.024536837,84.0000
llama-dev33,1,sim,attention,0.024536837,0.036844803,0.012307966,700.0000
llama-dev33,1,sim,addnorm,0.036844803,0.036921193,0.000076391,140.0000
llama-dev33,1,sim,gate,0.036921193,0.036984956,0.000063763,280.0000
llama-dev33,1,sim,idle,0.036984956,0.038518606,0.001533649,84.0000
llama-dev33,1,sim,gate,0.038518606,0.040603098,0.002084493,280.0000
llama-dev33,1,sim,experts,0.040603098,0.047358666,0.006755568,700.0000
llama-dev33,1,sim,idle,0.047358666,0.049007321,0.001648654,84.0000
llama-dev33,1,sim,addnorm,0.049007321,0.049083714,0.000076393,140.0000
llama-dev33,1,sim,attention,0.049083714,0.061391680,0.012307966,700.0000
llama-dev33,1,sim,addnorm,0.061391680,0.061468071,0.000076391,140.0000
llama-dev33,1,sim,gate,0.061468071,0.061531834,0.000063763,280.0000
llama-dev33,1,sim,idle,0.061531834,0.063065483,0.001533649,84.0000
llama-dev33,1,sim,gate,0.063065483,0.065149976,0.002084493,280.0000
llama-dev33,1,sim,experts,0.065149976,0.071905544,0.006755568,700.0000
llama-dev33,1,sim,idle,0.071905544,0.073554199,0.001648654,84.0000
llama-dev33,1,sim,addnorm,0.073554199,0.073630592,0.000076393,140.0000
llama-dev33,1,sim,attention,0.073630592,0.085938558,0.012307966,700.0000
llama-dev33,1,sim,addnorm,0.085938558,0.086014949,0.000076391,140.0000
llama-dev33,1,sim,gate,0.086014949,0.086078712,0.000063763,280.0000
llama-dev33,1,sim,idle,0.086078712,0.087612361,0.001533649,84.0000
llama-dev33,1,sim,gate,0.087612361,0.089696854,0.002084493,280.0000
llama-dev33,1,sim,experts,0.089696854,0.096452422,0.006755568,700.0000
llama-dev33,1,sim,idle,0.096452422,0.098101076,0.001648654,84.0000
llama-dev33,1,sim,addnorm,0.098101076,0.098177470,0.000076393,140.0000
llama-dev33,1,sim,attention,0.098177470,0.110485435,0.012307966,700.0000
llama-dev33,1,sim,addnorm,0.110485435,0.110561826,0.000076391,140.0000
llama-dev33,1,sim,gate,0.110561826,0.110615234,0.000053408,280.0000
llama-dev33,1,sim,gate,0.110615234,0.110625589,0.000010355,280.0000
llama-dev33,1,sim,idle,0.110625589,0.112148883,0.001523294,84.0000
llama-dev33,1,sim,gate,0.112148883,0.114233376,0.002084493,280.0000
llama-dev33,1,sim,experts,0.114233376,0.120988944,0.006755568,700.0000
llama-dev33,1,sim,idle,0.120988944,0.122637599,0.001648654,84.0000
llama-dev33,1,sim,addnorm,0.122637599,0.122713992,0.000076393,140.0000
llama-dev33,1,sim,idle,0.122713992,0.191825456,0.069111464,84.0000
llama-dev33,1,sim,addnorm,0.191825456,0.191976933,0.000151477,140.0000
llama-dev33,1,sim,gate,0.191976933,0.191980354,0.000003421,280.0000
llama-dev33,1,sim,idle,0.191980354,0.193410582,0.001430228,84.0000
llama-dev33,1,sim,gate,0.193410582,0.193502077,0.000091494,280.0000
llama-dev33,1,sim,experts,0.193502077,0.198093955,0.004591878,700.0000
llama-dev33,1,sim,idle,0.198093955,0.199229110,0.001135155,84.0000
llama-dev33,1,sim,gate,0.199229110,0.199351181,0.000122070,280.0000
llama-dev33,1,sim,addnorm,0.199351181,0.199502648,0.000151467,140.0000
llama-dev33,1,sim,idle,0.199502648,0.202484206,0.002981558,84.0000
llama-dev33,1,sim,attention,0.202484206,0.227100137,0.024615932,700.0000
llama-dev33,1,sim,idle,0.227100137,0.253276893,0.026176755,84.0000
llama-dev33,1,sim,addnorm,0.253276893,0.253428370,0.000151477,140.0000
llama-dev33,1,sim,gate,0.253428370,0.253431791,0.000003421,280.0000
llama-dev33,1,sim,idle,0.253431791,0.254862019,0.001430228,84.0000
llama-dev33,1,sim,gate,0.254862019,0.254953513,0.000091494,280.0000
llama-dev33,1,sim,experts,0.254953513,0.259545392,0.004591878,700.0000
llama-dev33,1,sim,idle,0.259545392,0.260680547,0.001135155,84.0000
