iteration,round_id,layer,mb,info,ready_s,start_s,finish_s
1,23375226854416,2,0,GROUP_BY forward all2all,0.099390498,0.099390498,0.103843364
1,23375226854896,2,0,GROUP_BY forward all2all,0.099390567,0.099390567,0.103843434
1,23375226860176,2,0,AGGREGATE forward all2all,0.117488213,0.117488213,0.121941079
1,23375226860656,2,0,AGGREGATE forward all2all,0.117488282,0.117488282,0.121941232
1,23375226851056,2,1,GROUP_BY forward all2all,0.140066106,0.140066106,0.144518972
1,23375226850576,2,1,GROUP_BY forward all2all,0.140066121,0.140066121,0.144518987
1,23375226850096,2,1,AGGREGATE forward all2all,0.158163821,0.158163821,0.162616771
1,23375226849616,2,1,AGGREGATE forward all2all,0.158163835,0.158163835,0.162616701
1,23375226873616,2,2,GROUP_BY forward all2all,0.180741576,0.180741576,0.185194442
1,23375226874096,2,2,GROUP_BY forward all2all,0.180741645,0.180741645,0.185194511
1,23375226871696,2,2,AGGREGATE forward all2all,0.198839290,0.198839290,0.203293867
1,23375226872176,2,2,AGGREGATE forward all2all,0.198839360,0.198839360,0.204101649
1,23375226868816,2,3,GROUP_BY forward all2all,0.222225885,0.222225885,0.226678751
1,23375226869296,2,3,GROUP_BY forward all2all,0.222225885,0.222225885,0.226678751
1,23375226867856,2,3,AGGREGATE forward all2all,0.240323599,0.240323599,0.245331835
1,23375226868336,2,3,AGGREGATE forward all2all,0.240323599,0.240323599,0.245524437
1,23375226860416,2,0,AGGREGATE backward all2all,0.242352525,0.242352525,0.247783931
1,23375226854656,2,0,GROUP_BY backward all2all,0.256669167,0.256669167,0.261147116
1,23375226860896,2,0,AGGREGATE backward all2all,0.261250246,0.261250246,0.265703112
1,23375226855136,2,0,GROUP_BY backward all2all,0.274588347,0.274588347,0.279041297
1,23375226850336,2,1,AGGREGATE backward all2all,0.313693313,0.313693313,0.318146180
1,23375226851296,2,1,GROUP_BY backward all2all,0.327031415,0.327031415,0.331484365
1,23375226849856,2,1,AGGREGATE backward all2all,0.335134711,0.335134711,0.339587577
1,23375226850816,2,1,GROUP_BY backward all2all,0.348472813,0.348472813,0.352925679
1,23375226871936,2,2,AGGREGATE backward all2all,0.383566397,0.383566397,0.388040880
1,23375226873856,2,2,GROUP_BY backward all2all,0.396926115,0.396926115,0.401379816
1,23375226872416,2,2,AGGREGATE backward all2all,0.406525420,0.406525420,0.410978287
1,23375226874336,2,2,GROUP_BY backward all2all,0.419863522,0.419863522,0.425102501
1,23375226868096,2,3,AGGREGATE backward all2all,0.452750817,0.452750817,0.457203683
1,23375226868576,2,3,AGGREGATE backward all2all,0.463659441,0.463659441,0.468112307
1,23375226869056,2,3,GROUP_BY backward all2all,0.466088919,0.466088919,0.470541868
1,23375226869536,2,3,GROUP_BY backward all2all,0.476997542,0.476997542,0.481450408
2,23375226854416,2,0,GROUP_BY forward all2all,0.702882195,0.702882195,0.707335061
2,23375226854896,2,0,GROUP_BY forward all2all,0.702882264,0.702882264,0.707335130
2,23375226860176,2,0,AGGREGATE forward all2all,0.720979909,0.720979909,0.725432775
2,23375226860656,2,0,AGGREGATE forward all2all,0.720979978,0.720979978,0.725432928
2,23375226851056,2,1,GROUP_BY forward all2all,0.743557803,0.743557803,0.748010669
2,23375226850576,2,1,GROUP_BY forward all2all,0.743557817,0.743557817,0.748010683
2,23375226850096,2,1,AGGREGATE forward all2all,0.761655517,0.761655517,0.766108467
2,23375226849616,2,1,AGGREGATE forward all2all,0.761655532,0.761655532,0.766108398
2,23375226873616,2,2,GROUP_BY forward all2all,0.784233272,0.784233272,0.788686138
2,23375226874096,2,2,GROUP_BY forward all2all,0.784233341,0.784233341,0.788686208
2,23375226871696,2,2,AGGREGATE forward all2all,0.802330987,0.802330987,0.806785563
2,23375226872176,2,2,AGGREGATE forward all2all,0.802331056,0.802331056,0.807593345
2,23375226868816,2,3,GROUP_BY forward all2all,0.825717581,0.825717581,0.830170447
2,23375226869296,2,3,GROUP_BY forward all2all,0.825717581,0.825717581,0.830170447
2,23375226867856,2,3,AGGREGATE forward all2all,0.843815296,0.843815296,0.848823531
2,23375226868336,2,3,AGGREGATE forward all2all,0.843815296,0.843815296,0.849016133
2,23375226860416,2,0,AGGREGATE backward all2all,0.845844222,0.845844222,0.851275628
2,23375226854656,2,0,GROUP_BY backward all2all,0.860160863,0.860160863,0.864638812
2,23375226860896,2,0,AGGREGATE backward all2all,0.864741942,0.864741942,0.869194809
2,23375226855136,2,0,GROUP_BY backward all2all,0.878080044,0.878080044,0.882532994
2,23375226850336,2,1,AGGREGATE backward all2all,0.917185010,0.917185010,0.921637876
2,23375226851296,2,1,GROUP_BY backward all2all,0.930523111,0.930523111,0.934976061
2,23375226849856,2,1,AGGREGATE backward all2all,0.938626408,0.938626408,0.943079274
2,23375226850816,2,1,GROUP_BY backward all2all,0.951964509,0.951964509,0.956417375
2,23375226871936,2,2,AGGREGATE backward all2all,0.987058094,0.987058094,0.991532576
2,23375226873856,2,2,GROUP_BY backward all2all,1.000417811,1.000417811,1.004871513
2,23375226872416,2,2,AGGREGATE backward all2all,1.010017117,1.010017117,1.014469983
2,23375226874336,2,2,GROUP_BY backward all2all,1.023355218,1.023355218,1.028594197
2,23375226868096,2,3,AGGREGATE backward all2all,1.056242514,1.056242514,1.060695380
2,23375226868576,2,3,AGGREGATE backward all2all,1.067151137,1.067151137,1.071604003
2,23375226869056,2,3,GROUP_BY backward all2all,1.069580615,1.069580615,1.074033565
2,23375226869536,2,3,GROUP_BY backward all2all,1.080489239,1.080489239,1.084942105
3,23375226854416,2,0,GROUP_BY forward all2all,1.306373891,1.306373891,1.310826757
3,23375226854896,2,0,GROUP_BY forward all2all,1.306373960,1.306373960,1.310826826
3,23375226860176,2,0,AGGREGATE forward all2all,1.324471606,1.324471606,1.328924472
3,23375226860656,2,0,AGGREGATE forward all2all,1.324471675,1.324471675,1.328924625
3,23375226851056,2,1,GROUP_BY forward all2all,1.347049499,1.347049499,1.351502365
3,23375226850576,2,1,GROUP_BY forward all2all,1.347049513,1.347049513,1.351502380
3,23375226850096,2,1,AGGREGATE forward all2all,1.365147214,1.365147214,1.369600164
3,23375226849616,2,1,AGGREGATE forward all2all,1.365147228,1.365147228,1.369600094
3,23375226873616,2,2,GROUP_BY forward all2all,1.387724969,1.387724969,1.392177835
3,23375226874096,2,2,GROUP_BY forward all2all,1.387725038,1.387725038,1.392177904
3,23375226871696,2,2,AGGREGATE forward all2all,1.405822683,1.405822683,1.410277260
3,23375226872176,2,2,AGGREGATE forward all2all,1.405822753,1.405822753,1.411085042
3,23375226868816,2,3,GROUP_BY forward all2all,1.429209278,1.429209278,1.433662144
3,23375226869296,2,3,GROUP_BY forward all2all,1.429209278,1.429209278,1.433662144
3,23375226867856,2,3,AGGREGATE forward all2all,1.447306992,1.447306992,1.452315227
3,23375226868336,2,3,AGGREGATE forward all2all,1.447306992,1.447306992,1.452507830
3,23375226860416,2,0,AGGREGATE backward all2all,1.449335918,1.449335918,1.454767324
3,23375226854656,2,0,GROUP_BY backward all2all,1.463652559,1.463652559,1.468130509
3,23375226860896,2,0,AGGREGATE backward all2all,1.468233639,1.468233639,1.472686505
3,23375226855136,2,0,GROUP_BY backward all2all,1.481571740,1.481571740,1.486024690
3,23375226850336,2,1,AGGREGATE backward all2all,1.520676706,1.520676706,1.525129573
3,23375226851296,2,1,GROUP_BY backward all2all,1.534014808,1.534014808,1.538467758
3,23375226849856,2,1,AGGREGATE backward all2all,1.542118104,1.542118104,1.546570970
3,23375226850816,2,1,GROUP_BY backward all2all,1.555456205,1.555456205,1.559909072
3,23375226871936,2,2,AGGREGATE backward all2all,1.590549790,1.590549790,1.595024272
3,23375226873856,2,2,GROUP_BY backward all2all,1.603909508,1.603909508,1.608363209
3,23375226872416,2,2,AGGREGATE backward all2all,1.613508813,1.613508813,1.617961679
3,23375226874336,2,2,GROUP_BY backward all2all,1.626846915,1.626846915,1.632085893
