iteration,round_id,layer,mb,info,ready_s,start_s,finish_s
1,23375226856336,1,0,GROUP_BY forward all2all,0.058713553,0.058713553,0.063166420
1,23375226856816,1,0,GROUP_BY forward all2all,0.058713637,0.058713637,0.063166503
1,23375226855376,1,0,AGGREGATE forward all2all,0.076811629,0.076811629,0.081264579
1,23375226855856,1,0,AGGREGATE forward all2all,0.076811713,0.076811713,0.081264663
1,23375226852496,1,1,GROUP_BY forward all2all,0.099389176,0.099389176,0.103842042
1,23375226852976,1,1,GROUP_BY forward all2all,0.099389176,0.099389176,0.103842042
1,23375226852016,1,1,AGGREGATE forward all2all,0.117487251,0.117487251,0.121940201
1,23375226851536,1,1,AGGREGATE forward all2all,0.117487251,0.117487251,0.121940201
1,23375226844816,1,2,GROUP_BY forward all2all,0.140064715,0.140064715,0.144517581
1,23375226845296,1,2,GROUP_BY forward all2all,0.140064715,0.140064715,0.144517581
1,23375226874576,1,2,AGGREGATE forward all2all,0.158162790,0.158162790,0.162615657
1,23375226875056,1,2,AGGREGATE forward all2all,0.158162790,0.158162790,0.162615740
1,23375226863056,1,3,GROUP_BY forward all2all,0.180729898,0.180729898,0.185182764
1,23375226863536,1,3,GROUP_BY forward all2all,0.180729898,0.180729898,0.185182764
1,23375226869776,1,3,AGGREGATE forward all2all,0.198827974,0.198827974,0.203280840
1,23375226870256,1,3,AGGREGATE forward all2all,0.198827974,0.198827974,0.203280840
1,23375226855616,1,0,AGGREGATE backward all2all,0.291787934,0.291787934,0.296240800
1,23375226856576,1,0,GROUP_BY backward all2all,0.305125600,0.305125600,0.309578550
1,23375226856096,1,0,AGGREGATE backward all2all,0.309682115,0.309682115,0.314134981
1,23375226857056,1,0,GROUP_BY backward all2all,0.323019782,0.323019782,0.327770081
1,23375226852256,1,1,AGGREGATE backward all2all,0.362125183,0.362125183,0.366578049
1,23375226853216,1,1,GROUP_BY backward all2all,0.375462849,0.375462849,0.380106410
1,23375226851776,1,1,AGGREGATE backward all2all,0.383566497,0.383566497,0.388019363
1,23375226852736,1,1,GROUP_BY backward all2all,0.396904163,0.396904163,0.401357113
1,23375226874816,1,2,AGGREGATE backward all2all,0.432020634,0.432020634,0.436473501
1,23375226845056,1,2,GROUP_BY backward all2all,0.445358301,0.445358301,0.449811251
1,23375226875296,1,2,AGGREGATE backward all2all,0.455743319,0.455743319,0.460196185
1,23375226845536,1,2,GROUP_BY backward all2all,0.469080985,0.469080985,0.473774219
1,23375226870016,1,3,AGGREGATE backward all2all,0.501182686,0.501182686,0.505635553
1,23375226870496,1,3,AGGREGATE backward all2all,0.512091226,0.512091226,0.516544093
1,23375226863296,1,3,GROUP_BY backward all2all,0.514520353,0.514520353,0.518973303
1,23375226863776,1,3,GROUP_BY backward all2all,0.525428893,0.525428893,0.530171716
2,23375226856336,1,0,GROUP_BY forward all2all,0.662205250,0.662205250,0.666658116
2,23375226856816,1,0,GROUP_BY forward all2all,0.662205333,0.662205333,0.666658200
2,23375226855376,1,0,AGGREGATE forward all2all,0.680303325,0.680303325,0.684756275
2,23375226855856,1,0,AGGREGATE forward all2all,0.680303409,0.680303409,0.684756359
2,23375226852496,1,1,GROUP_BY forward all2all,0.702880872,0.702880872,0.707333738
2,23375226852976,1,1,GROUP_BY forward all2all,0.702880872,0.702880872,0.707333738
2,23375226852016,1,1,AGGREGATE forward all2all,0.720978948,0.720978948,0.725431898
2,23375226851536,1,1,AGGREGATE forward all2all,0.720978948,0.720978948,0.725431898
2,23375226844816,1,2,GROUP_BY forward all2all,0.743556411,0.743556411,0.748009277
2,23375226845296,1,2,GROUP_BY forward all2all,0.743556411,0.743556411,0.748009277
2,23375226874576,1,2,AGGREGATE forward all2all,0.761654487,0.761654487,0.766107353
2,23375226875056,1,2,AGGREGATE forward all2all,0.761654487,0.761654487,0.766107437
2,23375226863056,1,3,GROUP_BY forward all2all,0.784221595,0.784221595,0.788674461
2,23375226863536,1,3,GROUP_BY forward all2all,0.784221595,0.784221595,0.788674461
2,23375226869776,1,3,AGGREGATE forward all2all,0.802319670,0.802319670,0.806772537
2,23375226870256,1,3,AGGREGATE forward all2all,0.802319670,0.802319670,0.806772537
2,23375226855616,1,0,AGGREGATE backward all2all,0.895279630,0.895279630,0.899732496
2,23375226856576,1,0,GROUP_BY backward all2all,0.908617297,0.908617297,0.913070247
2,23375226856096,1,0,AGGREGATE backward all2all,0.913173812,0.913173812,0.917626678
2,23375226857056,1,0,GROUP_BY backward all2all,0.926511478,0.926511478,0.931261778
2,23375226852256,1,1,AGGREGATE backward all2all,0.965616879,0.965616879,0.970069746
2,23375226853216,1,1,GROUP_BY backward all2all,0.978954546,0.978954546,0.983598107
2,23375226851776,1,1,AGGREGATE backward all2all,0.987058193,0.987058193,0.991511060
2,23375226852736,1,1,GROUP_BY backward all2all,1.000395860,1.000395860,1.004848810
2,23375226874816,1,2,AGGREGATE backward all2all,1.035512331,1.035512331,1.039965197
2,23375226845056,1,2,GROUP_BY backward all2all,1.048849997,1.048849997,1.053302947
2,23375226875296,1,2,AGGREGATE backward all2all,1.059235015,1.059235015,1.063687881
2,23375226845536,1,2,GROUP_BY backward all2all,1.072572682,1.072572682,1.077265915
2,23375226870016,1,3,AGGREGATE backward all2all,1.104674383,1.104674383,1.109127249
2,23375226870496,1,3,AGGREGATE backward all2all,1.115582923,1.115582923,1.120035789
2,23375226863296,1,3,GROUP_BY backward all2all,1.118012049,1.118012049,1.122464999
2,23375226863776,1,3,GROUP_BY backward all2all,1.128920589,1.128920589,1.133663412
3,23375226856336,1,0,GROUP_BY forward all2all,1.265696946,1.265696946,1.270149812
3,23375226856816,1,0,GROUP_BY forward all2all,1.265697030,1.265697030,1.270149896
3,23375226855376,1,0,AGGREGATE forward all2all,1.283795022,1.283795022,1.288247972
