iteration,round_id,layer,mb,info,ready_s,start_s,finish_s
1,23375226854416,2,0,GROUP_BY forward all2all,0.072991043,0.072991043,0.077443909
1,23375226854896,2,0,GROUP_BY forward all2all,0.072991210,0.072991210,0.077444076
1,23375226860176,2,0,AGGREGATE forward all2all,0.086288757,0.086288757,0.090741707
1,23375226860656,2,0,AGGREGATE forward all2all,0.086288924,0.086288924,0.090741874
1,23375226850576,2,1,GROUP_BY forward all2all,0.103266749,0.103266749,0.107719615
1,23375226851056,2,1,GROUP_BY forward all2all,0.103266749,0.103266749,0.107719615
1,23375226850096,2,1,AGGREGATE forward all2all,0.116564463,0.116564463,0.121017330
1,23375226849616,2,1,AGGREGATE forward all2all,0.116564463,0.116564463,0.121017413
1,23375226874096,2,2,GROUP_BY forward all2all,0.133542204,0.133542204,0.137995070
1,23375226873616,2,2,GROUP_BY forward all2all,0.133542204,0.133542204,0.137995070
1,23375226871696,2,2,AGGREGATE forward all2all,0.146839919,0.146839919,0.151292868
1,23375226872176,2,2,AGGREGATE forward all2all,0.146839919,0.146839919,0.151292868
1,23375226868816,2,3,GROUP_BY forward all2all,0.163817104,0.163817104,0.168269970
1,23375226869296,2,3,GROUP_BY forward all2all,0.163817104,0.163817104,0.168269970
1,23375226867856,2,3,AGGREGATE forward all2all,0.177114819,0.177114819,0.181567685
1,23375226868336,2,3,AGGREGATE forward all2all,0.177114819,0.177114819,0.181567769
1,23375226860416,2,0,AGGREGATE backward all2all,0.201828326,0.201828326,0.206281192
1,23375226854656,2,0,GROUP_BY backward all2all,0.210966427,0.210966427,0.215419294
1,23375226860896,2,0,AGGREGATE backward all2all,0.215741459,0.215741459,0.220194326
1,23375226855136,2,0,GROUP_BY backward all2all,0.224879561,0.224879561,0.229332511
1,23375226849856,2,1,AGGREGATE backward all2all,0.249973840,0.249973840,0.254426706
1,23375226850336,2,1,AGGREGATE backward all2all,0.254373229,0.254373229,0.258826095
1,23375226850816,2,1,GROUP_BY backward all2all,0.259111941,0.259111941,0.263564891
1,23375226851296,2,1,GROUP_BY backward all2all,0.263511331,0.263511331,0.267964281
1,23375226872416,2,2,AGGREGATE backward all2all,0.309334043,0.309334043,0.313786909
1,23375226874336,2,2,GROUP_BY backward all2all,0.318472144,0.318472144,0.322925094
1,23375226871936,2,2,AGGREGATE backward all2all,0.331507289,0.331507289,0.335960156
1,23375226873856,2,2,GROUP_BY backward all2all,0.340645391,0.340645391,0.345098341
1,23375226868576,2,3,AGGREGATE backward all2all,0.369799636,0.369799636,0.374252503
1,23375226868096,2,3,AGGREGATE backward all2all,0.378679664,0.378679664,0.383132530
1,23375226869536,2,3,GROUP_BY backward all2all,0.378937738,0.378937738,0.383390688
1,23375226869056,2,3,GROUP_BY backward all2all,0.387817766,0.387817766,0.392270715
2,23375226854416,2,0,GROUP_BY forward all2all,0.567413173,0.567413173,0.571866039
2,23375226854896,2,0,GROUP_BY forward all2all,0.567413340,0.567413340,0.571866206
2,23375226860176,2,0,AGGREGATE forward all2all,0.580710888,0.580710888,0.585163837
2,23375226860656,2,0,AGGREGATE forward all2all,0.580711055,0.580711055,0.585164005
2,23375226850576,2,1,GROUP_BY forward all2all,0.597688879,0.597688879,0.602141745
2,23375226851056,2,1,GROUP_BY forward all2all,0.597688879,0.597688879,0.602141745
2,23375226850096,2,1,AGGREGATE forward all2all,0.610986594,0.610986594,0.615439460
2,23375226849616,2,1,AGGREGATE forward all2all,0.610986594,0.610986594,0.615439543
2,23375226874096,2,2,GROUP_BY forward all2all,0.627964334,0.627964334,0.632417200
2,23375226873616,2,2,GROUP_BY forward all2all,0.627964334,0.627964334,0.632417200
2,23375226871696,2,2,AGGREGATE forward all2all,0.641262049,0.641262049,0.645714999
2,23375226872176,2,2,AGGREGATE forward all2all,0.641262049,0.641262049,0.645714999
2,23375226868816,2,3,GROUP_BY forward all2all,0.658239234,0.658239234,0.662692101
2,23375226869296,2,3,GROUP_BY forward all2all,0.658239234,0.658239234,0.662692101
2,23375226867856,2,3,AGGREGATE forward all2all,0.671536949,0.671536949,0.675989815
2,23375226868336,2,3,AGGREGATE forward all2all,0.671536949,0.671536949,0.675989899
2,23375226860416,2,0,AGGREGATE backward all2all,0.696250456,0.696250456,0.700703323
2,23375226854656,2,0,GROUP_BY backward all2all,0.705388558,0.705388558,0.709841424
2,23375226860896,2,0,AGGREGATE backward all2all,0.710163590,0.710163590,0.714616456
2,23375226855136,2,0,GROUP_BY backward all2all,0.719301691,0.719301691,0.723754641
2,23375226849856,2,1,AGGREGATE backward all2all,0.744395970,0.744395970,0.748848836
2,23375226850336,2,1,AGGREGATE backward all2all,0.748795359,0.748795359,0.753248226
2,23375226850816,2,1,GROUP_BY backward all2all,0.753534072,0.753534072,0.757987021
2,23375226851296,2,1,GROUP_BY backward all2all,0.757933461,0.757933461,0.762386411
2,23375226872416,2,2,AGGREGATE backward all2all,0.803756173,0.803756173,0.808209040
2,23375226874336,2,2,GROUP_BY backward all2all,0.812894275,0.812894275,0.817347225
2,23375226871936,2,2,AGGREGATE backward all2all,0.825929420,0.825929420,0.830382286
2,23375226873856,2,2,GROUP_BY backward all2all,0.835067521,0.835067521,0.839520471
2,23375226868576,2,3,AGGREGATE backward all2all,0.864221767,0.864221767,0.868674633
2,23375226868096,2,3,AGGREGATE backward all2all,0.873101794,0.873101794,0.877554661
2,23375226869536,2,3,GROUP_BY backward all2all,0.873359868,0.873359868,0.877812818
2,23375226869056,2,3,GROUP_BY backward all2all,0.882239896,0.882239896,0.886692846
3,23375226854416,2,0,GROUP_BY forward all2all,1.061835303,1.061835303,1.066288169
3,23375226854896,2,0,GROUP_BY forward all2all,1.061835470,1.061835470,1.066288337
3,23375226860176,2,0,AGGREGATE forward all2all,1.075133018,1.075133018,1.079585968
3,23375226860656,2,0,AGGREGATE forward all2all,1.075133185,1.075133185,1.079586135
3,23375226850576,2,1,GROUP_BY forward all2all,1.092111009,1.092111009,1.096563876
3,23375226851056,2,1,GROUP_BY forward all2all,1.092111009,1.092111009,1.096563876
3,23375226850096,2,1,AGGREGATE forward all2all,1.105408724,1.105408724,1.109861590
3,23375226849616,2,1,AGGREGATE forward all2all,1.105408724,1.105408724,1.109861674
3,23375226874096,2,2,GROUP_BY forward all2all,1.122386464,1.122386464,1.126839331
3,23375226873616,2,2,GROUP_BY forward all2all,1.122386464,1.122386464,1.126839331
3,23375226871696,2,2,AGGREGATE forward all2all,1.135684179,1.135684179,1.140137129
3,23375226872176,2,2,AGGREGATE forward all2all,1.135684179,1.135684179,1.140137129
3,23375226868816,2,3,GROUP_BY forward all2all,1.152661365,1.152661365,1.157114231
3,23375226869296,2,3,GROUP_BY forward all2all,1.152661365,1.152661365,1.157114231
3,23375226867856,2,3,AGGREGATE forward all2all,1.165959079,1.165959079,1.170411946
