model,iteration,direction,phase,start_s,end_s,duration_s,power_w
llama-dev33,1,sim,idle,0.000000000,0.030265747,0.030265747,84.0000
llama-dev33,1,sim,attention,0.030265747,0.042573713,0.012307966,700.0000
llama-dev33,1,sim,addnorm,0.042573713,0.042650104,0.000076391,140.0000
llama-dev33,1,sim,gate,0.042650104,0.042713867,0.000063763,280.0000
llama-dev33,1,sim,idle,0.042713867,0.047166734,0.004452866,84.0000
llama-dev33,1,sim,gate,0.047166734,0.049251226,0.002084493,280.0000
llama-dev33,1,sim,experts,0.049251226,0.056006795,0.006755568,700.0000
llama-dev33,1,sim,idle,0.056006795,0.060464809,0.004458015,84.0000
llama-dev33,1,sim,addnorm,0.060464809,0.060541203,0.000076393,140.0000
llama-dev33,1,sim,idle,0.060541203,0.060541370,0.000000167,84.0000
llama-dev33,1,sim,attention,0.060541370,0.072849336,0.012307966,700.0000
llama-dev33,1,sim,addnorm,0.072849336,0.072925727,0.000076391,140.0000
llama-dev33,1,sim,gate,0.072925727,0.072989490,0.000063763,280.0000
llama-dev33,1,sim,idle,0.072989490,0.077442356,0.004452866,84.0000
llama-dev33,1,sim,gate,0.077442356,0.079526849,0.002084493,280.0000
llama-dev33,1,sim,experts,0.079526849,0.086282417,0.006755568,700.0000
llama-dev33,1,sim,idle,0.086282417,0.090740515,0.004458098,84.0000
llama-dev33,1,sim,addnorm,0.090740515,0.090816909,0.000076393,140.0000
llama-dev33,1,sim,attention,0.090816909,0.103124875,0.012307966,700.0000
llama-dev33,1,sim,addnorm,0.103124875,0.103201265,0.000076391,140.0000
llama-dev33,1,sim,gate,0.103201265,0.103265029,0.000063763,280.0000
llama-dev33,1,sim,idle,0.103265029,0.107717895,0.004452866,84.0000
llama-dev33,1,sim,gate,0.107717895,0.109802388,0.002084493,280.0000
llama-dev33,1,sim,experts,0.109802388,0.116557956,0.006755568,700.0000
llama-dev33,1,sim,idle,0.116557956,0.121015971,0.004458015,84.0000
llama-dev33,1,sim,addnorm,0.121015971,0.121092364,0.000076393,140.0000
llama-dev33,1,sim,attention,0.121092364,0.133400330,0.012307966,700.0000
llama-dev33,1,sim,addnorm,0.133400330,0.133476721,0.000076391,140.0000
