iteration,round_id,layer,mb,info,ready_s,start_s,finish_s
1,23375226856336,1,0,GROUP_BY forward all2all,0.042713867,0.042713867,0.047166734
1,23375226856816,1,0,GROUP_BY forward all2all,0.042713951,0.042713951,0.047166817
1,23375226855376,1,0,AGGREGATE forward all2all,0.056011943,0.056011943,0.060464809
1,23375226855856,1,0,AGGREGATE forward all2all,0.056012027,0.056012027,0.060464977
1,23375226852496,1,1,GROUP_BY forward all2all,0.072989490,0.072989490,0.077442356
1,23375226852976,1,1,GROUP_BY forward all2all,0.072989490,0.072989490,0.077442356
1,23375226852016,1,1,AGGREGATE forward all2all,0.086287566,0.086287566,0.090740515
1,23375226851536,1,1,AGGREGATE forward all2all,0.086287566,0.086287566,0.090740515
1,23375226844816,1,2,GROUP_BY forward all2all,0.103265029,0.103265029,0.107717895
1,23375226845296,1,2,GROUP_BY forward all2all,0.103265029,0.103265029,0.107717895
1,23375226874576,1,2,AGGREGATE forward all2all,0.116563104,0.116563104,0.121015971
1,23375226875056,1,2,AGGREGATE forward all2all,0.116563104,0.116563104,0.121015971
1,23375226863056,1,3,GROUP_BY forward all2all,0.133530129,0.133530129,0.137982995
1,23375226863536,1,3,GROUP_BY forward all2all,0.133530129,0.133530129,0.137982995
1,23375226869776,1,3,AGGREGATE forward all2all,0.146828204,0.146828204,0.151281154
1,23375226870256,1,3,AGGREGATE forward all2all,0.146828204,0.146828204,0.151281154
1,23375226855616,1,0,AGGREGATE backward all2all,0.240460112,0.240460112,0.244912978
1,23375226856576,1,0,GROUP_BY backward all2all,0.249597778,0.249597778,0.254050728
1,23375226856096,1,0,AGGREGATE backward all2all,0.254373329,0.254373329,0.258826195
1,23375226857056,1,0,GROUP_BY backward all2all,0.263510995,0.263510995,0.267963945
1,23375226851776,1,1,AGGREGATE backward all2all,0.288605709,0.288605709,0.293058575
1,23375226852256,1,1,AGGREGATE backward all2all,0.293005099,0.293005099,0.297457965
1,23375226852736,1,1,GROUP_BY backward all2all,0.297743376,0.297743376,0.302196325
1,23375226853216,1,1,GROUP_BY backward all2all,0.302142765,0.302142765,0.306595715
