iteration,round_id,layer,mb,info,ready_s,start_s,finish_s
1,23375226861616,3,0,GROUP_BY forward all2all,0.079081241,0.079081241,0.079081558
1,23375226861136,3,0,GROUP_BY forward all2all,0.079081255,0.079081255,0.079081573
1,23375226864496,3,0,AGGREGATE forward all2all,0.087934275,0.087934275,0.088777780
1,23375226864016,3,0,AGGREGATE forward all2all,0.087934289,0.087934289,0.088777795
1,23375226864736,3,0,AGGREGATE backward all2all,0.109852885,0.109852885,0.110486537
1,23375226864256,3,0,AGGREGATE backward all2all,0.109854423,0.109854423,0.110488075
1,23375226849136,3,1,GROUP_BY forward all2all,0.109921622,0.109921622,0.109923323
1,23375226848656,3,1,GROUP_BY forward all2all,0.109921636,0.109921636,0.109923318
1,23375226847696,3,1,AGGREGATE forward all2all,0.121252992,0.121252992,0.122096498
1,23375226848176,3,1,AGGREGATE forward all2all,0.121252997,0.121252997,0.122096503
1,23375226861376,3,0,GROUP_BY backward all2all,0.123448771,0.123448771,0.123449088
1,23375226861856,3,0,GROUP_BY backward all2all,0.123448776,0.123448776,0.123449094
1,23375226847936,3,1,AGGREGATE backward all2all,0.169413065,0.169413065,0.170046717
1,23375226848416,3,1,AGGREGATE backward all2all,0.169414594,0.169414594,0.170048246
1,23375226870736,3,2,GROUP_BY forward all2all,0.169481801,0.169481801,0.169483503
1,23375226871216,3,2,GROUP_BY forward all2all,0.169481806,0.169481806,0.169483488
1,23375226858736,3,2,AGGREGATE forward all2all,0.180813162,0.180813162,0.181656668
1,23375226858256,3,2,AGGREGATE forward all2all,0.180813177,0.180813177,0.181656683
1,23375226849376,3,1,GROUP_BY backward all2all,0.183008941,0.183008941,0.183009259
1,23375226848896,3,1,GROUP_BY backward all2all,0.183008956,0.183008956,0.183009273
1,23375226858976,3,2,AGGREGATE backward all2all,0.228973235,0.228973235,0.229606888
1,23375226858496,3,2,AGGREGATE backward all2all,0.228974773,0.228974773,0.229608425
1,23375226866416,3,3,GROUP_BY forward all2all,0.229031735,0.229031735,0.229033256
1,23375226865936,3,3,GROUP_BY forward all2all,0.229031749,0.229031749,0.229033411
1,23375226867376,3,3,AGGREGATE forward all2all,0.240371370,0.240371370,0.241214876
1,23375226866896,3,3,AGGREGATE forward all2all,0.240371384,0.240371384,0.241214890
1,23375226871456,3,2,GROUP_BY backward all2all,0.242567425,0.242567425,0.242567742
1,23375226870976,3,2,GROUP_BY backward all2all,0.242567439,0.242567439,0.242567757
1,23375226867616,3,3,AGGREGATE backward all2all,0.276148799,0.276148799,0.276782448
1,23375226867136,3,3,AGGREGATE backward all2all,0.276148813,0.276148813,0.276782462
1,23375226866656,3,3,GROUP_BY backward all2all,0.281467632,0.281467632,0.281467950
1,23375226866176,3,3,GROUP_BY backward all2all,0.281467647,0.281467647,0.281467964
2,23375226861616,3,0,GROUP_BY forward all2all,0.506753850,0.506753850,0.506754167
2,23375226861136,3,0,GROUP_BY forward all2all,0.506753864,0.506753864,0.506754182
2,23375226864496,3,0,AGGREGATE forward all2all,0.515606884,0.515606884,0.516450390
2,23375226864016,3,0,AGGREGATE forward all2all,0.515606898,0.515606898,0.516450404
2,23375226864736,3,0,AGGREGATE backward all2all,0.537525494,0.537525494,0.538159147
2,23375226864256,3,0,AGGREGATE backward all2all,0.537527032,0.537527032,0.538160685
2,23375226849136,3,1,GROUP_BY forward all2all,0.537594231,0.537594231,0.537595932
2,23375226848656,3,1,GROUP_BY forward all2all,0.537594245,0.537594245,0.537595927
2,23375226847696,3,1,AGGREGATE forward all2all,0.548925601,0.548925601,0.549769107
2,23375226848176,3,1,AGGREGATE forward all2all,0.548925606,0.548925606,0.549769112
2,23375226861376,3,0,GROUP_BY backward all2all,0.551121380,0.551121380,0.551121698
2,23375226861856,3,0,GROUP_BY backward all2all,0.551121385,0.551121385,0.551121703
2,23375226847936,3,1,AGGREGATE backward all2all,0.597085674,0.597085674,0.597719326
2,23375226848416,3,1,AGGREGATE backward all2all,0.597087203,0.597087203,0.597720855
2,23375226870736,3,2,GROUP_BY forward all2all,0.597154410,0.597154410,0.597156112
2,23375226871216,3,2,GROUP_BY forward all2all,0.597154416,0.597154416,0.597156098
2,23375226858736,3,2,AGGREGATE forward all2all,0.608485771,0.608485771,0.609329277
2,23375226858256,3,2,AGGREGATE forward all2all,0.608485786,0.608485786,0.609329292
2,23375226849376,3,1,GROUP_BY backward all2all,0.610681551,0.610681551,0.610681868
2,23375226848896,3,1,GROUP_BY backward all2all,0.610681565,0.610681565,0.610681882
2,23375226858976,3,2,AGGREGATE backward all2all,0.656645844,0.656645844,0.657279497
2,23375226858496,3,2,AGGREGATE backward all2all,0.656647382,0.656647382,0.657281035
2,23375226866416,3,3,GROUP_BY forward all2all,0.656704344,0.656704344,0.656705866
2,23375226865936,3,3,GROUP_BY forward all2all,0.656704358,0.656704358,0.656706021
2,23375226867376,3,3,AGGREGATE forward all2all,0.668043979,0.668043979,0.668887485
2,23375226866896,3,3,AGGREGATE forward all2all,0.668043994,0.668043994,0.668887499
2,23375226871456,3,2,GROUP_BY backward all2all,0.670240034,0.670240034,0.670240351
2,23375226870976,3,2,GROUP_BY backward all2all,0.670240048,0.670240048,0.670240366
2,23375226867616,3,3,AGGREGATE backward all2all,0.703821408,0.703821408,0.704455057
2,23375226867136,3,3,AGGREGATE backward all2all,0.703821422,0.703821422,0.704455072
2,23375226866656,3,3,GROUP_BY backward all2all,0.709140241,0.709140241,0.709140559
2,23375226866176,3,3,GROUP_BY backward all2all,0.709140256,0.709140256,0.709140573
3,23375226861616,3,0,GROUP_BY forward all2all,0.934426459,0.934426459,0.934426777
3,23375226861136,3,0,GROUP_BY forward all2all,0.934426473,0.934426473,0.934426791
3,23375226864496,3,0,AGGREGATE forward all2all,0.943279493,0.943279493,0.944122999
3,23375226864016,3,0,AGGREGATE forward all2all,0.943279507,0.943279507,0.944123013
3,23375226864736,3,0,AGGREGATE backward all2all,0.965198103,0.965198103,0.965831756
3,23375226864256,3,0,AGGREGATE backward all2all,0.965199641,0.965199641,0.965833294
3,23375226849136,3,1,GROUP_BY forward all2all,0.965266840,0.965266840,0.965268542
3,23375226848656,3,1,GROUP_BY forward all2all,0.965266854,0.965266854,0.965268536
3,23375226847696,3,1,AGGREGATE forward all2all,0.976598210,0.976598210,0.977441716
3,23375226848176,3,1,AGGREGATE forward all2all,0.976598215,0.976598215,0.977441721
3,23375226861376,3,0,GROUP_BY backward all2all,0.978793989,0.978793989,0.978794307
3,23375226861856,3,0,GROUP_BY backward all2all,0.978793995,0.978793995,0.978794312
3,23375226847936,3,1,AGGREGATE backward all2all,1.024758283,1.024758283,1.025391935
3,23375226848416,3,1,AGGREGATE backward all2all,1.024759812,1.024759812,1.025393464
3,23375226870736,3,2,GROUP_BY forward all2all,1.024827019,1.024827019,1.024828721
3,23375226871216,3,2,GROUP_BY forward all2all,1.024827025,1.024827025,1.024828707
3,23375226858736,3,2,AGGREGATE forward all2all,1.036158381,1.036158381,1.037001886
3,23375226858256,3,2,AGGREGATE forward all2all,1.036158395,1.036158395,1.037001901
3,23375226849376,3,1,GROUP_BY backward all2all,1.038354160,1.038354160,1.038354477
