model,iteration,direction,phase,start_s,end_s,duration_s,power_w
llama-dev49,1,sim,idle,0.000000000,0.022213418,0.022213418,84.0000
llama-dev49,1,sim,attention,0.022213418,0.034521384,0.012307966,700.0000
llama-dev49,1,sim,addnorm,0.034521384,0.034597774,0.000076391,140.0000
llama-dev49,1,sim,gate,0.034597774,0.034661538,0.000063763,280.0000
llama-dev49,1,sim,idle,0.034661538,0.034661855,0.000000318,84.0000
llama-dev49,1,sim,gate,0.034661855,0.036746348,0.002084493,280.0000
llama-dev49,1,sim,experts,0.036746348,0.043501916,0.006755568,700.0000
llama-dev49,1,sim,idle,0.043501916,0.044350571,0.000848654,84.0000
llama-dev49,1,sim,addnorm,0.044350571,0.044426964,0.000076393,140.0000
llama-dev49,1,sim,attention,0.044426964,0.056734930,0.012307966,700.0000
llama-dev49,1,sim,addnorm,0.056734930,0.056811321,0.000076391,140.0000
llama-dev49,1,sim,gate,0.056811321,0.056875084,0.000063763,280.0000
llama-dev49,1,sim,idle,0.056875084,0.056875401,0.000000318,84.0000
llama-dev49,1,sim,gate,0.056875401,0.058959894,0.002084493,280.0000
llama-dev49,1,sim,experts,0.058959894,0.065715462,0.006755568,700.0000
llama-dev49,1,sim,idle,0.065715462,0.066564117,0.000848654,84.0000
llama-dev49,1,sim,addnorm,0.066564117,0.066640510,0.000076393,140.0000
llama-dev49,1,sim,attention,0.066640510,0.078948476,0.012307966,700.0000
llama-dev49,1,sim,addnorm,0.078948476,0.079024867,0.000076391,140.0000
llama-dev49,1,sim,gate,0.079024867,0.079088630,0.000063763,280.0000
llama-dev49,1,sim,idle,0.079088630,0.079088948,0.000000318,84.0000
llama-dev49,1,sim,gate,0.079088948,0.081173440,0.002084493,280.0000
llama-dev49,1,sim,experts,0.081173440,0.087929009,0.006755568,700.0000
llama-dev49,1,sim,idle,0.087929009,0.088777663,0.000848654,84.0000
llama-dev49,1,sim,addnorm,0.088777663,0.088854056,0.000076393,140.0000
llama-dev49,1,sim,attention,0.088854056,0.101162022,0.012307966,700.0000
llama-dev49,1,sim,addnorm,0.101162022,0.101238413,0.000076391,140.0000
llama-dev49,1,sim,gate,0.101238413,0.101291821,0.000053408,280.0000
llama-dev49,1,sim,gate,0.101291821,0.103386669,0.002094848,280.0000
llama-dev49,1,sim,experts,0.103386669,0.110142237,0.006755568,700.0000
llama-dev49,1,sim,idle,0.110142237,0.110990892,0.000848654,84.0000
llama-dev49,1,sim,addnorm,0.110990892,0.111067285,0.000076393,140.0000
llama-dev49,1,sim,idle,0.111067285,0.199772990,0.088705706,84.0000
llama-dev49,1,sim,addnorm,0.199772990,0.199924468,0.000151477,140.0000
llama-dev49,1,sim,gate,0.199924468,0.199927888,0.000003421,280.0000
llama-dev49,1,sim,idle,0.199927888,0.200558117,0.000630228,84.0000
llama-dev49,1,sim,gate,0.200558117,0.200649611,0.000091494,280.0000
llama-dev49,1,sim,experts,0.200649611,0.205241490,0.004591878,700.0000
llama-dev49,1,sim,idle,0.205241490,0.205243235,0.000001745,84.0000
llama-dev49,1,sim,gate,0.205243235,0.205365305,0.000122070,280.0000
llama-dev49,1,sim,addnorm,0.205365305,0.205516772,0.000151467,140.0000
llama-dev49,1,sim,idle,0.205516772,0.212365263,0.006848490,84.0000
