model,iteration,direction,phase,start_s,end_s,duration_s,power_w
llama-dev64,1,sim,idle,0.000000000,0.051647594,0.051647594,84.0000
llama-dev64,1,sim,attention,0.051647594,0.063955560,0.012307966,700.0000
llama-dev64,1,sim,addnorm,0.063955560,0.064031965,0.000076405,140.0000
llama-dev64,1,sim,gate,0.064031965,0.064095431,0.000063466,280.0000
llama-dev64,1,sim,idle,0.064095431,0.064095782,0.000000351,84.0000
llama-dev64,1,sim,gate,0.064095782,0.066180054,0.002084272,280.0000
llama-dev64,1,sim,experts,0.066180054,0.072935325,0.006755271,700.0000
llama-dev64,1,sim,idle,0.072935325,0.077393580,0.004458256,84.0000
llama-dev64,1,sim,addnorm,0.077393580,0.077469980,0.000076399,140.0000
llama-dev64,1,sim,idle,0.077469980,0.077470618,0.000000639,84.0000
llama-dev64,1,sim,attention,0.077470618,0.089778584,0.012307966,700.0000
llama-dev64,1,sim,addnorm,0.089778584,0.089854989,0.000076405,140.0000
llama-dev64,1,sim,gate,0.089854989,0.089918455,0.000063466,280.0000
llama-dev64,1,sim,idle,0.089918455,0.089918806,0.000000351,84.0000
llama-dev64,1,sim,gate,0.089918806,0.092003078,0.002084272,280.0000
llama-dev64,1,sim,experts,0.092003078,0.098758349,0.006755271,700.0000
llama-dev64,1,sim,idle,0.098758349,0.103216604,0.004458256,84.0000
llama-dev64,1,sim,addnorm,0.103216604,0.103293004,0.000076399,140.0000
llama-dev64,1,sim,idle,0.103293004,0.103293642,0.000000639,84.0000
llama-dev64,1,sim,attention,0.103293642,0.115601608,0.012307966,700.0000
llama-dev64,1,sim,addnorm,0.115601608,0.115678013,0.000076405,140.0000
llama-dev64,1,sim,gate,0.115678013,0.115741479,0.000063466,280.0000
llama-dev64,1,sim,idle,0.115741479,0.115741830,0.000000351,84.0000
llama-dev64,1,sim,gate,0.115741830,0.117826102,0.002084272,280.0000
llama-dev64,1,sim,experts,0.117826102,0.124581372,0.006755271,700.0000
llama-dev64,1,sim,idle,0.124581372,0.129060163,0.004478790,84.0000
llama-dev64,1,sim,addnorm,0.129060163,0.129136562,0.000076399,140.0000
llama-dev64,1,sim,idle,0.129136562,0.129939998,0.000803436,84.0000
llama-dev64,1,sim,attention,0.129939998,0.142247964,0.012307966,700.0000
llama-dev64,1,sim,addnorm,0.142247964,0.142324368,0.000076405,140.0000
llama-dev64,1,sim,gate,0.142324368,0.142387834,0.000063466,280.0000
llama-dev64,1,sim,idle,0.142387834,0.142388185,0.000000351,84.0000
llama-dev64,1,sim,gate,0.142388185,0.144472457,0.002084272,280.0000
llama-dev64,1,sim,experts,0.144472457,0.151227728,0.006755271,700.0000
llama-dev64,1,sim,idle,0.151227728,0.155726026,0.004498298,84.0000
llama-dev64,1,sim,addnorm,0.155726026,0.155802425,0.000076399,140.0000
llama-dev64,1,sim,idle,0.155802425,0.171472990,0.015670565,84.0000
llama-dev64,1,sim,addnorm,0.171472990,0.171624368,0.000151378,140.0000
llama-dev64,1,sim,gate,0.171624368,0.171628080,0.000003712,280.0000
llama-dev64,1,sim,idle,0.171628080,0.176092924,0.004464845,84.0000
llama-dev64,1,sim,gate,0.176092924,0.176184409,0.000091485,280.0000
llama-dev64,1,sim,experts,0.176184409,0.180729382,0.004544973,700.0000
llama-dev64,1,sim,idle,0.180729382,0.180779413,0.000050032,84.0000
