iteration,round_id,layer,mb,info,ready_s,start_s,finish_s
1,23375226854896,2,0,GROUP_BY forward all2all,0.064095416,0.064095416,0.064095768
1,23375226854416,2,0,GROUP_BY forward all2all,0.064095431,0.064095431,0.064095782
1,23375226860656,2,0,AGGREGATE forward all2all,0.072940616,0.072940616,0.077393566
1,23375226860176,2,0,AGGREGATE forward all2all,0.072940630,0.072940630,0.077393580
1,23375226851056,2,1,GROUP_BY forward all2all,0.089918440,0.089918440,0.089918792
1,23375226850576,2,1,GROUP_BY forward all2all,0.089918455,0.089918455,0.089918806
1,23375226850096,2,1,AGGREGATE forward all2all,0.098763640,0.098763640,0.103216506
1,23375226849616,2,1,AGGREGATE forward all2all,0.098763654,0.098763654,0.103216604
1,23375226874096,2,2,GROUP_BY forward all2all,0.115741464,0.115741464,0.115741815
1,23375226873616,2,2,GROUP_BY forward all2all,0.115741479,0.115741479,0.115741830
1,23375226872176,2,2,AGGREGATE forward all2all,0.124586664,0.124586664,0.129863598
1,23375226871696,2,2,AGGREGATE forward all2all,0.124586678,0.124586678,0.129060163
1,23375226869296,2,3,GROUP_BY forward all2all,0.142387834,0.142387834,0.142388185
1,23375226868816,2,3,GROUP_BY forward all2all,0.142387834,0.142387834,0.142388185
1,23375226867856,2,3,AGGREGATE forward all2all,0.151233034,0.151233034,0.155726026
1,23375226868336,2,3,AGGREGATE forward all2all,0.151233034,0.151233034,0.156214903
1,23375226860896,2,0,AGGREGATE backward all2all,0.163018136,0.163018136,0.167471002
1,23375226860416,2,0,AGGREGATE backward all2all,0.171626362,0.171626362,0.176092924
1,23375226855136,2,0,GROUP_BY backward all2all,0.172156237,0.172156237,0.172156589
1,23375226854656,2,0,GROUP_BY backward all2all,0.180778160,0.180778160,0.180779413
1,23375226849856,2,1,AGGREGATE backward all2all,0.222492660,0.222492660,0.226945526
1,23375226850336,2,1,AGGREGATE backward all2all,0.222592982,0.222592982,0.227045849
1,23375226850816,2,1,GROUP_BY backward all2all,0.231630761,0.231630761,0.231631113
1,23375226851296,2,1,GROUP_BY backward all2all,0.231731084,0.231731084,0.231732321
1,23375226872416,2,2,AGGREGATE backward all2all,0.282157237,0.282157237,0.286610103
1,23375226871936,2,2,AGGREGATE backward all2all,0.290743514,0.290743514,0.295196380
1,23375226874336,2,2,GROUP_BY backward all2all,0.291295338,0.291295338,0.291295689
1,23375226873856,2,2,GROUP_BY backward all2all,0.299881615,0.299881615,0.299882857
1,23375226868576,2,3,AGGREGATE backward all2all,0.324800537,0.324800537,0.329253403
1,23375226868096,2,3,AGGREGATE backward all2all,0.324923575,0.324923575,0.329402881
1,23375226869536,2,3,GROUP_BY backward all2all,0.333938638,0.333938638,0.333938989
1,23375226869056,2,3,GROUP_BY backward all2all,0.334088116,0.334088116,0.334089356
2,23375226854896,2,0,GROUP_BY forward all2all,0.516483308,0.516483308,0.516483659
2,23375226854416,2,0,GROUP_BY forward all2all,0.516483322,0.516483322,0.516483674
2,23375226860656,2,0,AGGREGATE forward all2all,0.525328508,0.525328508,0.529781458
2,23375226860176,2,0,AGGREGATE forward all2all,0.525328522,0.525328522,0.529781472
2,23375226851056,2,1,GROUP_BY forward all2all,0.542306332,0.542306332,0.542306683
2,23375226850576,2,1,GROUP_BY forward all2all,0.542306346,0.542306346,0.542306697
2,23375226850096,2,1,AGGREGATE forward all2all,0.551151532,0.551151532,0.555604398
2,23375226849616,2,1,AGGREGATE forward all2all,0.551151546,0.551151546,0.555604496
2,23375226874096,2,2,GROUP_BY forward all2all,0.568129356,0.568129356,0.568129707
2,23375226873616,2,2,GROUP_BY forward all2all,0.568129370,0.568129370,0.568129721
2,23375226872176,2,2,AGGREGATE forward all2all,0.576974555,0.576974555,0.582251490
2,23375226871696,2,2,AGGREGATE forward all2all,0.576974570,0.576974570,0.581448054
2,23375226869296,2,3,GROUP_BY forward all2all,0.594775725,0.594775725,0.594776077
2,23375226868816,2,3,GROUP_BY forward all2all,0.594775725,0.594775725,0.594776077
2,23375226867856,2,3,AGGREGATE forward all2all,0.603620925,0.603620925,0.608113918
2,23375226868336,2,3,AGGREGATE forward all2all,0.603620925,0.603620925,0.608602794
2,23375226860896,2,0,AGGREGATE backward all2all,0.615406027,0.615406027,0.619858894
2,23375226860416,2,0,AGGREGATE backward all2all,0.624014253,0.624014253,0.628480816
2,23375226855136,2,0,GROUP_BY backward all2all,0.624544129,0.624544129,0.624544480
2,23375226854656,2,0,GROUP_BY backward all2all,0.633166051,0.633166051,0.633167305
2,23375226849856,2,1,AGGREGATE backward all2all,0.674880551,0.674880551,0.679333418
2,23375226850336,2,1,AGGREGATE backward all2all,0.674980874,0.674980874,0.679433740
2,23375226850816,2,1,GROUP_BY backward all2all,0.684018653,0.684018653,0.684019004
2,23375226851296,2,1,GROUP_BY backward all2all,0.684118975,0.684118975,0.684120212
2,23375226872416,2,2,AGGREGATE backward all2all,0.734545128,0.734545128,0.738997994
2,23375226871936,2,2,AGGREGATE backward all2all,0.743131405,0.743131405,0.747584272
