model,iteration,direction,phase,start_s,end_s,duration_s,power_w
llama-dev123,1,sim,idle,0.000000000,0.077471655,0.077471655,84.0000
llama-dev123,1,sim,attention,0.077471655,0.089779621,0.012307966,700.0000
llama-dev123,1,sim,addnorm,0.089779621,0.089856098,0.000076477,140.0000
llama-dev123,1,sim,gate,0.089856098,0.089909698,0.000053600,280.0000
llama-dev123,1,sim,gate,0.089909698,0.092004767,0.002095069,280.0000
llama-dev123,1,sim,experts,0.092004767,0.098762536,0.006757770,700.0000
llama-dev123,1,sim,idle,0.098762536,0.103215682,0.004453145,84.0000
llama-dev123,1,sim,addnorm,0.103215682,0.103292160,0.000076478,140.0000
llama-dev123,1,sim,experts,0.103292160,0.111756541,0.008464381,700.0000
llama-dev123,1,sim,addnorm,0.111756541,0.111757857,0.000001316,140.0000
llama-dev123,1,sim,attention,0.111757857,0.124065823,0.012307966,700.0000
llama-dev123,1,sim,addnorm,0.124065823,0.124290786,0.000224963,140.0000
llama-dev123,1,sim,addnorm,0.124290786,0.124292310,0.000001524,140.0000
llama-dev123,1,sim,gate,0.124292310,0.124359523,0.000067213,280.0000
llama-dev123,1,sim,idle,0.124359523,0.124368599,0.000009076,84.0000
llama-dev123,1,sim,gate,0.124368599,0.126453431,0.002084832,280.0000
llama-dev123,1,sim,experts,0.126453431,0.133211201,0.006757770,700.0000
llama-dev123,1,sim,gate,0.133211201,0.133302522,0.000091322,280.0000
llama-dev123,1,sim,experts,0.133302522,0.137894052,0.004591530,700.0000
llama-dev123,1,sim,idle,0.137894052,0.137901091,0.000007039,84.0000
llama-dev123,1,sim,gate,0.137901091,0.138023024,0.000121933,280.0000
llama-dev123,1,sim,addnorm,0.138023024,0.138250826,0.000227803,140.0000
llama-dev123,1,sim,attention,0.138250826,0.162866758,0.024615932,700.0000
llama-dev123,1,sim,experts,0.162866758,0.171331139,0.008464381,700.0000
llama-dev123,1,sim,attention,0.171331139,0.183639105,0.012307966,700.0000
llama-dev123,1,sim,addnorm,0.183639105,0.183866908,0.000227803,140.0000
llama-dev123,1,sim,gate,0.183866908,0.183934121,0.000067213,280.0000
llama-dev123,1,sim,idle,0.183934121,0.183943401,0.000009280,84.0000
llama-dev123,1,sim,gate,0.183943401,0.186028233,0.002084832,280.0000
llama-dev123,1,sim,experts,0.186028233,0.192786002,0.006757770,700.0000
llama-dev123,1,sim,gate,0.192786002,0.192877324,0.000091322,280.0000
llama-dev123,1,sim,experts,0.192877324,0.197468854,0.004591530,700.0000
llama-dev123,1,sim,idle,0.197468854,0.197475937,0.000007084,84.0000
llama-dev123,1,sim,gate,0.197475937,0.197597870,0.000121933,280.0000
llama-dev123,1,sim,addnorm,0.197597870,0.197825673,0.000227803,140.0000
llama-dev123,1,sim,attention,0.197825673,0.222441605,0.024615932,700.0000
llama-dev123,1,sim,experts,0.222441605,0.230905985,0.008464381,700.0000
llama-dev123,1,sim,attention,0.230905985,0.243213951,0.012307966,700.0000
llama-dev123,1,sim,addnorm,0.243213951,0.243441755,0.000227803,140.0000
llama-dev123,1,sim,gate,0.243441755,0.243498731,0.000056976,280.0000
llama-dev123,1,sim,gate,0.243498731,0.245593799,0.002095069,280.0000
llama-dev123,1,sim,experts,0.245593799,0.252351569,0.006757770,700.0000
llama-dev123,1,sim,gate,0.252351569,0.252442891,0.000091322,280.0000
llama-dev123,1,sim,experts,0.252442891,0.257034420,0.004591530,700.0000
llama-dev123,1,sim,idle,0.257034420,0.257040191,0.000005771,84.0000
llama-dev123,1,sim,gate,0.257040191,0.257162124,0.000121933,280.0000
llama-dev123,1,sim,addnorm,0.257162124,0.257389927,0.000227803,140.0000
llama-dev123,1,sim,attention,0.257389927,0.282005859,0.024615932,700.0000
llama-dev123,1,sim,experts,0.282005859,0.290470240,0.008464381,700.0000
llama-dev123,1,sim,addnorm,0.290470240,0.290621566,0.000151326,140.0000
llama-dev123,1,sim,gate,0.290621566,0.290624942,0.000003376,280.0000
llama-dev123,1,sim,idle,0.290624942,0.295074432,0.004449490,84.0000
llama-dev123,1,sim,gate,0.295074432,0.295165754,0.000091322,280.0000
llama-dev123,1,sim,experts,0.295165754,0.299757283,0.004591530,700.0000
llama-dev123,1,sim,idle,0.299757283,0.299759970,0.000002686,84.0000
llama-dev123,1,sim,gate,0.299759970,0.299881903,0.000121933,280.0000
llama-dev123,1,sim,addnorm,0.299881903,0.300033227,0.000151324,140.0000
