iteration,round_id,layer,mb,info,ready_s,start_s,finish_s
1,23375226856816,1,0,GROUP_BY forward all2all,0.038271001,0.038271001,0.038271352
1,23375226856336,1,0,GROUP_BY forward all2all,0.038271001,0.038271001,0.038271352
1,23375226855856,1,0,AGGREGATE forward all2all,0.047116562,0.047116562,0.051569512
1,23375226855376,1,0,AGGREGATE forward all2all,0.047116562,0.047116562,0.051569512
1,23375226852496,1,1,GROUP_BY forward all2all,0.064094025,0.064094025,0.064094376
1,23375226852976,1,1,GROUP_BY forward all2all,0.064094025,0.064094025,0.064094376
1,23375226852016,1,1,AGGREGATE forward all2all,0.072939586,0.072939586,0.077392536
1,23375226851536,1,1,AGGREGATE forward all2all,0.072939586,0.072939586,0.077392536
1,23375226844816,1,2,GROUP_BY forward all2all,0.089917049,0.089917049,0.089917400
1,23375226845296,1,2,GROUP_BY forward all2all,0.089917049,0.089917049,0.089917400
1,23375226875056,1,2,AGGREGATE forward all2all,0.098762609,0.098762609,0.103215559
1,23375226874576,1,2,AGGREGATE forward all2all,0.098762609,0.098762609,0.103215559
1,23375226863056,1,3,GROUP_BY forward all2all,0.115729717,0.115729717,0.115730069
1,23375226863536,1,3,GROUP_BY forward all2all,0.115729717,0.115729717,0.115730069
1,23375226869776,1,3,AGGREGATE forward all2all,0.124585282,0.124585282,0.129038148
1,23375226870256,1,3,AGGREGATE forward all2all,0.124585282,0.124585282,0.129038232
1,23375226856096,1,0,AGGREGATE backward all2all,0.197197407,0.197197407,0.201650273
1,23375226855616,1,0,AGGREGATE backward all2all,0.205820231,0.205820231,0.210273098
1,23375226857056,1,0,GROUP_BY backward all2all,0.206335073,0.206335073,0.206335424
1,23375226856576,1,0,GROUP_BY backward all2all,0.214957898,0.214957898,0.214958249
1,23375226851776,1,1,AGGREGATE backward all2all,0.256671931,0.256671931,0.261124797
1,23375226852256,1,1,AGGREGATE backward all2all,0.256773139,0.256773139,0.261226005
1,23375226852736,1,1,GROUP_BY backward all2all,0.265809597,0.265809597,0.265809949
1,23375226853216,1,1,GROUP_BY backward all2all,0.265910805,0.265910805,0.265911156
1,23375226875296,1,2,AGGREGATE backward all2all,0.316336507,0.316336507,0.320789374
1,23375226874816,1,2,AGGREGATE backward all2all,0.324923675,0.324923675,0.329376541
1,23375226845536,1,2,GROUP_BY backward all2all,0.325474174,0.325474174,0.325474525
1,23375226845056,1,2,GROUP_BY backward all2all,0.334061341,0.334061341,0.334061692
1,23375226870496,1,3,AGGREGATE backward all2all,0.358979807,0.358979807,0.363432674
1,23375226870016,1,3,AGGREGATE backward all2all,0.359130174,0.359130174,0.363583041
1,23375226863776,1,3,GROUP_BY backward all2all,0.368117474,0.368117474,0.368117825
1,23375226863296,1,3,GROUP_BY backward all2all,0.388715725,0.388715725,0.388716082
2,23375226856816,1,0,GROUP_BY forward all2all,0.490658892,0.490658892,0.490659244
2,23375226856336,1,0,GROUP_BY forward all2all,0.490658893,0.490658893,0.490659244
