iteration,round_id,layer,mb,info,ready_s,start_s,finish_s
1,23375226861616,3,0,GROUP_BY forward all2all,0.080971323,0.080971323,0.081604972
1,23375226861136,3,0,GROUP_BY forward all2all,0.080971337,0.080971337,0.081604986
1,23375226864496,3,0,AGGREGATE forward all2all,0.090447769,0.090447769,0.091291275
1,23375226864016,3,0,AGGREGATE forward all2all,0.090447783,0.090447783,0.091291289
1,23375226864736,3,0,AGGREGATE backward all2all,0.112366379,0.112366379,0.113594425
1,23375226864256,3,0,AGGREGATE backward all2all,0.112367917,0.112367917,0.113613638
1,23375226849136,3,1,GROUP_BY forward all2all,0.112435116,0.112435116,0.113633521
1,23375226848656,3,1,GROUP_BY forward all2all,0.112435130,0.112435130,0.113635059
1,23375226861856,3,0,GROUP_BY backward all2all,0.120363708,0.120363708,0.121020309
1,23375226861376,3,0,GROUP_BY backward all2all,0.120382921,0.120382921,0.121034706
1,23375226848176,3,1,AGGREGATE forward all2all,0.127119878,0.127119878,0.127963384
1,23375226847696,3,1,AGGREGATE forward all2all,0.127139091,0.127139091,0.127982597
1,23375226848416,3,1,AGGREGATE backward all2all,0.173009218,0.173009218,0.174098484
1,23375226847936,3,1,AGGREGATE backward all2all,0.173104908,0.173104908,0.174298550
1,23375226871216,3,2,GROUP_BY forward all2all,0.173152908,0.173152908,0.174276361
1,23375226870736,3,2,GROUP_BY forward all2all,0.173172121,0.173172121,0.174372050
1,23375226849376,3,1,GROUP_BY backward all2all,0.179738685,0.179738685,0.180377139
1,23375226848896,3,1,GROUP_BY backward all2all,0.181067833,0.181067833,0.181717845
1,23375226858736,3,2,AGGREGATE forward all2all,0.187623937,0.187623937,0.188467443
1,23375226858256,3,2,AGGREGATE forward all2all,0.187824003,0.187824003,0.188667509
1,23375226858976,3,2,AGGREGATE backward all2all,0.221205311,0.221205311,0.221838960
1,23375226858496,3,2,AGGREGATE backward all2all,0.233789820,0.233789820,0.235022950
1,23375226865936,3,3,GROUP_BY forward all2all,0.233846796,0.233846796,0.235056962
1,23375226871456,3,2,GROUP_BY backward all2all,0.238323678,0.238323678,0.239322574
1,23375226866416,3,3,GROUP_BY forward all2all,0.238377278,0.238377278,0.239294686
1,23375226870976,3,2,GROUP_BY backward all2all,0.241792233,0.241792233,0.242443845
1,23375226867376,3,3,AGGREGATE forward all2all,0.248137483,0.248137483,0.248980989
1,23375226866896,3,3,AGGREGATE forward all2all,0.248548403,0.248548403,0.249391909
1,23375226867616,3,3,AGGREGATE backward all2all,0.281718857,0.281718857,0.282352506
1,23375226867136,3,3,AGGREGATE backward all2all,0.282129777,0.282129777,0.282763426
1,23375226866656,3,3,GROUP_BY backward all2all,0.287037690,0.287037690,0.287681500
1,23375226866176,3,3,GROUP_BY backward all2all,0.287448610,0.287448610,0.288099219
2,23375226861616,3,0,GROUP_BY forward all2all,0.500584225,0.500584225,0.501217874
2,23375226861136,3,0,GROUP_BY forward all2all,0.500584239,0.500584239,0.501217888
2,23375226864496,3,0,AGGREGATE forward all2all,0.510060671,0.510060671,0.510904177
2,23375226864016,3,0,AGGREGATE forward all2all,0.510060685,0.510060685,0.510904191
2,23375226864736,3,0,AGGREGATE backward all2all,0.531979281,0.531979281,0.533207327
2,23375226864256,3,0,AGGREGATE backward all2all,0.531980819,0.531980819,0.533226540
2,23375226849136,3,1,GROUP_BY forward all2all,0.532048018,0.532048018,0.533246424
2,23375226848656,3,1,GROUP_BY forward all2all,0.532048032,0.532048032,0.533247962
2,23375226861856,3,0,GROUP_BY backward all2all,0.539976610,0.539976610,0.540633211
2,23375226861376,3,0,GROUP_BY backward all2all,0.539995823,0.539995823,0.540647608
2,23375226848176,3,1,AGGREGATE forward all2all,0.546732780,0.546732780,0.547576286
