model,iteration,direction,phase,start_s,end_s,duration_s,power_w
llama-dev64,1,sim,idle,0.000000000,0.060542662,0.060542662,84.0000
llama-dev64,1,sim,attention,0.060542662,0.072850628,0.012307966,700.0000
llama-dev64,1,sim,addnorm,0.072850628,0.072927033,0.000076405,140.0000
llama-dev64,1,sim,gate,0.072927033,0.072990498,0.000063466,280.0000
llama-dev64,1,sim,idle,0.072990498,0.077443364,0.004452866,84.0000
llama-dev64,1,sim,gate,0.077443364,0.079527636,0.002084272,280.0000
llama-dev64,1,sim,experts,0.079527636,0.086282907,0.006755271,700.0000
llama-dev64,1,sim,idle,0.086282907,0.090741079,0.004458172,84.0000
llama-dev64,1,sim,addnorm,0.090741079,0.090817478,0.000076399,140.0000
llama-dev64,1,sim,idle,0.090817478,0.090818284,0.000000806,84.0000
llama-dev64,1,sim,attention,0.090818284,0.103126250,0.012307966,700.0000
llama-dev64,1,sim,addnorm,0.103126250,0.103202655,0.000076405,140.0000
llama-dev64,1,sim,gate,0.103202655,0.103266121,0.000063466,280.0000
llama-dev64,1,sim,idle,0.103266121,0.107718987,0.004452866,84.0000
llama-dev64,1,sim,gate,0.107718987,0.109803259,0.002084272,280.0000
llama-dev64,1,sim,experts,0.109803259,0.116558529,0.006755271,700.0000
llama-dev64,1,sim,idle,0.116558529,0.121016701,0.004458172,84.0000
llama-dev64,1,sim,addnorm,0.121016701,0.121093101,0.000076399,140.0000
llama-dev64,1,sim,idle,0.121093101,0.121093739,0.000000639,84.0000
llama-dev64,1,sim,attention,0.121093739,0.133401705,0.012307966,700.0000
llama-dev64,1,sim,addnorm,0.133401705,0.133478110,0.000076405,140.0000
llama-dev64,1,sim,gate,0.133478110,0.133541576,0.000063466,280.0000
llama-dev64,1,sim,idle,0.133541576,0.137994442,0.004452866,84.0000
llama-dev64,1,sim,gate,0.137994442,0.140078714,0.002084272,280.0000
llama-dev64,1,sim,experts,0.140078714,0.146833985,0.006755271,700.0000
llama-dev64,1,sim,idle,0.146833985,0.151300788,0.004466804,84.0000
llama-dev64,1,sim,addnorm,0.151300788,0.151377188,0.000076399,140.0000
llama-dev64,1,sim,idle,0.151377188,0.152183977,0.000806789,84.0000
llama-dev64,1,sim,attention,0.152183977,0.164491943,0.012307966,700.0000
llama-dev64,1,sim,addnorm,0.164491943,0.164568348,0.000076405,140.0000
llama-dev64,1,sim,gate,0.164568348,0.164631813,0.000063466,280.0000
llama-dev64,1,sim,idle,0.164631813,0.169084680,0.004452866,84.0000
llama-dev64,1,sim,gate,0.169084680,0.171168952,0.002084272,280.0000
llama-dev64,1,sim,experts,0.171168952,0.177924222,0.006755271,700.0000
llama-dev64,1,sim,idle,0.177924222,0.182382394,0.004458172,84.0000
llama-dev64,1,sim,addnorm,0.182382394,0.182458794,0.000076399,140.0000
llama-dev64,1,sim,idle,0.182458794,0.189252843,0.006794049,84.0000
llama-dev64,1,sim,addnorm,0.189252843,0.189404220,0.000151378,140.0000
llama-dev64,1,sim,gate,0.189404220,0.189407932,0.000003712,280.0000
llama-dev64,1,sim,idle,0.189407932,0.193870573,0.004462640,84.0000
llama-dev64,1,sim,gate,0.193870573,0.193962057,0.000091485,280.0000
llama-dev64,1,sim,experts,0.193962057,0.198507030,0.004544973,700.0000
llama-dev64,1,sim,idle,0.198507030,0.203008674,0.004501644,84.0000
llama-dev64,1,sim,gate,0.203008674,0.203130709,0.000122035,280.0000
llama-dev64,1,sim,addnorm,0.203130709,0.203282083,0.000151374,140.0000
llama-dev64,1,sim,attention,0.203282083,0.227898015,0.024615932,700.0000
llama-dev64,1,sim,idle,0.227898015,0.257592141,0.029694127,84.0000
llama-dev64,1,sim,addnorm,0.257592141,0.257743519,0.000151378,140.0000
llama-dev64,1,sim,gate,0.257743519,0.257747231,0.000003712,280.0000
llama-dev64,1,sim,idle,0.257747231,0.262207644,0.004460413,84.0000
llama-dev64,1,sim,gate,0.262207644,0.262299129,0.000091485,280.0000
llama-dev64,1,sim,experts,0.262299129,0.266844102,0.004544973,700.0000
llama-dev64,1,sim,idle,0.266844102,0.271367015,0.004522913,84.0000
llama-dev64,1,sim,gate,0.271367015,0.271489050,0.000122035,280.0000
llama-dev64,1,sim,addnorm,0.271489050,0.271640424,0.000151374,140.0000
llama-dev64,1,sim,attention,0.271640424,0.296256356,0.024615932,700.0000
llama-dev64,1,sim,idle,0.296256356,0.327391505,0.031135150,84.0000
llama-dev64,1,sim,addnorm,0.327391505,0.327542883,0.000151378,140.0000
llama-dev64,1,sim,gate,0.327542883,0.327546595,0.000003712,280.0000
llama-dev64,1,sim,idle,0.327546595,0.332029867,0.004483272,84.0000
llama-dev64,1,sim,gate,0.332029867,0.332121351,0.000091485,280.0000
llama-dev64,1,sim,experts,0.332121351,0.336666324,0.004544973,700.0000
llama-dev64,1,sim,idle,0.336666324,0.341183555,0.004517231,84.0000
llama-dev64,1,sim,gate,0.341183555,0.341305591,0.000122035,280.0000
llama-dev64,1,sim,addnorm,0.341305591,0.341456964,0.000151374,140.0000
llama-dev64,1,sim,attention,0.341456964,0.366072896,0.024615932,700.0000
llama-dev64,1,sim,idle,0.366072896,0.374899326,0.008826429,84.0000
llama-dev64,1,sim,addnorm,0.374899326,0.375050703,0.000151378,140.0000
llama-dev64,1,sim,gate,0.375050703,0.375054415,0.000003712,280.0000
llama-dev64,1,sim,idle,0.375054415,0.379503569,0.004449154,84.0000
llama-dev64,1,sim,gate,0.379503569,0.379595054,0.000091485,280.0000
llama-dev64,1,sim,experts,0.379595054,0.384140027,0.004544973,700.0000
llama-dev64,1,sim,idle,0.384140027,0.388641755,0.004501728,84.0000
llama-dev64,1,sim,gate,0.388641755,0.388763790,0.000122035,280.0000
llama-dev64,1,sim,addnorm,0.388763790,0.388915164,0.000151374,140.0000
llama-dev64,1,sim,attention,0.388915164,0.413531095,0.024615932,700.0000
llama-dev64,1,sim,idle,0.413531095,0.493067666,0.079536570,84.0000
llama-dev64,2,sim,idle,0.493067666,0.553610327,0.060542662,84.0000
llama-dev64,2,sim,attention,0.553610327,0.565918293,0.012307966,700.0000
llama-dev64,2,sim,addnorm,0.565918293,0.565994698,0.000076405,140.0000
llama-dev64,2,sim,gate,0.565994698,0.566058164,0.000063466,280.0000
llama-dev64,2,sim,idle,0.566058164,0.570511030,0.004452866,84.0000
llama-dev64,2,sim,gate,0.570511030,0.572595302,0.002084272,280.0000
llama-dev64,2,sim,experts,0.572595302,0.579350573,0.006755271,700.0000
llama-dev64,2,sim,idle,0.579350573,0.583808745,0.004458172,84.0000
llama-dev64,2,sim,addnorm,0.583808745,0.583885144,0.000076399,140.0000
llama-dev64,2,sim,idle,0.583885144,0.583885950,0.000000806,84.0000
llama-dev64,2,sim,attention,0.583885950,0.596193916,0.012307966,700.0000
llama-dev64,2,sim,addnorm,0.596193916,0.596270320,0.000076405,140.0000
llama-dev64,2,sim,gate,0.596270320,0.596333786,0.000063466,280.0000
llama-dev64,2,sim,idle,0.596333786,0.600786652,0.004452866,84.0000
llama-dev64,2,sim,gate,0.600786652,0.602870924,0.002084272,280.0000
llama-dev64,2,sim,experts,0.602870924,0.609626195,0.006755271,700.0000
llama-dev64,2,sim,idle,0.609626195,0.614084367,0.004458172,84.0000
llama-dev64,2,sim,addnorm,0.614084367,0.614160766,0.000076399,140.0000
llama-dev64,2,sim,idle,0.614160766,0.614161405,0.000000639,84.0000
llama-dev64,2,sim,attention,0.614161405,0.626469371,0.012307966,700.0000
llama-dev64,2,sim,addnorm,0.626469371,0.626545776,0.000076405,140.0000
llama-dev64,2,sim,gate,0.626545776,0.626609241,0.000063466,280.0000
llama-dev64,2,sim,idle,0.626609241,0.631062108,0.004452866,84.0000
llama-dev64,2,sim,gate,0.631062108,0.633146380,0.002084272,280.0000
llama-dev64,2,sim,experts,0.633146380,0.639901650,0.006755271,700.0000
llama-dev64,2,sim,idle,0.639901650,0.644368454,0.004466804,84.0000
llama-dev64,2,sim,addnorm,0.644368454,0.644444853,0.000076399,140.0000
llama-dev64,2,sim,idle,0.644444853,0.645251643,0.000806789,84.0000
llama-dev64,2,sim,attention,0.645251643,0.657559609,0.012307966,700.0000
llama-dev64,2,sim,addnorm,0.657559609,0.657636013,0.000076405,140.0000
llama-dev64,2,sim,gate,0.657636013,0.657699479,0.000063466,280.0000
llama-dev64,2,sim,idle,0.657699479,0.662152345,0.004452866,84.0000
llama-dev64,2,sim,gate,0.662152345,0.664236617,0.002084272,280.0000
llama-dev64,2,sim,experts,0.664236617,0.670991888,0.006755271,700.0000
llama-dev64,2,sim,idle,0.670991888,0.675450060,0.004458172,84.0000
llama-dev64,2,sim,addnorm,0.675450060,0.675526459,0.000076399,140.0000
llama-dev64,2,sim,idle,0.675526459,0.682320508,0.006794049,84.0000
llama-dev64,2,sim,addnorm,0.682320508,0.682471886,0.000151378,140.0000
llama-dev64,2,sim,gate,0.682471886,0.682475598,0.000003712,280.0000
llama-dev64,2,sim,idle,0.682475598,0.686938238,0.004462640,84.0000
llama-dev64,2,sim,gate,0.686938238,0.687029723,0.000091485,280.0000
