iteration,round_id,layer,mb,info,ready_s,start_s,finish_s
1,23375226854416,2,0,GROUP_BY forward all2all,0.072990498,0.072990498,0.077443364
1,23375226854896,2,0,GROUP_BY forward all2all,0.072990567,0.072990567,0.077443434
1,23375226860176,2,0,AGGREGATE forward all2all,0.086288213,0.086288213,0.090741079
1,23375226860656,2,0,AGGREGATE forward all2all,0.086288282,0.086288282,0.090741232
1,23375226851056,2,1,GROUP_BY forward all2all,0.103266106,0.103266106,0.107718972
1,23375226850576,2,1,GROUP_BY forward all2all,0.103266121,0.103266121,0.107718987
1,23375226850096,2,1,AGGREGATE forward all2all,0.116563821,0.116563821,0.121016771
1,23375226849616,2,1,AGGREGATE forward all2all,0.116563835,0.116563835,0.121016701
1,23375226873616,2,2,GROUP_BY forward all2all,0.133541576,0.133541576,0.137994442
1,23375226874096,2,2,GROUP_BY forward all2all,0.133541645,0.133541645,0.137994511
1,23375226871696,2,2,AGGREGATE forward all2all,0.146839290,0.146839290,0.151300788
1,23375226872176,2,2,AGGREGATE forward all2all,0.146839360,0.146839360,0.152107578
1,23375226868816,2,3,GROUP_BY forward all2all,0.164631813,0.164631813,0.169084680
1,23375226869296,2,3,GROUP_BY forward all2all,0.164631813,0.164631813,0.169084680
1,23375226867856,2,3,AGGREGATE forward all2all,0.177929528,0.177929528,0.182382394
1,23375226868336,2,3,AGGREGATE forward all2all,0.177929528,0.177929528,0.183143058
1,23375226860416,2,0,AGGREGATE backward all2all,0.189406215,0.189406215,0.193870573
1,23375226854656,2,0,GROUP_BY backward all2all,0.198555808,0.198555808,0.203008674
1,23375226860896,2,0,AGGREGATE backward all2all,0.203511972,0.203511972,0.207964839
1,23375226855136,2,0,GROUP_BY backward all2all,0.212650074,0.212650074,0.217980861
1,23375226849856,2,1,AGGREGATE backward all2all,0.257745513,0.257745513,0.262207644
1,23375226850336,2,1,AGGREGATE backward all2all,0.261456575,0.261456575,0.265909441
1,23375226850816,2,1,GROUP_BY backward all2all,0.266892880,0.266892880,0.271367015
1,23375226851296,2,1,GROUP_BY backward all2all,0.270594676,0.270594676,0.275795788
1,23375226871936,2,2,AGGREGATE backward all2all,0.327547229,0.327547229,0.332029867
1,23375226872416,2,2,AGGREGATE backward all2all,0.329620402,0.329620402,0.334073268
1,23375226873856,2,2,GROUP_BY backward all2all,0.336715102,0.336715102,0.341183555
1,23375226874336,2,2,GROUP_BY backward all2all,0.338758503,0.338758503,0.343967152
1,23375226868096,2,3,AGGREGATE backward all2all,0.375050703,0.375050703,0.379503569
1,23375226868576,2,3,AGGREGATE backward all2all,0.377152947,0.377152947,0.381605814
1,23375226869056,2,3,GROUP_BY backward all2all,0.384188805,0.384188805,0.388641755
1,23375226869536,2,3,GROUP_BY backward all2all,0.386291049,0.386291049,0.390743999
2,23375226854416,2,0,GROUP_BY forward all2all,0.566058164,0.566058164,0.570511030
2,23375226854896,2,0,GROUP_BY forward all2all,0.566058233,0.566058233,0.570511099
2,23375226860176,2,0,AGGREGATE forward all2all,0.579355878,0.579355878,0.583808745
2,23375226860656,2,0,AGGREGATE forward all2all,0.579355948,0.579355948,0.583808897
2,23375226851056,2,1,GROUP_BY forward all2all,0.596333772,0.596333772,0.600786638
2,23375226850576,2,1,GROUP_BY forward all2all,0.596333786,0.596333786,0.600786652
2,23375226850096,2,1,AGGREGATE forward all2all,0.609631486,0.609631486,0.614084436
2,23375226849616,2,1,AGGREGATE forward all2all,0.609631501,0.609631501,0.614084367
2,23375226873616,2,2,GROUP_BY forward all2all,0.626609241,0.626609241,0.631062108
2,23375226874096,2,2,GROUP_BY forward all2all,0.626609311,0.626609311,0.631062177
2,23375226871696,2,2,AGGREGATE forward all2all,0.639906956,0.639906956,0.644368454
2,23375226872176,2,2,AGGREGATE forward all2all,0.639907025,0.639907025,0.645175243
2,23375226868816,2,3,GROUP_BY forward all2all,0.657699479,0.657699479,0.662152345
2,23375226869296,2,3,GROUP_BY forward all2all,0.657699479,0.657699479,0.662152345
2,23375226867856,2,3,AGGREGATE forward all2all,0.670997194,0.670997194,0.675450060
2,23375226868336,2,3,AGGREGATE forward all2all,0.670997194,0.670997194,0.676210724
2,23375226860416,2,0,AGGREGATE backward all2all,0.682473880,0.682473880,0.686938238
2,23375226854656,2,0,GROUP_BY backward all2all,0.691623473,0.691623473,0.696076340
2,23375226860896,2,0,AGGREGATE backward all2all,0.696579638,0.696579638,0.701032504
2,23375226855136,2,0,GROUP_BY backward all2all,0.705717739,0.705717739,0.711048527
2,23375226849856,2,1,AGGREGATE backward all2all,0.750813179,0.750813179,0.755275310
2,23375226850336,2,1,AGGREGATE backward all2all,0.754524240,0.754524240,0.758977107
2,23375226850816,2,1,GROUP_BY backward all2all,0.759960545,0.759960545,0.764434680
2,23375226851296,2,1,GROUP_BY backward all2all,0.763662342,0.763662342,0.768863454
2,23375226871936,2,2,AGGREGATE backward all2all,0.820614894,0.820614894,0.825097532
2,23375226872416,2,2,AGGREGATE backward all2all,0.822688067,0.822688067,0.827140933
2,23375226873856,2,2,GROUP_BY backward all2all,0.829782767,0.829782767,0.834251221
2,23375226874336,2,2,GROUP_BY backward all2all,0.831826169,0.831826169,0.837034817
2,23375226868096,2,3,AGGREGATE backward all2all,0.868118369,0.868118369,0.872571235
2,23375226868576,2,3,AGGREGATE backward all2all,0.870220613,0.870220613,0.874673479
2,23375226869056,2,3,GROUP_BY backward all2all,0.877256470,0.877256470,0.881709420
2,23375226869536,2,3,GROUP_BY backward all2all,0.879358715,0.879358715,0.883811664
3,23375226854416,2,0,GROUP_BY forward all2all,1.059125829,1.059125829,1.063578696
3,23375226854896,2,0,GROUP_BY forward all2all,1.059125898,1.059125898,1.063578765
3,23375226860176,2,0,AGGREGATE forward all2all,1.072423544,1.072423544,1.076876410
3,23375226860656,2,0,AGGREGATE forward all2all,1.072423613,1.072423613,1.076876563
3,23375226851056,2,1,GROUP_BY forward all2all,1.089401437,1.089401437,1.093854304
3,23375226850576,2,1,GROUP_BY forward all2all,1.089401452,1.089401452,1.093854318
