model,iteration,direction,phase,start_s,end_s,duration_s,power_w
llama-dev49,1,sim,idle,0.000000000,0.030265517,0.030265517,84.0000
llama-dev49,1,sim,attention,0.030265517,0.042573483,0.012307966,700.0000
llama-dev49,1,sim,addnorm,0.042573483,0.042649874,0.000076391,140.0000
llama-dev49,1,sim,gate,0.042649874,0.042713637,0.000063763,280.0000
llama-dev49,1,sim,idle,0.042713637,0.047166503,0.004452866,84.0000
llama-dev49,1,sim,gate,0.047166503,0.049250996,0.002084493,280.0000
llama-dev49,1,sim,experts,0.049250996,0.056006564,0.006755568,700.0000
llama-dev49,1,sim,idle,0.056006564,0.060464663,0.004458098,84.0000
llama-dev49,1,sim,addnorm,0.060464663,0.060541056,0.000076393,140.0000
llama-dev49,1,sim,attention,0.060541056,0.072849022,0.012307966,700.0000
llama-dev49,1,sim,addnorm,0.072849022,0.072925412,0.000076391,140.0000
llama-dev49,1,sim,gate,0.072925412,0.072989176,0.000063763,280.0000
llama-dev49,1,sim,idle,0.072989176,0.077442042,0.004452866,84.0000
llama-dev49,1,sim,gate,0.077442042,0.079526535,0.002084493,280.0000
llama-dev49,1,sim,experts,0.079526535,0.086282103,0.006755568,700.0000
llama-dev49,1,sim,idle,0.086282103,0.090740201,0.004458098,84.0000
llama-dev49,1,sim,addnorm,0.090740201,0.090816595,0.000076393,140.0000
llama-dev49,1,sim,attention,0.090816595,0.103124561,0.012307966,700.0000
llama-dev49,1,sim,addnorm,0.103124561,0.103200951,0.000076391,140.0000
llama-dev49,1,sim,gate,0.103200951,0.103264715,0.000063763,280.0000
llama-dev49,1,sim,idle,0.103264715,0.107717581,0.004452866,84.0000
llama-dev49,1,sim,gate,0.107717581,0.109802074,0.002084493,280.0000
llama-dev49,1,sim,experts,0.109802074,0.116557642,0.006755568,700.0000
llama-dev49,1,sim,idle,0.116557642,0.121015740,0.004458098,84.0000
llama-dev49,1,sim,addnorm,0.121015740,0.121092133,0.000076393,140.0000
llama-dev49,1,sim,attention,0.121092133,0.133400099,0.012307966,700.0000
llama-dev49,1,sim,addnorm,0.133400099,0.133476490,0.000076391,140.0000
llama-dev49,1,sim,gate,0.133476490,0.133529898,0.000053408,280.0000
llama-dev49,1,sim,gate,0.133529898,0.133540253,0.000010355,280.0000
