
 STORAGE COMPLETE FOR    618 DATA POINTS 

         SUMMARY OF VARIABLES STORED THIS STEP AND EXTREME VALUES
 VARI TYPE    IDENTIFIERS   NAME     MINIMUM    AT TIME     MAXIMUM    AT TIME

   2 NSOL  2466 TEMP      TEMP       55.12       4.306       67.15      0.5173     

 *** MAPDL - ENGINEERING ANALYSIS SYSTEM  RELEASE 2025 R2          25.2     ***
 Ansys Mechanical Enterprise Academic Research     
 00236611  VERSION=LINUX x64     19:34:22  JUL 23, 2026 CP=    368.676

                                                                               



          ***** MAPDL POST26 VARIABLE LISTING *****


    TIME       2466 TEMP    
                  TEMP    
   0.10000E-02   64.6703     
   0.15607E-01   64.6703     
   0.20477E-01   64.6703     
   0.22100E-01   64.6703     
   0.23723E-01   64.6703     
   0.26969E-01   64.6703     
   0.33461E-01   64.6703     
   0.46445E-01   64.6703     
   0.72414E-01   64.6703     
   0.11786       64.6703     
   0.11793       64.6678     
   0.11801       64.6623     
   0.11823       64.6311     
   0.11845       64.5921     
   0.14825       60.1096     
   0.15960       58.8893     
   0.17095       58.0486     
   0.18230       57.4735     
   0.19365       57.0807     
   0.20500       56.8125     
   0.21635       56.6294     
   0.22771       56.5044     
   0.23906       56.4190     
   0.25041       56.3608     
   0.26176       56.3210     
   0.28446       56.2798     
   0.32987       56.2509     
   0.35683       56.2428     
   0.37688       60.9433     
   0.38723       62.7825     
   0.39757       64.0935     
   0.40792       65.0175     
   0.41826       65.6670     
   0.42860       66.1233     
   0.43895       66.4439     
   0.44929       66.6691     
   0.45964       66.8273     
   0.46998       66.9384     
   0.48033       67.0165     
   0.49067       67.0713     
   0.50102       67.1099     
   0.51728       67.1462     
   0.54707       61.3528     
   0.55788       59.7985     
   0.56869       58.7079     
   0.57949       57.9499     
   0.59030       57.4240     
   0.60111       57.0594     
   0.61191       56.8067     
   0.62272       56.6315     

 *** MAPDL - ENGINEERING ANALYSIS SYSTEM  RELEASE 2025 R2          25.2     ***
 Ansys Mechanical Enterprise Academic Research     
 00236611  VERSION=LINUX x64     19:34:22  JUL 23, 2026 CP=    368.677

                                                                               



          ***** MAPDL POST26 VARIABLE LISTING *****


    TIME       2466 TEMP    
                  TEMP    
   0.63353       56.5100     
   0.64434       56.4258     
   0.65514       56.3674     
   0.66595       56.3269     
   0.68756       56.2839     
   0.73079       56.2529     
   0.75565       56.2441     
   0.75592       56.2504     
   0.75618       56.2606     
   0.75697       56.3012     
   0.75777       56.3461     
   0.77250       59.3032     
   0.78278       60.8737     
   0.79307       61.9954     
   0.80335       62.7875     
   0.81363       63.3453     
   0.82392       63.7378     
   0.83420       64.0141     
   0.84448       64.2086     
   0.85477       64.3454     
   0.86505       64.4417     
   0.87034       64.4824     
   0.87563       64.5158     
   0.87570       64.5137     
   0.87577       64.5087     
   0.87600       64.4788     
   0.87622       64.4412     
   0.90601       60.0416     
   0.91734       58.8450     
   0.92866       58.0198     
   0.93998       57.4548     
   0.95130       57.0686     
   0.96263       56.8047     
   0.97395       56.6244     
   0.98527       56.5012     
   0.99660       56.4170     
    1.0079       56.3595     
    1.0192       56.3202     
    1.0419       56.2794     
    1.0872       56.2508     
    1.1146       56.2427     
    1.1346       60.9432     
    1.1450       62.7825     
    1.1553       64.0935     
    1.1657       65.0174     
    1.1760       65.6669     
    1.1864       66.1233     
    1.1967       66.4439     
    1.2071       66.6691     
    1.2174       66.8273     

 *** MAPDL - ENGINEERING ANALYSIS SYSTEM  RELEASE 2025 R2          25.2     ***
 Ansys Mechanical Enterprise Academic Research     
 00236611  VERSION=LINUX x64     19:34:22  JUL 23, 2026 CP=    368.679

                                                                               



          ***** MAPDL POST26 VARIABLE LISTING *****


    TIME       2466 TEMP    
                  TEMP    
    1.2277       66.9384     
    1.2381       67.0165     
    1.2484       67.0713     
    1.2588       67.1099     
    1.2750       67.1462     
    1.3048       61.3528     
    1.3156       59.7985     
    1.3265       58.7079     
    1.3373       57.9499     
    1.3481       57.4240     
    1.3589       57.0594     
    1.3697       56.8067     
    1.3805       56.6315     
    1.3913       56.5100     
    1.4021       56.4258     
    1.4129       56.3674     
    1.4237       56.3269     
    1.4453       56.2839     
    1.4886       56.2529     
    1.5134       56.2441     
    1.5137       56.2504     
    1.5139       56.2606     
    1.5147       56.3012     
    1.5155       56.3461     
    1.5303       59.3032     
    1.5405       60.8737     
    1.5508       61.9954     
    1.5611       62.7875     
    1.5714       63.3453     
    1.5817       63.7378     
    1.5920       64.0141     
    1.6023       64.2086     
    1.6125       64.3454     
    1.6228       64.4417     
    1.6281       64.4824     
    1.6334       64.5158     
    1.6335       64.5137     
    1.6335       64.5087     
    1.6338       64.4788     
    1.6340       64.4412     
    1.6638       60.0416     
    1.6751       58.8450     
    1.6864       58.0198     
    1.6977       57.4548     
    1.7091       57.0686     
    1.7204       56.8047     
    1.7317       56.6244     
    1.7430       56.5012     
    1.7544       56.4170     
    1.7657       56.3595     

 *** MAPDL - ENGINEERING ANALYSIS SYSTEM  RELEASE 2025 R2          25.2     ***
 Ansys Mechanical Enterprise Academic Research     
 00236611  VERSION=LINUX x64     19:34:22  JUL 23, 2026 CP=    368.680

                                                                               



          ***** MAPDL POST26 VARIABLE LISTING *****


    TIME       2466 TEMP    
                  TEMP    
    1.7770       56.3202     
    1.7997       56.2794     
    1.8449       56.2508     
    1.8724       56.2427     
    1.8924       60.9432     
    1.9028       62.7825     
    1.9131       64.0935     
    1.9234       65.0174     
    1.9338       65.6669     
    1.9441       66.1233     
    1.9545       66.4439     
    1.9648       66.6691     
    1.9752       66.8273     
    1.9855       66.9384     
    1.9959       67.0165     
    2.0062       67.0713     
    2.0165       67.1099     
    2.0328       67.1462     
    2.0626       61.3528     
    2.0734       59.7985     
    2.0842       58.7079     
    2.0950       57.9499     
    2.1058       57.4240     
    2.1166       57.0594     
    2.1274       56.8067     
    2.1383       56.6315     
    2.1491       56.5100     
    2.1599       56.4258     
    2.1707       56.3674     
    2.1815       56.3269     
    2.2031       56.2839     
    2.2463       56.2529     
    2.2712       56.2441     
    2.2715       56.2504     
    2.2717       56.2606     
    2.2725       56.3012     
    2.2733       56.3461     
    2.2880       59.3032     
    2.2983       60.8737     
    2.3086       61.9954     
    2.3189       62.7875     
    2.3292       63.3453     
    2.3395       63.7378     
    2.3497       64.0141     
    2.3600       64.2086     
    2.3703       64.3454     
    2.3806       64.4417     
    2.3859       64.4824     
    2.3912       64.5158     
    2.3912       64.5137     

 *** MAPDL - ENGINEERING ANALYSIS SYSTEM  RELEASE 2025 R2          25.2     ***
 Ansys Mechanical Enterprise Academic Research     
 00236611  VERSION=LINUX x64     19:34:22  JUL 23, 2026 CP=    368.681

                                                                               



          ***** MAPDL POST26 VARIABLE LISTING *****


    TIME       2466 TEMP    
                  TEMP    
    2.3913       64.5087     
    2.3915       64.4788     
    2.3918       64.4412     
    2.4215       60.0416     
    2.4329       58.8450     
    2.4442       58.0198     
    2.4555       57.4548     
    2.4668       57.0686     
    2.4782       56.8047     
    2.4895       56.6244     
    2.5008       56.5012     
    2.5121       56.4170     
    2.5235       56.3595     
    2.5348       56.3202     
    2.5574       56.2794     
    2.6027       56.2508     
    2.6301       56.2427     
    2.6502       60.9432     
    2.6605       62.7825     
    2.6709       64.0935     
    2.6812       65.0174     
    2.6916       65.6669     
    2.7019       66.1233     
    2.7123       66.4439     
    2.7226       66.6691     
    2.7329       66.8273     
    2.7433       66.9384     
    2.7536       67.0165     
    2.7640       67.0713     
    2.7743       67.1099     
    2.7906       67.1462     
    2.8204       61.3528     
    2.8312       59.7985     
    2.8420       58.7079     
    2.8528       57.9499     
    2.8636       57.4240     
    2.8744       57.0594     
    2.8852       56.8067     
    2.8960       56.6315     
    2.9068       56.5100     
    2.9176       56.4258     
    2.9284       56.3674     
    2.9393       56.3269     
    2.9609       56.2839     
    3.0041       56.2529     
    3.0290       56.2441     
    3.0292       56.2504     
    3.0295       56.2606     
    3.0303       56.3012     
    3.0311       56.3461     

 *** MAPDL - ENGINEERING ANALYSIS SYSTEM  RELEASE 2025 R2          25.2     ***
 Ansys Mechanical Enterprise Academic Research     
 00236611  VERSION=LINUX x64     19:34:22  JUL 23, 2026 CP=    368.682

                                                                               



