
 STORAGE COMPLETE FOR    965 DATA POINTS 

         SUMMARY OF VARIABLES STORED THIS STEP AND EXTREME VALUES
 VARI TYPE    IDENTIFIERS   NAME     MINIMUM    AT TIME     MAXIMUM    AT TIME

   2 NSOL  2466 TEMP      TEMP       54.83       1.223       67.20      0.2824E-001

 *** MAPDL - ENGINEERING ANALYSIS SYSTEM  RELEASE 2025 R2          25.2     ***
 Ansys Mechanical Enterprise Academic Research     
 00236611  VERSION=LINUX x64     11:39:29  JUL 24, 2026 CP=   1654.631

                                                                               



          ***** MAPDL POST26 VARIABLE LISTING *****


    TIME       2466 TEMP    
                  TEMP    
   0.10000E-02   67.2008     
   0.13258E-01   67.2008     
   0.17344E-01   67.2008     
   0.18706E-01   67.2008     
   0.20068E-01   67.2008     
   0.22792E-01   67.2008     
   0.28240E-01   67.2008     
   0.39136E-01   67.2008     
   0.60927E-01   67.2008     
   0.99063E-01   67.2008     
   0.99214E-01   67.1894     
   0.99365E-01   67.1689     
   0.99818E-01   67.0767     
   0.10027       66.9704     
   0.14402       59.3019     
   0.15860       57.6378     
   0.17319       56.5889     
   0.18777       55.9313     
   0.20236       55.5194     
   0.21694       55.2615     
   0.23152       55.1000     
   0.24611       54.9989     
   0.26069       54.9356     
   0.27527       54.8960     
   0.28986       54.8712     
   0.31902       54.8485     
   0.37736       54.8352     
   0.45027       54.8310     
   0.45911       57.7883     
   0.46795       60.2368     
   0.47679       62.0781     
   0.48563       63.4378     
   0.49447       64.4375     
   0.50331       65.1718     
   0.51215       65.7110     
   0.52099       66.1069     
   0.56474       59.0548     
   0.57933       57.4865     
   0.59391       56.4945     
   0.60849       55.8722     
   0.62308       55.4825     
   0.63766       55.2384     
   0.65224       55.0856     
   0.66683       54.9899     
   0.68141       54.9299     
   0.69599       54.8924     
   0.72516       54.8582     
   0.78349       54.8380     
   0.87100       54.8314     
   0.87107       54.8318     

 *** MAPDL - ENGINEERING ANALYSIS SYSTEM  RELEASE 2025 R2          25.2     ***
 Ansys Mechanical Enterprise Academic Research     
 00236611  VERSION=LINUX x64     11:39:29  JUL 24, 2026 CP=   1654.632

                                                                               



          ***** MAPDL POST26 VARIABLE LISTING *****


    TIME       2466 TEMP    
                  TEMP    
   0.87115       54.8327     
   0.87138       54.8377     
   0.87162       54.8438     
   0.87177       54.8481     
   0.87192       54.8526     
   0.87238       54.8676     
   0.87284       54.8833     
   0.91659       54.8595     
   0.93117       54.8489     
   0.94132       54.8433     
   0.95146       54.8393     
   0.97176       54.8349     
    1.0123       54.8316     
    1.0935       54.8300     
    1.2228       54.8297     
    1.2275       56.4885     
    1.2322       58.1262     
    1.2433       60.9425     
    1.2545       62.8978     
    1.2603       63.7263     
    1.3040       58.2018     
    1.3186       56.9525     
    1.3332       56.1601     
    1.3478       55.6629     
    1.3624       55.3514     
    1.3770       55.1563     
    1.3915       55.0341     
    1.4061       54.9577     
    1.4207       54.9098     
    1.4353       54.8798     
    1.4645       54.8525     
    1.5228       54.8363     
    1.6103       54.8311     
    1.6106       54.8479     
    1.6109       54.8740     
    1.6118       54.9760     
    1.6127       55.0874     
    1.6375       60.9919     
    1.6486       62.9177     
    1.6597       64.2551     
    1.6708       65.1761     
    1.6819       65.8094     
    1.6931       66.2446     
    1.7042       66.5437     
    1.7153       66.7493     
    1.7264       66.8905     
    1.7375       66.9876     
    1.7487       67.0543     
    1.7598       67.1001     
    1.7820       67.1481     

 *** MAPDL - ENGINEERING ANALYSIS SYSTEM  RELEASE 2025 R2          25.2     ***
 Ansys Mechanical Enterprise Academic Research     
 00236611  VERSION=LINUX x64     11:39:29  JUL 24, 2026 CP=   1654.632

                                                                               



          ***** MAPDL POST26 VARIABLE LISTING *****


    TIME       2466 TEMP    
                  TEMP    
    1.8108       67.1767     
    1.8232       67.1848     
    1.8356       67.1902     
    1.8480       67.1938     
    1.8727       67.1973     
    1.9099       67.1994     
    1.9100       67.1880     
    1.9102       67.1676     
    1.9107       67.0753     
    1.9111       66.9691     
    1.9549       59.3014     
    1.9694       57.6375     
    1.9840       56.5887     
    1.9986       55.9312     
    2.0132       55.5193     
    2.0278       55.2615     
    2.0424       55.1000     
    2.0569       54.9989     
    2.0715       54.9356     
    2.0861       54.8960     
    2.1007       54.8712     
    2.1299       54.8485     
    2.1882       54.8352     
    2.2611       54.8310     
    2.2699       57.7883     
    2.2788       60.2368     
    2.2876       62.0781     
    2.2965       63.4378     
    2.3053       64.4375     
    2.3141       65.1718     
    2.3230       65.7110     
    2.3318       66.1069     
    2.3756       59.0548     
    2.3902       57.4865     
    2.4047       56.4945     
    2.4193       55.8722     
    2.4339       55.4825     
    2.4485       55.2384     
    2.4631       55.0856     
    2.4777       54.9899     
    2.4922       54.9299     
    2.5068       54.8924     
    2.5360       54.8582     
    2.5943       54.8380     
    2.6818       54.8314     
    2.6819       54.8318     
    2.6820       54.8327     
    2.6822       54.8377     
    2.6825       54.8438     
    2.6826       54.8481     

 *** MAPDL - ENGINEERING ANALYSIS SYSTEM  RELEASE 2025 R2          25.2     ***
 Ansys Mechanical Enterprise Academic Research     
 00236611  VERSION=LINUX x64     11:39:29  JUL 24, 2026 CP=   1654.632

                                                                               



          ***** MAPDL POST26 VARIABLE LISTING *****


    TIME       2466 TEMP    
                  TEMP    
    2.6828       54.8526     
    2.6832       54.8676     
    2.6837       54.8833     
    2.7274       54.8595     
    2.7420       54.8489     
    2.7522       54.8433     
    2.7623       54.8393     
    2.7826       54.8349     
    2.8232       54.8316     
    2.9043       54.8300     
    3.0337       54.8297     
    3.0384       56.4885     
    3.0430       58.1262     
    3.0542       60.9425     
    3.0653       62.8978     
    3.0711       63.7263     
    3.1149       58.2018     
    3.1295       56.9525     
    3.1440       56.1601     
    3.1586       55.6629     
    3.1732       55.3514     
    3.1878       55.1563     
    3.2024       55.0341     
    3.2170       54.9577     
    3.2315       54.9098     
    3.2461       54.8798     
    3.2753       54.8525     
    3.3336       54.8363     
    3.4211       54.8311     
    3.4214       54.8479     
    3.4217       54.8740     
    3.4226       54.9760     
    3.4235       55.0874     
    3.4483       60.9919     
    3.4594       62.9177     
    3.4705       64.2551     
    3.4817       65.1761     
    3.4928       65.8094     
    3.5039       66.2446     
    3.5150       66.5437     
    3.5261       66.7493     
    3.5372       66.8905     
    3.5484       66.9876     
    3.5595       67.0543     
    3.5706       67.1001     
    3.5928       67.1481     
    3.6217       67.1767     
    3.6341       67.1848     
    3.6464       67.1902     
    3.6588       67.1938     

 *** MAPDL - ENGINEERING ANALYSIS SYSTEM  RELEASE 2025 R2          25.2     ***
 Ansys Mechanical Enterprise Academic Research     
 00236611  VERSION=LINUX x64     11:39:29  JUL 24, 2026 CP=   1654.632

                                                                               



          ***** MAPDL POST26 VARIABLE LISTING *****


    TIME       2466 TEMP    
                  TEMP    
    3.6836       67.1973     
    3.7207       67.1994     
    3.7209       67.1880     
    3.7210       67.1676     
    3.7215       67.0753     
    3.7219       66.9691     
    3.7657       59.3014     
    3.7803       57.6375     
    3.7949       56.5887     
    3.8094       55.9312     
    3.8240       55.5193     
    3.8386       55.2615     
    3.8532       55.1000     
    3.8678       54.9989     
    3.8824       54.9356     
    3.8969       54.8960     
    3.9115       54.8712     
    3.9407       54.8485     
    3.9990       54.8352     
    4.0719       54.8310     
    4.0808       57.7883     
    4.0896       60.2368     
    4.0985       62.0781     
    4.1073       63.4378     
    4.1161       64.4375     
    4.1250       65.1718     
    4.1338       65.7110     
    4.1427       66.1069     
    4.1864       59.0548     
    4.2010       57.4865     
    4.2156       56.4945     
    4.2302       55.8722     
    4.2447       55.4825     
    4.2593       55.2384     
    4.2739       55.0856     
    4.2885       54.9899     
    4.3031       54.9299     
    4.3177       54.8924     
    4.3468       54.8582     
    4.4052       54.8380     
    4.4927       54.8314     
    4.4927       54.8318     
    4.4928       54.8327     
    4.4931       54.8377     
    4.4933       54.8438     
    4.4934       54.8481     
    4.4936       54.8526     
    4.4940       54.8676     
    4.4945       54.8833     
    4.5383       54.8595     

 *** MAPDL - ENGINEERING ANALYSIS SYSTEM  RELEASE 2025 R2          25.2     ***
 Ansys Mechanical Enterprise Academic Research     
 00236611  VERSION=LINUX x64     11:39:29  JUL 24, 2026 CP=   1654.632

