
 STORAGE COMPLETE FOR  18370 DATA POINTS 

         SUMMARY OF VARIABLES STORED THIS STEP AND EXTREME VALUES
 VARI TYPE    IDENTIFIERS   NAME     MINIMUM    AT TIME     MAXIMUM    AT TIME

   2 NSOL  2466 TEMP      TEMP       54.83       17.52       67.20      0.6004E-001

 *** MAPDL - ENGINEERING ANALYSIS SYSTEM  RELEASE 2025 R2          25.2     ***
 Ansys Mechanical Enterprise Academic Research     
 00236611  VERSION=LINUX x64     10:41:34  SEP 17, 2026 CP=  11992.518

                                                                               



          ***** MAPDL POST26 VARIABLE LISTING *****


    TIME       2466 TEMP    
                  TEMP    
   0.10000E-02   67.2008     
   0.20006E-02   67.2008     
   0.30013E-02   67.2008     
   0.40019E-02   67.2008     
   0.50026E-02   67.2008     
   0.60032E-02   67.2008     
   0.70038E-02   67.2008     
   0.80045E-02   67.2008     
   0.90051E-02   67.2008     
   0.10006E-01   67.2008     
   0.11006E-01   67.2008     
   0.12007E-01   67.2008     
   0.13008E-01   67.2008     
   0.14008E-01   67.2008     
   0.15009E-01   67.2008     
   0.16010E-01   67.2008     
   0.17010E-01   67.2008     
   0.18011E-01   67.2008     
   0.19012E-01   67.2008     
   0.20012E-01   67.2008     
   0.21013E-01   67.2008     
   0.22013E-01   67.2008     
   0.23014E-01   67.2008     
   0.24015E-01   67.2008     
   0.25015E-01   67.2008     
   0.26016E-01   67.2008     
   0.27017E-01   67.2008     
   0.28017E-01   67.2008     
   0.29018E-01   67.2008     
   0.30019E-01   67.2008     
   0.31019E-01   67.2008     
   0.32020E-01   67.2008     
   0.33020E-01   67.2008     
   0.34021E-01   67.2008     
   0.35022E-01   67.2008     
   0.36022E-01   67.2008     
   0.37023E-01   67.2008     
   0.38024E-01   67.2008     
   0.39024E-01   67.2008     
   0.40025E-01   67.2008     
   0.41026E-01   67.2008     
   0.42026E-01   67.2008     
   0.43027E-01   67.2008     
   0.44028E-01   67.2008     
   0.45028E-01   67.2008     
   0.46029E-01   67.2008     
   0.47029E-01   67.2008     
   0.48030E-01   67.2008     
   0.49031E-01   67.2008     
   0.50031E-01   67.2008     

 *** MAPDL - ENGINEERING ANALYSIS SYSTEM  RELEASE 2025 R2          25.2     ***
 Ansys Mechanical Enterprise Academic Research     
 00236611  VERSION=LINUX x64     10:41:34  SEP 17, 2026 CP=  11992.518

                                                                               



          ***** MAPDL POST26 VARIABLE LISTING *****


    TIME       2466 TEMP    
                  TEMP    
   0.51032E-01   67.2008     
   0.52033E-01   67.2008     
   0.53033E-01   67.2008     
   0.54034E-01   67.2008     
   0.55035E-01   67.2008     
   0.56035E-01   67.2008     
   0.57036E-01   67.2008     
   0.58036E-01   67.2008     
   0.59037E-01   67.2008     
   0.60038E-01   67.2008     
   0.61038E-01   67.2008     
   0.62039E-01   67.2008     
   0.63040E-01   67.2008     
   0.64040E-01   67.2008     
   0.65041E-01   67.2008     
   0.66042E-01   67.2008     
   0.67042E-01   67.2008     
   0.68043E-01   67.2008     
   0.69044E-01   67.2008     
   0.70044E-01   67.2008     
   0.71045E-01   67.2008     
   0.72045E-01   67.2008     
   0.73046E-01   67.2008     
   0.74047E-01   67.2008     
   0.75047E-01   67.2008     
   0.76048E-01   67.2008     
   0.77049E-01   67.2008     
   0.78049E-01   67.2008     
   0.79050E-01   67.2008     
   0.80051E-01   67.2008     
   0.81051E-01   67.2008     
   0.82052E-01   67.2008     
   0.83052E-01   67.2008     
   0.84053E-01   67.2008     
   0.85054E-01   67.2008     
   0.86054E-01   67.2008     
   0.87055E-01   67.2008     
   0.88056E-01   67.2008     
   0.89056E-01   67.2008     
   0.90057E-01   67.2008     
   0.91058E-01   67.2008     
   0.92058E-01   67.2008     
   0.93059E-01   67.2008     
   0.94060E-01   67.2008     
   0.95060E-01   67.2008     
   0.96061E-01   67.2008     
   0.97061E-01   67.2008     
   0.98062E-01   67.2008     
   0.99063E-01   67.2008     
   0.99214E-01   67.1894     

 *** MAPDL - ENGINEERING ANALYSIS SYSTEM  RELEASE 2025 R2          25.2     ***
 Ansys Mechanical Enterprise Academic Research     
 00236611  VERSION=LINUX x64     10:41:34  SEP 17, 2026 CP=  11992.518

                                                                               



          ***** MAPDL POST26 VARIABLE LISTING *****


    TIME       2466 TEMP    
                  TEMP    
   0.99365E-01   67.1689     
   0.99516E-01   67.1428     
   0.99667E-01   67.1130     
   0.99818E-01   67.0809     
   0.99969E-01   67.0470     
   0.10012       67.0117     
   0.10027       66.9753     
   0.10127       66.6212     
   0.10227       66.2314     
   0.10327       65.8305     
   0.10427       65.4290     
   0.10527       65.0326     
   0.10627       64.6448     
   0.10727       64.2676     
   0.10827       63.9023     
   0.10927       63.5494     
   0.11027       63.2090     
   0.11127       62.8811     
   0.11227       62.5655     
   0.11327       62.2620     
   0.11427       61.9702     
   0.11527       61.6896     
   0.11627       61.4200     
   0.11727       61.1609     
   0.11827       60.9120     
   0.11927       60.6728     
   0.12027       60.4431     
   0.12127       60.2223     
   0.12227       60.0102     
   0.12327       59.8065     
   0.12427       59.6107     
   0.12527       59.4227     
   0.12627       59.2420     
   0.12727       59.0685     
   0.12827       58.9017     
   0.12927       58.7416     
   0.13027       58.5877     
   0.13127       58.4399     
   0.13227       58.2979     
   0.13327       58.1615     
   0.13427       58.0304     
   0.13527       57.9045     
   0.13627       57.7836     
   0.13727       57.6674     
   0.13827       57.5558     
   0.13927       57.4486     
   0.14027       57.3456     
   0.14127       57.2466     
   0.14227       57.1515     
   0.14327       57.0602     

 *** MAPDL - ENGINEERING ANALYSIS SYSTEM  RELEASE 2025 R2          25.2     ***
 Ansys Mechanical Enterprise Academic Research     
 00236611  VERSION=LINUX x64     10:41:34  SEP 17, 2026 CP=  11992.519

                                                                               



          ***** MAPDL POST26 VARIABLE LISTING *****


    TIME       2466 TEMP    
                  TEMP    
   0.14427       56.9725     
   0.14527       56.8882     
   0.14627       56.8072     
   0.14727       56.7294     
   0.14827       56.6547     
   0.14927       56.5829     
   0.15027       56.5140     
   0.15127       56.4477     
   0.15227       56.3841     
   0.15327       56.3229     
   0.15427       56.2642     
   0.15527       56.2078     
   0.15627       56.1536     
   0.15727       56.1015     
   0.15827       56.0515     
   0.15927       56.0034     
   0.16027       55.9572     
   0.16127       55.9129     
   0.16227       55.8703     
   0.16327       55.8293     
   0.16427       55.7900     
   0.16527       55.7522     
   0.16627       55.7160     
   0.16727       55.6811     
   0.16827       55.6476     
   0.16927       55.6154     
   0.17027       55.5845     
   0.17127       55.5548     
   0.17227       55.5263     
   0.17327       55.4989     
   0.17427       55.4726     
   0.17527       55.4473     
   0.17627       55.4230     
   0.17727       55.3996     
   0.17827       55.3772     
   0.17927       55.3557     
   0.18027       55.3350     
   0.18127       55.3151     
   0.18227       55.2960     
   0.18327       55.2777     
   0.18427       55.2600     
   0.18527       55.2431     
   0.18627       55.2269     
   0.18727       55.2112     
   0.18827       55.1962     
   0.18927       55.1818     
   0.19027       55.1679     
   0.19127       55.1546     
   0.19227       55.1418     
   0.19327       55.1296     

 *** MAPDL - ENGINEERING ANALYSIS SYSTEM  RELEASE 2025 R2          25.2     ***
 Ansys Mechanical Enterprise Academic Research     
 00236611  VERSION=LINUX x64     10:41:34  SEP 17, 2026 CP=  11992.519

                                                                               



          ***** MAPDL POST26 VARIABLE LISTING *****


    TIME       2466 TEMP    
                  TEMP    
   0.19427       55.1178     
   0.19527       55.1064     
   0.19627       55.0955     
   0.19727       55.0851     
   0.19827       55.0750     
   0.19927       55.0654     
   0.20027       55.0561     
   0.20127       55.0472     
   0.20227       55.0386     
   0.20327       55.0304     
   0.20427       55.0225     
   0.20527       55.0149     
   0.20627       55.0076     
   0.20727       55.0006     
   0.20827       54.9939     
   0.20927       54.9874     
   0.21027       54.9812     
   0.21127       54.9753     
   0.21227       54.9695     
   0.21327       54.9640     
   0.21427       54.9587     
   0.21527       54.9537     
   0.21627       54.9488     
   0.21727       54.9441     
   0.21827       54.9396     
   0.21927       54.9353     
   0.22027       54.9311     
   0.22127       54.9271     
   0.22227       54.9233     
   0.22327       54.9196     
   0.22427       54.9161     
   0.22527       54.9127     
   0.22627       54.9094     
   0.22727       54.9062     
   0.22827       54.9032     
   0.22927       54.9003     
