
 STORAGE COMPLETE FOR    726 DATA POINTS 

         SUMMARY OF VARIABLES STORED THIS STEP AND EXTREME VALUES
 VARI TYPE    IDENTIFIERS   NAME     MINIMUM    AT TIME     MAXIMUM    AT TIME

   2 NSOL  2466 TEMP      TEMP       54.83       1.072       67.20      0.4431E-002

 *** MAPDL - ENGINEERING ANALYSIS SYSTEM  RELEASE 2025 R2          25.2     ***
 Ansys Mechanical Enterprise Academic Research     
 00236611  VERSION=LINUX x64     11:12:45  JUL 24, 2026 CP=    527.383

                                                                               



          ***** MAPDL POST26 VARIABLE LISTING *****


    TIME       2466 TEMP    
                  TEMP    
   0.10000E-02   67.2008     
   0.26261E-02   67.2008     
   0.32840E-02   67.2008     
   0.35707E-02   67.2008     
   0.38574E-02   67.2008     
   0.44309E-02   67.2008     
   0.55777E-02   67.2008     
   0.78713E-02   67.2008     
   0.12383E-01   67.2008     
   0.12478E-01   67.1961     
   0.12573E-01   67.1865     
   0.12859E-01   67.1370     
   0.13145E-01   67.0773     
   0.56895E-01   59.3548     
   0.71478E-01   57.6720     
   0.86062E-01   56.6104     
   0.10065       55.9447     
   0.11523       55.5278     
   0.12981       55.2668     
   0.14440       55.1033     
   0.15898       55.0010     
   0.17356       54.9369     
   0.18815       54.8968     
   0.20273       54.8717     
   0.23190       54.8488     
   0.29023       54.8352     
   0.36315       54.8310     
   0.36425       55.1532     
   0.36536       55.5614     
   0.36867       56.8432     
   0.37199       58.0410     
   0.41574       56.1560     
   0.43032       55.6709     
   0.44490       55.3576     
   0.45949       55.1603     
   0.47407       55.0367     
   0.48865       54.9593     
   0.50324       54.9108     
   0.51782       54.8804     
   0.54699       54.8528     
   0.60532       54.8364     
   0.72199       54.8308     
   0.72200       54.8308     
   0.72201       54.8308     
   0.72205       54.8309     
   0.72207       54.8310     
   0.72209       54.8311     
   0.72211       54.8313     
   0.72216       54.8321     
   0.72222       54.8331     

 *** MAPDL - ENGINEERING ANALYSIS SYSTEM  RELEASE 2025 R2          25.2     ***
 Ansys Mechanical Enterprise Academic Research     
 00236611  VERSION=LINUX x64     11:12:45  JUL 24, 2026 CP=    527.385

                                                                               



          ***** MAPDL POST26 VARIABLE LISTING *****


    TIME       2466 TEMP    
                  TEMP    
   0.76597       54.8337     
   0.80972       54.8311     
   0.85347       54.8301     
   0.94097       54.8297     
    1.0722       54.8296     
    1.0728       54.9686     
    1.0734       55.1609     
    1.0751       55.8398     
    1.0769       56.5357     
    1.1207       55.5991     
    1.1352       55.3210     
    1.1498       55.1384     
    1.1644       55.0231     
    1.1790       54.9507     
    1.1936       54.9054     
    1.2082       54.8771     
    1.2373       54.8512     
    1.2957       54.8360     
    1.3613       54.8313     
    1.4269       54.8301     
    1.4271       54.8382     
    1.4273       54.8521     
    1.4279       54.9109     
    1.4285       54.9774     
    1.4315       56.1003     
    1.4346       57.2626     
    1.4439       59.9647     
    1.4532       61.9520     
    1.4548       62.2641     
    1.4563       62.5579     
    1.4610       63.2993     
    1.4656       63.9224     
    1.4657       63.9304     
    1.4658       63.9335     
    1.4661       63.9216     
    1.4664       63.8991     
    1.5101       58.2162     
    1.5247       56.9590     
    1.5393       56.1639     
    1.5539       55.6652     
    1.5684       55.3528     
    1.5830       55.1572     
    1.5976       55.0347     
    1.6122       54.9580     
    1.6268       54.9100     
    1.6414       54.8799     
    1.6705       54.8525     
    1.7289       54.8364     
    1.8164       54.8311     
    1.8175       55.1533     

 *** MAPDL - ENGINEERING ANALYSIS SYSTEM  RELEASE 2025 R2          25.2     ***
 Ansys Mechanical Enterprise Academic Research     
 00236611  VERSION=LINUX x64     11:12:45  JUL 24, 2026 CP=    527.386

                                                                               



          ***** MAPDL POST26 VARIABLE LISTING *****


    TIME       2466 TEMP    
                  TEMP    
    1.8186       55.5615     
    1.8219       56.8432     
    1.8252       58.0411     
    1.8690       56.1560     
    1.8835       55.6709     
    1.8981       55.3576     
    1.9127       55.1603     
    1.9273       55.0367     
    1.9419       54.9593     
    1.9565       54.9108     
    1.9710       54.8804     
    2.0002       54.8528     
    2.0585       54.8364     
    2.1752       54.8308     
    2.1752       54.8308     
    2.1752       54.8308     
    2.1753       54.8309     
    2.1753       54.8310     
    2.1753       54.8311     
    2.1753       54.8313     
    2.1754       54.8321     
    2.1754       54.8331     
    2.2192       54.8337     
    2.2629       54.8311     
    2.3067       54.8301     
    2.3942       54.8297     
    2.5254       54.8296     
    2.5260       54.9686     
    2.5266       55.1609     
    2.5284       55.8398     
    2.5301       56.5357     
    2.5739       55.5991     
    2.5885       55.3210     
    2.6030       55.1384     
    2.6176       55.0231     
    2.6322       54.9507     
    2.6468       54.9054     
    2.6614       54.8771     
    2.6905       54.8512     
    2.7489       54.8360     
    2.8145       54.8313     
    2.8801       54.8301     
    2.8803       54.8382     
    2.8805       54.8521     
    2.8811       54.9109     
    2.8817       54.9774     
    2.8848       56.1003     
    2.8879       57.2626     
    2.8971       59.9647     
    2.9064       61.9520     

 *** MAPDL - ENGINEERING ANALYSIS SYSTEM  RELEASE 2025 R2          25.2     ***
 Ansys Mechanical Enterprise Academic Research     
 00236611  VERSION=LINUX x64     11:12:45  JUL 24, 2026 CP=    527.388

                                                                               



          ***** MAPDL POST26 VARIABLE LISTING *****


    TIME       2466 TEMP    
                  TEMP    
    2.9080       62.2641     
    2.9095       62.5579     
    2.9142       63.2993     
    2.9188       63.9224     
    2.9189       63.9304     
    2.9190       63.9335     
    2.9193       63.9216     
    2.9196       63.8991     
    2.9633       58.2162     
    2.9779       56.9590     
    2.9925       56.1639     
    3.0071       55.6652     
    3.0217       55.3528     
    3.0362       55.1572     
    3.0508       55.0347     
    3.0654       54.9580     
    3.0800       54.9100     
    3.0946       54.8799     
    3.1237       54.8525     
    3.1821       54.8364     
    3.2696       54.8311     
    3.2707       55.1533     
    3.2718       55.5615     
    3.2751       56.8432     
    3.2784       58.0411     
    3.3222       56.1560     
    3.3368       55.6709     
    3.3513       55.3576     
    3.3659       55.1603     
    3.3805       55.0367     
    3.3951       54.9593     
    3.4097       54.9108     
    3.4243       54.8804     
    3.4534       54.8528     
    3.5118       54.8364     
    3.6284       54.8308     
    3.6284       54.8308     
    3.6284       54.8308     
    3.6285       54.8309     
    3.6285       54.8310     
    3.6285       54.8311     
    3.6285       54.8313     
    3.6286       54.8321     
    3.6287       54.8331     
    3.6724       54.8337     
    3.7162       54.8311     
    3.7599       54.8301     
    3.8474       54.8297     
    3.9787       54.8296     
    3.9792       54.9686     

 *** MAPDL - ENGINEERING ANALYSIS SYSTEM  RELEASE 2025 R2          25.2     ***
 Ansys Mechanical Enterprise Academic Research     
 00236611  VERSION=LINUX x64     11:12:45  JUL 24, 2026 CP=    527.389

                                                                               



          ***** MAPDL POST26 VARIABLE LISTING *****


    TIME       2466 TEMP    
                  TEMP    
    3.9798       55.1609     
    3.9816       55.8398     
    3.9833       56.5357     
    4.0271       55.5991     
    4.0417       55.3210     
    4.0563       55.1384     
    4.0708       55.0231     
    4.0854       54.9507     
    4.1000       54.9054     
    4.1146       54.8771     
    4.1438       54.8512     
    4.2021       54.8360     
    4.2677       54.8313     
    4.3333       54.8301     
    4.3335       54.8382     
    4.3337       54.8521     
    4.3343       54.9109     
    4.3349       54.9774     
    4.3380       56.1003     
    4.3411       57.2626     
    4.3504       59.9647     
    4.3596       61.9520     
    4.3612       62.2641     
    4.3627       62.5579     
    4.3674       63.2993     
    4.3720       63.9224     
    4.3721       63.9304     
    4.3722       63.9335     
    4.3725       63.9216     
    4.3728       63.8991     
    4.4165       58.2162     
    4.4311       56.9590     
    4.4457       56.1639     
    4.4603       55.6652     
    4.4749       55.3528     
    4.4895       55.1572     
    4.5040       55.0347     
    4.5186       54.9580     
    4.5332       54.9100     
    4.5478       54.8799     
    4.5770       54.8525     
    4.6353       54.8364     
    4.7228       54.8311     
    4.7239       55.1533     
    4.7250       55.5615     
    4.7283       56.8432     
    4.7316       58.0411     
    4.7754       56.1560     
    4.7900       55.6709     
    4.8046       55.3576     

 *** MAPDL - ENGINEERING ANALYSIS SYSTEM  RELEASE 2025 R2          25.2     ***
 Ansys Mechanical Enterprise Academic Research     
