
 STORAGE COMPLETE FOR    625 DATA POINTS 

         SUMMARY OF VARIABLES STORED THIS STEP AND EXTREME VALUES
 VARI TYPE    IDENTIFIERS   NAME     MINIMUM    AT TIME     MAXIMUM    AT TIME

   2 NSOL  2466 TEMP      TEMP       54.83       13.76       67.20      0.2027E-002

 *** MAPDL - ENGINEERING ANALYSIS SYSTEM  RELEASE 2025 R2          25.2     ***
 Ansys Mechanical Enterprise Academic Research     
 00236611  VERSION=LINUX x64     09:49:45  JUL 24, 2026 CP=    511.701

                                                                               



          ***** MAPDL POST26 VARIABLE LISTING *****


    TIME       2466 TEMP    
                  TEMP    
   0.10000E-02   67.2008     
   0.12659E-02   67.2008     
   0.14433E-02   67.2008     
   0.16206E-02   67.2008     
   0.20273E-02   67.2008     
   0.23294E-02   67.2008     
   0.23571E-02   67.2006     
   0.23848E-02   67.1999     
   0.24678E-02   67.1934     
   0.25508E-02   67.1835     
   0.46301E-01   59.4199     
   0.60885E-01   57.7143     
   0.75468E-01   56.6371     
   0.90051E-01   55.9615     
   0.10463       55.5383     
   0.11922       55.2734     
   0.13380       55.1075     
   0.14839       55.0036     
   0.16297       54.9385     
   0.17755       54.8978     
   0.19214       54.8723     
   0.22130       54.8491     
   0.27964       54.8353     
   0.35255       54.8310     
   0.35283       54.8782     
   0.35311       54.9521     
   0.35396       55.2449     
   0.35480       55.5666     
   0.39855       55.2175     
   0.41313       55.0797     
   0.42771       54.9870     
   0.44230       54.9283     
   0.45688       54.8914     
   0.48605       54.8577     
   0.54438       54.8379     
   0.66105       54.8310     
   0.70480       54.8301     
   0.70481       54.8301     
   0.70482       54.8301     
   0.70484       54.8301     
   0.70485       54.8302     
   0.70486       54.8302     
   0.74861       54.8308     
   0.79236       54.8300     
   0.83611       54.8298     
   0.92361       54.8296     
    1.0549       54.8296     
    1.0550       54.8481     
    1.0552       54.8809     
    1.0557       55.0263     

 *** MAPDL - ENGINEERING ANALYSIS SYSTEM  RELEASE 2025 R2          25.2     ***
 Ansys Mechanical Enterprise Academic Research     
 00236611  VERSION=LINUX x64     09:49:45  JUL 24, 2026 CP=    511.703

                                                                               



          ***** MAPDL POST26 VARIABLE LISTING *****


    TIME       2466 TEMP    
                  TEMP    
    1.0561       55.1931     
    1.0999       55.0540     
    1.1145       54.9753     
    1.1242       54.9345     
    1.1339       54.9047     
    1.1533       54.8715     
    1.1922       54.8457     
    1.2699       54.8335     
    1.4061       54.8302     
    1.4062       54.8308     
    1.4063       54.8322     
    1.4064       54.8416     
    1.4066       54.8540     
    1.4071       55.0086     
    1.4077       55.2062     
    1.4095       55.8861     
    1.4112       56.5788     
    1.4115       56.6944     
    1.4118       56.8099     
    1.4127       57.1520     
    1.4136       57.4875     
    1.4136       57.4979     
    1.4136       57.5078     
    1.4137       57.5331     
    1.4138       57.5550     
    1.4575       55.9622     
    1.4721       55.5487     
    1.4867       55.2810     
    1.5013       55.1124     
    1.5159       55.0067     
    1.5304       54.9405     
    1.5450       54.8990     
    1.5596       54.8731     
    1.5888       54.8494     
    1.6471       54.8354     
    1.7638       54.8306     
    1.7641       54.8777     
    1.7643       54.9516     
    1.7652       55.2445     
    1.7660       55.5662     
    1.8098       55.2173     
    1.8244       55.0796     
    1.8389       54.9870     
    1.8535       54.9282     
    1.8681       54.8914     
    1.8973       54.8577     
    1.9556       54.8379     
    2.0723       54.8310     
    2.1160       54.8301     
    2.1160       54.8301     

 *** MAPDL - ENGINEERING ANALYSIS SYSTEM  RELEASE 2025 R2          25.2     ***
 Ansys Mechanical Enterprise Academic Research     
 00236611  VERSION=LINUX x64     09:49:45  JUL 24, 2026 CP=    511.704

                                                                               



          ***** MAPDL POST26 VARIABLE LISTING *****


    TIME       2466 TEMP    
                  TEMP    
    2.1160       54.8301     
    2.1161       54.8301     
    2.1161       54.8302     
    2.1161       54.8302     
    2.1598       54.8308     
    2.2036       54.8300     
    2.2473       54.8298     
    2.3348       54.8296     
    2.4661       54.8296     
    2.4662       54.8481     
    2.4664       54.8809     
    2.4669       55.0263     
    2.4674       55.1931     
    2.5111       55.0540     
    2.5257       54.9753     
    2.5354       54.9345     
    2.5451       54.9047     
    2.5646       54.8715     
    2.6034       54.8457     
    2.6812       54.8335     
    2.8174       54.8302     
    2.8174       54.8308     
    2.8175       54.8322     
    2.8176       54.8416     
    2.8178       54.8540     
    2.8184       55.0086     
    2.8190       55.2062     
    2.8207       55.8861     
    2.8224       56.5788     
    2.8227       56.6944     
    2.8230       56.8099     
    2.8239       57.1520     
    2.8248       57.4875     
    2.8248       57.4979     
    2.8248       57.5078     
    2.8249       57.5331     
    2.8250       57.5550     
    2.8687       55.9622     
    2.8833       55.5487     
    2.8979       55.2810     
    2.9125       55.1124     
    2.9271       55.0067     
    2.9417       54.9405     
    2.9562       54.8990     
    2.9708       54.8731     
    3.0000       54.8494     
    3.0583       54.8354     
    3.1750       54.8306     
    3.1753       54.8777     
    3.1756       54.9516     

 *** MAPDL - ENGINEERING ANALYSIS SYSTEM  RELEASE 2025 R2          25.2     ***
 Ansys Mechanical Enterprise Academic Research     
 00236611  VERSION=LINUX x64     09:49:45  JUL 24, 2026 CP=    511.705

                                                                               



          ***** MAPDL POST26 VARIABLE LISTING *****


    TIME       2466 TEMP    
                  TEMP    
    3.1764       55.2445     
    3.1772       55.5662     
    3.2210       55.2173     
    3.2356       55.0796     
    3.2502       54.9870     
    3.2647       54.9282     
    3.2793       54.8914     
    3.3085       54.8577     
    3.3668       54.8379     
    3.4835       54.8310     
    3.5272       54.8301     
    3.5273       54.8301     
    3.5273       54.8301     
    3.5273       54.8301     
    3.5273       54.8302     
    3.5273       54.8302     
    3.5711       54.8308     
    3.6148       54.8300     
    3.6586       54.8298     
    3.7461       54.8296     
    3.8773       54.8296     
    3.8775       54.8481     
    3.8776       54.8809     
    3.8781       55.0263     
    3.8786       55.1931     
    3.9223       55.0540     
    3.9369       54.9753     
    3.9466       54.9345     
    3.9564       54.9047     
    3.9758       54.8715     
    4.0146       54.8457     
    4.0924       54.8335     
    4.2286       54.8302     
    4.2286       54.8308     
    4.2287       54.8322     
    4.2289       54.8416     
    4.2290       54.8540     
    4.2296       55.0086     
    4.2302       55.2062     
    4.2319       55.8861     
    4.2337       56.5788     
    4.2340       56.6944     
    4.2342       56.8099     
    4.2351       57.1520     
    4.2360       57.4875     
    4.2360       57.4979     
    4.2360       57.5078     
    4.2361       57.5331     
    4.2362       57.5550     
    4.2800       55.9622     

 *** MAPDL - ENGINEERING ANALYSIS SYSTEM  RELEASE 2025 R2          25.2     ***
 Ansys Mechanical Enterprise Academic Research     
 00236611  VERSION=LINUX x64     09:49:45  JUL 24, 2026 CP=    511.707

                                                                               



          ***** MAPDL POST26 VARIABLE LISTING *****


    TIME       2466 TEMP    
                  TEMP    
    4.2945       55.5487     
    4.3091       55.2810     
    4.3237       55.1124     
    4.3383       55.0067     
    4.3529       54.9405     
    4.3675       54.8990     
    4.3820       54.8731     
    4.4112       54.8494     
    4.4695       54.8354     
    4.5862       54.8306     
    4.5865       54.8777     
    4.5868       54.9516     
    4.5876       55.2445     
    4.5885       55.5662     
    4.6322       55.2173     
    4.6468       55.0796     
    4.6614       54.9870     
    4.6760       54.9282     
    4.6905       54.8914     
    4.7197       54.8577     
    4.7780       54.8379     
    4.8947       54.8310     
    4.9385       54.8301     
    4.9385       54.8301     
    4.9385       54.8301     
    4.9385       54.8301     
    4.9385       54.8302     
    4.9385       54.8302     
    4.9823       54.8308     
    5.0260       54.8300     
    5.0698       54.8298     
    5.1573       54.8296     
    5.2885       54.8296     
    5.2887       54.8481     
    5.2888       54.8809     
    5.2893       55.0263     
    5.2898       55.1931     
    5.3336       55.0540     
    5.3481       54.9753     
    5.3579       54.9345     
    5.3676       54.9047     
    5.3870       54.8715     
    5.4259       54.8457     
    5.5036       54.8335     
    5.6398       54.8302     
    5.6399       54.8308     
    5.6399       54.8322     
    5.6401       54.8416     
    5.6402       54.8540     
    5.6408       55.0086     

 *** MAPDL - ENGINEERING ANALYSIS SYSTEM  RELEASE 2025 R2          25.2     ***
 Ansys Mechanical Enterprise Academic Research     
 00236611  VERSION=LINUX x64     09:49:45  JUL 24, 2026 CP=    511.708

