
 STORAGE COMPLETE FOR    638 DATA POINTS 

         SUMMARY OF VARIABLES STORED THIS STEP AND EXTREME VALUES
 VARI TYPE    IDENTIFIERS   NAME     MINIMUM    AT TIME     MAXIMUM    AT TIME

   2 NSOL  2466 TEMP      TEMP       54.84       4.146       67.20      0.4645E-001

 *** MAPDL - ENGINEERING ANALYSIS SYSTEM  RELEASE 2025 R2          25.2     ***
 Ansys Mechanical Enterprise Academic Research     
 00236611  VERSION=LINUX x64     20:18:04  JUL 23, 2026 CP=    469.706

                                                                               



          ***** MAPDL POST26 VARIABLE LISTING *****


    TIME       2466 TEMP    
                  TEMP    
   0.10000E-02   67.2008     
   0.15607E-01   67.2008     
   0.20477E-01   67.2008     
   0.22100E-01   67.2008     
   0.23723E-01   67.2008     
   0.26969E-01   67.2008     
   0.33461E-01   67.2008     
   0.46445E-01   67.2008     
   0.72414E-01   67.2008     
   0.11786       67.2008     
   0.11793       67.1981     
   0.11801       67.1920     
   0.11823       67.1578     
   0.11845       67.1151     
   0.14825       60.5419     
   0.15947       58.7574     
   0.17070       57.5227     
   0.18192       56.6750     
   0.19315       56.0939     
   0.20438       55.6958     
   0.21560       55.4230     
   0.22683       55.2362     
   0.23805       55.1081     
   0.24928       55.0204     
   0.26051       54.9603     
   0.27173       54.9192     
   0.29418       54.8763     
   0.33909       54.8460     
   0.35683       54.8391     
   0.37688       60.1417     
   0.38723       62.2165     
   0.39757       63.6954     
   0.40792       64.7377     
   0.41826       65.4704     
   0.42860       65.9852     
   0.43895       66.3469     
   0.44929       66.6009     
   0.45964       66.7794     
   0.46998       66.9048     
   0.48032       66.9929     
   0.49067       67.0547     
   0.50101       67.0982     
   0.51728       67.1392     
   0.54707       60.6030     
   0.55788       58.8495     
   0.56869       57.6191     
   0.57949       56.7638     
   0.59030       56.1706     
   0.60111       55.7593     
   0.61191       55.4741     

 *** MAPDL - ENGINEERING ANALYSIS SYSTEM  RELEASE 2025 R2          25.2     ***
 Ansys Mechanical Enterprise Academic Research     
 00236611  VERSION=LINUX x64     20:18:04  JUL 23, 2026 CP=    469.707

                                                                               



          ***** MAPDL POST26 VARIABLE LISTING *****


    TIME       2466 TEMP    
                  TEMP    
   0.62272       55.2764     
   0.63353       55.1393     
   0.64434       55.0443     
   0.65514       54.9785     
   0.66595       54.9328     
   0.68756       54.8843     
   0.73079       54.8494     
   0.75565       54.8394     
   0.75592       54.8432     
   0.75618       54.8493     
   0.75697       54.8738     
   0.75777       54.9008     
   0.77250       59.2469     
   0.78251       61.5278     
   0.79253       63.1722     
   0.80254       64.3428     
   0.81255       65.1736     
   0.82257       65.7631     
   0.83258       66.1811     
   0.84259       66.4776     
   0.85261       66.6879     
   0.86262       66.8370     
   0.86912       66.9135     
   0.87563       66.9739     
   0.87570       66.9719     
   0.87577       66.9665     
   0.87600       66.9343     
   0.87622       66.8936     
   0.90601       60.4421     
   0.91721       58.6925     
   0.92840       57.4806     
   0.93960       56.6478     
   0.95079       56.0764     
   0.96198       55.6846     
   0.97318       55.4159     
   0.98437       55.2316     
   0.99556       55.1053     
    1.0068       55.0186     
    1.0180       54.9592     
    1.0291       54.9185     
    1.0515       54.8760     
    1.0963       54.8460     
    1.1146       54.8389     
    1.1346       60.1416     
    1.1450       62.2165     
    1.1553       63.6954     
    1.1657       64.7377     
    1.1760       65.4704     
    1.1864       65.9852     
    1.1967       66.3469     

 *** MAPDL - ENGINEERING ANALYSIS SYSTEM  RELEASE 2025 R2          25.2     ***
 Ansys Mechanical Enterprise Academic Research     
 00236611  VERSION=LINUX x64     20:18:04  JUL 23, 2026 CP=    469.708

                                                                               



          ***** MAPDL POST26 VARIABLE LISTING *****


    TIME       2466 TEMP    
                  TEMP    
    1.2071       66.6009     
    1.2174       66.7794     
    1.2277       66.9048     
    1.2381       66.9929     
    1.2484       67.0547     
    1.2588       67.0982     
    1.2750       67.1392     
    1.3048       60.6030     
    1.3156       58.8495     
    1.3265       57.6191     
    1.3373       56.7638     
    1.3481       56.1706     
    1.3589       55.7593     
    1.3697       55.4741     
    1.3805       55.2764     
    1.3913       55.1393     
    1.4021       55.0443     
    1.4129       54.9785     
    1.4237       54.9328     
    1.4453       54.8843     
    1.4886       54.8494     
    1.5134       54.8394     
    1.5137       54.8432     
    1.5139       54.8493     
    1.5147       54.8738     
    1.5155       54.9008     
    1.5303       59.2469     
    1.5403       61.5278     
    1.5503       63.1722     
    1.5603       64.3428     
    1.5703       65.1736     
    1.5803       65.7631     
    1.5903       66.1811     
    1.6004       66.4776     
    1.6104       66.6879     
    1.6204       66.8370     
    1.6269       66.9135     
    1.6334       66.9739     
    1.6335       66.9719     
    1.6335       66.9665     
    1.6338       66.9343     
    1.6340       66.8936     
    1.6638       60.4421     
    1.6750       58.6925     
    1.6862       57.4806     
    1.6974       56.6478     
    1.7086       56.0764     
    1.7198       55.6846     
    1.7309       55.4159     
    1.7421       55.2316     

 *** MAPDL - ENGINEERING ANALYSIS SYSTEM  RELEASE 2025 R2          25.2     ***
 Ansys Mechanical Enterprise Academic Research     
 00236611  VERSION=LINUX x64     20:18:04  JUL 23, 2026 CP=    469.709

                                                                               



          ***** MAPDL POST26 VARIABLE LISTING *****


    TIME       2466 TEMP    
                  TEMP    
    1.7533       55.1053     
    1.7645       55.0186     
    1.7757       54.9592     
    1.7869       54.9185     
    1.8093       54.8760     
    1.8541       54.8460     
    1.8724       54.8389     
    1.8924       60.1416     
    1.9028       62.2165     
    1.9131       63.6954     
    1.9234       64.7377     
    1.9338       65.4704     
    1.9441       65.9852     
    1.9545       66.3469     
    1.9648       66.6009     
    1.9752       66.7794     
    1.9855       66.9048     
    1.9959       66.9929     
    2.0062       67.0547     
    2.0165       67.0982     
    2.0328       67.1392     
    2.0626       60.6030     
    2.0734       58.8495     
    2.0842       57.6191     
    2.0950       56.7638     
    2.1058       56.1706     
    2.1166       55.7593     
    2.1274       55.4741     
    2.1383       55.2764     
    2.1491       55.1393     
    2.1599       55.0443     
    2.1707       54.9785     
    2.1815       54.9328     
    2.2031       54.8843     
    2.2463       54.8494     
    2.2712       54.8394     
    2.2715       54.8432     
    2.2717       54.8493     
    2.2725       54.8738     
    2.2733       54.9008     
    2.2880       59.2469     
    2.2980       61.5278     
    2.3081       63.1722     
    2.3181       64.3428     
    2.3281       65.1736     
    2.3381       65.7631     
    2.3481       66.1811     
    2.3581       66.4776     
    2.3681       66.6879     
    2.3782       66.8370     

 *** MAPDL - ENGINEERING ANALYSIS SYSTEM  RELEASE 2025 R2          25.2     ***
 Ansys Mechanical Enterprise Academic Research     
 00236611  VERSION=LINUX x64     20:18:04  JUL 23, 2026 CP=    469.710

                                                                               



          ***** MAPDL POST26 VARIABLE LISTING *****


    TIME       2466 TEMP    
                  TEMP    
    2.3847       66.9135     
    2.3912       66.9739     
    2.3912       66.9719     
    2.3913       66.9665     
    2.3915       66.9343     
    2.3918       66.8936     
    2.4215       60.4421     
    2.4327       58.6925     
    2.4439       57.4806     
    2.4551       56.6478     
    2.4663       56.0764     
    2.4775       55.6846     
    2.4887       55.4159     
    2.4999       55.2316     
    2.5111       55.1053     
    2.5223       55.0186     
    2.5335       54.9592     
    2.5447       54.9185     
    2.5671       54.8760     
    2.6118       54.8460     
    2.6301       54.8389     
    2.6502       60.1416     
    2.6605       62.2165     
    2.6709       63.6954     
    2.6812       64.7377     
    2.6916       65.4704     
    2.7019       65.9852     
    2.7122       66.3469     
    2.7226       66.6009     
    2.7329       66.7794     
    2.7433       66.9048     
    2.7536       66.9929     
    2.7640       67.0547     
    2.7743       67.0982     
    2.7906       67.1392     
    2.8204       60.6030     
    2.8312       58.8495     
    2.8420       57.6191     
    2.8528       56.7638     
    2.8636       56.1706     
    2.8744       55.7593     
    2.8852       55.4741     
    2.8960       55.2764     
    2.9068       55.1393     
    2.9176       55.0443     
    2.9284       54.9785     
    2.9393       54.9328     
    2.9609       54.8843     
    3.0041       54.8494     
    3.0290       54.8394     

 *** MAPDL - ENGINEERING ANALYSIS SYSTEM  RELEASE 2025 R2          25.2     ***
 Ansys Mechanical Enterprise Academic Research     
 00236611  VERSION=LINUX x64     20:18:04  JUL 23, 2026 CP=    469.711

                                                                               



