
 STORAGE COMPLETE FOR    590 DATA POINTS 

         SUMMARY OF VARIABLES STORED THIS STEP AND EXTREME VALUES
 VARI TYPE    IDENTIFIERS   NAME     MINIMUM    AT TIME     MAXIMUM    AT TIME

   2 NSOL  2466 TEMP      TEMP       55.11       7.449       67.20      0.7623     

 *** MAPDL - ENGINEERING ANALYSIS SYSTEM  RELEASE 2025 R2          25.2     ***
 Ansys Mechanical Enterprise Academic Research     
 00236611  VERSION=LINUX x64     19:33:29  JUL 23, 2026 CP=    390.406

                                                                               



          ***** MAPDL POST26 VARIABLE LISTING *****


    TIME       2466 TEMP    
                  TEMP    
   0.10000E-02   64.9515     
   0.16357E-01   64.9515     
   0.21476E-01   64.9515     
   0.23182E-01   64.9515     
   0.24888E-01   64.9515     
   0.28301E-01   64.9515     
   0.35126E-01   64.9515     
   0.48777E-01   64.9515     
   0.76078E-01   64.9515     
   0.12385       64.9515     
   0.12394       64.9482     
   0.12402       64.9413     
   0.12427       64.9036     
   0.12451       64.8573     
   0.16827       59.4139     
   0.18285       58.2316     
   0.19743       57.4860     
   0.21202       57.0185     
   0.22660       56.7258     
   0.24118       56.5424     
   0.25577       56.4277     
   0.27035       56.3558     
   0.28493       56.3108     
   0.29952       56.2826     
   0.32868       56.2569     
   0.38702       56.2418     
   0.47452       56.2368     
   0.51049       62.5832     
   0.52248       64.0908     
   0.53447       65.1131     
   0.54645       65.8002     
   0.55844       66.2613     
   0.57043       66.5707     
   0.58242       66.7782     
   0.59441       66.9173     
   0.60640       67.0107     
   0.61839       67.0733     
   0.63038       67.1153     
   0.65436       67.1577     
   0.70232       67.1863     
   0.76227       67.1966     
   0.80602       60.3263     
   0.82060       58.8070     
   0.83518       57.8468     
   0.84977       57.2445     
   0.86435       56.8673     
   0.87894       56.6310     
   0.89352       56.4831     
   0.90810       56.3905     
   0.92269       56.3325     

 *** MAPDL - ENGINEERING ANALYSIS SYSTEM  RELEASE 2025 R2          25.2     ***
 Ansys Mechanical Enterprise Academic Research     
 00236611  VERSION=LINUX x64     19:33:29  JUL 23, 2026 CP=    390.408

                                                                               



          ***** MAPDL POST26 VARIABLE LISTING *****


    TIME       2466 TEMP    
                  TEMP    
   0.93727       56.2962     
   0.96644       56.2631     
    1.0248       56.2436     
    1.1123       56.2372     
    1.1125       56.2440     
    1.1128       56.2548     
    1.1136       56.2982     
    1.1144       56.3461     
    1.1299       59.5072     
    1.1402       61.1112     
    1.1506       62.2533     
    1.1610       63.0573     
    1.1714       63.6221     
    1.1818       64.0185     
    1.1921       64.2967     
    1.2025       64.4919     
    1.2129       64.6290     
    1.2233       64.7251     
    1.2336       64.7926     
    1.2382       64.8178     
    1.2383       64.8150     
    1.2384       64.8085     
    1.2387       64.7721     
    1.2389       64.7271     
    1.2827       59.3673     
    1.2972       58.2024     
    1.3118       57.4677     
    1.3264       57.0071     
    1.3410       56.7186     
    1.3556       56.5380     
    1.3702       56.4249     
    1.3847       56.3540     
    1.3993       56.3097     
    1.4139       56.2819     
    1.4431       56.2566     
    1.5014       56.2417     
    1.5889       56.2368     
    1.6249       62.5832     
    1.6369       64.0908     
    1.6489       65.1131     
    1.6608       65.8002     
    1.6728       66.2613     
    1.6848       66.5707     
    1.6968       66.7782     
    1.7088       66.9173     
    1.7208       67.0107     
    1.7328       67.0733     
    1.7448       67.1153     
    1.7687       67.1577     
    1.8167       67.1863     

 *** MAPDL - ENGINEERING ANALYSIS SYSTEM  RELEASE 2025 R2          25.2     ***
 Ansys Mechanical Enterprise Academic Research     
 00236611  VERSION=LINUX x64     19:33:29  JUL 23, 2026 CP=    390.409

                                                                               



          ***** MAPDL POST26 VARIABLE LISTING *****


    TIME       2466 TEMP    
                  TEMP    
    1.8767       67.1966     
    1.9204       60.3263     
    1.9350       58.8070     
    1.9496       57.8468     
    1.9642       57.2445     
    1.9787       56.8673     
    1.9933       56.6310     
    2.0079       56.4831     
    2.0225       56.3905     
    2.0371       56.3325     
    2.0517       56.2962     
    2.0808       56.2631     
    2.1392       56.2436     
    2.2267       56.2372     
    2.2269       56.2440     
    2.2272       56.2548     
    2.2280       56.2982     
    2.2288       56.3461     
    2.2443       59.5072     
    2.2546       61.1112     
    2.2650       62.2533     
    2.2754       63.0573     
    2.2858       63.6221     
    2.2961       64.0185     
    2.3065       64.2967     
    2.3169       64.4919     
    2.3273       64.6290     
    2.3376       64.7251     
    2.3480       64.7926     
    2.3526       64.8178     
    2.3527       64.8150     
    2.3528       64.8085     
    2.3530       64.7721     
    2.3533       64.7272     
    2.3970       59.3673     
    2.4116       58.2024     
    2.4262       57.4677     
    2.4408       57.0071     
    2.4554       56.7186     
    2.4700       56.5380     
    2.4845       56.4249     
    2.4991       56.3540     
    2.5137       56.3097     
    2.5283       56.2819     
    2.5575       56.2566     
    2.6158       56.2417     
    2.7033       56.2368     
    2.7393       62.5832     
    2.7512       64.0908     
    2.7632       65.1131     

 *** MAPDL - ENGINEERING ANALYSIS SYSTEM  RELEASE 2025 R2          25.2     ***
 Ansys Mechanical Enterprise Academic Research     
 00236611  VERSION=LINUX x64     19:33:29  JUL 23, 2026 CP=    390.410

                                                                               



          ***** MAPDL POST26 VARIABLE LISTING *****


    TIME       2466 TEMP    
                  TEMP    
    2.7752       65.8002     
    2.7872       66.2613     
    2.7992       66.5707     
    2.8112       66.7782     
    2.8232       66.9173     
    2.8352       67.0107     
    2.8472       67.0733     
    2.8592       67.1153     
    2.8831       67.1577     
    2.9311       67.1863     
    2.9910       67.1966     
    3.0348       60.3263     
    3.0494       58.8070     
    3.0640       57.8468     
    3.0785       57.2445     
    3.0931       56.8673     
    3.1077       56.6310     
    3.1223       56.4831     
    3.1369       56.3905     
    3.1515       56.3325     
    3.1660       56.2962     
    3.1952       56.2631     
    3.2535       56.2436     
    3.3410       56.2372     
    3.3413       56.2440     
    3.3416       56.2548     
    3.3424       56.2982     
    3.3432       56.3461     
    3.3586       59.5072     
    3.3690       61.1112     
    3.3794       62.2533     
    3.3898       63.0573     
    3.4001       63.6221     
    3.4105       64.0185     
    3.4209       64.2967     
    3.4313       64.4919     
    3.4417       64.6290     
    3.4520       64.7251     
    3.4624       64.7926     
    3.4670       64.8178     
    3.4671       64.8150     
    3.4672       64.8085     
    3.4674       64.7721     
    3.4677       64.7272     
    3.5114       59.3673     
    3.5260       58.2024     
    3.5406       57.4677     
    3.5552       57.0071     
    3.5698       56.7186     
    3.5843       56.5380     

 *** MAPDL - ENGINEERING ANALYSIS SYSTEM  RELEASE 2025 R2          25.2     ***
 Ansys Mechanical Enterprise Academic Research     
 00236611  VERSION=LINUX x64     19:33:29  JUL 23, 2026 CP=    390.411

                                                                               



          ***** MAPDL POST26 VARIABLE LISTING *****


    TIME       2466 TEMP    
                  TEMP    
    3.5989       56.4249     
    3.6135       56.3540     
    3.6281       56.3097     
    3.6427       56.2819     
    3.6718       56.2566     
    3.7302       56.2417     
    3.8177       56.2368     
    3.8536       62.5832     
    3.8656       64.0908     
    3.8776       65.1131     
    3.8896       65.8002     
    3.9016       66.2613     
    3.9136       66.5707     
    3.9256       66.7782     
    3.9376       66.9173     
    3.9496       67.0107     
    3.9615       67.0733     
    3.9735       67.1153     
    3.9975       67.1577     
    4.0455       67.1863     
    4.1054       67.1966     
    4.1492       60.3263     
    4.1638       58.8070     
    4.1783       57.8468     
    4.1929       57.2445     
    4.2075       56.8673     
    4.2221       56.6310     
    4.2367       56.4831     
    4.2513       56.3905     
    4.2658       56.3325     
    4.2804       56.2962     
    4.3096       56.2631     
    4.3679       56.2436     
    4.4554       56.2372     
    4.4557       56.2440     
    4.4560       56.2548     
    4.4567       56.2982     
    4.4575       56.3461     
    4.4730       59.5072     
    4.4834       61.1112     
    4.4938       62.2533     
    4.5042       63.0573     
    4.5145       63.6221     
    4.5249       64.0185     
    4.5353       64.2967     
    4.5457       64.4919     
    4.5560       64.6290     
    4.5664       64.7251     
    4.5768       64.7926     
    4.5814       64.8178     

 *** MAPDL - ENGINEERING ANALYSIS SYSTEM  RELEASE 2025 R2          25.2     ***
 Ansys Mechanical Enterprise Academic Research     
 00236611  VERSION=LINUX x64     19:33:29  JUL 23, 2026 CP=    390.413

                                                                               



