
 STORAGE COMPLETE FOR   1154 DATA POINTS 

         SUMMARY OF VARIABLES STORED THIS STEP AND EXTREME VALUES
 VARI TYPE    IDENTIFIERS   NAME     MINIMUM    AT TIME     MAXIMUM    AT TIME

   2 NSOL  2466 TEMP      TEMP       54.83       17.48       67.20      0.1924E-001

 *** MAPDL - ENGINEERING ANALYSIS SYSTEM  RELEASE 2025 R2          25.2     ***
 Ansys Mechanical Enterprise Academic Research     
 00236611  VERSION=LINUX x64     11:14:57  JUL 24, 2026 CP=    807.273

                                                                               



          ***** MAPDL POST26 VARIABLE LISTING *****


    TIME       2466 TEMP    
                  TEMP    
   0.10000E-02   67.2008     
   0.19237E-01   67.2008     
   0.25316E-01   67.2008     
   0.27342E-01   67.2008     
   0.29368E-01   67.2008     
   0.33421E-01   67.2008     
   0.41526E-01   67.2008     
   0.57736E-01   67.2008     
   0.90157E-01   67.2008     
   0.14689       67.2008     
   0.14703       67.1917     
   0.14716       67.1749     
   0.14756       67.0965     
   0.14796       67.0052     
   0.19171       59.3185     
   0.20629       57.6485     
   0.22088       56.5956     
   0.23546       55.9355     
   0.25004       55.5221     
   0.26463       55.2632     
   0.27921       55.1011     
   0.29379       54.9996     
   0.30838       54.9360     
   0.32296       54.8962     
   0.33755       54.8713     
   0.36671       54.8486     
   0.42505       54.8352     
   0.49796       54.8310     
   0.53184       61.8050     
   0.54314       63.4957     
   0.55443       64.6649     
   0.56572       65.4664     
   0.57701       66.0147     
   0.58831       66.3897     
   0.59960       66.6462     
   0.61089       66.8215     
   0.62219       66.9415     
   0.63348       67.0235     
   0.64477       67.0795     
   0.65607       67.1179     
   0.67865       67.1577     
   0.72382       67.1857     
   0.76900       67.1955     
   0.81275       59.4448     
   0.82733       57.7308     
   0.84191       56.6475     
   0.85650       55.9680     
   0.87108       55.5424     
   0.88566       55.2759     
   0.90025       55.1091     

 *** MAPDL - ENGINEERING ANALYSIS SYSTEM  RELEASE 2025 R2          25.2     ***
 Ansys Mechanical Enterprise Academic Research     
 00236611  VERSION=LINUX x64     11:14:57  JUL 24, 2026 CP=    807.274

                                                                               



          ***** MAPDL POST26 VARIABLE LISTING *****


    TIME       2466 TEMP    
                  TEMP    
   0.91483       55.0046     
   0.92941       54.9392     
   0.94400       54.8982     
   0.95858       54.8725     
   0.98775       54.8492     
    1.0461       54.8354     
    1.1190       54.8310     
    1.1191       54.8325     
    1.1193       54.8352     
    1.1197       54.8472     
    1.1202       54.8611     
    1.1205       54.8709     
    1.1208       54.8810     
    1.1217       54.9131     
    1.1226       54.9458     
    1.1663       54.8850     
    1.1809       54.8651     
    1.1955       54.8519     
    1.2101       54.8436     
    1.2392       54.8360     
    1.2976       54.8315     
    1.4142       54.8299     
    1.4726       54.8297     
    1.5116       62.2430     
    1.5246       63.9537     
    1.5377       65.0810     
    1.5507       65.8178     
    1.5637       66.2986     
    1.5767       66.6123     
    1.5897       66.8169     
    1.6027       66.9504     
    1.6158       67.0375     
    1.6288       67.0943     
    1.6418       67.1313     
    1.6678       67.1672     
    1.7199       67.1901     
    1.7850       67.1979     
    1.8287       59.4456     
    1.8433       57.7313     
    1.8579       56.6478     
    1.8725       55.9682     
    1.8871       55.5425     
    1.9017       55.2760     
    1.9162       55.1091     
    1.9308       55.0046     
    1.9454       54.9392     
    1.9600       54.8982     
    1.9746       54.8726     
    2.0037       54.8492     
    2.0621       54.8354     

 *** MAPDL - ENGINEERING ANALYSIS SYSTEM  RELEASE 2025 R2          25.2     ***
 Ansys Mechanical Enterprise Academic Research     
 00236611  VERSION=LINUX x64     11:14:57  JUL 24, 2026 CP=    807.274

                                                                               



          ***** MAPDL POST26 VARIABLE LISTING *****


    TIME       2466 TEMP    
                  TEMP    
    2.1350       54.8310     
    2.1352       54.8392     
    2.1354       54.8530     
    2.1360       54.9118     
    2.1365       54.9783     
    2.1553       60.0614     
    2.1660       62.2187     
    2.1768       63.7364     
    2.1875       64.7936     
    2.1982       65.5284     
    2.2090       66.0390     
    2.2197       66.3937     
    2.2304       66.6401     
    2.2412       66.8113     
    2.2519       66.9302     
    2.2626       67.0128     
    2.2734       67.0702     
    2.2800       67.0982     
    2.2867       67.1202     
    2.3050       67.1548     
    2.3173       67.1701     
    2.3295       67.1804     
    2.3539       67.1906     
    2.4027       67.1974     
    2.4336       67.1993     
    2.4337       67.1902     
    2.4338       67.1734     
    2.4342       67.0950     
    2.4346       67.0038     
    2.4784       59.3180     
    2.4930       57.6482     
    2.5076       56.5954     
    2.5221       55.9354     
    2.5367       55.5220     
    2.5513       55.2631     
    2.5659       55.1010     
    2.5805       54.9996     
    2.5951       54.9360     
    2.6096       54.8962     
    2.6242       54.8713     
    2.6534       54.8486     
    2.7117       54.8352     
    2.7846       54.8310     
    2.8185       61.8050     
    2.8298       63.4957     
    2.8411       64.6649     
    2.8524       65.4664     
    2.8637       66.0147     
    2.8750       66.3897     
    2.8863       66.6462     

 *** MAPDL - ENGINEERING ANALYSIS SYSTEM  RELEASE 2025 R2          25.2     ***
 Ansys Mechanical Enterprise Academic Research     
 00236611  VERSION=LINUX x64     11:14:57  JUL 24, 2026 CP=    807.274

                                                                               



          ***** MAPDL POST26 VARIABLE LISTING *****


    TIME       2466 TEMP    
                  TEMP    
    2.8976       66.8215     
    2.9089       66.9415     
    2.9202       67.0235     
    2.9315       67.0795     
    2.9428       67.1179     
    2.9653       67.1577     
    3.0105       67.1857     
    3.0557       67.1955     
    3.0994       59.4448     
    3.1140       57.7308     
    3.1286       56.6475     
    3.1432       55.9680     
    3.1578       55.5424     
    3.1723       55.2759     
    3.1869       55.1091     
    3.2015       55.0046     
    3.2161       54.9392     
    3.2307       54.8982     
    3.2453       54.8725     
    3.2744       54.8492     
    3.3328       54.8354     
    3.4057       54.8310     
    3.4058       54.8325     
    3.4060       54.8352     
    3.4064       54.8472     
    3.4069       54.8611     
    3.4072       54.8709     
    3.4075       54.8810     
    3.4084       54.9131     
    3.4093       54.9458     
    3.4530       54.8850     
    3.4676       54.8651     
    3.4822       54.8519     
    3.4968       54.8436     
    3.5259       54.8360     
    3.5843       54.8315     
    3.7009       54.8299     
    3.7593       54.8297     
    3.7983       62.2430     
    3.8113       63.9537     
    3.8243       65.0810     
    3.8374       65.8178     
    3.8504       66.2986     
    3.8634       66.6123     
    3.8764       66.8169     
    3.8894       66.9504     
    3.9024       67.0375     
    3.9155       67.0943     
    3.9285       67.1313     
    3.9545       67.1672     

 *** MAPDL - ENGINEERING ANALYSIS SYSTEM  RELEASE 2025 R2          25.2     ***
 Ansys Mechanical Enterprise Academic Research     
 00236611  VERSION=LINUX x64     11:14:57  JUL 24, 2026 CP=    807.274

                                                                               



          ***** MAPDL POST26 VARIABLE LISTING *****


    TIME       2466 TEMP    
                  TEMP    
    4.0066       67.1901     
    4.0717       67.1979     
    4.1154       59.4456     
    4.1300       57.7313     
    4.1446       56.6478     
    4.1592       55.9682     
    4.1738       55.5425     
    4.1883       55.2760     
    4.2029       55.1091     
    4.2175       55.0046     
    4.2321       54.9392     
    4.2467       54.8982     
    4.2613       54.8726     
    4.2904       54.8492     
    4.3488       54.8354     
    4.4217       54.8310     
    4.4219       54.8392     
    4.4221       54.8530     
    4.4226       54.9118     
    4.4232       54.9783     
    4.4420       60.0614     
    4.4527       62.2187     
    4.4635       63.7364     
    4.4742       64.7936     
    4.4849       65.5284     
    4.4957       66.0390     
    4.5064       66.3937     
    4.5171       66.6401     
    4.5279       66.8113     
    4.5386       66.9302     
    4.5493       67.0128     
    4.5601       67.0702     
    4.5667       67.0982     
    4.5734       67.1202     
    4.5917       67.1548     
    4.6039       67.1701     
    4.6162       67.1804     
    4.6406       67.1906     
    4.6894       67.1974     
    4.7203       67.1993     
    4.7204       67.1902     
    4.7205       67.1734     
    4.7209       67.0950     
    4.7213       67.0038     
    4.7651       59.3180     
    4.7797       57.6482     
    4.7943       56.5954     
    4.8088       55.9354     
    4.8234       55.5220     
    4.8380       55.2631     

 *** MAPDL - ENGINEERING ANALYSIS SYSTEM  RELEASE 2025 R2          25.2     ***
 Ansys Mechanical Enterprise Academic Research     
 00236611  VERSION=LINUX x64     11:14:57  JUL 24, 2026 CP=    807.274

                                                                               



