
 STORAGE COMPLETE FOR  23120 DATA POINTS 

         SUMMARY OF VARIABLES STORED THIS STEP AND EXTREME VALUES
 VARI TYPE    IDENTIFIERS   NAME     MINIMUM    AT TIME     MAXIMUM    AT TIME

   2 NSOL  2466 TEMP      TEMP       54.83       12.91       67.20      0.1000E-002

 *** MAPDL - ENGINEERING ANALYSIS SYSTEM  RELEASE 2025 R2          25.2     ***
 Ansys Mechanical Enterprise Academic Research     
 00236611  VERSION=LINUX x64     10:49:13  SEP 17, 2026 CP=  15106.548

                                                                               



          ***** MAPDL POST26 VARIABLE LISTING *****


    TIME       2466 TEMP    
                  TEMP    
   0.10000E-02   67.2008     
   0.19993E-02   67.2008     
   0.29985E-02   67.2008     
   0.39978E-02   67.2008     
   0.49971E-02   67.2008     
   0.59963E-02   67.2008     
   0.69956E-02   67.2008     
   0.79949E-02   67.2008     
   0.89941E-02   67.2008     
   0.99934E-02   67.2008     
   0.10993E-01   67.2008     
   0.11992E-01   67.2008     
   0.12991E-01   67.2008     
   0.13990E-01   67.2008     
   0.14990E-01   67.2008     
   0.15989E-01   67.2008     
   0.16988E-01   67.2008     
   0.17988E-01   67.2008     
   0.18987E-01   67.2008     
   0.19986E-01   67.2008     
   0.20985E-01   67.2008     
   0.21985E-01   67.2008     
   0.22984E-01   67.2008     
   0.23983E-01   67.2008     
   0.24982E-01   67.2008     
   0.25982E-01   67.2008     
   0.26981E-01   67.2008     
   0.27980E-01   67.2008     
   0.28979E-01   67.2008     
   0.29979E-01   67.2008     
   0.30978E-01   67.2008     
   0.31977E-01   67.2008     
   0.32977E-01   67.2008     
   0.33976E-01   67.2008     
   0.34975E-01   67.2008     
   0.35974E-01   67.2008     
   0.36974E-01   67.2008     
   0.37973E-01   67.2008     
   0.38972E-01   67.2008     
   0.39971E-01   67.2008     
   0.40971E-01   67.2008     
   0.41970E-01   67.2008     
   0.42969E-01   67.2008     
   0.43968E-01   67.2008     
   0.44968E-01   67.2008     
   0.45967E-01   67.2008     
   0.46966E-01   67.2008     
   0.47966E-01   67.2008     
   0.48965E-01   67.2008     
   0.49964E-01   67.2008     

 *** MAPDL - ENGINEERING ANALYSIS SYSTEM  RELEASE 2025 R2          25.2     ***
 Ansys Mechanical Enterprise Academic Research     
 00236611  VERSION=LINUX x64     10:49:13  SEP 17, 2026 CP=  15106.548

                                                                               



          ***** MAPDL POST26 VARIABLE LISTING *****


    TIME       2466 TEMP    
                  TEMP    
   0.50963E-01   67.2008     
   0.51963E-01   67.2008     
   0.52962E-01   67.2008     
   0.53961E-01   67.2008     
   0.54960E-01   67.2008     
   0.55960E-01   67.2008     
   0.56959E-01   67.2008     
   0.57958E-01   67.2008     
   0.58958E-01   67.2008     
   0.59957E-01   67.2008     
   0.60956E-01   67.2008     
   0.61955E-01   67.2008     
   0.62955E-01   67.2008     
   0.63954E-01   67.2008     
   0.64953E-01   67.2008     
   0.65952E-01   67.2008     
   0.66952E-01   67.2008     
   0.67951E-01   67.2008     
   0.68950E-01   67.2008     
   0.69949E-01   67.2008     
   0.70949E-01   67.2008     
   0.71948E-01   67.2008     
   0.72947E-01   67.2008     
   0.73947E-01   67.2008     
   0.74946E-01   67.2008     
   0.75945E-01   67.2008     
   0.76944E-01   67.2008     
   0.77944E-01   67.2008     
   0.78943E-01   67.2008     
   0.79942E-01   67.2008     
   0.80941E-01   67.2008     
   0.81941E-01   67.2008     
   0.82940E-01   67.2008     
   0.83939E-01   67.2008     
   0.84938E-01   67.2008     
   0.85938E-01   67.2008     
   0.86937E-01   67.2008     
   0.87936E-01   67.2008     
   0.88936E-01   67.2008     
   0.89935E-01   67.2008     
   0.90934E-01   67.2008     
   0.91933E-01   67.2008     
   0.92933E-01   67.2008     
   0.93932E-01   67.2008     
   0.94931E-01   67.2008     
   0.95930E-01   67.2008     
   0.96930E-01   67.2008     
   0.97929E-01   67.2008     
   0.98928E-01   67.2008     
   0.99927E-01   67.2008     

 *** MAPDL - ENGINEERING ANALYSIS SYSTEM  RELEASE 2025 R2          25.2     ***
 Ansys Mechanical Enterprise Academic Research     
 00236611  VERSION=LINUX x64     10:49:13  SEP 17, 2026 CP=  15106.548

                                                                               



          ***** MAPDL POST26 VARIABLE LISTING *****


    TIME       2466 TEMP    
                  TEMP    
   0.10093       67.2008     
   0.10193       67.2008     
   0.10293       67.2008     
   0.10392       67.2008     
   0.10492       67.2008     
   0.10592       67.2008     
   0.10692       67.2008     
   0.10792       67.2008     
   0.10892       67.2008     
   0.10992       67.2008     
   0.11092       67.2008     
   0.11192       67.2008     
   0.11292       67.2008     
   0.11392       67.2008     
   0.11492       67.2008     
   0.11592       67.2008     
   0.11692       67.2008     
   0.11791       67.2008     
   0.11891       67.2008     
   0.11991       67.2008     
   0.12091       67.2008     
   0.12191       67.2008     
   0.12291       67.2008     
   0.12391       67.2008     
   0.12491       67.2008     
   0.12591       67.2008     
   0.12691       67.2008     
   0.12791       67.2008     
   0.12891       67.2008     
   0.12991       67.2008     
   0.13090       67.2008     
   0.13190       67.2008     
   0.13290       67.2008     
   0.13390       67.2008     
   0.13490       67.2008     
   0.13590       67.2008     
   0.13690       67.2008     
   0.13790       67.2008     
   0.13890       67.2008     
   0.13990       67.2008     
   0.14090       67.2008     
   0.14190       67.2008     
   0.14290       67.2008     
   0.14390       67.2008     
   0.14489       67.2008     
   0.14589       67.2008     
   0.14689       67.2008     
   0.14703       67.1917     
   0.14716       67.1749     
   0.14729       67.1530     

 *** MAPDL - ENGINEERING ANALYSIS SYSTEM  RELEASE 2025 R2          25.2     ***
 Ansys Mechanical Enterprise Academic Research     
 00236611  VERSION=LINUX x64     10:49:13  SEP 17, 2026 CP=  15106.548

                                                                               



          ***** MAPDL POST26 VARIABLE LISTING *****


    TIME       2466 TEMP    
                  TEMP    
   0.14743       67.1278     
   0.14756       67.1004     
   0.14769       67.0713     
   0.14783       67.0410     
   0.14796       67.0097     
   0.14896       66.6586     
   0.14996       66.2701     
   0.15096       65.8694     
   0.15196       65.4675     
   0.15296       65.0704     
   0.15396       64.6816     
   0.15496       64.3034     
   0.15596       63.9369     
   0.15696       63.5827     
   0.15796       63.2411     
   0.15896       62.9120     
   0.15996       62.5953     
   0.16096       62.2906     
   0.16196       61.9977     
   0.16296       61.7161     
   0.16396       61.4454     
   0.16496       61.1854     
   0.16596       60.9355     
   0.16696       60.6954     
   0.16796       60.4647     
   0.16896       60.2431     
   0.16996       60.0302     
   0.17096       59.8257     
   0.17196       59.6292     
   0.17296       59.4404     
   0.17396       59.2590     
   0.17496       59.0848     
   0.17596       58.9175     
   0.17696       58.7567     
   0.17796       58.6022     
   0.17896       58.4538     
   0.17996       58.3113     
   0.18096       58.1743     
   0.18196       58.0428     
   0.18296       57.9164     
   0.18396       57.7950     
   0.18496       57.6784     
   0.18596       57.5663     
   0.18696       57.4587     
   0.18796       57.3553     
   0.18896       57.2559     
   0.18996       57.1605     
   0.19096       57.0688     
   0.19196       56.9807     
   0.19296       56.8961     

 *** MAPDL - ENGINEERING ANALYSIS SYSTEM  RELEASE 2025 R2          25.2     ***
 Ansys Mechanical Enterprise Academic Research     
 00236611  VERSION=LINUX x64     10:49:13  SEP 17, 2026 CP=  15106.548

                                                                               



          ***** MAPDL POST26 VARIABLE LISTING *****


    TIME       2466 TEMP    
                  TEMP    
   0.19396       56.8148     
   0.19496       56.7368     
   0.19596       56.6617     
   0.19696       56.5897     
   0.19796       56.5205     
   0.19896       56.4540     
   0.19996       56.3901     
   0.20096       56.3287     
   0.20196       56.2697     
   0.20296       56.2131     
   0.20396       56.1587     
   0.20496       56.1064     
   0.20596       56.0562     
   0.20696       56.0079     
   0.20796       55.9616     
   0.20896       55.9171     
   0.20996       55.8743     
   0.21096       55.8332     
   0.21196       55.7937     
   0.21296       55.7558     
   0.21396       55.7194     
   0.21496       55.6844     
   0.21596       55.6508     
   0.21696       55.6185     
   0.21796       55.5874     
   0.21896       55.5576     
   0.21996       55.5290     
   0.22096       55.5015     
   0.22196       55.4750     
   0.22296       55.4497     
   0.22396       55.4253     
   0.22496       55.4018     
   0.22596       55.3793     
   0.22696       55.3577     
   0.22796       55.3369     
   0.22896       55.3170     
   0.22996       55.2978     
