
 STORAGE COMPLETE FOR    787 DATA POINTS 

         SUMMARY OF VARIABLES STORED THIS STEP AND EXTREME VALUES
 VARI TYPE    IDENTIFIERS   NAME     MINIMUM    AT TIME     MAXIMUM    AT TIME

   2 NSOL  2466 TEMP      TEMP       54.83       2.610       67.20      0.5499E-002

 *** MAPDL - ENGINEERING ANALYSIS SYSTEM  RELEASE 2025 R2          25.2     ***
 Ansys Mechanical Enterprise Academic Research     
 00236611  VERSION=LINUX x64     11:11:28  JUL 24, 2026 CP=    574.800

                                                                               



          ***** MAPDL POST26 VARIABLE LISTING *****


    TIME       2466 TEMP    
                  TEMP    
   0.10000E-02   67.2008     
   0.26360E-02   67.2008     
   0.32567E-02   67.2008     
   0.35370E-02   67.2008     
   0.38172E-02   67.2008     
   0.43777E-02   67.2008     
   0.54987E-02   67.2008     
   0.77407E-02   67.2008     
   0.10096E-01   67.2008     
   0.12452E-01   67.2008     
   0.12509E-01   67.1993     
   0.12565E-01   67.1957     
   0.12735E-01   67.1729     
   0.12905E-01   67.1431     
   0.56656E-01   59.3919     
   0.71239E-01   57.6960     
   0.85823E-01   56.6255     
   0.10041       55.9542     
   0.11499       55.5338     
   0.12957       55.2705     
   0.14416       55.1057     
   0.15874       55.0025     
   0.17332       54.9378     
   0.18791       54.8974     
   0.20249       54.8720     
   0.23166       54.8489     
   0.28999       54.8353     
   0.36291       54.8310     
   0.36715       56.3357     
   0.37140       57.8548     
   0.38230       60.7110     
   0.39320       62.7095     
   0.39687       63.2960     
   0.44062       58.0476     
   0.45521       56.8559     
   0.46979       56.0997     
   0.48437       55.6250     
   0.49896       55.3276     
   0.51354       55.1414     
   0.52812       55.0249     
   0.54271       54.9519     
   0.55729       54.9061     
   0.57188       54.8775     
   0.60104       54.8514     
   0.65938       54.8360     
   0.74688       54.8310     
   0.74689       54.8310     
   0.74691       54.8310     
   0.74697       54.8314     
   0.74703       54.8320     

 *** MAPDL - ENGINEERING ANALYSIS SYSTEM  RELEASE 2025 R2          25.2     ***
 Ansys Mechanical Enterprise Academic Research     
 00236611  VERSION=LINUX x64     11:11:28  JUL 24, 2026 CP=    574.801

                                                                               



          ***** MAPDL POST26 VARIABLE LISTING *****


    TIME       2466 TEMP    
                  TEMP    
   0.74706       54.8326     
   0.74710       54.8332     
   0.74721       54.8355     
   0.74732       54.8382     
   0.79107       54.8373     
   0.83482       54.8325     
   0.87857       54.8306     
   0.96607       54.8298     
    1.0973       54.8296     
    1.1022       56.5636     
    1.1071       58.2573     
    1.1183       61.0502     
    1.1296       62.9832     
    1.1365       63.9157     
    1.1803       58.2697     
    1.1948       56.9950     
    1.2094       56.1867     
    1.2240       55.6795     
    1.2386       55.3618     
    1.2532       55.1628     
    1.2678       55.0382     
    1.2823       54.9602     
    1.2969       54.9114     
    1.3115       54.8808     
    1.3407       54.8529     
    1.3990       54.8365     
    1.4865       54.8311     
    1.4866       54.8338     
    1.4867       54.8392     
    1.4870       54.8660     
    1.4874       54.8979     
    1.4905       56.0213     
    1.4936       57.1936     
    1.5029       59.9241     
    1.5123       61.9306     
    1.5138       62.2456     
    1.5154       62.5420     
    1.5200       63.2894     
    1.5247       63.9171     
    1.5248       63.9231     
    1.5248       63.9271     
    1.5250       63.9269     
    1.5252       63.9196     
    1.5689       58.2370     
    1.5835       56.9728     
    1.5981       56.1727     
    1.6127       55.6707     
    1.6272       55.3563     
    1.6418       55.1594     
    1.6564       55.0361     

 *** MAPDL - ENGINEERING ANALYSIS SYSTEM  RELEASE 2025 R2          25.2     ***
 Ansys Mechanical Enterprise Academic Research     
 00236611  VERSION=LINUX x64     11:11:28  JUL 24, 2026 CP=    574.803

                                                                               



          ***** MAPDL POST26 VARIABLE LISTING *****


    TIME       2466 TEMP    
                  TEMP    
    1.6710       54.9589     
    1.6856       54.9105     
    1.7002       54.8803     
    1.7293       54.8527     
    1.7877       54.8364     
    1.8752       54.8311     
    1.8794       56.3357     
    1.8837       57.8548     
    1.8946       60.7111     
    1.9055       62.7095     
    1.9091       63.2960     
    1.9529       58.0476     
    1.9675       56.8559     
    1.9821       56.0997     
    1.9966       55.6250     
    2.0112       55.3276     
    2.0258       55.1414     
    2.0404       55.0249     
    2.0550       54.9519     
    2.0696       54.9061     
    2.0841       54.8775     
    2.1133       54.8514     
    2.1716       54.8360     
    2.2591       54.8310     
    2.2592       54.8310     
    2.2592       54.8310     
    2.2592       54.8314     
    2.2593       54.8320     
    2.2593       54.8326     
    2.2594       54.8332     
    2.2595       54.8355     
    2.2596       54.8382     
    2.3033       54.8373     
    2.3471       54.8325     
    2.3908       54.8306     
    2.4783       54.8298     
    2.6096       54.8296     
    2.6145       56.5636     
    2.6194       58.2573     
    2.6306       61.0502     
    2.6418       62.9832     
    2.6488       63.9157     
    2.6925       58.2697     
    2.7071       56.9950     
    2.7217       56.1867     
    2.7363       55.6795     
    2.7508       55.3618     
    2.7654       55.1628     
    2.7800       55.0382     
    2.7946       54.9602     

 *** MAPDL - ENGINEERING ANALYSIS SYSTEM  RELEASE 2025 R2          25.2     ***
 Ansys Mechanical Enterprise Academic Research     
 00236611  VERSION=LINUX x64     11:11:28  JUL 24, 2026 CP=    574.804

                                                                               



          ***** MAPDL POST26 VARIABLE LISTING *****


    TIME       2466 TEMP    
                  TEMP    
    2.8092       54.9114     
    2.8238       54.8808     
    2.8529       54.8529     
    2.9113       54.8365     
    2.9988       54.8311     
    2.9989       54.8338     
    2.9990       54.8392     
    2.9993       54.8660     
    2.9996       54.8979     
    3.0027       56.0213     
    3.0058       57.1936     
    3.0152       59.9241     
    3.0245       61.9306     
    3.0261       62.2456     
    3.0276       62.5420     
    3.0323       63.2894     
    3.0370       63.9171     
    3.0370       63.9231     
    3.0371       63.9271     
    3.0373       63.9269     
    3.0374       63.9196     
    3.0812       58.2370     
    3.0958       56.9728     
    3.1103       56.1727     
    3.1249       55.6707     
    3.1395       55.3563     
    3.1541       55.1594     
    3.1687       55.0361     
    3.1833       54.9589     
    3.1978       54.9105     
    3.2124       54.8803     
    3.2416       54.8527     
    3.2999       54.8364     
    3.3874       54.8311     
    3.3917       56.3357     
    3.3959       57.8548     
    3.4068       60.7111     
    3.4177       62.7095     
    3.4214       63.2960     
    3.4651       58.0476     
    3.4797       56.8559     
    3.4943       56.0997     
    3.5089       55.6250     
    3.5235       55.3276     
    3.5381       55.1414     
    3.5526       55.0249     
    3.5672       54.9519     
    3.5818       54.9061     
    3.5964       54.8775     
    3.6256       54.8514     

 *** MAPDL - ENGINEERING ANALYSIS SYSTEM  RELEASE 2025 R2          25.2     ***
 Ansys Mechanical Enterprise Academic Research     
 00236611  VERSION=LINUX x64     11:11:28  JUL 24, 2026 CP=    574.805

                                                                               



          ***** MAPDL POST26 VARIABLE LISTING *****


    TIME       2466 TEMP    
                  TEMP    
    3.6839       54.8360     
    3.7714       54.8310     
    3.7714       54.8310     
    3.7714       54.8310     
    3.7715       54.8314     
    3.7715       54.8320     
    3.7716       54.8326     
    3.7716       54.8332     
    3.7717       54.8355     
    3.7718       54.8382     
    3.8156       54.8373     
    3.8593       54.8325     
    3.9031       54.8306     
    3.9906       54.8298     
    4.1218       54.8296     
    4.1267       56.5636     
    4.1316       58.2573     
    4.1429       61.0502     
    4.1541       62.9832     
    4.1610       63.9157     
    4.2048       58.2697     
    4.2194       56.9950     
    4.2339       56.1867     
    4.2485       55.6795     
    4.2631       55.3618     
    4.2777       55.1628     
    4.2923       55.0382     
    4.3069       54.9602     
    4.3214       54.9114     
    4.3360       54.8808     
    4.3652       54.8529     
    4.4235       54.8365     
    4.5110       54.8311     
    4.5111       54.8338     
    4.5112       54.8392     
    4.5116       54.8660     
    4.5119       54.8979     
    4.5150       56.0213     
    4.5181       57.1936     
    4.5274       59.9241     
    4.5368       61.9306     
    4.5383       62.2456     
    4.5399       62.5420     
    4.5446       63.2894     
    4.5492       63.9171     
    4.5493       63.9231     
    4.5493       63.9271     
    4.5495       63.9269     
    4.5497       63.9196     
    4.5934       58.2370     

 *** MAPDL - ENGINEERING ANALYSIS SYSTEM  RELEASE 2025 R2          25.2     ***
 Ansys Mechanical Enterprise Academic Research     
