
 STORAGE COMPLETE FOR    695 DATA POINTS 

         SUMMARY OF VARIABLES STORED THIS STEP AND EXTREME VALUES
 VARI TYPE    IDENTIFIERS   NAME     MINIMUM    AT TIME     MAXIMUM    AT TIME

   2 NSOL  2466 TEMP      TEMP       54.83       3.914       67.20      0.1269E-002

 *** MAPDL - ENGINEERING ANALYSIS SYSTEM  RELEASE 2025 R2          25.2     ***
 Ansys Mechanical Enterprise Academic Research     
 00236611  VERSION=LINUX x64     09:48:29  JUL 24, 2026 CP=    546.817

                                                                               



          ***** MAPDL POST26 VARIABLE LISTING *****


    TIME       2466 TEMP    
                  TEMP    
   0.10000E-02   67.2008     
   0.12694E-02   67.2008     
   0.14547E-02   67.2008     
   0.16400E-02   67.2008     
   0.20718E-02   67.2008     
   0.23472E-02   67.2008     
   0.23666E-02   67.2007     
   0.23860E-02   67.2005     
   0.24441E-02   67.1974     
   0.25022E-02   67.1922     
   0.46253E-01   59.4279     
   0.60836E-01   57.7196     
   0.75419E-01   56.6404     
   0.90003E-01   55.9636     
   0.10459       55.5396     
   0.11917       55.2742     
   0.13375       55.1080     
   0.14834       55.0039     
   0.16292       54.9387     
   0.17750       54.8979     
   0.19209       54.8724     
   0.22125       54.8491     
   0.27959       54.8353     
   0.35250       54.8310     
   0.35358       55.1422     
   0.35466       55.5380     
   0.35788       56.7880     
   0.36111       57.9616     
   0.40486       56.1270     
   0.41944       55.6527     
   0.43402       55.3462     
   0.44861       55.1532     
   0.46319       55.0322     
   0.47777       54.9565     
   0.49236       54.9090     
   0.50694       54.8793     
   0.53611       54.8523     
   0.59444       54.8363     
   0.71111       54.8307     
   0.71112       54.8307     
   0.71114       54.8308     
   0.71115       54.8308     
   0.71116       54.8308     
   0.71118       54.8309     
   0.71122       54.8312     
   0.71123       54.8314     
   0.75498       54.8320     
   0.79873       54.8305     
   0.84248       54.8299     
   0.92998       54.8297     

 *** MAPDL - ENGINEERING ANALYSIS SYSTEM  RELEASE 2025 R2          25.2     ***
 Ansys Mechanical Enterprise Academic Research     
 00236611  VERSION=LINUX x64     09:48:29  JUL 24, 2026 CP=    546.817

                                                                               



          ***** MAPDL POST26 VARIABLE LISTING *****


    TIME       2466 TEMP    
                  TEMP    
    1.0612       54.8296     
    1.0625       55.2208     
    1.0638       55.7060     
    1.0677       57.1776     
    1.0716       58.5150     
    1.1153       56.3283     
    1.1299       55.7789     
    1.1445       55.4253     
    1.1591       55.2027     
    1.1736       55.0632     
    1.1882       54.9759     
    1.2028       54.9212     
    1.2174       54.8869     
    1.2466       54.8557     
    1.3049       54.8373     
    1.4216       54.8309     
    1.4216       54.8311     
    1.4216       54.8315     
    1.4217       54.8353     
    1.4218       54.8408     
    1.4224       54.9930     
    1.4230       55.1906     
    1.4247       55.8749     
    1.4265       56.5730     
    1.4268       56.6895     
    1.4271       56.8058     
    1.4280       57.1505     
    1.4288       57.4884     
    1.4289       57.4958     
    1.4289       57.5030     
    1.4289       57.5222     
    1.4290       57.5392     
    1.4727       55.9611     
    1.4873       55.5483     
    1.5019       55.2808     
    1.5165       55.1122     
    1.5311       55.0066     
    1.5457       54.9404     
    1.5602       54.8990     
    1.5748       54.8730     
    1.6040       54.8494     
    1.6623       54.8354     
    1.7790       54.8306     
    1.7801       55.1418     
    1.7812       55.5376     
    1.7844       56.7876     
    1.7876       57.9613     
    1.8314       56.1269     
    1.8459       55.6526     
    1.8605       55.3462     

 *** MAPDL - ENGINEERING ANALYSIS SYSTEM  RELEASE 2025 R2          25.2     ***
 Ansys Mechanical Enterprise Academic Research     
 00236611  VERSION=LINUX x64     09:48:29  JUL 24, 2026 CP=    546.817

                                                                               



          ***** MAPDL POST26 VARIABLE LISTING *****


    TIME       2466 TEMP    
                  TEMP    
    1.8751       55.1532     
    1.8897       55.0322     
    1.9043       54.9565     
    1.9189       54.9090     
    1.9334       54.8793     
    1.9626       54.8523     
    2.0209       54.8363     
    2.1376       54.8307     
    2.1376       54.8307     
    2.1376       54.8308     
    2.1376       54.8308     
    2.1377       54.8308     
    2.1377       54.8309     
    2.1377       54.8312     
    2.1377       54.8314     
    2.1815       54.8320     
    2.2252       54.8305     
    2.2690       54.8299     
    2.3565       54.8297     
    2.4877       54.8296     
    2.4890       55.2208     
    2.4903       55.7060     
    2.4942       57.1776     
    2.4980       58.5150     
    2.5418       56.3283     
    2.5564       55.7789     
    2.5710       55.4253     
    2.5855       55.2027     
    2.6001       55.0632     
    2.6147       54.9759     
    2.6293       54.9212     
    2.6439       54.8869     
    2.6730       54.8557     
    2.7314       54.8373     
    2.8480       54.8309     
    2.8481       54.8311     
    2.8481       54.8315     
    2.8482       54.8353     
    2.8483       54.8408     
    2.8489       54.9930     
    2.8495       55.1906     
    2.8512       55.8749     
    2.8530       56.5730     
    2.8533       56.6895     
    2.8536       56.8058     
    2.8545       57.1505     
    2.8553       57.4884     
    2.8554       57.4958     
    2.8554       57.5030     
    2.8554       57.5222     

 *** MAPDL - ENGINEERING ANALYSIS SYSTEM  RELEASE 2025 R2          25.2     ***
 Ansys Mechanical Enterprise Academic Research     
 00236611  VERSION=LINUX x64     09:48:29  JUL 24, 2026 CP=    546.818

                                                                               



          ***** MAPDL POST26 VARIABLE LISTING *****


    TIME       2466 TEMP    
                  TEMP    
    2.8555       57.5392     
    2.8992       55.9611     
    2.9138       55.5483     
    2.9284       55.2808     
    2.9430       55.1122     
    2.9576       55.0066     
    2.9722       54.9404     
    2.9867       54.8990     
    3.0013       54.8730     
    3.0305       54.8494     
    3.0888       54.8354     
    3.2055       54.8306     
    3.2066       55.1418     
    3.2076       55.5376     
    3.2109       56.7876     
    3.2141       57.9613     
    3.2578       56.1269     
    3.2724       55.6526     
    3.2870       55.3462     
    3.3016       55.1532     
    3.3162       55.0322     
    3.3308       54.9565     
    3.3453       54.9090     
    3.3599       54.8793     
    3.3891       54.8523     
    3.4474       54.8363     
    3.5641       54.8307     
    3.5641       54.8307     
    3.5641       54.8308     
    3.5641       54.8308     
    3.5642       54.8308     
    3.5642       54.8309     
    3.5642       54.8312     
    3.5642       54.8314     
    3.6080       54.8320     
    3.6517       54.8305     
    3.6955       54.8299     
    3.7830       54.8297     
    3.9142       54.8296     
    3.9155       55.2208     
    3.9168       55.7060     
    3.9207       57.1776     
    3.9245       58.5150     
    3.9683       56.3283     
    3.9829       55.7789     
    3.9975       55.4253     
    4.0120       55.2027     
    4.0266       55.0632     
    4.0412       54.9759     
    4.0558       54.9212     

 *** MAPDL - ENGINEERING ANALYSIS SYSTEM  RELEASE 2025 R2          25.2     ***
 Ansys Mechanical Enterprise Academic Research     
 00236611  VERSION=LINUX x64     09:48:29  JUL 24, 2026 CP=    546.818

                                                                               



          ***** MAPDL POST26 VARIABLE LISTING *****


    TIME       2466 TEMP    
                  TEMP    
    4.0704       54.8869     
    4.0995       54.8557     
    4.1579       54.8373     
    4.2745       54.8309     
    4.2746       54.8311     
    4.2746       54.8315     
    4.2747       54.8353     
    4.2748       54.8408     
    4.2754       54.9930     
    4.2760       55.1906     
    4.2777       55.8749     
    4.2795       56.5730     
    4.2798       56.6895     
    4.2801       56.8058     
    4.2810       57.1505     
    4.2818       57.4884     
    4.2819       57.4958     
    4.2819       57.5030     
    4.2819       57.5222     
    4.2820       57.5392     
    4.3257       55.9611     
    4.3403       55.5483     
    4.3549       55.2808     
    4.3695       55.1122     
    4.3841       55.0066     
    4.3987       54.9404     
    4.4132       54.8990     
    4.4278       54.8730     
    4.4570       54.8494     
    4.5153       54.8354     
    4.6320       54.8306     
    4.6331       55.1418     
    4.6341       55.5376     
    4.6374       56.7876     
    4.6406       57.9613     
    4.6843       56.1269     
    4.6989       55.6526     
    4.7135       55.3462     
    4.7281       55.1532     
    4.7427       55.0322     
    4.7573       54.9565     
    4.7718       54.9090     
    4.7864       54.8793     
    4.8156       54.8523     
    4.8739       54.8363     
    4.9906       54.8307     
    4.9906       54.8307     
    4.9906       54.8308     
    4.9906       54.8308     
    4.9907       54.8308     

 *** MAPDL - ENGINEERING ANALYSIS SYSTEM  RELEASE 2025 R2          25.2     ***
 Ansys Mechanical Enterprise Academic Research     
 00236611  VERSION=LINUX x64     09:48:29  JUL 24, 2026 CP=    546.818

