
 STORAGE COMPLETE FOR    628 DATA POINTS 

         SUMMARY OF VARIABLES STORED THIS STEP AND EXTREME VALUES
 VARI TYPE    IDENTIFIERS   NAME     MINIMUM    AT TIME     MAXIMUM    AT TIME

   2 NSOL  2466 TEMP      TEMP       54.83       1.589       67.20      0.3513E-001

 *** MAPDL - ENGINEERING ANALYSIS SYSTEM  RELEASE 2025 R2          25.2     ***
 Ansys Mechanical Enterprise Academic Research     
 00236611  VERSION=LINUX x64     20:16:55  JUL 23, 2026 CP=    434.744

                                                                               



          ***** MAPDL POST26 VARIABLE LISTING *****


    TIME       2466 TEMP    
                  TEMP    
   0.10000E-02   67.2008     
   0.16357E-01   67.2008     
   0.21476E-01   67.2008     
   0.23182E-01   67.2008     
   0.24888E-01   67.2008     
   0.28301E-01   67.2008     
   0.35126E-01   67.2008     
   0.48777E-01   67.2008     
   0.76078E-01   67.2008     
   0.12385       67.2008     
   0.12394       67.1973     
   0.12402       67.1899     
   0.12427       67.1495     
   0.12451       67.0999     
   0.16827       59.3669     
   0.18285       57.6798     
   0.19743       56.6153     
   0.21202       55.9478     
   0.22660       55.5298     
   0.24118       55.2680     
   0.25577       55.1041     
   0.27035       55.0015     
   0.28493       54.9372     
   0.29952       54.8970     
   0.31410       54.8718     
   0.34327       54.8488     
   0.40160       54.8353     
   0.47452       54.8310     
   0.51049       61.9911     
   0.52248       63.6921     
   0.53447       64.8454     
   0.54645       65.6206     
   0.55844       66.1409     
   0.57043       66.4899     
   0.58242       66.7240     
   0.59441       66.8810     
   0.60640       66.9863     
   0.61839       67.0569     
   0.63038       67.1043     
   0.64237       67.1361     
   0.66635       67.1682     
   0.71431       67.1898     
   0.76227       67.1971     
   0.80602       59.4454     
   0.82060       57.7311     
   0.83518       56.6477     
   0.84977       55.9681     
   0.86435       55.5425     
   0.87894       55.2760     
   0.89352       55.1091     

 *** MAPDL - ENGINEERING ANALYSIS SYSTEM  RELEASE 2025 R2          25.2     ***
 Ansys Mechanical Enterprise Academic Research     
 00236611  VERSION=LINUX x64     20:16:55  JUL 23, 2026 CP=    434.746

                                                                               



          ***** MAPDL POST26 VARIABLE LISTING *****


    TIME       2466 TEMP    
                  TEMP    
   0.90810       55.0046     
   0.92269       54.9392     
   0.93727       54.8982     
   0.95185       54.8725     
   0.98102       54.8492     
    1.0394       54.8354     
    1.1123       54.8310     
    1.1125       54.8349     
    1.1128       54.8411     
    1.1136       54.8659     
    1.1144       54.8932     
    1.1299       59.3901     
    1.1400       61.6454     
    1.1501       63.2662     
    1.1602       64.4168     
    1.1703       65.2313     
    1.1804       65.8076     
    1.1905       66.2153     
    1.2006       66.5037     
    1.2107       66.7077     
    1.2208       66.8520     
    1.2309       66.9541     
    1.2382       67.0111     
    1.2383       67.0082     
    1.2384       67.0014     
    1.2387       66.9629     
    1.2389       66.9151     
    1.2827       59.3008     
    1.2972       57.6384     
    1.3118       56.5894     
    1.3264       55.9316     
    1.3410       55.5196     
    1.3556       55.2616     
    1.3702       55.1001     
    1.3847       54.9990     
    1.3993       54.9356     
    1.4139       54.8960     
    1.4285       54.8712     
    1.4577       54.8485     
    1.5160       54.8352     
    1.5889       54.8310     
    1.6249       61.9911     
    1.6369       63.6921     
    1.6489       64.8454     
    1.6608       65.6206     
    1.6728       66.1409     
    1.6848       66.4899     
    1.6968       66.7240     
    1.7088       66.8810     
    1.7208       66.9863     

 *** MAPDL - ENGINEERING ANALYSIS SYSTEM  RELEASE 2025 R2          25.2     ***
 Ansys Mechanical Enterprise Academic Research     
 00236611  VERSION=LINUX x64     20:16:55  JUL 23, 2026 CP=    434.747

                                                                               



          ***** MAPDL POST26 VARIABLE LISTING *****


    TIME       2466 TEMP    
                  TEMP    
    1.7328       67.0569     
    1.7448       67.1043     
    1.7568       67.1361     
    1.7807       67.1682     
    1.8287       67.1898     
    1.8767       67.1971     
    1.9204       59.4454     
    1.9350       57.7311     
    1.9496       56.6477     
    1.9642       55.9681     
    1.9787       55.5425     
    1.9933       55.2760     
    2.0079       55.1091     
    2.0225       55.0046     
    2.0371       54.9392     
    2.0517       54.8982     
    2.0662       54.8725     
    2.0954       54.8492     
    2.1537       54.8354     
    2.2267       54.8310     
    2.2269       54.8349     
    2.2272       54.8411     
    2.2280       54.8659     
    2.2288       54.8932     
    2.2443       59.3901     
    2.2544       61.6454     
    2.2645       63.2662     
    2.2746       64.4168     
    2.2847       65.2313     
    2.2948       65.8076     
    2.3049       66.2153     
    2.3150       66.5037     
    2.3251       66.7077     
    2.3352       66.8520     
    2.3453       66.9541     
    2.3526       67.0111     
    2.3527       67.0082     
    2.3528       67.0014     
    2.3530       66.9629     
    2.3533       66.9151     
    2.3970       59.3008     
    2.4116       57.6384     
    2.4262       56.5894     
    2.4408       55.9316     
    2.4554       55.5196     
    2.4700       55.2616     
    2.4845       55.1001     
    2.4991       54.9990     
    2.5137       54.9356     
    2.5283       54.8960     

 *** MAPDL - ENGINEERING ANALYSIS SYSTEM  RELEASE 2025 R2          25.2     ***
 Ansys Mechanical Enterprise Academic Research     
 00236611  VERSION=LINUX x64     20:16:55  JUL 23, 2026 CP=    434.748

                                                                               



          ***** MAPDL POST26 VARIABLE LISTING *****


    TIME       2466 TEMP    
                  TEMP    
    2.5429       54.8712     
    2.5720       54.8485     
    2.6304       54.8352     
    2.7033       54.8310     
    2.7393       61.9911     
    2.7512       63.6921     
    2.7632       64.8454     
    2.7752       65.6206     
    2.7872       66.1409     
    2.7992       66.4899     
    2.8112       66.7240     
    2.8232       66.8810     
    2.8352       66.9863     
    2.8472       67.0569     
    2.8592       67.1043     
    2.8711       67.1361     
    2.8951       67.1682     
    2.9431       67.1898     
    2.9910       67.1971     
    3.0348       59.4454     
    3.0494       57.7311     
    3.0640       56.6477     
    3.0785       55.9681     
    3.0931       55.5425     
    3.1077       55.2760     
    3.1223       55.1091     
    3.1369       55.0046     
    3.1515       54.9392     
    3.1660       54.8982     
    3.1806       54.8725     
    3.2098       54.8492     
    3.2681       54.8354     
    3.3410       54.8310     
    3.3413       54.8349     
    3.3416       54.8411     
    3.3424       54.8659     
    3.3432       54.8932     
    3.3586       59.3901     
    3.3687       61.6454     
    3.3788       63.2662     
    3.3889       64.4168     
    3.3991       65.2313     
    3.4092       65.8076     
    3.4193       66.2153     
    3.4294       66.5037     
    3.4395       66.7077     
    3.4496       66.8520     
    3.4597       66.9541     
    3.4670       67.0111     
    3.4671       67.0082     

 *** MAPDL - ENGINEERING ANALYSIS SYSTEM  RELEASE 2025 R2          25.2     ***
 Ansys Mechanical Enterprise Academic Research     
 00236611  VERSION=LINUX x64     20:16:55  JUL 23, 2026 CP=    434.749

                                                                               



          ***** MAPDL POST26 VARIABLE LISTING *****


    TIME       2466 TEMP    
                  TEMP    
    3.4672       67.0014     
    3.4674       66.9629     
    3.4677       66.9151     
    3.5114       59.3008     
    3.5260       57.6384     
    3.5406       56.5894     
    3.5552       55.9316     
    3.5698       55.5196     
    3.5843       55.2616     
    3.5989       55.1001     
    3.6135       54.9990     
    3.6281       54.9356     
    3.6427       54.8960     
    3.6573       54.8712     
    3.6864       54.8485     
    3.7448       54.8352     
    3.8177       54.8310     
    3.8536       61.9911     
    3.8656       63.6921     
    3.8776       64.8454     
    3.8896       65.6206     
    3.9016       66.1409     
    3.9136       66.4899     
    3.9256       66.7240     
    3.9376       66.8810     
    3.9496       66.9863     
    3.9615       67.0569     
    3.9735       67.1043     
    3.9855       67.1361     
    4.0095       67.1682     
    4.0575       67.1898     
    4.1054       67.1971     
    4.1492       59.4454     
    4.1638       57.7311     
    4.1783       56.6477     
    4.1929       55.9681     
    4.2075       55.5425     
    4.2221       55.2760     
    4.2367       55.1091     
    4.2513       55.0046     
    4.2658       54.9392     
    4.2804       54.8982     
    4.2950       54.8725     
    4.3242       54.8492     
    4.3825       54.8354     
    4.4554       54.8310     
    4.4557       54.8349     
    4.4560       54.8411     
    4.4567       54.8659     
    4.4575       54.8932     

 *** MAPDL - ENGINEERING ANALYSIS SYSTEM  RELEASE 2025 R2          25.2     ***
 Ansys Mechanical Enterprise Academic Research     
 00236611  VERSION=LINUX x64     20:16:55  JUL 23, 2026 CP=    434.751

                                                                               



